"dynamicMods3" "Freq"
"1" "1" 1256
"2" "2" 944
"3" "3" 739
"4" "4" 736
"5" "5" 638
"6" "6" 577
"7" "7" 558
"8" "8" 542
"9" "9" 522
"10" "10" 520
"11" "11" 516
"12" "12" 508
"13" "13" 436
"14" "14" 415
"15" "15" 389
"16" "16" 379
"17" "17" 339
"18" "18" 339
"19" "19" 319
"20" "20" 302
"21" "21" 297
"22" "22" 277
"23" "23" 261
"24" "24" 218
"25" "25" 206
"26" "26" 203
"27" "27" 203
"28" "28" 202
"29" "29" 201
"30" "30" 199
"31" "31" 186
"32" "32" 178
"33" "33" 174
"34" "34" 173
"35" "35" 172
"36" "36" 171
"37" "37" 160
"38" "38" 158
"39" "39" 152
"40" "40" 152
"41" "41" 150
"42" "42" 142
"43" "43" 140
"44" "44" 139
"45" "45" 134
"46" "46" 133
"47" "47" 126
"48" "48" 125
"49" "49" 125
"50" "50" 124
"51" "51" 124
"52" "52" 124
"53" "53" 123
"54" "54" 122
"55" "55" 122
"56" "56" 115
"57" "57" 114
"58" "58" 114
"59" "59" 113
"60" "60" 113
"61" "61" 112
"62" "62" 109
"63" "63" 108
"64" "64" 106
"65" "65" 105
"66" "66" 105
"67" "67" 104
"68" "68" 104
"69" "69" 104
"70" "70" 102
"71" "71" 99
"72" "72" 96
"73" "73" 95
"74" "74" 95
"75" "75" 94
"76" "76" 92
"77" "77" 90
"78" "78" 89
"79" "79" 89
"80" "80" 87
"81" "81" 87
"82" "82" 86
"83" "83" 86
"84" "84" 85
"85" "85" 83
"86" "86" 83
"87" "87" 82
"88" "88" 81
"89" "89" 80
"90" "90" 77
"91" "91" 76
"92" "92" 76
"93" "93" 73
"94" "94" 71
"95" "95" 67
"96" "96" 65
"97" "97" 65
"98" "98" 64
"99" "99" 63
"100" "100" 61
"101" "101" 61
"102" "102" 61
"103" "103" 60
"104" "104" 58
"105" "105" 58
"106" "106" 55
"107" "107" 53
"108" "108" 52
"109" "109" 52
"110" "110" 51
"111" "111" 51
"112" "112" 49
"113" "113" 44
"114" "114" 43
"115" "115" 36
"116" "116" 35
"117" "117" 33
"118" "118" 31
