"dynamicMods" "Freq"
"1" "0" 1
"2" "1" 1254
"3" "2" 954
"4" "3" 791
"5" "4" 609
"6" "5" 596
"7" "6" 571
"8" "7" 558
"9" "8" 507
"10" "9" 497
"11" "10" 493
"12" "11" 493
"13" "12" 425
"14" "13" 416
"15" "14" 395
"16" "15" 393
"17" "16" 381
"18" "17" 371
"19" "18" 358
"20" "19" 345
"21" "20" 323
"22" "21" 316
"23" "22" 280
"24" "23" 264
"25" "24" 246
"26" "25" 239
"27" "26" 221
"28" "27" 212
"29" "28" 202
"30" "29" 199
"31" "30" 198
"32" "31" 191
"33" "32" 186
"34" "33" 181
"35" "34" 177
"36" "35" 175
"37" "36" 175
"38" "37" 172
"39" "38" 171
"40" "39" 168
"41" "40" 165
"42" "41" 163
"43" "42" 158
"44" "43" 156
"45" "44" 152
"46" "45" 150
"47" "46" 150
"48" "47" 147
"49" "48" 143
"50" "49" 142
"51" "50" 141
"52" "51" 139
"53" "52" 139
"54" "53" 137
"55" "54" 134
"56" "55" 131
"57" "56" 129
"58" "57" 126
"59" "58" 125
"60" "59" 122
"61" "60" 121
"62" "61" 121
"63" "62" 118
"64" "63" 118
"65" "64" 116
"66" "65" 113
"67" "66" 112
"68" "67" 107
"69" "68" 106
"70" "69" 106
"71" "70" 105
"72" "71" 102
"73" "72" 101
"74" "73" 98
"75" "74" 96
"76" "75" 94
"77" "76" 92
"78" "77" 91
"79" "78" 91
"80" "79" 88
"81" "80" 86
"82" "81" 86
"83" "82" 85
"84" "83" 84
"85" "84" 83
"86" "85" 80
"87" "86" 78
"88" "87" 78
"89" "88" 75
"90" "89" 75
"91" "90" 72
"92" "91" 71
"93" "92" 70
"94" "93" 69
"95" "94" 66
"96" "95" 63
"97" "96" 63
"98" "97" 62
"99" "98" 62
"100" "99" 61
"101" "100" 60
"102" "101" 57
"103" "102" 54
"104" "103" 52
"105" "104" 51
"106" "105" 51
"107" "106" 49
"108" "107" 47
"109" "108" 44
"110" "109" 43
"111" "110" 42
"112" "111" 41
"113" "112" 37
"114" "113" 36
"115" "114" 36
