"dynamicMods" "Freq"
"1" "0" 29
"2" "1" 1631
"3" "2" 1240
"4" "3" 939
"5" "4" 777
"6" "5" 707
"7" "6" 690
"8" "7" 585
"9" "8" 546
"10" "9" 540
"11" "10" 512
"12" "11" 441
"13" "12" 423
"14" "13" 400
"15" "14" 381
"16" "15" 337
"17" "16" 336
"18" "17" 318
"19" "18" 304
"20" "19" 264
"21" "20" 248
"22" "21" 244
"23" "22" 234
"24" "23" 233
"25" "24" 224
"26" "25" 216
"27" "26" 213
"28" "27" 205
"29" "28" 193
"30" "29" 184
"31" "30" 183
"32" "31" 179
"33" "32" 179
"34" "33" 171
"35" "34" 162
"36" "35" 157
"37" "36" 154
"38" "37" 149
"39" "38" 148
"40" "39" 147
"41" "40" 145
"42" "41" 144
"43" "42" 141
"44" "43" 141
"45" "44" 139
"46" "45" 138
"47" "46" 137
"48" "47" 135
"49" "48" 132
"50" "49" 132
"51" "50" 131
"52" "51" 128
"53" "52" 126
"54" "53" 122
"55" "54" 122
"56" "55" 121
"57" "56" 120
"58" "57" 119
"59" "58" 119
"60" "59" 115
"61" "60" 114
"62" "61" 114
"63" "62" 113
"64" "63" 110
"65" "64" 110
"66" "65" 105
"67" "66" 103
"68" "67" 101
"69" "68" 101
"70" "69" 101
"71" "70" 100
"72" "71" 100
"73" "72" 99
"74" "73" 96
"75" "74" 93
"76" "75" 92
"77" "76" 92
"78" "77" 91
"79" "78" 91
"80" "79" 90
"81" "80" 86
"82" "81" 84
"83" "82" 84
"84" "83" 83
"85" "84" 81
"86" "85" 79
"87" "86" 77
"88" "87" 77
"89" "88" 76
"90" "89" 75
"91" "90" 72
"92" "91" 71
"93" "92" 69
"94" "93" 66
"95" "94" 66
"96" "95" 65
"97" "96" 64
"98" "97" 62
"99" "98" 62
"100" "99" 61
"101" "100" 61
"102" "101" 59
"103" "102" 57
"104" "103" 57
"105" "104" 55
"106" "105" 54
"107" "106" 52
"108" "107" 48
"109" "108" 35
"110" "109" 34
