"Power" "SFT.R.sq" "slope" "truncated.R.sq" "mean.k." "median.k." "max.k."
"1" 1 "0.42326945" 2.74765104126296 0.903027259465307 5449.90331204678 5547.39908050783 7616.33328953499
"2" 2 "0.03173442" 0.346431913784155 0.818406495872065 2056.86885238187 2078.57243679734 3712.68310840661
"3" 3 "0.08901780" -0.472934025902287 0.834272516823675 952.163320424724 937.752498938644 2138.92641739783
"4" 4 "0.33884087" -0.97222443793553 0.885034865610703 501.180991746426 475.52013117547 1378.45873229271
"5" 5 "0.53161828" -1.25322046897809 0.942381500013023 288.73308821108 260.168783965384 956.761433573875
"6" 6 "0.67075273" -1.40726612727923 0.980165122595323 178.014895053228 150.384148574556 698.067342464327
"7" 7 "0.76463825" -1.49322935845982 0.995361637164377 115.755500041722 90.860016657311 529.031194297557
"8" 8 "0.81419200" -1.62850126706013 0.994494780094818 78.5898227732736 56.8718666333085 425.500356649231
"9" 9 "0.84325658" -1.73680013138773 0.992780523721575 55.3021440048365 36.6960225458186 355.629181345489
"10" 10 "0.85791840" -1.82070025409184 0.98347035555199 40.1109204422706 24.2509465982643 303.687324015396
"11" 12 "0.88179240" -1.90046499965737 0.97966102562061 22.7319733439046 11.1882245343084 232.535988070515
"12" 14 "0.89927619" -1.9130945392204 0.977064928559454 13.9480849555425 5.50214984444536 186.705376212668
"13" 16 "0.89762808" -1.91499319573042 0.968298211515128 9.10860430094493 2.8583894432072 155.020636364368
"14" 18 "0.91402250" -1.86528951402561 0.974320814651344 6.25342355442386 1.54596567970167 131.92679420228
"15" 20 "0.91698711" -1.83878349464485 0.972664867138956 4.47241936063576 0.869633497770491 114.396931820553
