Tfas_CAM_A_0100	Tfas_CAM_A_0500	Tfas_CAM_A_0900	Tfas_CAM_A_1300	Tfas_CAM_A_1700	Tfas_CAM_A_2100	Tfas_CAM_B_0100	Tfas_CAM_B_0500	Tfas_CAM_B_0900	Tfas_CAM_B_1300	Tfas_CAM_B_1700	Tfas_CAM_B_2100	Tfas_CAM_C_0100	Tfas_CAM_C_0500	Tfas_CAM_C_0900	Tfas_CAM_C_1300	Tfas_CAM_C_1700	Tfas_CAM_C_2100	Tfas_CAM_D_0100	Tfas_CAM_D_0500	Tfas_CAM_D_0900	Tfas_CAM_D_1300	Tfas_CAM_D_1700	Tfas_CAM_D_2100	Tfas_CAM_E_0100	Tfas_CAM_E_0500	Tfas_CAM_E_0900	Tfas_CAM_E_1300	Tfas_CAM_E_1700	Tfas_CAM_E_2100	Tfas_CAM_F_0100	Tfas_CAM_F_0500	Tfas_CAM_F_0900	Tfas_CAM_F_1300	Tfas_CAM_F_1700	Tfas_CAM_F_2100
Tfasc_v1.03352	460	302	775	249	268	323	794	947	1006	886	662	803	284	621	1524	493	688	289	221	428	180	122	189	204	156	457	255	101	99	144	1085	1335	1173	1796	684	432
Tfasc_v1.03353	2610	3800	4224	3992	3559	4306	2134	1912	1657	2379	2277	2644	1964	1727	2721	1412	1871	1559	1885	1887	2484	1394	1773	2135	2793	2856	2313	2883	3793	2971	2816	2112	2306	2553	2663	2313
Tfasc_v1.03348	1956	1605	1218	1273	1144	1257	231	218	197	256	233	166	58	36	141	29	54	26	326	129	136	142	103	152	1924	1146	972	1035	1316	971	35	67	120	43	55	6
Tfasc_v1.03350	2013	1514	1678	1461	1343	1139	789	847	759	842	835	1467	758	496	1249	705	770	480	1254	1286	1542	711	943	1073	1378	1252	987	1332	1021	815	1752	1178	1246	1267	1192	1118
Tfasc_v1.03358	9	6	11	12	5	4	4	4	3	2	2	13	136	244	388	176	107	57	9	4	18	6	12	0	10	21	3	8	4	3	1	0	7	7	1	0
Tfasc_v1.03360	6164	6008	7038	7210	6534	8396	9412	8626	7396	12931	8849	7521	8198	7526	11981	3411	5262	5413	6579	5088	5366	5843	4998	6455	6606	4714	4439	8005	8017	6476	8902	6381	7505	6822	7489	6551
Tfasc_v1.03354	9798	11926	10493	11608	16088	9347	7990	8866	8264	10835	10991	16504	12711	10196	24174	11654	10292	8830	4293	4329	3962	2963	3605	2923	7102	8724	7120	13000	12684	9567	8607	8739	11426	11575	14619	7466
Tfasc_v1.03355	3428	3180	3043	3085	3243	3191	1568	1531	1507	2268	1855	988	2217	1828	4240	1916	1950	2082	1670	1191	1438	1209	1461	1768	3238	3527	2415	3516	3777	2575	2146	2190	2339	2788	2908	1994
Tfasc_v1.03357	3858	4833	5143	4689	5870	4984	1788	1609	1735	1969	2309	3165	1997	1512	3310	1231	1578	2110	1796	1655	2890	975	1907	1525	3638	4360	2355	4233	5379	4353	2980	3248	3894	2750	4549	4047
Tfasc_v1.03356	1636	1501	1910	2334	2144	1578	527	515	320	659	642	407	472	718	1698	753	857	412	528	649	832	830	974	907	1025	1277	1401	1580	1783	1196	967	1022	1111	1660	1535	1031
Tfasc_v1.03359	153	75	94	250	294	348	660	835	419	729	1013	401	1000	1563	3263	777	1357	1286	67	80	42	69	93	126	92	176	78	227	137	174	170	215	217	264	213	200
Tfasc_v1.03370	7358	5099	6844	7552	5033	6921	6157	3744	5954	6172	7426	2896	10488	7864	12441	3626	9240	7516	5241	3060	3666	2662	4759	3120	4795	4588	3433	4497	4000	4359	6455	3140	5139	5091	7759	3759
Tfasc_v1.03363	14193	14726	20249	20778	20355	18176	9867	9583	9205	11851	10977	11925	2257	1150	3453	1638	2103	1865	5027	6611	7519	4982	5830	6009	11346	12053	14023	11087	10277	8839	8795	8263	10308	8181	9283	7678
