Tlei_C3_A_0100	Tlei_C3_A_0500	Tlei_C3_A_0900	Tlei_C3_A_1300	Tlei_C3_A_1700	Tlei_C3_A_2100	Tlei_C3_C_0100	Tlei_C3_C_0500	Tlei_C3_C_0900	Tlei_C3_C_1300	Tlei_C3_C_1700	Tlei_C3_C_2100	Tlei_C3_D_0100	Tlei_C3_D_0500	Tlei_C3_D_0900	Tlei_C3_D_1300	Tlei_C3_D_1700	Tlei_C3_D_2100	Tlei_C3_E_0100	Tlei_C3_E_0500	Tlei_C3_E_0900	Tlei_C3_E_1300	Tlei_C3_E_1700	Tlei_C3_E_2100	Tlei_C3_F_0100	Tlei_C3_F_0500	Tlei_C3_F_0900	Tlei_C3_F_1300	Tlei_C3_F_1700	Tlei_C3_F_2100	Tlei_C3_G_0100	Tlei_C3_G_0500	Tlei_C3_G_0900	Tlei_C3_G_1300	Tlei_C3_G_1700	Tlei_C3_G_2100
Tfasc_v1.03353	1779	1554	3514	1546	5143	1902	1464	1305	2277	1353	1625	1118	1307	1592	1603	1200	1769	1547	1766	1477	1440	1713	1271	2394	1372	1395	1308	1109	1407	1563	1945	1977	1408	1860	1786	2185
Tfasc_v1.03348	2596	1256	5145	1827	3933	1913	20	26	35	28	42	51	1621	2082	1635	1882	1311	930	1828	2225	1895	2166	1757	1483	2141	3134	1523	2275	2209	2856	3080	3399	1523	1841	1305	2821
Tfasc_v1.03349	3	38	66	67	0	3	4	1	3	2	2	0	11	11	18	9	18	25	2	1	3	1	1	0	8	4	6	13	1	7	295	209	202	870	975	271
Tfasc_v1.03350	965	915	2134	927	1920	992	1104	1100	2629	1162	1113	491	1252	1995	1175	853	1511	1113	877	1268	1392	1271	797	726	1137	2498	1253	1403	1292	1513	1260	1779	1259	1551	1277	1211
Tfasc_v1.03360	7955	4687	13243	7742	21700	7675	9841	5081	10015	7788	6310	4880	8876	8583	7654	7250	7291	7870	6256	6132	6611	9165	6293	11538	8502	4249	4418	6238	7783	9405	7129	5508	5485	8663	6706	7623
Tfasc_v1.03354	9842	11490	19153	9757	21649	9545	11479	7809	11388	12503	12277	11786	7632	11634	13975	11743	13507	14290	13515	11749	15747	12710	14426	19158	17990	12533	14881	8087	15661	15521	13040	16387	10619	13800	13772	14235
Tfasc_v1.03355	1431	1550	2695	1549	3446	1914	2337	1767	2213	1803	1707	1273	1410	1965	1821	1159	1321	1548	1905	2275	2265	2706	3098	2721	1582	1568	1271	982	1171	1396	1638	1852	1383	1702	1501	1781
Tfasc_v1.03357	1623	1678	4112	1640	3867	2293	1698	1450	2203	1586	1437	1405	1766	1903	2283	2207	2432	2174	2174	2103	2213	2198	2606	3004	2091	2033	1780	1514	2314	2711	2137	2027	1361	1882	1727	2399
Tfasc_v1.03356	235	460	816	1044	1512	354	349	285	267	846	941	588	334	590	473	787	1037	980	239	336	344	954	1425	752	896	712	759	1129	1404	1082	552	405	657	2160	1687	898
Tfasc_v1.03370	12152	11621	18253	11866	51903	5602	13852	10277	14868	13661	13352	11693	2688	5005	4618	5286	4456	5813	8723	5471	4827	6676	7613	9851	7868	3012	4438	3688	6906	6130	7753	3812	2643	3279	4777	5078
Tfasc_v1.03363	2874	2978	6775	3066	5864	2949	3062	2735	4129	3378	3230	2853	2134	2226	2608	1401	2255	1756	2191	2416	3033	2810	1801	2180	2593	2589	2355	1441	2034	2496	2662	3381	2073	2113	1738	2620
Tfasc_v1.03369	820	532	1907	492	1398	2168	998	535	1604	780	567	426	1740	535	1584	477	1052	722	777	263	710	324	375	722	526	587	748	280	448	399	1009	924	949	675	358	907
