Name total uniq mismatch multi unmapped_short
Tfas_CAM_A_0100_toTfas. 74347472 88.86 0.71 7.10 3.90
Tfas_CAM_A_0500_toTfas. 68524989 89.59 0.62 7.06 3.17
Tfas_CAM_A_0900_toTfas. 78466655 89.88 0.60 6.85 3.07
Tfas_CAM_A_1300_toTfas. 80736278 89.32 0.61 7.30 3.17
Tfas_CAM_A_1700_toTfas. 81150412 89.50 0.60 7.41 2.89
Tfas_CAM_A_2100_toTfas. 71182611 88.66 0.60 7.72 3.39
Tfas_CAM_B_0100_toTfas. 63679503 87.22 0.79 7.92 4.72
Tfas_CAM_B_0500_toTfas. 63797292 87.32 0.80 7.50 5.03
Tfas_CAM_B_0900_toTfas. 55606309 87.24 0.81 7.35 5.26
Tfas_CAM_B_1300_toTfas. 72192201 87.67 0.80 7.48 4.72
Tfas_CAM_B_1700_toTfas. 72989816 87.81 0.80 7.52 4.51
Tfas_CAM_B_2100_toTfas. 77220603 86.87 0.79 8.45 4.57
Tfas_CAM_C_0100_toTfas. 67643614 87.00 0.79 7.58 5.23
Tfas_CAM_C_0500_toTfas. 63468047 85.50 0.81 7.77 6.53
Tfas_CAM_C_0900_toTfas. 137709667 86.13 0.82 7.98 5.67
Tfas_CAM_C_1300_toTfas. 59143686 85.66 0.80 7.59 6.56
Tfas_CAM_C_1700_toTfas. 68825616 83.85 0.78 7.69 8.27
Tfas_CAM_C_2100_toTfas. 58831685 86.92 0.80 7.70 5.15
Tfas_CAM_D_0100_toTfas. 60785636 87.75 0.69 7.25 4.85
Tfas_CAM_D_0500_toTfas. 62125702 88.89 0.60 7.07 3.88
Tfas_CAM_D_0900_toTfas. 70806369 87.82 0.60 7.61 4.42
Tfas_CAM_D_1300_toTfas. 53323332 89.26 0.60 6.52 4.07
Tfas_CAM_D_1700_toTfas. 60332028 88.17 0.59 6.80 4.86
Tfas_CAM_D_2100_toTfas. 65606162 88.86 0.60 7.13 3.88
Tfas_CAM_E_0100_toTfas. 55763568 67.51 0.60 5.42 26.95
Tfas_CAM_E_0500_toTfas. 62596058 74.51 0.59 6.02 19.30
Tfas_CAM_E_0900_toTfas. 52682706 74.72 0.59 6.11 19.00
Tfas_CAM_E_1300_toTfas. 68702440 87.86 0.60 6.68 5.23
Tfas_CAM_E_1700_toTfas. 64880538 75.76 0.60 5.93 18.12
Tfas_CAM_E_2100_toTfas. 52315107 75.96 0.65 6.21 17.63
Tfas_CAM_F_0100_toTfas. 63416492 88.77 0.35 6.64 4.46
Tfas_CAM_F_0500_toTfas. 60351779 87.46 0.37 7.27 5.12
Tfas_CAM_F_0900_toTfas. 72283787 86.63 0.39 6.36 6.87
Tfas_CAM_F_1300_toTfas. 69245218 90.03 0.37 6.24 3.61
Tfas_CAM_F_1700_toTfas. 74599265 87.08 0.40 7.20 5.55
Tfas_CAM_F_2100_toTfas. 64168109 83.22 0.37 6.19 10.48
Tlei_C3_A_0100_toTfas. 65611424 85.67 1.19 8.30 5.92
Tlei_C3_A_0500_toTfas. 59481661 85.36 1.23 8.09 6.38
Tlei_C3_A_0900_toTfas. 127232179 85.10 1.21 8.31 6.44
Tlei_C3_A_1300_toTfas. 64209306 84.67 1.24 7.98 7.22
Tlei_C3_A_1700_toTfas. 129180381 85.91 1.20 8.15 5.82
Tlei_C3_A_2100_toTfas. 72603902 85.20 1.24 8.23 6.43
Tlei_C3_C_0100_toTfas. 62386907 84.18 1.20 8.10 7.57
Tlei_C3_C_0500_toTfas. 51222743 84.57 1.24 8.17 7.11
Tlei_C3_C_0900_toTfas. 77184738 84.90 1.21 8.23 6.72
Tlei_C3_C_1300_toTfas. 67855600 83.84 1.24 8.06 7.94
Tlei_C3_C_1700_toTfas. 59434065 84.61 1.23 8.08 7.15
Tlei_C3_C_2100_toTfas. 49469111 85.10 1.19 8.18 6.57
Tlei_C3_D_0100_toTfas. 71751776 85.39 1.23 8.15 6.32
Tlei_C3_D_0500_toTfas. 68161354 83.87 1.28 8.49 7.44
Tlei_C3_D_0900_toTfas. 75202910 84.36 1.24 8.23 7.20
Tlei_C3_D_1300_toTfas. 54678847 84.42 1.24 7.97 7.40
Tlei_C3_D_1700_toTfas. 66159101 85.42 1.22 7.97 6.39
Tlei_C3_D_2100_toTfas. 69248316 84.95 1.26 8.11 6.71
Tlei_C3_E_0100_toTfas. 62507446 85.98 1.22 7.83 6.08
Tlei_C3_E_0500_toTfas. 56625390 85.03 1.24 8.19 6.64
Tlei_C3_E_0900_toTfas. 64640463 85.31 1.24 7.97 6.55
Tlei_C3_E_1300_toTfas. 74947428 84.92 1.24 8.01 6.90
Tlei_C3_E_1700_toTfas. 68503290 85.32 1.23 7.99 6.53
Tlei_C3_E_2100_toTfas. 83527837 85.72 1.23 8.14 6.00
Tlei_C3_F_0100_toTfas. 67723923 85.63 1.23 8.15 6.08
Tlei_C3_F_0500_toTfas. 58573056 85.34 1.22 8.17 6.32
Tlei_C3_F_0900_toTfas. 61895733 85.12 1.23 8.07 6.63
Tlei_C3_F_1300_toTfas. 56295843 84.63 1.27 7.93 7.28
Tlei_C3_F_1700_toTfas. 68481229 85.81 1.23 7.71 6.33
Tlei_C3_F_2100_toTfas. 68048265 85.47 1.22 8.16 6.21
Tlei_C3_G_0100_toTfas. 73417910 86.41 1.22 7.84 5.63
Tlei_C3_G_0500_toTfas. 70928010 85.70 1.22 8.48 5.71
Tlei_C3_G_0900_toTfas. 60120105 85.72 1.24 7.99 6.16
Tlei_C3_G_1300_toTfas. 77947601 85.53 1.24 7.74 6.56
Tlei_C3_G_1700_toTfas. 64476359 85.74 1.24 7.73 6.39
Tlei_C3_G_2100_toTfas. 78463456 86.10 1.22 7.82 5.96
