Name total uniq mismatch multi unmapped_short
Tfas_CAM_A_0100_toAco 8367650 41.50 3.37 4.01 54.48
Tfas_CAM_A_0100_toTfas 8367650 88.86 0.71 7.09 3.91
Tfas_CAM_A_0100_toTlei 8367650 90.30 1.07 4.83 4.74
Tfas_CAM_A_0500_toAco 7649906 41.74 3.36 4.09 54.16
Tfas_CAM_A_0500_toTfas 7649906 89.57 0.62 7.07 3.17
Tfas_CAM_A_0500_toTlei 7649906 89.36 1.25 5.15 5.33
Tfas_CAM_A_1300_toAco 9040168 40.64 3.36 3.94 55.40
Tfas_CAM_A_1300_toTfas 9040168 89.32 0.61 7.31 3.17
Tfas_CAM_A_1300_toTlei 9040168 89.08 1.23 5.41 5.35
Tfas_CAM_A_1700_toAco 9068795 40.36 3.38 3.76 55.87
Tfas_CAM_A_1700_toTfas 9068795 89.48 0.60 7.42 2.89
Tfas_CAM_A_1700_toTlei 9068795 89.11 1.27 5.44 5.26
Tfas_CAM_C_0100_toAco 7775857 41.06 3.36 4.04 54.89
Tfas_CAM_C_0100_toTfas 7775857 86.99 0.79 7.61 5.22
Tfas_CAM_C_0100_toTlei 7775857 87.55 1.22 5.33 6.96
Tfas_CAM_C_0500_toAco 7424678 39.30 3.38 3.99 56.69
Tfas_CAM_C_0500_toTfas 7424678 85.50 0.81 7.78 6.52
Tfas_CAM_C_0500_toTlei 7424678 85.96 1.25 5.49 8.38
Tfas_CAM_C_1300_toAco 6905800 38.66 3.37 3.92 57.41
Tfas_CAM_C_1300_toTfas 6905800 85.66 0.80 7.59 6.55
Tfas_CAM_C_1300_toTlei 6905800 85.62 1.27 5.64 8.60
Tfas_CAM_C_1700_toAco 8209046 39.67 3.36 4.04 56.27
Tfas_CAM_C_1700_toTfas 8209046 83.85 0.78 7.68 8.28
Tfas_CAM_C_1700_toTlei 8209046 84.51 1.23 5.33 10.00
Tfas_CAM_F_0100_toAco 7144411 38.58 3.35 3.92 57.49
Tfas_CAM_F_0100_toTfas 7144411 88.79 0.35 6.63 4.45
Tfas_CAM_F_0100_toTlei 7144411 86.96 1.27 5.66 7.21
Tfas_CAM_F_0500_toAco 6901932 39.48 3.35 4.14 56.36
Tfas_CAM_F_0500_toTfas 6901932 87.46 0.37 7.27 5.12
Tfas_CAM_F_0500_toTlei 6901932 85.79 1.24 6.03 8.01
Tfas_CAM_F_1300_toAco 7692202 40.02 3.39 3.98 55.99
Tfas_CAM_F_1300_toTfas 7692202 90.04 0.37 6.24 3.60
Tfas_CAM_F_1300_toTlei 7692202 88.11 1.27 5.32 6.44
Tfas_CAM_F_1700_toAco 8567124 37.83 3.33 3.96 58.19
Tfas_CAM_F_1700_toTfas 8567124 87.08 0.40 7.21 5.55
Tfas_CAM_F_1700_toTlei 8567124 85.45 1.27 6.11 8.22
Tlei_C3_A_0100_toAco 7659621 41.81 3.35 4.10 54.08
Tlei_C3_A_0100_toTfas 7659621 85.66 1.19 8.30 5.92
Tlei_C3_A_0100_toTlei 7659621 93.30 0.60 4.20 2.31
Tlei_C3_A_0500_toAco 6969823 40.22 3.38 4.03 55.74
Tlei_C3_A_0500_toTfas 6969823 85.36 1.23 8.09 6.38
Tlei_C3_A_0500_toTlei 6969823 93.30 0.63 4.09 2.37
Tlei_C3_A_1300_toAco 7584973 39.15 3.41 4.02 56.82
Tlei_C3_A_1300_toTfas 7584973 84.67 1.24 7.97 7.23
Tlei_C3_A_1300_toTlei 7584973 92.83 0.62 4.13 2.82
Tlei_C3_A_1700_toAco 7521697 41.81 3.38 4.12 54.06
Tlei_C3_A_1700_toTfas 7521697 85.92 1.20 8.12 5.84
Tlei_C3_A_1700_toTlei 7521697 93.35 0.61 4.25 2.23
Tlei_C3_C_0100_toAco 7412112 40.49 3.35 3.76 55.75
Tlei_C3_C_0100_toTfas 7412112 84.17 1.20 8.11 7.57
Tlei_C3_C_0100_toTlei 7412112 90.68 0.81 4.72 4.35
Tlei_C3_C_0500_toAco 6056089 38.50 3.38 3.70 57.79
Tlei_C3_C_0500_toTfas 6056089 84.56 1.24 8.16 7.12
Tlei_C3_C_0500_toTlei 6056089 91.01 0.84 4.73 4.03
Tlei_C3_C_1300_toAco 8094206 39.27 3.39 3.78 56.93
Tlei_C3_C_1300_toTfas 8094206 83.84 1.24 8.06 7.93
Tlei_C3_C_1300_toTlei 8094206 90.30 0.85 5.03 4.42
Tlei_C3_C_1700_toAco 7025234 40.20 3.40 3.93 55.85
Tlei_C3_C_1700_toTfas 7025234 84.59 1.23 8.09 7.16
Tlei_C3_C_1700_toTlei 7025234 91.07 0.83 4.81 3.87
Tlei_C3_D_0100_toAco 8403870 40.05 3.35 3.87 56.07
Tlei_C3_D_0100_toTfas 8403870 85.38 1.23 8.15 6.33
Tlei_C3_D_0100_toTlei 8403870 95.35 0.24 3.06 1.43
Tlei_C3_D_0500_toAco 8127676 36.35 3.40 4.14 59.49
Tlei_C3_D_0500_toTfas 8127676 83.88 1.28 8.49 7.44
Tlei_C3_D_0500_toTlei 8127676 94.50 0.26 3.39 1.93
Tlei_C3_D_1300_toAco 6477678 39.14 3.39 3.78 57.05
Tlei_C3_D_1300_toTfas 6477678 84.41 1.24 7.97 7.41
Tlei_C3_D_1300_toTlei 6477678 94.41 0.26 3.36 2.02
Tlei_C3_D_1700_toAco 7745824 40.99 3.38 4.11 54.88
Tlei_C3_D_1700_toTfas 7745824 85.42 1.22 7.98 6.38
Tlei_C3_D_1700_toTlei 7745824 95.05 0.28 3.10 1.64
