Name total uniq mismatch multi unmapped_short
Tfas_CAM_A_0100_toTfas 8367650 87.24 0.70 6.64 6.03
Tfas_CAM_A_0100_toTlei 8367650 88.74 1.06 4.56 6.60
Tfas_CAM_A_0500_toTfas 7649906 87.69 0.61 6.56 5.65
Tfas_CAM_A_0500_toTlei 7649906 87.83 1.23 4.86 7.18
Tfas_CAM_A_1300_toTfas 9040168 87.40 0.61 6.73 5.76
Tfas_CAM_A_1300_toTlei 9040168 87.47 1.21 5.08 7.32
Tfas_CAM_A_1700_toTfas 9068795 87.42 0.60 6.89 5.58
Tfas_CAM_A_1700_toTlei 9068795 87.45 1.26 5.11 7.28
Tfas_CAM_C_0100_toTfas 7775857 85.14 0.78 7.02 7.72
Tfas_CAM_C_0100_toTlei 7775857 85.94 1.20 4.98 8.94
Tfas_CAM_C_0500_toTfas 7424678 83.56 0.79 7.11 9.21
Tfas_CAM_C_0500_toTlei 7424678 84.19 1.23 5.05 10.62
Tfas_CAM_C_1300_toTfas 6905800 83.90 0.79 6.98 8.98
Tfas_CAM_C_1300_toTlei 6905800 84.02 1.25 5.26 10.60
Tfas_CAM_C_1700_toTfas 8209046 82.18 0.77 7.11 10.59
Tfas_CAM_C_1700_toTlei 8209046 83.02 1.21 4.98 11.87
Tfas_CAM_F_0100_toTfas 7144411 86.86 0.35 6.10 6.97
Tfas_CAM_F_0100_toTlei 7144411 85.61 1.25 5.40 8.85
Tfas_CAM_F_0500_toTfas 6901932 85.27 0.37 6.59 8.06
Tfas_CAM_F_0500_toTlei 6901932 84.24 1.22 5.67 9.95
Tfas_CAM_F_1300_toTfas 7692202 88.09 0.37 5.82 6.03
Tfas_CAM_F_1300_toTlei 7692202 86.74 1.26 5.05 8.12
Tfas_CAM_F_1700_toTfas 8567124 84.84 0.40 6.42 8.63
Tfas_CAM_F_1700_toTlei 8567124 83.90 1.26 5.81 10.09
Tlei_C3_A_0100_toTfas 7659621 84.16 1.18 7.79 7.97
Tlei_C3_A_0100_toTlei 7659621 91.30 0.59 3.83 4.78
Tlei_C3_A_0500_toTfas 6969823 83.77 1.22 7.54 8.56
Tlei_C3_A_0500_toTlei 6969823 91.17 0.62 3.65 5.05
Tlei_C3_A_1300_toTfas 7584973 82.93 1.22 7.45 9.52
Tlei_C3_A_1300_toTlei 7584973 90.37 0.61 3.60 5.94
Tlei_C3_A_1700_toTfas 7521697 84.35 1.19 7.61 7.96
Tlei_C3_A_1700_toTlei 7521697 91.35 0.60 3.88 4.70
Tlei_C3_C_0100_toTfas 7412112 82.39 1.18 7.56 9.94
Tlei_C3_C_0100_toTlei 7412112 88.53 0.79 4.14 7.19
Tlei_C3_C_0500_toTfas 6056089 82.78 1.22 7.64 9.48
Tlei_C3_C_0500_toTlei 6056089 88.90 0.82 4.18 6.81
Tlei_C3_C_1300_toTfas 8094206 81.85 1.22 7.41 10.64
Tlei_C3_C_1300_toTlei 8094206 87.80 0.83 4.24 7.85
Tlei_C3_C_1700_toTfas 7025234 82.92 1.21 7.55 9.43
Tlei_C3_C_1700_toTlei 7025234 89.03 0.81 4.20 6.63
Tlei_C3_D_0100_toTfas 8403870 83.71 1.22 7.63 8.57
Tlei_C3_D_0100_toTlei 8403870 92.67 0.24 2.75 4.52
Tlei_C3_D_0500_toTfas 8127676 82.12 1.26 7.83 9.92
Tlei_C3_D_0500_toTlei 8127676 91.74 0.26 3.01 5.19
Tlei_C3_D_1300_toTfas 6477678 82.32 1.21 7.29 10.23
Tlei_C3_D_1300_toTlei 6477678 90.97 0.26 2.90 6.05
Tlei_C3_D_1700_toTfas 7745824 83.74 1.20 7.45 8.65
Tlei_C3_D_1700_toTlei 7745824 92.54 0.28 2.77 4.59
