"chrom" "V2" "V3" "counts"
"1" "Scaffold_2199" "1" "1e+06" "122"
"2" "Scaffold_2199" "1000001" "2e+06" "96"
"3" "Scaffold_2199" "2000001" "3e+06" "98"
"4" "Scaffold_2199" "3000001" "4e+06" "52"
"5" "Scaffold_2199" "4000001" "5e+06" "74"
"6" "Scaffold_2199" "5000001" "6e+06" "59"
"7" "Scaffold_2199" "6000001" "7e+06" "29"
"8" "Scaffold_2199" "7000001" "8e+06" "39"
"9" "Scaffold_2199" "8000001" "9e+06" "9"
"10" "Scaffold_2199" "9000001" "1e+07" "14"
"11" "Scaffold_2199" "10000001" "1.1e+07" "6"
"12" "Scaffold_2199" "11000001" "1.2e+07" "8"
"13" "Scaffold_2199" "12000001" "1.3e+07" "10"
"14" "Scaffold_2199" "13000001" "1.4e+07" "8"
"15" "Scaffold_2199" "14000001" "1.5e+07" "8"
"16" "Scaffold_2199" "15000001" "1.6e+07" "6"
"17" "Scaffold_2199" "16000001" "1.7e+07" "6"
"18" "Scaffold_2199" "17000001" "1.8e+07" "9"
"19" "Scaffold_2199" "18000001" "1.9e+07" "9"
"20" "Scaffold_2199" "19000001" "2e+07" "14"
"21" "Scaffold_2199" "20000001" "2.1e+07" "15"
"22" "Scaffold_2199" "21000001" "2.2e+07" "12"
"23" "Scaffold_2199" "22000001" "2.3e+07" "10"
"24" "Scaffold_2199" "23000001" "2.4e+07" "10"
"25" "Scaffold_2199" "24000001" "2.5e+07" "12"
"26" "Scaffold_2199" "25000001" "2.6e+07" "31"
"27" "Scaffold_2199" "26000001" "2.7e+07" "17"
"28" "Scaffold_2199" "27000001" "2.8e+07" "46"
"29" "Scaffold_2199" "28000001" "2.9e+07" "73"
"30" "Scaffold_2199" "29000001" "3e+07" "114"
"31" "Scaffold_2199" "30000001" "3.1e+07" "118"
"32" "Scaffold_2199" "31000001" "3.2e+07" "122"
"33" "Scaffold_2199" "32000001" "3.3e+07" "14"
"34" "Scaffold_658" "1" "1e+06" "75"
"35" "Scaffold_658" "1000001" "2e+06" "78"
"36" "Scaffold_658" "2000001" "3e+06" "84"
"37" "Scaffold_658" "3000001" "4e+06" "91"
"38" "Scaffold_658" "4000001" "5e+06" "107"
"39" "Scaffold_658" "5000001" "6e+06" "106"
"40" "Scaffold_658" "6000001" "7e+06" "68"
"41" "Scaffold_658" "7000001" "8e+06" "47"
"42" "Scaffold_658" "8000001" "9e+06" "48"
"43" "Scaffold_658" "9000001" "1e+07" "25"
"44" "Scaffold_658" "10000001" "1.1e+07" "22"
"45" "Scaffold_658" "11000001" "1.2e+07" "22"
"46" "Scaffold_658" "12000001" "1.3e+07" "14"
"47" "Scaffold_658" "13000001" "1.4e+07" "20"
"48" "Scaffold_658" "14000001" "1.5e+07" "15"
"49" "Scaffold_658" "15000001" "1.6e+07" "8"
"50" "Scaffold_658" "16000001" "1.7e+07" "0"
"51" "Scaffold_658" "17000001" "1.8e+07" "8"
"52" "Scaffold_658" "18000001" "1.9e+07" "9"
"53" "Scaffold_658" "19000001" "2e+07" "9"
"54" "Scaffold_658" "20000001" "2.1e+07" "9"
"55" "Scaffold_658" "21000001" "2.2e+07" "10"
"56" "Scaffold_658" "22000001" "2.3e+07" "10"
"57" "Scaffold_658" "23000001" "2.4e+07" "9"
"58" "Scaffold_658" "24000001" "2.5e+07" "16"
"59" "Scaffold_658" "25000001" "2.6e+07" "16"
"60" "Scaffold_658" "26000001" "2.7e+07" "18"
"61" "Scaffold_658" "27000001" "2.8e+07" "31"
"62" "Scaffold_658" "28000001" "2.9e+07" "57"
"63" "Scaffold_658" "29000001" "3e+07" "66"
"64" "Scaffold_658" "30000001" "3.1e+07" "71"
"65" "Scaffold_658" "31000001" "3.2e+07" "71"
"66" "Scaffold_2318" "1" "1e+06" "79"
"67" "Scaffold_2318" "1000001" "2e+06" "109"
"68" "Scaffold_2318" "2000001" "3e+06" "107"
"69" "Scaffold_2318" "3000001" "4e+06" "36"
"70" "Scaffold_2318" "4000001" "5e+06" "30"
"71" "Scaffold_2318" "5000001" "6e+06" "23"
"72" "Scaffold_2318" "6000001" "7e+06" "8"
"73" "Scaffold_2318" "7000001" "8e+06" "14"
"74" "Scaffold_2318" "8000001" "9e+06" "19"
"75" "Scaffold_2318" "9000001" "1e+07" "7"
"76" "Scaffold_2318" "10000001" "1.1e+07" "8"
"77" "Scaffold_2318" "11000001" "1.2e+07" "11"
"78" "Scaffold_2318" "12000001" "1.3e+07" "4"
"79" "Scaffold_2318" "13000001" "1.4e+07" "2"
"80" "Scaffold_2318" "14000001" "1.5e+07" "8"
"81" "Scaffold_2318" "15000001" "1.6e+07" "8"
"82" "Scaffold_2318" "16000001" "1.7e+07" "6"
"83" "Scaffold_2318" "17000001" "1.8e+07" "3"
"84" "Scaffold_2318" "18000001" "1.9e+07" "3"
"85" "Scaffold_2318" "19000001" "2e+07" "7"
"86" "Scaffold_2318" "20000001" "2.1e+07" "6"
"87" "Scaffold_2318" "21000001" "2.2e+07" "15"
"88" "Scaffold_2318" "22000001" "2.3e+07" "18"
"89" "Scaffold_2318" "23000001" "2.4e+07" "16"
"90" "Scaffold_2318" "24000001" "2.5e+07" "21"
"91" "Scaffold_2318" "25000001" "2.6e+07" "36"
"92" "Scaffold_2318" "26000001" "2.7e+07" "87"
"93" "Scaffold_2318" "27000001" "2.8e+07" "85"
"94" "Scaffold_2318" "28000001" "2.9e+07" "116"
"95" "Scaffold_2318" "29000001" "3e+07" "122"
"96" "Scaffold_2318" "30000001" "3.1e+07" "72"
"97" "Scaffold_2318" "31000001" "3.2e+07" "10"
"98" "Scaffold_2041" "1" "1e+06" "113"
"99" "Scaffold_2041" "1000001" "2e+06" "78"
"100" "Scaffold_2041" "2000001" "3e+06" "28"
"101" "Scaffold_2041" "3000001" "4e+06" "23"
"102" "Scaffold_2041" "4000001" "5e+06" "22"
"103" "Scaffold_2041" "5000001" "6e+06" "23"
"104" "Scaffold_2041" "6000001" "7e+06" "10"
"105" "Scaffold_2041" "7000001" "8e+06" "14"
"106" "Scaffold_2041" "8000001" "9e+06" "13"
"107" "Scaffold_2041" "9000001" "1e+07" "13"
"108" "Scaffold_2041" "10000001" "1.1e+07" "8"
"109" "Scaffold_2041" "11000001" "1.2e+07" "13"
"110" "Scaffold_2041" "12000001" "1.3e+07" "10"
"111" "Scaffold_2041" "13000001" "1.4e+07" "12"
"112" "Scaffold_2041" "14000001" "1.5e+07" "6"
