"chrom" "V2" "V3" "counts"
"1" "Scaffold_2199" "1" "1e+06" 136
"2" "Scaffold_2199" "1000001" "2e+06" 101
"3" "Scaffold_2199" "2000001" "3e+06" 103
"4" "Scaffold_2199" "3000001" "4e+06" 60
"5" "Scaffold_2199" "4000001" "5e+06" 90
"6" "Scaffold_2199" "5000001" "6e+06" 70
"7" "Scaffold_2199" "6000001" "7e+06" 41
"8" "Scaffold_2199" "7000001" "8e+06" 48
"9" "Scaffold_2199" "8000001" "9e+06" 20
"10" "Scaffold_2199" "9000001" "1e+07" 23
"11" "Scaffold_2199" "10000001" "1.1e+07" 11
"12" "Scaffold_2199" "11000001" "1.2e+07" 20
"13" "Scaffold_2199" "12000001" "1.3e+07" 17
"14" "Scaffold_2199" "13000001" "1.4e+07" 12
"15" "Scaffold_2199" "14000001" "1.5e+07" 22
"16" "Scaffold_2199" "15000001" "1.6e+07" 17
"17" "Scaffold_2199" "16000001" "1.7e+07" 6
"18" "Scaffold_2199" "17000001" "1.8e+07" 26
"19" "Scaffold_2199" "18000001" "1.9e+07" 15
"20" "Scaffold_2199" "19000001" "2e+07" 23
"21" "Scaffold_2199" "20000001" "2.1e+07" 18
"22" "Scaffold_2199" "21000001" "2.2e+07" 23
"23" "Scaffold_2199" "22000001" "2.3e+07" 20
"24" "Scaffold_2199" "23000001" "2.4e+07" 17
"25" "Scaffold_2199" "24000001" "2.5e+07" 21
"26" "Scaffold_2199" "25000001" "2.6e+07" 45
"27" "Scaffold_2199" "26000001" "2.7e+07" 24
"28" "Scaffold_2199" "27000001" "2.8e+07" 57
"29" "Scaffold_2199" "28000001" "2.9e+07" 78
"30" "Scaffold_2199" "29000001" "3e+07" 124
"31" "Scaffold_2199" "30000001" "3.1e+07" 123
"32" "Scaffold_2199" "31000001" "3.2e+07" 125
"33" "Scaffold_2199" "32000001" "3.3e+07" 20
"34" "Scaffold_658" "1" "1e+06" 86
"35" "Scaffold_658" "1000001" "2e+06" 91
"36" "Scaffold_658" "2000001" "3e+06" 94
"37" "Scaffold_658" "3000001" "4e+06" 101
"38" "Scaffold_658" "4000001" "5e+06" 123
"39" "Scaffold_658" "5000001" "6e+06" 115
"40" "Scaffold_658" "6000001" "7e+06" 72
"41" "Scaffold_658" "7000001" "8e+06" 55
"42" "Scaffold_658" "8000001" "9e+06" 60
"43" "Scaffold_658" "9000001" "1e+07" 35
"44" "Scaffold_658" "10000001" "1.1e+07" 42
"45" "Scaffold_658" "11000001" "1.2e+07" 26
"46" "Scaffold_658" "12000001" "1.3e+07" 18
"47" "Scaffold_658" "13000001" "1.4e+07" 29
"48" "Scaffold_658" "14000001" "1.5e+07" 18
"49" "Scaffold_658" "15000001" "1.6e+07" 17
"50" "Scaffold_658" "16000001" "1.7e+07" 14
"51" "Scaffold_658" "17000001" "1.8e+07" 11
"52" "Scaffold_658" "18000001" "1.9e+07" 19
"53" "Scaffold_658" "19000001" "2e+07" 24
"54" "Scaffold_658" "20000001" "2.1e+07" 14
"55" "Scaffold_658" "21000001" "2.2e+07" 18
"56" "Scaffold_658" "22000001" "2.3e+07" 23
"57" "Scaffold_658" "23000001" "2.4e+07" 15
"58" "Scaffold_658" "24000001" "2.5e+07" 30
"59" "Scaffold_658" "25000001" "2.6e+07" 26
"60" "Scaffold_658" "26000001" "2.7e+07" 25
"61" "Scaffold_658" "27000001" "2.8e+07" 38
"62" "Scaffold_658" "28000001" "2.9e+07" 62
"63" "Scaffold_658" "29000001" "3e+07" 79
"64" "Scaffold_658" "30000001" "3.1e+07" 81
"65" "Scaffold_658" "31000001" "3.2e+07" 74
"66" "Scaffold_2318" "1" "1e+06" 91
"67" "Scaffold_2318" "1000001" "2e+06" 118
"68" "Scaffold_2318" "2000001" "3e+06" 118
"69" "Scaffold_2318" "3000001" "4e+06" 48
"70" "Scaffold_2318" "4000001" "5e+06" 39
"71" "Scaffold_2318" "5000001" "6e+06" 29
"72" "Scaffold_2318" "6000001" "7e+06" 17
"73" "Scaffold_2318" "7000001" "8e+06" 24
"74" "Scaffold_2318" "8000001" "9e+06" 30
"75" "Scaffold_2318" "9000001" "1e+07" 16
"76" "Scaffold_2318" "10000001" "1.1e+07" 14
"77" "Scaffold_2318" "11000001" "1.2e+07" 21
"78" "Scaffold_2318" "12000001" "1.3e+07" 12
"79" "Scaffold_2318" "13000001" "1.4e+07" 9
"80" "Scaffold_2318" "14000001" "1.5e+07" 19
"81" "Scaffold_2318" "15000001" "1.6e+07" 14
"82" "Scaffold_2318" "16000001" "1.7e+07" 15
"83" "Scaffold_2318" "17000001" "1.8e+07" 17
"84" "Scaffold_2318" "18000001" "1.9e+07" 12
"85" "Scaffold_2318" "19000001" "2e+07" 18
"86" "Scaffold_2318" "20000001" "2.1e+07" 16
"87" "Scaffold_2318" "21000001" "2.2e+07" 30
"88" "Scaffold_2318" "22000001" "2.3e+07" 28
"89" "Scaffold_2318" "23000001" "2.4e+07" 27
"90" "Scaffold_2318" "24000001" "2.5e+07" 32
"91" "Scaffold_2318" "25000001" "2.6e+07" 50
"92" "Scaffold_2318" "26000001" "2.7e+07" 104
"93" "Scaffold_2318" "27000001" "2.8e+07" 91
"94" "Scaffold_2318" "28000001" "2.9e+07" 119
"95" "Scaffold_2318" "29000001" "3e+07" 124
"96" "Scaffold_2318" "30000001" "3.1e+07" 79
"97" "Scaffold_2318" "31000001" "3.2e+07" 15
"98" "Scaffold_2041" "1" "1e+06" 119
"99" "Scaffold_2041" "1000001" "2e+06" 84
"100" "Scaffold_2041" "2000001" "3e+06" 39
"101" "Scaffold_2041" "3000001" "4e+06" 32
"102" "Scaffold_2041" "4000001" "5e+06" 30
"103" "Scaffold_2041" "5000001" "6e+06" 31
"104" "Scaffold_2041" "6000001" "7e+06" 18
"105" "Scaffold_2041" "7000001" "8e+06" 20
"106" "Scaffold_2041" "8000001" "9e+06" 16
"107" "Scaffold_2041" "9000001" "1e+07" 20
"108" "Scaffold_2041" "10000001" "1.1e+07" 14
"109" "Scaffold_2041" "11000001" "1.2e+07" 18
"110" "Scaffold_2041" "12000001" "1.3e+07" 18
"111" "Scaffold_2041" "13000001" "1.4e+07" 15
"112" "Scaffold_2041" "14000001" "1.5e+07" 20
"113" "Scaffold_2041" "15000001" "1.6e+07" 17
"114" "Scaffold_2041" "16000001" "1.7e+07" 17
"115" "Scaffold_2041" "17000001" "1.8e+07" 13
"116" "Scaffold_2041" "18000001" "1.9e+07" 18
"117" "Scaffold_2041" "19000001" "2e+07" 29
"118" "Scaffold_2041" "20000001" "2.1e+07" 38
"119" "Scaffold_2041" "21000001" "2.2e+07" 27
"120" "Scaffold_2041" "22000001" "2.3e+07" 61
"121" "Scaffold_2041" "23000001" "2.4e+07" 68
"122" "Scaffold_2041" "24000001" "2.5e+07" 86
"123" "Scaffold_2041" "25000001" "2.6e+07" 87
"124" "Scaffold_2041" "26000001" "2.7e+07" 108
"125" "Scaffold_2041" "27000001" "2.8e+07" 117
"126" "Scaffold_2041" "28000001" "2.9e+07" 111
"127" "Scaffold_2041" "29000001" "3e+07" 96
"128" "Scaffold_2041" "30000001" "3.1e+07" 87
"129" "Scaffold_2096" "1" "1e+06" 109
"130" "Scaffold_2096" "1000001" "2e+06" 109
"131" "Scaffold_2096" "2000001" "3e+06" 121
"132" "Scaffold_2096" "3000001" "4e+06" 79
"133" "Scaffold_2096" "4000001" "5e+06" 76
"134" "Scaffold_2096" "5000001" "6e+06" 39
"135" "Scaffold_2096" "6000001" "7e+06" 24
"136" "Scaffold_2096" "7000001" "8e+06" 26
"137" "Scaffold_2096" "8000001" "9e+06" 32
"138" "Scaffold_2096" "9000001" "1e+07" 16
"139" "Scaffold_2096" "10000001" "1.1e+07" 21
"140" "Scaffold_2096" "11000001" "1.2e+07" 10
"141" "Scaffold_2096" "12000001" "1.3e+07" 11
"142" "Scaffold_2096" "13000001" "1.4e+07" 15
"143" "Scaffold_2096" "14000001" "1.5e+07" 20
"144" "Scaffold_2096" "15000001" "1.6e+07" 20
"145" "Scaffold_2096" "16000001" "1.7e+07" 20
"146" "Scaffold_2096" "17000001" "1.8e+07" 15
"147" "Scaffold_2096" "18000001" "1.9e+07" 24
"148" "Scaffold_2096" "19000001" "2e+07" 14
"149" "Scaffold_2096" "20000001" "2.1e+07" 12
"150" "Scaffold_2096" "21000001" "2.2e+07" 26
"151" "Scaffold_2096" "22000001" "2.3e+07" 26
"152" "Scaffold_2096" "23000001" "2.4e+07" 27
"153" "Scaffold_2096" "24000001" "2.5e+07" 26
"154" "Scaffold_2096" "25000001" "2.6e+07" 43
"155" "Scaffold_2096" "26000001" "2.7e+07" 44
"156" "Scaffold_2096" "27000001" "2.8e+07" 79
"157" "Scaffold_2096" "28000001" "2.9e+07" 120
"158" "Scaffold_2096" "29000001" "3e+07" 143
"159" "Scaffold_2096" "30000001" "3.1e+07" 14
"160" "Scaffold_2315" "1" "1e+06" 91
"161" "Scaffold_2315" "1000001" "2e+06" 91
"162" "Scaffold_2315" "2000001" "3e+06" 48
"163" "Scaffold_2315" "3000001" "4e+06" 26
"164" "Scaffold_2315" "4000001" "5e+06" 29
"165" "Scaffold_2315" "5000001" "6e+06" 13
"166" "Scaffold_2315" "6000001" "7e+06" 15
"167" "Scaffold_2315" "7000001" "8e+06" 23
"168" "Scaffold_2315" "8000001" "9e+06" 48
"169" "Scaffold_2315" "9000001" "1e+07" 18
"170" "Scaffold_2315" "10000001" "1.1e+07" 14
"171" "Scaffold_2315" "11000001" "1.2e+07" 25
"172" "Scaffold_2315" "12000001" "1.3e+07" 22
"173" "Scaffold_2315" "13000001" "1.4e+07" 21
"174" "Scaffold_2315" "14000001" "1.5e+07" 21
"175" "Scaffold_2315" "15000001" "1.6e+07" 19
"176" "Scaffold_2315" "16000001" "1.7e+07" 22
"177" "Scaffold_2315" "17000001" "1.8e+07" 14
"178" "Scaffold_2315" "18000001" "1.9e+07" 14
"179" "Scaffold_2315" "19000001" "2e+07" 16
"180" "Scaffold_2315" "20000001" "2.1e+07" 34
"181" "Scaffold_2315" "21000001" "2.2e+07" 15
"182" "Scaffold_2315" "22000001" "2.3e+07" 14
"183" "Scaffold_2315" "23000001" "2.4e+07" 52
"184" "Scaffold_2315" "24000001" "2.5e+07" 64
"185" "Scaffold_2315" "25000001" "2.6e+07" 93
"186" "Scaffold_2315" "26000001" "2.7e+07" 117
"187" "Scaffold_2315" "27000001" "2.8e+07" 125
"188" "Scaffold_2315" "28000001" "2.9e+07" 140
"189" "Scaffold_2315" "29000001" "3e+07" 52
"190" "Scaffold_2317" "1" "1e+06" 146
"191" "Scaffold_2317" "1000001" "2e+06" 125
"192" "Scaffold_2317" "2000001" "3e+06" 98
"193" "Scaffold_2317" "3000001" "4e+06" 80
"194" "Scaffold_2317" "4000001" "5e+06" 68
"195" "Scaffold_2317" "5000001" "6e+06" 36
"196" "Scaffold_2317" "6000001" "7e+06" 16
"197" "Scaffold_2317" "7000001" "8e+06" 46
"198" "Scaffold_2317" "8000001" "9e+06" 18
"199" "Scaffold_2317" "9000001" "1e+07" 34
"200" "Scaffold_2317" "10000001" "1.1e+07" 29
"201" "Scaffold_2317" "11000001" "1.2e+07" 36
"202" "Scaffold_2317" "12000001" "1.3e+07" 28
"203" "Scaffold_2317" "13000001" "1.4e+07" 29
"204" "Scaffold_2317" "14000001" "1.5e+07" 22
"205" "Scaffold_2317" "15000001" "1.6e+07" 25
"206" "Scaffold_2317" "16000001" "1.7e+07" 33
"207" "Scaffold_2317" "17000001" "1.8e+07" 43
"208" "Scaffold_2317" "18000001" "1.9e+07" 30
"209" "Scaffold_2317" "19000001" "2e+07" 31
"210" "Scaffold_2317" "20000001" "2.1e+07" 45
"211" "Scaffold_2317" "21000001" "2.2e+07" 28
"212" "Scaffold_2317" "22000001" "2.3e+07" 80
"213" "Scaffold_2317" "23000001" "2.4e+07" 68
"214" "Scaffold_2317" "24000001" "2.5e+07" 44
"215" "Scaffold_2317" "25000001" "2.6e+07" 47
"216" "Scaffold_2317" "26000001" "2.7e+07" 61
"217" "Scaffold_2317" "27000001" "2.8e+07" 7
"218" "Scaffold_2287" "1" "1e+06" 120
"219" "Scaffold_2287" "1000001" "2e+06" 115
"220" "Scaffold_2287" "2000001" "3e+06" 86
"221" "Scaffold_2287" "3000001" "4e+06" 69
"222" "Scaffold_2287" "4000001" "5e+06" 53
"223" "Scaffold_2287" "5000001" "6e+06" 52
"224" "Scaffold_2287" "6000001" "7e+06" 32
"225" "Scaffold_2287" "7000001" "8e+06" 34
"226" "Scaffold_2287" "8000001" "9e+06" 13
"227" "Scaffold_2287" "9000001" "1e+07" 26
"228" "Scaffold_2287" "10000001" "1.1e+07" 37
"229" "Scaffold_2287" "11000001" "1.2e+07" 24
"230" "Scaffold_2287" "12000001" "1.3e+07" 25
"231" "Scaffold_2287" "13000001" "1.4e+07" 22
"232" "Scaffold_2287" "14000001" "1.5e+07" 21
"233" "Scaffold_2287" "15000001" "1.6e+07" 16
"234" "Scaffold_2287" "16000001" "1.7e+07" 17
"235" "Scaffold_2287" "17000001" "1.8e+07" 14
"236" "Scaffold_2287" "18000001" "1.9e+07" 6
"237" "Scaffold_2287" "19000001" "2e+07" 20
"238" "Scaffold_2287" "20000001" "2.1e+07" 13
"239" "Scaffold_2287" "21000001" "2.2e+07" 39
"240" "Scaffold_2287" "22000001" "2.3e+07" 51
"241" "Scaffold_2287" "23000001" "2.4e+07" 69
"242" "Scaffold_2287" "24000001" "2.5e+07" 82
"243" "Scaffold_2287" "25000001" "2.6e+07" 100
"244" "Scaffold_2287" "26000001" "2.7e+07" 120
"245" "Scaffold_2287" "27000001" "2.8e+07" 21
"246" "Scaffold_326" "1" "1e+06" 137
"247" "Scaffold_326" "1000001" "2e+06" 105
"248" "Scaffold_326" "2000001" "3e+06" 86
"249" "Scaffold_326" "3000001" "4e+06" 39
"250" "Scaffold_326" "4000001" "5e+06" 44
"251" "Scaffold_326" "5000001" "6e+06" 29
"252" "Scaffold_326" "6000001" "7e+06" 25
"253" "Scaffold_326" "7000001" "8e+06" 22
"254" "Scaffold_326" "8000001" "9e+06" 17
"255" "Scaffold_326" "9000001" "1e+07" 17
"256" "Scaffold_326" "10000001" "1.1e+07" 20
"257" "Scaffold_326" "11000001" "1.2e+07" 10
"258" "Scaffold_326" "12000001" "1.3e+07" 17
"259" "Scaffold_326" "13000001" "1.4e+07" 11
"260" "Scaffold_326" "14000001" "1.5e+07" 9
"261" "Scaffold_326" "15000001" "1.6e+07" 15
"262" "Scaffold_326" "16000001" "1.7e+07" 13
"263" "Scaffold_326" "17000001" "1.8e+07" 23
"264" "Scaffold_326" "18000001" "1.9e+07" 19
"265" "Scaffold_326" "19000001" "2e+07" 16
"266" "Scaffold_326" "20000001" "2.1e+07" 15
"267" "Scaffold_326" "21000001" "2.2e+07" 34
"268" "Scaffold_326" "22000001" "2.3e+07" 32
"269" "Scaffold_326" "23000001" "2.4e+07" 33
"270" "Scaffold_326" "24000001" "2.5e+07" 39
"271" "Scaffold_326" "25000001" "2.6e+07" 85
"272" "Scaffold_326" "26000001" "2.7e+07" 48
"273" "Scaffold_1174" "1" "1e+06" 87
"274" "Scaffold_1174" "1000001" "2e+06" 77
"275" "Scaffold_1174" "2000001" "3e+06" 41
"276" "Scaffold_1174" "3000001" "4e+06" 28
"277" "Scaffold_1174" "4000001" "5e+06" 34
"278" "Scaffold_1174" "5000001" "6e+06" 13
"279" "Scaffold_1174" "6000001" "7e+06" 16
"280" "Scaffold_1174" "7000001" "8e+06" 20
"281" "Scaffold_1174" "8000001" "9e+06" 24
"282" "Scaffold_1174" "9000001" "1e+07" 24
"283" "Scaffold_1174" "10000001" "1.1e+07" 17
"284" "Scaffold_1174" "11000001" "1.2e+07" 6
"285" "Scaffold_1174" "12000001" "1.3e+07" 13
"286" "Scaffold_1174" "13000001" "1.4e+07" 32
"287" "Scaffold_1174" "14000001" "1.5e+07" 22
"288" "Scaffold_1174" "15000001" "1.6e+07" 24
"289" "Scaffold_1174" "16000001" "1.7e+07" 28
"290" "Scaffold_1174" "17000001" "1.8e+07" 30
"291" "Scaffold_1174" "18000001" "1.9e+07" 31
"292" "Scaffold_1174" "19000001" "2e+07" 41
"293" "Scaffold_1174" "20000001" "2.1e+07" 79
"294" "Scaffold_1174" "21000001" "2.2e+07" 90
"295" "Scaffold_1174" "22000001" "2.3e+07" 93
"296" "Scaffold_1174" "23000001" "2.4e+07" 133
"297" "Scaffold_1174" "24000001" "2.5e+07" 129
"298" "Scaffold_1174" "25000001" "2.6e+07" 138
"299" "Scaffold_1174" "26000001" "2.7e+07" 3
"300" "Scaffold_2314" "1" "1e+06" 110
"301" "Scaffold_2314" "1000001" "2e+06" 115
"302" "Scaffold_2314" "2000001" "3e+06" 106
"303" "Scaffold_2314" "3000001" "4e+06" 126
"304" "Scaffold_2314" "4000001" "5e+06" 123
"305" "Scaffold_2314" "5000001" "6e+06" 79
"306" "Scaffold_2314" "6000001" "7e+06" 81
"307" "Scaffold_2314" "7000001" "8e+06" 55
"308" "Scaffold_2314" "8000001" "9e+06" 41
"309" "Scaffold_2314" "9000001" "1e+07" 42
"310" "Scaffold_2314" "10000001" "1.1e+07" 31
"311" "Scaffold_2314" "11000001" "1.2e+07" 38
"312" "Scaffold_2314" "12000001" "1.3e+07" 37
"313" "Scaffold_2314" "13000001" "1.4e+07" 12
"314" "Scaffold_2314" "14000001" "1.5e+07" 16
"315" "Scaffold_2314" "15000001" "1.6e+07" 21
"316" "Scaffold_2314" "16000001" "1.7e+07" 16
"317" "Scaffold_2314" "17000001" "1.8e+07" 18
"318" "Scaffold_2314" "18000001" "1.9e+07" 26
"319" "Scaffold_2314" "19000001" "2e+07" 35
"320" "Scaffold_2314" "20000001" "2.1e+07" 23
"321" "Scaffold_2314" "21000001" "2.2e+07" 39
"322" "Scaffold_2314" "22000001" "2.3e+07" 20
"323" "Scaffold_2314" "23000001" "2.4e+07" 57
"324" "Scaffold_2314" "24000001" "2.5e+07" 69
"325" "Scaffold_2314" "25000001" "2.6e+07" 52
"326" "Scaffold_2313" "1" "1e+06" 111
"327" "Scaffold_2313" "1000001" "2e+06" 99
"328" "Scaffold_2313" "2000001" "3e+06" 91
"329" "Scaffold_2313" "3000001" "4e+06" 74
"330" "Scaffold_2313" "4000001" "5e+06" 61
"331" "Scaffold_2313" "5000001" "6e+06" 41
"332" "Scaffold_2313" "6000001" "7e+06" 36
"333" "Scaffold_2313" "7000001" "8e+06" 25
"334" "Scaffold_2313" "8000001" "9e+06" 21
"335" "Scaffold_2313" "9000001" "1e+07" 28
"336" "Scaffold_2313" "10000001" "1.1e+07" 19
"337" "Scaffold_2313" "11000001" "1.2e+07" 19
"338" "Scaffold_2313" "12000001" "1.3e+07" 21
"339" "Scaffold_2313" "13000001" "1.4e+07" 13
"340" "Scaffold_2313" "14000001" "1.5e+07" 16
"341" "Scaffold_2313" "15000001" "1.6e+07" 23
"342" "Scaffold_2313" "16000001" "1.7e+07" 11
"343" "Scaffold_2313" "17000001" "1.8e+07" 14
"344" "Scaffold_2313" "18000001" "1.9e+07" 14
"345" "Scaffold_2313" "19000001" "2e+07" 22
"346" "Scaffold_2313" "20000001" "2.1e+07" 13
"347" "Scaffold_2313" "21000001" "2.2e+07" 38
"348" "Scaffold_2313" "22000001" "2.3e+07" 74
"349" "Scaffold_2313" "23000001" "2.4e+07" 59
"350" "Scaffold_2313" "24000001" "2.5e+07" 72
"351" "Scaffold_2313" "25000001" "2.6e+07" 29
"352" "Scaffold_2225" "1" "1e+06" 107
"353" "Scaffold_2225" "1000001" "2e+06" 103
"354" "Scaffold_2225" "2000001" "3e+06" 133
"355" "Scaffold_2225" "3000001" "4e+06" 104
"356" "Scaffold_2225" "4000001" "5e+06" 80
"357" "Scaffold_2225" "5000001" "6e+06" 60
"358" "Scaffold_2225" "6000001" "7e+06" 44
"359" "Scaffold_2225" "7000001" "8e+06" 33
"360" "Scaffold_2225" "8000001" "9e+06" 29
"361" "Scaffold_2225" "9000001" "1e+07" 26
"362" "Scaffold_2225" "10000001" "1.1e+07" 13
"363" "Scaffold_2225" "11000001" "1.2e+07" 15
"364" "Scaffold_2225" "12000001" "1.3e+07" 11
"365" "Scaffold_2225" "13000001" "1.4e+07" 21
"366" "Scaffold_2225" "14000001" "1.5e+07" 17
"367" "Scaffold_2225" "15000001" "1.6e+07" 9
"368" "Scaffold_2225" "16000001" "1.7e+07" 16
"369" "Scaffold_2225" "17000001" "1.8e+07" 23
"370" "Scaffold_2225" "18000001" "1.9e+07" 27
"371" "Scaffold_2225" "19000001" "2e+07" 35
"372" "Scaffold_2225" "20000001" "2.1e+07" 25
"373" "Scaffold_2225" "21000001" "2.2e+07" 31
"374" "Scaffold_2225" "22000001" "2.3e+07" 31
"375" "Scaffold_2225" "23000001" "2.4e+07" 65
"376" "Scaffold_2225" "24000001" "2.5e+07" 79
"377" "Scaffold_1383" "1" "1e+06" 96
"378" "Scaffold_1383" "1000001" "2e+06" 116
"379" "Scaffold_1383" "2000001" "3e+06" 110
"380" "Scaffold_1383" "3000001" "4e+06" 105
"381" "Scaffold_1383" "4000001" "5e+06" 57
"382" "Scaffold_1383" "5000001" "6e+06" 34
"383" "Scaffold_1383" "6000001" "7e+06" 24
"384" "Scaffold_1383" "7000001" "8e+06" 22
"385" "Scaffold_1383" "8000001" "9e+06" 25
"386" "Scaffold_1383" "9000001" "1e+07" 22
"387" "Scaffold_1383" "10000001" "1.1e+07" 25
"388" "Scaffold_1383" "11000001" "1.2e+07" 10
"389" "Scaffold_1383" "12000001" "1.3e+07" 21
"390" "Scaffold_1383" "13000001" "1.4e+07" 20
"391" "Scaffold_1383" "14000001" "1.5e+07" 11
"392" "Scaffold_1383" "15000001" "1.6e+07" 23
"393" "Scaffold_1383" "16000001" "1.7e+07" 14
"394" "Scaffold_1383" "17000001" "1.8e+07" 17
"395" "Scaffold_1383" "18000001" "1.9e+07" 12
"396" "Scaffold_1383" "19000001" "2e+07" 18
"397" "Scaffold_1383" "20000001" "2.1e+07" 21
"398" "Scaffold_1383" "21000001" "2.2e+07" 30
"399" "Scaffold_1383" "22000001" "2.3e+07" 28
"400" "Scaffold_1383" "23000001" "2.4e+07" 42
"401" "Scaffold_1383" "24000001" "2.5e+07" 47
"402" "Scaffold_819" "1" "1e+06" 92
"403" "Scaffold_819" "1000001" "2e+06" 48
"404" "Scaffold_819" "2000001" "3e+06" 29
"405" "Scaffold_819" "3000001" "4e+06" 31
"406" "Scaffold_819" "4000001" "5e+06" 32
"407" "Scaffold_819" "5000001" "6e+06" 12
"408" "Scaffold_819" "6000001" "7e+06" 16
"409" "Scaffold_819" "7000001" "8e+06" 23
"410" "Scaffold_819" "8000001" "9e+06" 26
