"chrom" "V2" "V3" "V4"
"1" "Scaffold_2199" "1" "1e+06" "26"
"2" "Scaffold_2199" "1000001" "2e+06" "22"
"3" "Scaffold_2199" "2000001" "3e+06" "25"
"4" "Scaffold_2199" "3000001" "4e+06" "13"
"5" "Scaffold_2199" "4000001" "5e+06" "66"
"6" "Scaffold_2199" "5000001" "6e+06" "35"
"7" "Scaffold_2199" "6000001" "7e+06" "23"
"8" "Scaffold_2199" "7000001" "8e+06" "23"
"9" "Scaffold_2199" "8000001" "9e+06" "4"
"10" "Scaffold_2199" "9000001" "1e+07" "7"
"11" "Scaffold_2199" "10000001" "1.1e+07" "4"
"12" "Scaffold_2199" "11000001" "1.2e+07" "2"
"13" "Scaffold_2199" "12000001" "1.3e+07" "5"
"14" "Scaffold_2199" "13000001" "1.4e+07" "4"
"15" "Scaffold_2199" "14000001" "1.5e+07" "4"
"16" "Scaffold_2199" "15000001" "1.6e+07" "4"
"17" "Scaffold_2199" "16000001" "1.7e+07" "4"
"18" "Scaffold_2199" "17000001" "1.8e+07" "6"
"19" "Scaffold_2199" "18000001" "1.9e+07" "5"
"20" "Scaffold_2199" "19000001" "2e+07" "8"
"21" "Scaffold_2199" "20000001" "2.1e+07" "10"
"22" "Scaffold_2199" "21000001" "2.2e+07" "9"
"23" "Scaffold_2199" "22000001" "2.3e+07" "4"
"24" "Scaffold_2199" "23000001" "2.4e+07" "7"
"25" "Scaffold_2199" "24000001" "2.5e+07" "7"
"26" "Scaffold_2199" "25000001" "2.6e+07" "18"
"27" "Scaffold_2199" "26000001" "2.7e+07" "7"
"28" "Scaffold_2199" "27000001" "2.8e+07" "17"
"29" "Scaffold_2199" "28000001" "2.9e+07" "24"
"30" "Scaffold_2199" "29000001" "3e+07" "23"
"31" "Scaffold_2199" "30000001" "3.1e+07" "32"
"32" "Scaffold_2199" "31000001" "3.2e+07" "31"
"33" "Scaffold_2199" "32000001" "3.3e+07" "2"
"34" "Scaffold_658" "1" "1e+06" "17"
"35" "Scaffold_658" "1000001" "2e+06" "11"
"36" "Scaffold_658" "2000001" "3e+06" "13"
"37" "Scaffold_658" "3000001" "4e+06" "18"
"38" "Scaffold_658" "4000001" "5e+06" "44"
"39" "Scaffold_658" "5000001" "6e+06" "30"
"40" "Scaffold_658" "6000001" "7e+06" "17"
"41" "Scaffold_658" "7000001" "8e+06" "28"
"42" "Scaffold_658" "8000001" "9e+06" "32"
"43" "Scaffold_658" "9000001" "1e+07" "13"
"44" "Scaffold_658" "10000001" "1.1e+07" "16"
"45" "Scaffold_658" "11000001" "1.2e+07" "12"
"46" "Scaffold_658" "12000001" "1.3e+07" "6"
"47" "Scaffold_658" "13000001" "1.4e+07" "16"
"48" "Scaffold_658" "14000001" "1.5e+07" "8"
"49" "Scaffold_658" "15000001" "1.6e+07" "5"
"50" "Scaffold_658" "16000001" "1.7e+07" "0"
"51" "Scaffold_658" "17000001" "1.8e+07" "3"
"52" "Scaffold_658" "18000001" "1.9e+07" "5"
"53" "Scaffold_658" "19000001" "2e+07" "6"
"54" "Scaffold_658" "20000001" "2.1e+07" "6"
"55" "Scaffold_658" "21000001" "2.2e+07" "5"
"56" "Scaffold_658" "22000001" "2.3e+07" "3"
"57" "Scaffold_658" "23000001" "2.4e+07" "2"
"58" "Scaffold_658" "24000001" "2.5e+07" "12"
"59" "Scaffold_658" "25000001" "2.6e+07" "7"
"60" "Scaffold_658" "26000001" "2.7e+07" "11"
"61" "Scaffold_658" "27000001" "2.8e+07" "16"
"62" "Scaffold_658" "28000001" "2.9e+07" "17"
"63" "Scaffold_658" "29000001" "3e+07" "33"
"64" "Scaffold_658" "30000001" "3.1e+07" "38"
"65" "Scaffold_658" "31000001" "3.2e+07" "21"
"66" "Scaffold_2318" "1" "1e+06" "20"
"67" "Scaffold_2318" "1000001" "2e+06" "28"
"68" "Scaffold_2318" "2000001" "3e+06" "65"
"69" "Scaffold_2318" "3000001" "4e+06" "28"
