"chrom" "V2" "V3" "V4"
"1" "Scaffold_2199" "1" "1e+06" "87"
"2" "Scaffold_2199" "1000001" "2e+06" "64"
"3" "Scaffold_2199" "2000001" "3e+06" "68"
"4" "Scaffold_2199" "3000001" "4e+06" "37"
"5" "Scaffold_2199" "4000001" "5e+06" "6"
"6" "Scaffold_2199" "5000001" "6e+06" "22"
"7" "Scaffold_2199" "6000001" "7e+06" "3"
"8" "Scaffold_2199" "7000001" "8e+06" "13"
"9" "Scaffold_2199" "8000001" "9e+06" "5"
"10" "Scaffold_2199" "9000001" "1e+07" "6"
"11" "Scaffold_2199" "10000001" "1.1e+07" "2"
"12" "Scaffold_2199" "11000001" "1.2e+07" "6"
"13" "Scaffold_2199" "12000001" "1.3e+07" "4"
"14" "Scaffold_2199" "13000001" "1.4e+07" "4"
"15" "Scaffold_2199" "14000001" "1.5e+07" "3"
"16" "Scaffold_2199" "15000001" "1.6e+07" "2"
"17" "Scaffold_2199" "16000001" "1.7e+07" "2"
"18" "Scaffold_2199" "17000001" "1.8e+07" "1"
"19" "Scaffold_2199" "18000001" "1.9e+07" "4"
"20" "Scaffold_2199" "19000001" "2e+07" "5"
"21" "Scaffold_2199" "20000001" "2.1e+07" "4"
"22" "Scaffold_2199" "21000001" "2.2e+07" "3"
"23" "Scaffold_2199" "22000001" "2.3e+07" "6"
"24" "Scaffold_2199" "23000001" "2.4e+07" "3"
"25" "Scaffold_2199" "24000001" "2.5e+07" "5"
"26" "Scaffold_2199" "25000001" "2.6e+07" "12"
"27" "Scaffold_2199" "26000001" "2.7e+07" "10"
"28" "Scaffold_2199" "27000001" "2.8e+07" "26"
"29" "Scaffold_2199" "28000001" "2.9e+07" "47"
"30" "Scaffold_2199" "29000001" "3e+07" "84"
"31" "Scaffold_2199" "30000001" "3.1e+07" "82"
"32" "Scaffold_2199" "31000001" "3.2e+07" "88"
"33" "Scaffold_2199" "32000001" "3.3e+07" "12"
"34" "Scaffold_658" "1" "1e+06" "53"
"35" "Scaffold_658" "1000001" "2e+06" "66"
"36" "Scaffold_658" "2000001" "3e+06" "67"
"37" "Scaffold_658" "3000001" "4e+06" "70"
"38" "Scaffold_658" "4000001" "5e+06" "55"
"39" "Scaffold_658" "5000001" "6e+06" "71"
"40" "Scaffold_658" "6000001" "7e+06" "49"
"41" "Scaffold_658" "7000001" "8e+06" "17"
"42" "Scaffold_658" "8000001" "9e+06" "14"
"43" "Scaffold_658" "9000001" "1e+07" "12"
"44" "Scaffold_658" "10000001" "1.1e+07" "6"
"45" "Scaffold_658" "11000001" "1.2e+07" "6"
"46" "Scaffold_658" "12000001" "1.3e+07" "8"
"47" "Scaffold_658" "13000001" "1.4e+07" "4"
"48" "Scaffold_658" "14000001" "1.5e+07" "7"
"49" "Scaffold_658" "15000001" "1.6e+07" "3"
"50" "Scaffold_658" "16000001" "1.7e+07" "0"
"51" "Scaffold_658" "17000001" "1.8e+07" "5"
"52" "Scaffold_658" "18000001" "1.9e+07" "4"
"53" "Scaffold_658" "19000001" "2e+07" "3"
"54" "Scaffold_658" "20000001" "2.1e+07" "2"
"55" "Scaffold_658" "21000001" "2.2e+07" "3"
"56" "Scaffold_658" "22000001" "2.3e+07" "7"
"57" "Scaffold_658" "23000001" "2.4e+07" "7"
"58" "Scaffold_658" "24000001" "2.5e+07" "3"
"59" "Scaffold_658" "25000001" "2.6e+07" "8"
"60" "Scaffold_658" "26000001" "2.7e+07" "7"
"61" "Scaffold_658" "27000001" "2.8e+07" "14"
"62" "Scaffold_658" "28000001" "2.9e+07" "39"
"63" "Scaffold_658" "29000001" "3e+07" "32"
"64" "Scaffold_658" "30000001" "3.1e+07" "30"
"65" "Scaffold_658" "31000001" "3.2e+07" "47"
"66" "Scaffold_2318" "1" "1e+06" "54"
"67" "Scaffold_2318" "1000001" "2e+06" "74"
"68" "Scaffold_2318" "2000001" "3e+06" "37"
"69" "Scaffold_2318" "3000001" "4e+06" "8"
"70" "Scaffold_2318" "4000001" "5e+06" "8"
"71" "Scaffold_2318" "5000001" "6e+06" "7"
"72" "Scaffold_2318" "6000001" "7e+06" "5"
"73" "Scaffold_2318" "7000001" "8e+06" "6"
"74" "Scaffold_2318" "8000001" "9e+06" "5"
"75" "Scaffold_2318" "9000001" "1e+07" "2"
"76" "Scaffold_2318" "10000001" "1.1e+07" "8"
"77" "Scaffold_2318" "11000001" "1.2e+07" "6"
"78" "Scaffold_2318" "12000001" "1.3e+07" "2"
"79" "Scaffold_2318" "13000001" "1.4e+07" "2"
"80" "Scaffold_2318" "14000001" "1.5e+07" "1"
"81" "Scaffold_2318" "15000001" "1.6e+07" "0"
"82" "Scaffold_2318" "16000001" "1.7e+07" "4"
"83" "Scaffold_2318" "17000001" "1.8e+07" "2"
"84" "Scaffold_2318" "18000001" "1.9e+07" "1"
"85" "Scaffold_2318" "19000001" "2e+07" "3"
"86" "Scaffold_2318" "20000001" "2.1e+07" "5"
"87" "Scaffold_2318" "21000001" "2.2e+07" "2"
"88" "Scaffold_2318" "22000001" "2.3e+07" "4"
"89" "Scaffold_2318" "23000001" "2.4e+07" "3"
"90" "Scaffold_2318" "24000001" "2.5e+07" "12"
"91" "Scaffold_2318" "25000001" "2.6e+07" "10"
"92" "Scaffold_2318" "26000001" "2.7e+07" "59"
"93" "Scaffold_2318" "27000001" "2.8e+07" "68"
