"chrom" "V2" "V3" "counts"
"1" "Scaffold_8399" "1" "1e+06" "103"
"2" "Scaffold_8399" "1000001" "2e+06" "57"
"3" "Scaffold_8399" "2000001" "3e+06" "23"
"4" "Scaffold_8399" "3000001" "4e+06" "24"
"5" "Scaffold_8399" "4000001" "5e+06" "17"
"6" "Scaffold_8399" "5000001" "6e+06" "8"
"7" "Scaffold_8399" "6000001" "7e+06" "8"
"8" "Scaffold_8399" "7000001" "8e+06" "4"
"9" "Scaffold_8399" "8000001" "9e+06" "8"
"10" "Scaffold_8399" "9000001" "1e+07" "8"
"11" "Scaffold_8399" "10000001" "1.1e+07" "6"
"12" "Scaffold_8399" "11000001" "1.2e+07" "6"
"13" "Scaffold_8399" "12000001" "1.3e+07" "6"
"14" "Scaffold_8399" "13000001" "1.4e+07" "6"
"15" "Scaffold_8399" "14000001" "1.5e+07" "2"
"16" "Scaffold_8399" "15000001" "1.6e+07" "1"
"17" "Scaffold_8399" "16000001" "1.7e+07" "2"
"18" "Scaffold_8399" "17000001" "1.8e+07" "0"
"19" "Scaffold_8399" "18000001" "1.9e+07" "5"
"20" "Scaffold_8399" "19000001" "2e+07" "9"
"21" "Scaffold_8399" "20000001" "2.1e+07" "6"
"22" "Scaffold_8399" "21000001" "2.2e+07" "0"
"23" "Scaffold_8399" "22000001" "2.3e+07" "2"
"24" "Scaffold_8399" "23000001" "2.4e+07" "0"
"25" "Scaffold_8399" "24000001" "2.5e+07" "3"
"26" "Scaffold_8399" "25000001" "2.6e+07" "7"
"27" "Scaffold_8399" "26000001" "2.7e+07" "4"
"28" "Scaffold_8399" "27000001" "2.8e+07" "2"
"29" "Scaffold_8399" "28000001" "2.9e+07" "0"
"30" "Scaffold_8399" "29000001" "3e+07" "3"
"31" "Scaffold_8399" "30000001" "3.1e+07" "1"
"32" "Scaffold_8399" "31000001" "3.2e+07" "2"
"33" "Scaffold_8399" "32000001" "3.3e+07" "1"
"34" "Scaffold_8399" "33000001" "3.4e+07" "7"
"35" "Scaffold_8399" "34000001" "3.5e+07" "5"
"36" "Scaffold_8399" "35000001" "3.6e+07" "1"
"37" "Scaffold_8399" "36000001" "3.7e+07" "6"
"38" "Scaffold_8399" "37000001" "3.8e+07" "0"
"39" "Scaffold_8399" "38000001" "3.9e+07" "2"
"40" "Scaffold_8399" "39000001" "4e+07" "2"
"41" "Scaffold_8399" "40000001" "4.1e+07" "4"
"42" "Scaffold_8399" "41000001" "4.2e+07" "0"
"43" "Scaffold_8399" "42000001" "4.3e+07" "5"
"44" "Scaffold_8399" "43000001" "4.4e+07" "1"
"45" "Scaffold_8399" "44000001" "4.5e+07" "3"
"46" "Scaffold_8399" "45000001" "4.6e+07" "1"
"47" "Scaffold_8399" "46000001" "4.7e+07" "3"
"48" "Scaffold_8399" "47000001" "4.8e+07" "3"
"49" "Scaffold_8399" "48000001" "4.9e+07" "7"
"50" "Scaffold_8399" "49000001" "5e+07" "10"
"51" "Scaffold_8399" "50000001" "5.1e+07" "24"
"52" "Scaffold_8399" "51000001" "5.2e+07" "4"
"53" "Scaffold_8399" "52000001" "5.3e+07" "32"
"54" "Scaffold_8399" "53000001" "5.4e+07" "54"
"55" "Scaffold_8399" "54000001" "5.5e+07" "76"
"56" "Scaffold_8399" "55000001" "5.6e+07" "78"
"57" "Scaffold_8399" "56000001" "5.7e+07" "98"
"58" "Scaffold_8399" "57000001" "5.8e+07" "95"
"59" "Scaffold_8399" "58000001" "5.9e+07" "86"
"60" "Scaffold_8399" "59000001" "6e+07" "101"
"61" "Scaffold_8399" "60000001" "6.1e+07" "24"
"62" "Scaffold_10370" "1" "1e+06" "106"
"63" "Scaffold_10370" "1000001" "2e+06" "115"
"64" "Scaffold_10370" "2000001" "3e+06" "99"
"65" "Scaffold_10370" "3000001" "4e+06" "79"
"66" "Scaffold_10370" "4000001" "5e+06" "46"
"67" "Scaffold_10370" "5000001" "6e+06" "29"
"68" "Scaffold_10370" "6000001" "7e+06" "18"
"69" "Scaffold_10370" "7000001" "8e+06" "25"
"70" "Scaffold_10370" "8000001" "9e+06" "6"
"71" "Scaffold_10370" "9000001" "1e+07" "6"
"72" "Scaffold_10370" "10000001" "1.1e+07" "4"
"73" "Scaffold_10370" "11000001" "1.2e+07" "3"
"74" "Scaffold_10370" "12000001" "1.3e+07" "9"
"75" "Scaffold_10370" "13000001" "1.4e+07" "3"
"76" "Scaffold_10370" "14000001" "1.5e+07" "0"
"77" "Scaffold_10370" "15000001" "1.6e+07" "3"
"78" "Scaffold_10370" "16000001" "1.7e+07" "2"
"79" "Scaffold_10370" "17000001" "1.8e+07" "2"
"80" "Scaffold_10370" "18000001" "1.9e+07" "3"
"81" "Scaffold_10370" "19000001" "2e+07" "7"
"82" "Scaffold_10370" "20000001" "2.1e+07" "4"
"83" "Scaffold_10370" "21000001" "2.2e+07" "3"
"84" "Scaffold_10370" "22000001" "2.3e+07" "1"
"85" "Scaffold_10370" "23000001" "2.4e+07" "7"
"86" "Scaffold_10370" "24000001" "2.5e+07" "6"
"87" "Scaffold_10370" "25000001" "2.6e+07" "0"
"88" "Scaffold_10370" "26000001" "2.7e+07" "0"
"89" "Scaffold_10370" "27000001" "2.8e+07" "1"
"90" "Scaffold_10370" "28000001" "2.9e+07" "7"
"91" "Scaffold_10370" "29000001" "3e+07" "2"
"92" "Scaffold_10370" "30000001" "3.1e+07" "5"
"93" "Scaffold_10370" "31000001" "3.2e+07" "3"
"94" "Scaffold_10370" "32000001" "3.3e+07" "3"
"95" "Scaffold_10370" "33000001" "3.4e+07" "4"
"96" "Scaffold_10370" "34000001" "3.5e+07" "9"
"97" "Scaffold_10370" "35000001" "3.6e+07" "9"
"98" "Scaffold_10370" "36000001" "3.7e+07" "8"
"99" "Scaffold_10370" "37000001" "3.8e+07" "0"
"100" "Scaffold_10370" "38000001" "3.9e+07" "3"
"101" "Scaffold_10370" "39000001" "4e+07" "1"
"102" "Scaffold_10370" "40000001" "4.1e+07" "5"
"103" "Scaffold_10370" "41000001" "4.2e+07" "7"
"104" "Scaffold_10370" "42000001" "4.3e+07" "3"
"105" "Scaffold_10370" "43000001" "4.4e+07" "1"
"106" "Scaffold_10370" "44000001" "4.5e+07" "1"
"107" "Scaffold_10370" "45000001" "4.6e+07" "1"
"108" "Scaffold_10370" "46000001" "4.7e+07" "5"
"109" "Scaffold_10370" "47000001" "4.8e+07" "9"
"110" "Scaffold_10370" "48000001" "4.9e+07" "5"
"111" "Scaffold_10370" "49000001" "5e+07" "12"
"112" "Scaffold_10370" "50000001" "5.1e+07" "33"
"113" "Scaffold_10370" "51000001" "5.2e+07" "40"
"114" "Scaffold_10370" "52000001" "5.3e+07" "34"
"115" "Scaffold_10370" "53000001" "5.4e+07" "43"
"116" "Scaffold_10370" "54000001" "5.5e+07" "55"
"117" "Scaffold_10370" "55000001" "5.6e+07" "89"
"118" "Scaffold_10370" "56000001" "5.7e+07" "122"
"119" "Scaffold_10370" "57000001" "5.8e+07" "9"
"120" "Scaffold_247" "1" "1e+06" "73"
"121" "Scaffold_247" "1000001" "2e+06" "65"
"122" "Scaffold_247" "2000001" "3e+06" "50"
"123" "Scaffold_247" "3000001" "4e+06" "26"
"124" "Scaffold_247" "4000001" "5e+06" "21"
"125" "Scaffold_247" "5000001" "6e+06" "7"
"126" "Scaffold_247" "6000001" "7e+06" "7"
"127" "Scaffold_247" "7000001" "8e+06" "5"
"128" "Scaffold_247" "8000001" "9e+06" "5"
"129" "Scaffold_247" "9000001" "1e+07" "4"
"130" "Scaffold_247" "10000001" "1.1e+07" "4"
"131" "Scaffold_247" "11000001" "1.2e+07" "10"
"132" "Scaffold_247" "12000001" "1.3e+07" "16"
"133" "Scaffold_247" "13000001" "1.4e+07" "7"
"134" "Scaffold_247" "14000001" "1.5e+07" "7"
"135" "Scaffold_247" "15000001" "1.6e+07" "6"
"136" "Scaffold_247" "16000001" "1.7e+07" "8"
