"chrom" "V2" "V3" "V4"
"1" "Scaffold_8399" "1" "1e+06" "49.9433"
"2" "Scaffold_8399" "1000001" "2e+06" "30.2637"
"3" "Scaffold_8399" "2000001" "3e+06" "15.0211"
"4" "Scaffold_8399" "3000001" "4e+06" "12.3154"
"5" "Scaffold_8399" "4000001" "5e+06" "5.3775"
"6" "Scaffold_8399" "5000001" "6e+06" "2.6801"
"7" "Scaffold_8399" "6000001" "7e+06" "1.5568"
"8" "Scaffold_8399" "7000001" "8e+06" "0.546"
"9" "Scaffold_8399" "8000001" "9e+06" "8.063"
"10" "Scaffold_8399" "9000001" "1e+07" "3.5639"
"11" "Scaffold_8399" "10000001" "1.1e+07" "3.7675"
"12" "Scaffold_8399" "11000001" "1.2e+07" "3.1995"
"13" "Scaffold_8399" "12000001" "1.3e+07" "6.4898"
"14" "Scaffold_8399" "13000001" "1.4e+07" "1.5707"
"15" "Scaffold_8399" "14000001" "1.5e+07" "0.2453"
"16" "Scaffold_8399" "15000001" "1.6e+07" "0.0709"
"17" "Scaffold_8399" "16000001" "1.7e+07" "0.0421"
"18" "Scaffold_8399" "17000001" "1.8e+07" "0"
"19" "Scaffold_8399" "18000001" "1.9e+07" "1.8482"
"20" "Scaffold_8399" "19000001" "2e+07" "3.381"
"21" "Scaffold_8399" "20000001" "2.1e+07" "1.9023"
"22" "Scaffold_8399" "21000001" "2.2e+07" "0"
"23" "Scaffold_8399" "22000001" "2.3e+07" "0.0634"
"24" "Scaffold_8399" "23000001" "2.4e+07" "0"
"25" "Scaffold_8399" "24000001" "2.5e+07" "1.6285"
"26" "Scaffold_8399" "25000001" "2.6e+07" "12.2001"
"27" "Scaffold_8399" "26000001" "2.7e+07" "1.466"
"28" "Scaffold_8399" "27000001" "2.8e+07" "2.8043"
"29" "Scaffold_8399" "28000001" "2.9e+07" "0"
"30" "Scaffold_8399" "29000001" "3e+07" "0.6737"
"31" "Scaffold_8399" "30000001" "3.1e+07" "0.0425"
"32" "Scaffold_8399" "31000001" "3.2e+07" "0.7542"
"33" "Scaffold_8399" "32000001" "3.3e+07" "0.0884"
"34" "Scaffold_8399" "33000001" "3.4e+07" "8.6473"
"35" "Scaffold_8399" "34000001" "3.5e+07" "2.7578"
"36" "Scaffold_8399" "35000001" "3.6e+07" "0.0614"
"37" "Scaffold_8399" "36000001" "3.7e+07" "0.7835"
"38" "Scaffold_8399" "37000001" "3.8e+07" "0"
"39" "Scaffold_8399" "38000001" "3.9e+07" "0.0495"
"40" "Scaffold_8399" "39000001" "4e+07" "0.3502"
"41" "Scaffold_8399" "40000001" "4.1e+07" "1.294"
"42" "Scaffold_8399" "41000001" "4.2e+07" "0"
"43" "Scaffold_8399" "42000001" "4.3e+07" "4.0517"
"44" "Scaffold_8399" "43000001" "4.4e+07" "8.0979"
"45" "Scaffold_8399" "44000001" "4.5e+07" "1.2029"
"46" "Scaffold_8399" "45000001" "4.6e+07" "0.8956"
"47" "Scaffold_8399" "46000001" "4.7e+07" "1.1253"
"48" "Scaffold_8399" "47000001" "4.8e+07" "0.3211"
"49" "Scaffold_8399" "48000001" "4.9e+07" "3.5061"
"50" "Scaffold_8399" "49000001" "5e+07" "6.7639"
"51" "Scaffold_8399" "50000001" "5.1e+07" "13.4356"
"52" "Scaffold_8399" "51000001" "5.2e+07" "1.5249"
"53" "Scaffold_8399" "52000001" "5.3e+07" "10.1538"
"54" "Scaffold_8399" "53000001" "5.4e+07" "23.6778"
"55" "Scaffold_8399" "54000001" "5.5e+07" "30.3577"
"56" "Scaffold_8399" "55000001" "5.6e+07" "34.4488"
"57" "Scaffold_8399" "56000001" "5.7e+07" "40.7653"
"58" "Scaffold_8399" "57000001" "5.8e+07" "45.4466"
"59" "Scaffold_8399" "58000001" "5.9e+07" "42.1575"
"60" "Scaffold_8399" "59000001" "6e+07" "43.6251"
"61" "Scaffold_8399" "60000001" "6.1e+07" "12.3799"
"62" "Scaffold_10370" "1" "1e+06" "44.9349"
"63" "Scaffold_10370" "1000001" "2e+06" "51.9238"
"64" "Scaffold_10370" "2000001" "3e+06" "46.7004"
"65" "Scaffold_10370" "3000001" "4e+06" "41.6794"
"66" "Scaffold_10370" "4000001" "5e+06" "28.2076"
"67" "Scaffold_10370" "5000001" "6e+06" "16.0982"
"68" "Scaffold_10370" "6000001" "7e+06" "10.1308"
"69" "Scaffold_10370" "7000001" "8e+06" "12.8086"
"70" "Scaffold_10370" "8000001" "9e+06" "3.2804"
"71" "Scaffold_10370" "9000001" "1e+07" "2.4335"
"72" "Scaffold_10370" "10000001" "1.1e+07" "4.6364"
"73" "Scaffold_10370" "11000001" "1.2e+07" "0.7985"
"74" "Scaffold_10370" "12000001" "1.3e+07" "1.8592"
"75" "Scaffold_10370" "13000001" "1.4e+07" "3.6592"
"76" "Scaffold_10370" "14000001" "1.5e+07" "0"
"77" "Scaffold_10370" "15000001" "1.6e+07" "1.3545"
"78" "Scaffold_10370" "16000001" "1.7e+07" "0.0828"
"79" "Scaffold_10370" "17000001" "1.8e+07" "0.5771"
"80" "Scaffold_10370" "18000001" "1.9e+07" "0.2276"
"81" "Scaffold_10370" "19000001" "2e+07" "2.0867"
"82" "Scaffold_10370" "20000001" "2.1e+07" "0.7228"
"83" "Scaffold_10370" "21000001" "2.2e+07" "2.1267"
"84" "Scaffold_10370" "22000001" "2.3e+07" "0.1663"
"85" "Scaffold_10370" "23000001" "2.4e+07" "6.9812"
"86" "Scaffold_10370" "24000001" "2.5e+07" "4.6777"
"87" "Scaffold_10370" "25000001" "2.6e+07" "0"
"88" "Scaffold_10370" "26000001" "2.7e+07" "0"
"89" "Scaffold_10370" "27000001" "2.8e+07" "0.25"
"90" "Scaffold_10370" "28000001" "2.9e+07" "10.8769"
"91" "Scaffold_10370" "29000001" "3e+07" "0.6349"
"92" "Scaffold_10370" "30000001" "3.1e+07" "0.8484"
"93" "Scaffold_10370" "31000001" "3.2e+07" "1.8849"
"94" "Scaffold_10370" "32000001" "3.3e+07" "1.9322"
"95" "Scaffold_10370" "33000001" "3.4e+07" "4.2457"
"96" "Scaffold_10370" "34000001" "3.5e+07" "1.1915"
"97" "Scaffold_10370" "35000001" "3.6e+07" "5.6764"
"98" "Scaffold_10370" "36000001" "3.7e+07" "1.9888"
"99" "Scaffold_10370" "37000001" "3.8e+07" "0"
"100" "Scaffold_10370" "38000001" "3.9e+07" "2.0855"
"101" "Scaffold_10370" "39000001" "4e+07" "1.842"
"102" "Scaffold_10370" "40000001" "4.1e+07" "2.8732"
"103" "Scaffold_10370" "41000001" "4.2e+07" "3.0438"
"104" "Scaffold_10370" "42000001" "4.3e+07" "0.4625"
"105" "Scaffold_10370" "43000001" "4.4e+07" "0.7234"
"106" "Scaffold_10370" "44000001" "4.5e+07" "0.7371"
"107" "Scaffold_10370" "45000001" "4.6e+07" "0.2956"
"108" "Scaffold_10370" "46000001" "4.7e+07" "3.9945"
"109" "Scaffold_10370" "47000001" "4.8e+07" "8.0715"
"110" "Scaffold_10370" "48000001" "4.9e+07" "1.0907"
"111" "Scaffold_10370" "49000001" "5e+07" "3.9067"
"112" "Scaffold_10370" "50000001" "5.1e+07" "16.9379"
"113" "Scaffold_10370" "51000001" "5.2e+07" "15.8681"
"114" "Scaffold_10370" "52000001" "5.3e+07" "10.9722"
