"og_id"	"Acom"	"Tfas"	"Tlei"	"diff"
"5"	"OG0000015"	0	3	100	-97
"6"	"OG0000018"	0	95	1	94
"8"	"OG0000020"	0	85	1	84
"9"	"OG0000021"	0	79	2	77
"12"	"OG0000024"	0	75	1	74
"17"	"OG0000033"	0	63	1	62
"18"	"OG0000038"	0	55	5	50
"19"	"OG0000042"	0	54	4	50
"20"	"OG0000043"	0	50	8	42
"24"	"OG0000048"	0	48	3	45
"26"	"OG0000050"	0	49	2	47
"29"	"OG0000053"	0	48	2	46
"31"	"OG0000058"	0	43	3	40
"32"	"OG0000063"	1	26	13	13
"36"	"OG0000071"	0	35	2	33
"38"	"OG0000077"	0	31	4	27
"39"	"OG0000079"	0	32	3	29
"43"	"OG0000084"	0	33	1	32
"44"	"OG0000085"	0	30	4	26
"45"	"OG0000086"	0	29	5	24
"50"	"OG0000094"	2	25	4	21
"51"	"OG0000095"	1	22	8	14
"54"	"OG0000102"	3	22	4	18
"55"	"OG0000105"	5	18	5	13
"59"	"OG0000112"	1	2	25	-23
"60"	"OG0000113"	0	20	8	12
"62"	"OG0000118"	2	22	3	19
"63"	"OG0000119"	0	21	6	15
"71"	"OG0000136"	1	3	20	-17
"72"	"OG0000138"	1	18	5	13
"74"	"OG0000141"	0	22	2	20
"84"	"OG0000153"	1	20	1	19
"85"	"OG0000154"	2	17	3	14
"92"	"OG0000167"	0	20	1	19
"96"	"OG0000179"	2	16	2	14
"97"	"OG0000180"	2	3	15	-12
"98"	"OG0000182"	0	19	1	18
"99"	"OG0000185"	0	1	19	-18
"110"	"OG0000199"	0	16	3	13
"112"	"OG0000204"	0	18	1	17
"123"	"OG0000219"	0	17	1	16
"126"	"OG0000223"	0	16	2	14
"129"	"OG0000228"	1	14	2	12
"130"	"OG0000230"	2	13	2	11
"136"	"OG0000237"	0	14	3	11
"138"	"OG0000240"	0	15	2	13
"149"	"OG0000256"	1	12	3	9
"151"	"OG0000260"	0	13	3	10
"162"	"OG0000273"	0	13	2	11
"164"	"OG0000275"	0	13	2	11
"165"	"OG0000276"	0	13	2	11
"166"	"OG0000280"	0	13	2	11
"168"	"OG0000283"	0	1	14	-13
"172"	"OG0000288"	2	1	11	-10
"185"	"OG0000306"	0	13	1	12
"186"	"OG0000307"	0	2	12	-10
"187"	"OG0000308"	0	1	13	-12
"211"	"OG0000338"	1	1	11	-10
"213"	"OG0000342"	1	11	1	10
"217"	"OG0000346"	0	11	2	9
"220"	"OG0000349"	0	12	1	11
"234"	"OG0000364"	1	10	1	9
"248"	"OG0000386"	0	11	1	10
"250"	"OG0000388"	0	11	1	10
"251"	"OG0000389"	0	1	11	-10
"254"	"OG0000392"	0	11	1	10
"255"	"OG0000393"	0	11	1	10
"256"	"OG0000394"	0	1	11	-10
"260"	"OG0000399"	0	1	11	-10
"309"	"OG0000463"	0	10	1	9
"311"	"OG0000467"	0	10	1	9
"312"	"OG0000468"	0	10	1	9
"313"	"OG0000469"	0	10	1	9
"316"	"OG0000473"	0	1	10	-9
