ID	adj_pval
GO:0006099	1.6e-14
GO:0033500	2.3e-14
GO:0007231	2.4e-14
GO:0008272	2.4e-14
GO:0006952	2.6e-13
GO:0016310	3.4e-13
GO:0010086	4.2e-13
GO:2000300	7.2e-12
GO:0007040	7.2e-12
GO:0009116	7.7e-12
GO:0120029	2.7e-11
GO:0051453	5.2e-10
GO:0032418	8.1e-10
GO:0008333	8.1e-10
GO:0034620	2.1e-09
GO:0006891	3.4e-09
GO:0006468	1.1e-08
GO:0071329	3.7e-08
GO:0033356	3.7e-08
GO:0055114	1.6e-07
GO:0006102	2e-07
GO:0006364	2.3e-07
GO:0006886	2.7e-07
GO:0048831	3.7e-07
GO:0006096	4e-07
GO:0009086	4e-07
GO:0002229	5.1e-07
GO:0009725	1.3e-06
GO:0006122	1.8e-06
GO:0006189	2e-06
GO:0009097	2.2e-06
GO:0048278	2.4e-06
GO:0042026	2.5e-06
GO:0042742	3.2e-06
GO:0071712	5.1e-06
GO:0034551	5.6e-06
GO:0006890	1.2e-05
GO:0008152	1.8e-05
GO:0043666	2.1e-05
GO:0006887	2.1e-05
GO:0072657	3.1e-05
GO:0018106	3.5e-05
GO:0046274	3.8e-05
GO:0090156	4.7e-05
GO:1900060	4.7e-05
GO:0009251	4.7e-05
GO:0006508	5.4e-05
GO:0006108	5.9e-05
GO:0009736	7.8e-05
GO:0070863	9.1e-05
GO:0055085	1e-04
GO:0090502	1e-04
GO:0006384	0.00016
GO:0000302	0.00018
GO:0031647	0.00019
GO:0034355	0.00019
GO:0070262	0.00019
GO:0009089	0.00022
GO:0002183	0.00024
GO:0006164	0.00027
GO:0000973	0.00029
GO:0048205	0.00029
GO:0009729	0.00029
GO:0051228	0.00029
GO:2001289	0.00029
GO:0023014	3e-04
GO:0010629	0.00031
GO:0051601	0.00031
GO:0006101	0.00031
GO:0000460	0.00042
GO:0000278	0.00044
GO:0009660	0.00044
GO:0032509	0.00044
GO:0010315	6e-04
GO:0006511	0.00072
GO:0042732	0.00073
GO:0010930	0.00073
GO:0010229	0.00074
GO:0070814	0.00081
GO:0051645	0.00081
GO:0033566	0.00081
GO:0051391	0.00081
GO:0070981	0.00081
GO:0000717	0.00081
GO:1904812	0.00081
GO:0045951	0.00081
GO:0098869	0.00081
GO:0006015	9e-04
GO:0018105	0.001
GO:0042273	0.001
GO:0006480	0.00105
GO:0051639	0.00105
GO:0016487	0.00105
GO:0015919	0.00105
GO:0016070	0.00107
GO:0006168	0.00108
GO:0048509	0.00112
GO:0006880	0.00119
GO:0055072	0.00152
GO:0042776	0.0016
GO:0043531	NA
GO:0005524	4.5e-22
GO:0010333	1.7e-14
GO:0009885	3.4e-14
GO:0020037	3.1e-13
GO:0003924	7.8e-13
GO:0005200	1.9e-12
GO:0015276	7.8e-11
GO:0030247	1.4e-10
GO:0000287	1.6e-10
GO:0019955	1.6e-10
GO:0031072	3.1e-10
GO:0005506	1.1e-08
GO:0008460	1.1e-08
GO:0008234	2.9e-08
GO:0016301	4.6e-08
GO:0030246	1.6e-07
GO:0000149	1.7e-07
GO:0032440	1.8e-07
GO:0004097	1.8e-07
GO:0004190	2e-07
GO:0016705	4.4e-07
GO:0061631	4.9e-07
GO:0030941	1.7e-06
GO:0005525	2.7e-06
GO:0030060	2.9e-06
GO:0004523	3e-06
GO:0004449	3.1e-06
GO:0004073	3.1e-06
GO:0080043	4.4e-06
GO:0080044	4.4e-06
GO:0008097	5.2e-06
GO:0051787	5.4e-06
GO:0008553	6e-06
GO:0016709	7.4e-06
GO:0043424	1.1e-05
GO:0004643	1.3e-05
GO:1990825	1.3e-05
GO:0003937	1.3e-05
GO:0052691	1.3e-05
GO:0005488	1.3e-05
GO:0000155	1.5e-05
GO:0051082	1.6e-05
GO:0005484	2.2e-05
GO:0019888	2.4e-05
GO:0004322	2.6e-05
GO:0052716	4.9e-05
GO:0004497	5.2e-05
GO:0004459	8.9e-05
GO:0008422	1e-04
GO:0004630	1e-04
GO:0070290	1e-04
GO:0004639	0.00021
GO:0003999	0.00021
