ID	adj_pval
GO:0006952	1e-30
GO:2000300	1e-30
GO:0007040	1e-30
GO:0032418	1e-30
GO:0008333	1e-30
GO:0015919	5.2e-13
GO:0006654	2e-12
GO:0048017	1.5e-11
GO:0007062	4.3e-11
GO:0006508	5.7e-11
GO:0006355	2.8e-09
GO:0006096	2.3e-07
GO:0016042	2.5e-07
GO:0000724	5.4e-07
GO:0055047	1.6e-06
GO:1903830	2.1e-06
GO:0006886	4.7e-05
GO:0015990	0.00069
GO:0080142	0.00106
GO:0070262	0.0017
GO:0043547	0.00181
GO:0015693	0.00298
GO:0046621	0.00312
GO:0006513	0.00715
GO:0007064	0.00789
GO:0000338	0.00972
GO:0031146	0.01776
GO:0009299	0.01945
GO:0048834	0.0215
GO:0016558	0.02746
GO:0009793	0.03049
GO:0006625	0.03176
GO:0006972	0.03189
GO:0006334	0.0388
GO:0071733	0.04253
GO:0070550	0.04253
GO:0009942	0.04253
GO:1905406	0.04253
GO:0071169	0.04253
GO:1990414	0.04253
GO:0009646	0.04405
GO:0043531	1e-30
GO:0008234	2.2e-26
GO:0004634	1.7e-15
GO:0000149	1.5e-13
GO:0070290	1e-09
GO:0004630	1e-09
GO:0008270	5.9e-09
GO:0015095	1.3e-05
GO:0000287	0.00027
GO:0005096	4e-04
GO:0005524	0.00078
GO:0005516	0.00271
GO:0003676	0.00789
GO:0032559	0.01927
GO:0099078	1e-30
GO:0031083	1e-30
GO:0000015	4.7e-19
GO:0030915	1.7e-13
GO:0001673	2.5e-07
GO:0033186	3e-06
GO:0000159	0.002
GO:0019005	0.0027
GO:0008180	0.0088
GO:0005634	0.0109
GO:0005829	0.012
GO:0090694	0.0267
