ID	adj_pval
GO:0016310	3.4e-21
GO:2000300	8.1e-18
GO:0007040	8.1e-18
GO:0006952	1.2e-16
GO:0006468	1.8e-16
GO:0032418	1.2e-15
GO:0008333	1.2e-15
GO:0009725	1.9e-07
GO:0009086	7.6e-07
GO:0070262	2e-06
GO:0006364	2.5e-06
GO:0006886	3.1e-06
GO:0016070	3.2e-06
GO:0002183	3.4e-06
GO:0006515	4.1e-06
GO:0015919	6.7e-06
GO:0006189	1.3e-05
GO:0009088	1.6e-05
GO:0033566	1.8e-05
GO:1904812	1.8e-05
GO:0051645	1.8e-05
GO:0051391	1.8e-05
GO:0009628	2.3e-05
GO:0006099	3.1e-05
GO:0010629	3.2e-05
GO:0002229	5.2e-05
GO:0006725	6.3e-05
GO:0009089	7.3e-05
GO:0048510	9.2e-05
GO:0009052	9.2e-05
GO:0048278	0.00013
GO:0009097	0.00015
GO:0046398	0.00016
GO:0052573	0.00016
GO:0000740	0.00016
GO:0000733	0.00016
GO:0097359	0.00016
GO:0010198	0.00016
GO:0006121	0.00016
GO:2001295	0.00016
GO:0006223	0.00016
GO:0005992	0.00016
GO:0070131	0.00029
GO:0000448	0.00031
GO:0006556	0.00031
GO:0042795	0.00031
GO:0042796	0.00031
GO:0000395	0.00031
GO:0006412	0.00038
GO:0006749	0.00048
GO:0019430	0.00066
GO:0000717	0.00073
GO:0045951	0.00073
GO:0009729	0.00075
GO:0006654	0.00077
GO:0045037	0.00086
GO:0045761	0.00103
GO:0034755	0.00109
GO:0002098	0.00113
GO:0000302	0.00114
GO:0070899	0.00143
GO:0018192	0.00143
GO:0042866	0.00143
GO:0033577	0.00143
GO:0031554	0.00143
GO:0070179	0.00143
GO:2001253	0.00143
GO:0006106	0.00143
GO:0055047	0.00154
GO:0033683	0.00159
GO:1901360	0.00168
GO:0045036	0.00197
GO:0048441	0.002
GO:2000031	0.002
GO:0072321	0.002
GO:0034599	0.00249
GO:0055114	0.0025
GO:0015969	0.00273
GO:0048017	0.00352
GO:0000278	0.00445
GO:0000470	0.00451
GO:0009768	0.00454
GO:0002184	0.00465
GO:0006857	0.00469
GO:0042147	0.00491
GO:0006906	0.00509
GO:0032264	0.00523
GO:0062055	0.00523
GO:0015783	0.00523
GO:0071329	0.00565
GO:0009306	0.00577
GO:0048285	0.00603
GO:0106074	0.00644
GO:1903830	0.00703
GO:0006429	0.00724
GO:0090502	0.00755
GO:0045901	0.00773
GO:0045905	0.00773
GO:0006431	0.00773
GO:0010731	0.00773
GO:0043531	NA
GO:0005524	7.6e-15
GO:0016301	2.8e-11
GO:0004176	3.7e-10
GO:0000149	5e-10
GO:0004073	5e-09
GO:0080043	5.2e-09
GO:0080044	5.2e-09
GO:0030246	2.7e-08
GO:0030941	3.1e-08
GO:0004643	4.2e-08
GO:0003937	4.2e-08
GO:0008234	8.6e-08
GO:0004523	1.3e-07
GO:0030247	3.4e-07
GO:0016464	7.8e-07
GO:0051117	1.1e-06
GO:0050664	1.5e-06
GO:0004751	2.3e-06
GO:0004639	2.9e-06
GO:0005515	7.1e-06
GO:0046961	1.6e-05
GO:0004032	1.6e-05
GO:0004674	1.8e-05
GO:1990883	2.4e-05
GO:0004070	2.4e-05
