ID	adj_pval
GO:0120029	8.1e-16
GO:0007231	8e-15
GO:0010086	2.2e-14
GO:0051453	7.7e-11
GO:0048831	3.3e-10
GO:0000973	6.1e-10
GO:0071329	1.7e-09
GO:0008272	2.5e-09
GO:0098542	5e-09
GO:0033500	5.1e-09
GO:0009736	5.1e-09
GO:0018106	7.2e-09
GO:2001289	8.8e-09
GO:0051639	3.8e-08
GO:0010930	6.1e-08
GO:0006384	1e-07
GO:0051017	2.6e-07
GO:0070814	4.1e-07
GO:0016036	4.7e-07
GO:0008152	6.2e-07
GO:0006542	1.5e-06
GO:0006122	1.5e-06
GO:0010029	3.1e-06
GO:0009800	3.8e-06
GO:0042274	4.3e-06
GO:0006508	4.3e-06
GO:1903866	7.8e-06
GO:0006617	3.7e-05
GO:0007004	4.8e-05
GO:0010229	5.2e-05
GO:0009873	6.4e-05
GO:0045053	6.4e-05
GO:0042742	8.1e-05
GO:0005991	8.3e-05
GO:0010364	8.3e-05
GO:0009607	8.7e-05
GO:0006606	0.00011
GO:0006559	0.00011
GO:0009969	0.00012
GO:0009987	0.00014
GO:0033274	0.00015
GO:0002938	0.00015
GO:0006636	0.00015
GO:0061015	0.00015
GO:0070291	0.00015
GO:0015015	0.00015
GO:0071033	0.00016
GO:0000160	0.00017
GO:0000919	0.00024
GO:0042273	0.00035
GO:0009423	0.00037
GO:0006006	0.00042
GO:0006405	0.00042
GO:0016973	0.00044
GO:0006368	0.00044
GO:0006390	0.00046
GO:0002939	0.00046
GO:0016444	0.00046
GO:0006406	5e-04
GO:1900055	0.00055
GO:0043137	0.00057
GO:0006096	0.00077
GO:0016487	8e-04
GO:0007019	8e-04
GO:0033014	8e-04
GO:0080163	8e-04
GO:0009751	0.00098
GO:1903507	0.00104
GO:0006616	0.0011
GO:0023014	0.0012
GO:0009245	0.00127
GO:0090391	0.00127
GO:1902626	0.00137
GO:0046467	0.00137
GO:0046274	0.00146
GO:0009660	0.0015
GO:0000103	0.0015
GO:0048509	0.00156
GO:0006139	0.00164
GO:0007035	0.00191
GO:0032784	0.00192
GO:0005978	0.00201
GO:0006890	0.00236
GO:0043248	0.00247
GO:0009590	0.00263
GO:0006425	0.00263
GO:1903862	0.00263
GO:1900367	0.00263
GO:0060919	0.0028
GO:0043693	0.0028
GO:0033383	0.0028
GO:0048700	0.0028
GO:0019252	0.00301
GO:0048579	0.00381
GO:0032515	0.00398
GO:0008033	0.00399
GO:0009625	0.00441
GO:0009266	0.0052
GO:0050821	0.00603
GO:0007010	0.00608
GO:0010333	7.7e-22
GO:0009885	2.3e-14
GO:0043531	8.6e-14
GO:0016705	2.5e-12
GO:0020037	2.4e-11
GO:0005506	1.2e-10
GO:0008553	5.7e-10
GO:0043424	8.9e-10
GO:0004365	1.2e-09
GO:0019955	2e-09
GO:0004497	4.7e-09
GO:0004190	8.3e-09
GO:0005488	1.6e-08
GO:0000155	5e-08
GO:0000287	6.3e-07
GO:0030626	1.2e-06
GO:0008312	1.5e-06
GO:0004356	2.4e-06
GO:0097157	2.6e-06
GO:0003849	3.4e-06
GO:0008107	3.7e-06
GO:0045548	5.8e-06
GO:0008915	1e-05
GO:0033858	1e-05
GO:0047886	1e-05
GO:0004335	1.1e-05
GO:0033204	5.2e-05
GO:0004020	6.2e-05
GO:0008121	6.8e-05
GO:0000171	7.7e-05
GO:0016428	0.00014
GO:0008878	0.00016
GO:0004721	0.00017
GO:0008780	0.00018
GO:0004350	0.00018
GO:0000215	0.00018
GO:0003861	0.00018
GO:0046820	0.00018
GO:0017095	0.00018
GO:0009020	0.00018
GO:0047412	0.00018
GO:0032440	2e-04
GO:0030942	2e-04
GO:0000166	0.00022
GO:0004852	0.00032
GO:0004069	0.00033
GO:0008097	0.00037
GO:0046983	0.00041
GO:0015267	0.00047
GO:0004869	0.00048
GO:0017056	0.00049
GO:0008146	0.00051
GO:0008460	0.00052
GO:0052793	0.00052
GO:0035241	7e-04
GO:0004714	0.00087
GO:0046408	0.00104
GO:0038023	0.00108
GO:0051879	0.00114
GO:0042162	0.00122
GO:0004315	0.00152
GO:0015276	0.00162
GO:0035615	0.00166
GO:0004577	0.00168
GO:0009924	0.00168
GO:1990610	0.00168
GO:0003960	0.00168
GO:0004450	0.00168
GO:1990465	0.00168
GO:0046423	0.00168
GO:0052716	0.0022
GO:0003899	0.00274
GO:0004819	0.00323
GO:0008481	0.00323
GO:0004142	0.00323
GO:0004349	0.00323
GO:0010328	0.00323
GO:0070006	0.00354
GO:0010427	0.00435
GO:0008970	0.00448
GO:0008083	0.00493
GO:0031624	0.00508
GO:0004088	0.00541
GO:0052906	0.00541
GO:0004568	0.00724
GO:0004526	0.0078
GO:0008422	0.00972
GO:0003825	0.01094
GO:0004742	0.01191
GO:0004618	0.01191
GO:0004592	0.01191
GO:0008568	0.01368
GO:0034485	0.01431
GO:0004864	0.01453
GO:0003723	0.0155
GO:0004816	0.01631
GO:0017050	0.01631
GO:0046923	0.01631
GO:0003984	0.01797
GO:0004386	0.01814
GO:0034399	3.3e-13
GO:0032432	2.8e-08
GO:0070209	4.3e-07
GO:0005884	5.3e-07
GO:0005786	5.8e-07
GO:0000127	6.8e-07
GO:0043291	6.5e-06
GO:0030126	1.7e-05
GO:0070390	2.1e-05
GO:0030121	3.1e-05
GO:0044613	3.5e-05
GO:0030687	5.6e-05
GO:0031932	5.6e-05
GO:0032039	9e-05
GO:0005666	0.00011
GO:0031931	0.00013
GO:0030677	0.00015
GO:0000172	0.00024
GO:0032040	3e-04
GO:0034245	0.00039
GO:0005576	5e-04
GO:0008352	0.00067
GO:0031428	0.00067
GO:0005951	0.0012
GO:0032299	0.00231
GO:0009513	0.00256
GO:0009537	0.00256
GO:0019898	0.00277
GO:0000445	0.00324
GO:0000798	0.00389
GO:0005615	0.00435
GO:0043541	0.00599
GO:0005730	0.00603
GO:0034098	0.0073
GO:0005787	0.00917
GO:0042406	0.01189
GO:0005737	0.01477
GO:0031090	0.01489
GO:0017087	0.01574
GO:0031080	0.02021
GO:0031965	0.02021
GO:0005802	0.02888
GO:0010319	0.03034
GO:0030008	0.03094
GO:0043186	0.03101
GO:0005764	0.03323
GO:0070062	0.03354
GO:0009501	0.03541
GO:0032580	0.03541
GO:0008278	0.03715
GO:0045263	0.03734
GO:0016020	0.04067
GO:0000796	0.04427
GO:0030140	0.05052
GO:0000333	0.05064
GO:0000784	0.05449
GO:0009509	0.0728
GO:0005741	0.07628
GO:0090406	0.07771
GO:0005750	0.07771
GO:0005832	0.07771
GO:0005769	0.08793
GO:0009654	0.09429
GO:0000151	0.10083
GO:0030686	0.10767
GO:0033588	0.11918
GO:0005736	0.11918
GO:0035145	0.12086
GO:0031307	0.1561
GO:0005665	0.17967
GO:0000015	0.19263
GO:0022626	0.20582
GO:0000145	0.21363
GO:0016272	0.23077
GO:0000139	0.24363
GO:0005768	0.29471
GO:0012505	0.29941
GO:0009368	0.33036
GO:0030658	0.3731
GO:0055038	0.37361
GO:0005667	0.38448
GO:0005840	0.40599
GO:0031380	0.46406
GO:0031984	0.46545
GO:0031201	0.47617
GO:0032588	0.49122
GO:0043229	0.49881
GO:0005635	0.50046
GO:0009505	0.52928
GO:0000785	0.55739
GO:0005844	0.5647
GO:0005742	0.5647
GO:0072546	0.62758
GO:0048046	0.62791
GO:0016607	0.64769
GO:0031359	0.66437
GO:0005788	0.67222
GO:0012507	0.68159
GO:0042644	0.68396
GO:0005622	0.69077
