og_id	Acom	Tfas	Tlei
OG0000015	0	2	62
OG0000018	0	72	1
OG0000021	0	81	2
OG0000024	0	64	1
OG0000033	0	47	1
OG0000038	0	45	5
OG0000042	0	56	4
OG0000043	0	39	7
OG0000047	1	23	23
OG0000048	0	49	2
OG0000050	0	41	2
OG0000051	0	35	56
OG0000053	0	57	2
OG0000058	0	30	2
OG0000063	1	22	12
OG0000069	0	32	10
OG0000071	0	28	2
OG0000077	0	26	4
OG0000079	0	23	3
OG0000080	5	18	13
OG0000082	0	11	13
OG0000084	0	32	1
OG0000085	0	43	2
OG0000086	0	32	5
OG0000091	16	10	6
OG0000094	2	30	2
OG0000095	1	21	10
OG0000101	16	6	5
OG0000102	3	15	4
OG0000105	5	8	5
OG0000107	11	7	6
OG0000110	3	14	9
OG0000113	0	8	5
OG0000116	1	18	10
OG0000118	2	16	3
OG0000119	0	23	4
OG0000126	11	4	4
OG0000127	9	6	6
OG0000131	0	13	11
OG0000136	1	3	21
OG0000138	1	15	3
OG0000141	0	24	2
OG0000144	9	7	7
OG0000146	13	4	1
OG0000148	1	12	18
OG0000149	0	9	8
OG0000153	1	17	1
OG0000154	2	17	4
OG0000165	8	6	7
OG0000166	5	7	4
OG0000167	0	13	1
OG0000168	0	11	8
OG0000172	14	3	3
OG0000179	2	8	2
OG0000180	2	3	18
OG0000182	0	15	1
OG0000185	0	1	12
OG0000191	10	3	3
OG0000193	4	6	7
OG0000194	13	1	4
OG0000195	1	8	6
OG0000199	0	12	3
OG0000200	0	10	7
OG0000204	0	10	1
OG0000209	8	4	4
OG0000210	6	3	4
OG0000211	6	6	5
OG0000212	2	8	5
OG0000213	6	5	5
OG0000214	13	2	3
OG0000216	2	16	6
OG0000217	2	4	9
OG0000219	0	23	1
OG0000220	0	6	5
OG0000221	0	6	11
OG0000223	0	13	2
OG0000224	0	10	6
OG0000228	1	11	2
OG0000230	2	8	2
OG0000233	4	5	8
OG0000234	1	5	10
OG0000235	1	11	8
OG0000237	0	17	3
OG0000240	0	12	2
OG0000247	8	4	3
OG0000249	2	6	3
OG0000250	11	3	2
OG0000251	8	3	3
OG0000255	11	2	2
OG0000256	1	12	3
OG0000258	1	10	7
OG0000260	0	9	3
OG0000263	6	10	2
OG0000264	3	12	2
OG0000265	7	4	4
OG0000266	7	4	2
OG0000267	6	5	4
OG0000272	1	4	7
OG0000273	0	11	2
OG0000275	0	6	1
OG0000276	0	17	6
OG0000280	0	10	1
OG0000282	0	4	7
OG0000283	0	1	11
OG0000287	7	2	3
OG0000288	2	1	13
OG0000290	6	5	3
OG0000295	6	3	2
OG0000296	6	3	3
OG0000298	3	10	2
OG0000299	1	8	4
OG0000300	4	6	2
OG0000301	6	5	1
OG0000302	0	7	4
OG0000303	0	3	8
OG0000304	0	4	11
OG0000306	0	12	1
OG0000307	0	1	6
OG0000308	0	1	15
OG0000311	2	5	8
OG0000312	6	1	2
OG0000313	6	4	3
OG0000314	1	7	4
OG0000315	10	2	1
OG0000316	5	4	2
OG0000317	4	4	4
OG0000318	6	3	2
OG0000319	4	1	5
OG0000320	4	4	5
OG0000321	8	3	2
OG0000322	5	4	4
OG0000323	6	2	4
OG0000324	8	2	2
OG0000325	6	2	2
OG0000327	2	6	5
OG0000332	1	5	3
OG0000334	4	4	4
OG0000338	1	1	10
OG0000340	3	7	3
OG0000342	1	7	1
OG0000344	0	7	8
OG0000345	0	9	4
OG0000346	0	11	1
OG0000347	0	6	5
OG0000348	0	5	9
OG0000349	0	6	1
OG0000355	7	1	4
OG0000356	9	1	2
OG0000358	5	3	1
OG0000361	5	3	3
OG0000362	7	3	2
OG0000363	4	2	4
OG0000364	1	4	1
OG0000365	6	3	3
OG0000366	4	4	4
OG0000367	8	2	1
OG0000368	9	1	2
OG0000374	5	3	3
OG0000380	3	8	2
OG0000382	1	1	4
OG0000383	4	2	2
OG0000385	1	6	4
OG0000386	0	7	1
OG0000388	0	10	1
OG0000389	0	1	12
OG0000392	0	7	1
OG0000393	0	16	1
OG0000394	0	1	8
OG0000397	0	7	3
OG0000398	0	4	3
OG0000399	0	1	9
OG0000409	1	4	1
OG0000411	6	4	1
OG0000413	7	2	2
OG0000414	4	3	3
OG0000416	5	11	3
OG0000417	1	6	2
OG0000418	6	2	2
OG0000419	5	3	3
OG0000420	4	4	3
OG0000423	1	3	2
OG0000424	8	2	1
OG0000426	3	4	2
OG0000428	1	3	7
OG0000429	5	3	3
OG0000431	4	3	3
OG0000432	7	2	2
OG0000433	1	3	6
OG0000434	5	3	3
OG0000435	5	2	3
OG0000442	3	3	3
OG0000449	6	2	1
OG0000452	2	3	2
OG0000453	1	4	6
OG0000454	7	2	2
OG0000455	5	2	2
OG0000457	3	4	2
OG0000458	3	4	1
OG0000460	3	3	3
OG0000463	0	14	1
OG0000466	0	8	3
OG0000467	0	7	1
OG0000468	0	21	1
OG0000469	0	15	1
OG0000471	0	4	9
OG0000473	0	1	7
OG0000480	4	3	3
OG0000481	6	2	2
OG0000482	5	2	2
OG0000483	4	4	2
OG0000484	4	3	3
OG0000486	4	3	3
OG0000487	4	1	2
OG0000488	5	2	2
OG0000489	3	3	2
OG0000490	3	1	6
OG0000491	4	3	3
OG0000492	4	3	3
OG0000493	4	3	3
OG0000494	4	2	1
OG0000495	3	3	5
OG0000496	2	5	1
OG0000497	3	3	3
OG0000498	4	3	3
OG0000499	4	2	3
OG0000501	7	2	1
OG0000502	1	3	4
OG0000504	5	2	2
OG0000505	6	2	2
OG0000506	5	3	2
OG0000507	7	1	2
OG0000508	2	4	3
OG0000509	4	3	3
OG0000510	3	3	2
OG0000511	5	2	1
OG0000512	6	2	1
OG0000513	2	1	4
OG0000516	3	3	3
OG0000517	1	28	1
OG0000518	7	1	2
OG0000520	3	3	2
OG0000521	4	1	4
OG0000522	3	4	3
OG0000523	4	3	3
OG0000524	3	3	3
OG0000525	1	12	1
OG0000526	4	2	2
OG0000529	1	4	2
OG0000531	2	15	2
OG0000532	2	19	6
OG0000537	3	4	3
OG0000538	1	5	6
OG0000539	2	8	3
OG0000541	2	2	2
OG0000542	5	2	2
OG0000543	1	3	2
OG0000544	6	2	1
OG0000546	1	5	5
OG0000548	1	4	4
OG0000549	1	4	4
OG0000551	0	6	1
OG0000553	0	6	3
OG0000555	0	7	1
OG0000557	0	7	2
OG0000558	0	8	2
OG0000562	0	10	4
OG0000563	0	3	7
OG0000565	0	5	1
OG0000566	0	1	7
OG0000575	3	3	3
OG0000576	1	4	3
OG0000577	3	3	3
OG0000578	3	3	3
OG0000579	3	3	3
OG0000580	4	3	2
OG0000583	3	3	3
OG0000584	1	3	4
OG0000585	3	3	3
OG0000586	3	3	3
OG0000588	3	3	3
OG0000589	3	3	3
OG0000590	3	3	3
OG0000591	3	3	3
OG0000592	5	2	2
OG0000594	3	3	3
OG0000595	5	2	2
OG0000596	4	2	2
OG0000597	3	3	3
OG0000598	1	3	3
OG0000599	4	3	2
OG0000600	3	3	3
OG0000601	3	3	2
OG0000602	3	3	3
OG0000603	3	3	3
OG0000606	1	2	3
OG0000608	4	3	2
OG0000609	5	5	2
OG0000610	2	3	2
OG0000611	2	1	5
OG0000612	5	2	1
OG0000613	4	3	1
OG0000615	4	2	1
OG0000619	4	3	2
OG0000620	3	3	3
OG0000621	2	2	4
OG0000622	1	1	6
OG0000623	4	2	2
OG0000624	5	2	2
OG0000628	3	3	3
OG0000629	4	3	2
OG0000630	3	3	3
OG0000634	3	3	3
OG0000635	3	3	3
OG0000636	5	1	3
OG0000638	3	3	3
OG0000639	2	4	2
OG0000640	6	2	1
OG0000641	2	2	5
OG0000642	4	1	3
OG0000643	2	5	2
OG0000649	1	4	1
OG0000650	1	2	5
OG0000651	2	3	4
OG0000652	5	2	2
OG0000653	4	2	2
OG0000654	3	3	2
OG0000655	3	1	4
OG0000656	1	3	2
OG0000657	1	4	1
OG0000660	1	6	3
OG0000661	2	4	5
OG0000662	3	2	2
OG0000663	3	2	1
OG0000664	1	3	7
OG0000666	3	3	2
OG0000667	5	3	2
OG0000668	3	3	3
OG0000669	1	3	3
OG0000671	0	4	5
OG0000672	0	1	11
OG0000673	0	1	6
OG0000674	0	4	6
OG0000678	0	7	5
OG0000680	0	2	3
OG0000681	0	7	1
OG0000682	0	3	2
OG0000684	0	1	6
OG0000685	0	6	1
OG0000686	0	1	3
OG0000688	0	2	4
OG0000689	0	6	2
OG0000690	0	3	3
OG0000706	2	2	3
OG0000707	3	1	3
OG0000709	2	3	3
OG0000710	4	2	2
OG0000711	5	1	2
OG0000712	3	3	2
OG0000714	3	2	2
OG0000715	2	3	3
OG0000717	1	2	4
OG0000718	3	3	2
OG0000719	3	2	3
OG0000720	4	2	2
OG0000721	3	1	4
OG0000724	3	8	3
OG0000725	2	2	4
OG0000726	4	2	2
OG0000727	3	2	1
OG0000728	3	3	2
OG0000730	4	2	3
OG0000732	4	2	2
OG0000734	1	2	1
OG0000736	4	2	2
OG0000737	1	1	2
OG0000738	2	3	2
OG0000740	1	2	3
OG0000741	3	3	2
OG0000742	4	2	2
OG0000743	3	2	3
OG0000745	3	2	2
OG0000746	3	2	2
OG0000747	3	1	3
OG0000750	3	3	1
OG0000751	3	2	3
OG0000752	4	2	2
OG0000753	3	3	2
OG0000754	1	2	4
OG0000755	3	4	2
OG0000756	1	3	2
OG0000760	3	3	2
OG0000761	2	2	2
OG0000762	3	2	2
OG0000763	1	4	3
OG0000765	2	2	2
OG0000766	3	2	2
OG0000767	1	4	1
OG0000768	4	2	2
OG0000769	4	2	2
OG0000770	3	2	2
OG0000771	3	2	2
OG0000772	4	2	2
OG0000773	4	2	2
OG0000776	3	2	3
OG0000777	3	4	2
OG0000778	4	2	2
OG0000779	3	2	2
OG0000780	3	3	1
OG0000781	2	2	2
OG0000782	4	2	2
OG0000783	4	1	2
OG0000786	1	1	6
OG0000787	4	4	1
OG0000788	4	2	2
OG0000789	3	2	2
OG0000790	2	3	2
OG0000791	4	2	2
OG0000792	5	2	1
OG0000794	2	3	3
OG0000801	4	2	2
OG0000802	4	2	2
OG0000803	3	2	2
OG0000805	2	3	3
OG0000806	4	2	2
OG0000808	2	3	2
OG0000809	2	2	2
OG0000810	1	3	2
OG0000812	1	5	3
OG0000813	1	2	5
OG0000814	1	3	5
OG0000817	1	3	4
OG0000820	3	2	1
OG0000821	3	1	4
OG0000822	1	2	2
OG0000823	1	2	3
OG0000825	1	2	3
OG0000826	4	3	1
OG0000829	2	2	2
OG0000832	1	5	2
OG0000835	1	2	1
OG0000836	1	3	3
OG0000837	3	3	2
OG0000838	1	2	1
OG0000839	1	1	6
OG0000840	3	2	2
OG0000842	1	3	1
OG0000843	1	6	1
OG0000844	2	3	2
OG0000845	2	1	2
OG0000846	1	5	4
OG0000847	1	2	2
OG0000848	1	3	1
OG0000849	2	1	5
OG0000850	2	2	2
OG0000851	1	2	3
OG0000852	1	4	1
OG0000855	0	3	3
OG0000856	0	3	1
OG0000857	0	6	1
OG0000858	0	4	2
OG0000859	0	1	8
OG0000860	0	7	2
OG0000864	0	1	4
OG0000865	0	2	3
OG0000866	0	4	1
OG0000868	0	3	3
OG0000869	0	1	5
OG0000871	0	7	11
OG0000872	0	3	2
OG0000873	0	5	1
OG0000874	0	3	2
OG0000875	0	1	8
OG0000876	0	5	1
OG0000880	0	5	4
OG0000881	0	3	1
OG0000883	0	1	6
OG0000884	0	1	7
OG0000885	0	7	2
OG0000886	0	3	4
OG0000887	0	1	5
OG0000888	0	6	4
OG0000889	0	1	6
OG0000890	0	5	7
OG0000891	0	1	7
OG0000892	0	5	1
OG0000893	0	1	7
OG0000907	2	2	2
OG0000908	3	1	6
OG0000909	4	1	2
OG0000910	3	2	2
OG0000912	3	2	2
OG0000913	3	2	2
OG0000914	3	1	2
OG0000915	2	2	5
OG0000917	2	2	2
OG0000919	2	3	2
OG0000920	3	1	3
OG0000921	3	3	2
OG0000922	2	3	2
OG0000923	3	2	2
OG0000924	3	2	2
OG0000926	3	1	2
OG0000927	3	1	3
OG0000931	3	2	2
OG0000933	2	3	2
OG0000934	3	2	2
OG0000935	3	1	2
OG0000936	3	2	2
OG0000937	4	2	1
OG0000941	3	2	2
OG0000943	2	2	2
OG0000945	4	1	2
OG0000947	3	2	2
OG0000948	3	2	2
OG0000949	3	2	2
OG0000950	4	1	2
OG0000951	3	2	2
OG0000952	2	3	2
OG0000953	3	2	2
OG0000957	2	3	1
OG0000958	1	2	2
OG0000959	3	2	2
OG0000960	2	2	2
OG0000961	4	1	2
OG0000962	1	2	1
OG0000963	4	1	2
OG0000964	4	2	1
OG0000965	3	1	2
OG0000966	3	2	2
OG0000968	3	2	2
OG0000969	3	2	2
OG0000970	3	2	2
OG0000971	3	2	2
OG0000972	3	2	2
OG0000973	2	2	2
OG0000974	3	2	2
OG0000975	2	2	3
OG0000976	3	2	2
OG0000977	3	2	2
OG0000979	2	2	1
OG0000980	3	2	2
OG0000981	3	2	2
OG0000982	3	2	2
OG0000983	3	2	2
OG0000984	3	2	2
OG0000985	3	1	2
OG0000986	3	2	2
OG0000987	2	4	1
OG0000989	3	2	2
OG0000990	3	2	2
OG0000991	2	1	2
OG0000992	2	4	1
OG0000993	3	2	2
OG0000994	3	2	2
OG0000995	2	2	2
OG0000996	3	2	2
OG0000997	3	2	2
OG0000998	2	2	2
OG0000999	1	2	10
OG0001002	2	3	2
OG0001003	3	2	2
OG0001005	3	2	2
OG0001006	3	1	3
OG0001007	3	2	2
OG0001008	2	3	3
OG0001009	4	1	2
OG0001010	2	3	2
OG0001011	3	2	2
OG0001012	3	2	2
OG0001013	2	2	2
OG0001014	2	2	3
OG0001015	2	2	2
OG0001016	3	2	2
OG0001017	1	4	6
OG0001018	1	4	2
OG0001019	2	1	2
OG0001020	3	2	2
OG0001021	3	2	2
OG0001022	3	2	2
OG0001023	3	2	2
OG0001025	1	3	3
OG0001026	2	2	2
OG0001027	2	3	2
OG0001028	3	2	2
OG0001029	3	1	2
OG0001031	1	2	3
OG0001032	3	2	2
OG0001033	2	4	2
OG0001036	2	2	2
OG0001037	3	2	2
OG0001038	2	5	1
OG0001040	3	2	2
OG0001041	3	2	2
OG0001042	4	1	2
OG0001043	2	2	2
OG0001044	1	3	2
OG0001045	2	2	3
OG0001046	3	2	2
OG0001047	3	22	1
OG0001048	3	20	17
OG0001049	1	3	1
OG0001050	1	3	2
OG0001051	4	1	2
OG0001052	2	3	8
OG0001053	3	2	2
OG0001055	2	1	2
OG0001056	2	2	3
OG0001058	3	2	2
OG0001059	2	1	2
OG0001060	2	3	2
OG0001061	3	2	2
OG0001064	2	2	2
OG0001065	1	3	3
OG0001067	1	3	2
OG0001068	3	1	2
OG0001069	4	2	1
OG0001071	4	2	1
OG0001072	3	2	2
OG0001073	3	2	2
OG0001075	3	1	2
OG0001076	2	4	1
OG0001077	3	2	2
OG0001078	1	2	3
OG0001080	3	2	2
OG0001088	2	2	3
OG0001089	3	2	1
OG0001090	2	2	1
OG0001091	2	2	2
OG0001092	3	3	1
OG0001093	4	2	1
OG0001095	3	2	2
OG0001096	1	3	2
OG0001098	3	1	2
OG0001100	1	3	1
OG0001102	4	1	3
OG0001103	1	2	6
OG0001104	2	2	2
OG0001105	3	1	2
OG0001106	2	3	2
OG0001107	2	2	2
OG0001108	3	2	2
OG0001109	1	5	1
OG0001110	2	5	1
OG0001112	2	2	3
OG0001114	3	2	1
OG0001115	1	4	3
OG0001117	2	2	2
OG0001120	3	2	2
OG0001121	2	2	3
OG0001122	2	3	2
OG0001123	3	2	1
OG0001125	1	2	3
OG0001126	3	2	2
OG0001127	1	1	5
OG0001129	2	2	2
OG0001132	1	4	4
OG0001135	3	2	1
OG0001136	2	3	2
OG0001137	2	2	2
OG0001139	2	2	3
OG0001140	1	2	2
OG0001142	3	1	2
OG0001143	3	2	2
OG0001145	2	3	1
OG0001147	3	2	2
OG0001148	1	3	2
OG0001151	2	5	1
OG0001152	1	4	1
OG0001153	1	4	1
OG0001155	2	2	2
OG0001156	3	2	2
OG0001157	1	1	6
OG0001158	1	4	1
OG0001159	1	5	1
OG0001160	4	2	1
OG0001162	1	3	3
OG0001163	3	2	2
OG0001164	1	2	2
OG0001166	1	3	3
OG0001167	0	3	3
OG0001168	0	2	4
OG0001170	0	2	5
OG0001171	0	6	1
OG0001172	0	2	3
OG0001175	0	3	2
OG0001176	0	3	3
OG0001179	0	4	2
OG0001180	0	7	3
OG0001181	0	5	1
OG0001182	0	2	1
OG0001183	0	4	1
OG0001187	0	2	3
OG0001188	0	3	4
OG0001192	0	3	4
OG0001193	0	4	4
OG0001195	0	4	4
OG0001196	0	1	4
OG0001198	0	3	3
OG0001199	0	8	1
OG0001201	0	5	1
OG0001202	0	1	5
OG0001203	0	5	1
OG0001204	0	13	1
OG0001205	0	6	2
OG0001206	0	2	1
OG0001208	0	3	3
OG0001209	0	5	2
OG0001210	0	1	4
OG0001211	0	1	4
OG0001212	0	1	4
OG0001214	0	2	8
OG0001215	0	3	3
OG0001216	0	4	3
OG0001217	0	1	7
OG0001218	0	2	2
OG0001239	2	2	2
OG0001240	2	2	2
OG0001242	3	1	2
OG0001243	2	2	2
OG0001244	2	2	2
OG0001248	1	1	2
OG0001249	2	2	2
OG0001251	2	2	2
OG0001252	2	2	2
OG0001253	2	2	2
OG0001254	2	2	2
OG0001256	2	2	2
OG0001257	2	2	2
OG0001258	3	2	1
OG0001259	2	2	2
OG0001261	2	2	2
OG0001262	2	2	2
OG0001263	2	2	2
OG0001264	2	2	2
OG0001265	1	2	1
OG0001267	2	2	2
OG0001269	1	1	3
OG0001270	2	2	1
OG0001272	2	2	2
OG0001273	3	3	1
OG0001274	2	2	2
OG0001275	2	2	2
OG0001276	2	2	2
OG0001277	2	2	2
OG0001279	2	2	2
OG0001280	3	2	1
OG0001281	1	2	2
OG0001287	1	1	6
OG0001288	2	2	2
OG0001290	1	1	5
OG0001291	2	2	2
OG0001292	2	2	2
OG0001295	2	2	2
OG0001297	1	2	2
OG0001299	2	2	2
OG0001300	2	2	2
OG0001301	2	2	2
OG0001302	3	1	2
OG0001303	2	2	2
OG0001308	2	2	2
OG0001309	2	2	2
OG0001310	3	1	2
OG0001312	1	2	1
OG0001313	2	2	2
OG0001314	2	2	1
OG0001315	1	2	2
OG0001316	3	1	2
OG0001319	2	2	2
OG0001320	2	2	2
OG0001321	1	3	2
OG0001322	2	2	2
OG0001323	2	2	2
OG0001324	2	2	2
OG0001325	2	2	2
OG0001328	2	2	2
OG0001330	2	2	2
OG0001332	2	2	2
OG0001335	2	2	2
OG0001336	2	2	2
OG0001340	2	2	2
OG0001341	1	1	5
OG0001342	2	2	2
OG0001343	2	2	2
OG0001345	1	4	1
OG0001349	2	2	2
OG0001350	2	2	2
OG0001351	2	2	2
OG0001352	2	2	2
OG0001353	1	1	4
OG0001354	2	2	2
OG0001356	3	1	2
OG0001357	2	2	2
OG0001358	1	3	1
OG0001359	3	1	2
OG0001360	2	2	2
OG0001363	1	3	2
OG0001364	2	2	1
OG0001365	2	2	2
OG0001366	2	2	2
OG0001367	2	2	2
OG0001368	2	2	2
OG0001370	2	2	2
OG0001371	2	2	2
OG0001372	2	3	1
OG0001377	2	2	1
OG0001379	2	2	2
OG0001380	2	2	2
OG0001381	1	3	1
OG0001382	2	2	2
OG0001383	2	2	2
OG0001384	2	2	2
OG0001385	2	2	1
OG0001386	2	2	2
OG0001387	2	2	2
OG0001388	3	2	1
OG0001389	2	2	1
OG0001390	2	2	2
OG0001393	2	2	2
OG0001397	2	2	2
OG0001398	2	2	2
OG0001399	2	2	2
OG0001400	1	2	2
OG0001402	2	2	2
OG0001403	2	2	2
OG0001404	2	2	2
OG0001405	2	2	2
OG0001406	2	2	2
OG0001407	1	2	3
OG0001409	2	2	2
OG0001410	2	2	2
OG0001411	2	2	2
OG0001412	2	2	2
OG0001413	1	4	1
OG0001414	2	2	2
OG0001416	2	2	2
OG0001417	2	2	2
OG0001418	2	2	2
OG0001419	1	2	1
OG0001421	2	2	2
OG0001422	3	2	1
OG0001424	2	2	2
OG0001426	2	2	2
OG0001427	2	3	1
OG0001428	2	2	2
OG0001431	2	2	2
OG0001432	1	2	2
OG0001433	2	2	2
OG0001435	2	2	2
OG0001436	2	3	1
OG0001437	2	2	2
OG0001438	1	4	1
OG0001439	2	2	2
OG0001440	2	2	1
OG0001441	2	2	2
OG0001442	1	1	4
OG0001443	2	2	2
OG0001444	3	2	1
OG0001446	2	2	2
OG0001447	2	2	2
OG0001448	1	4	2
OG0001449	2	2	2
OG0001450	2	2	2
OG0001455	3	2	1
OG0001456	2	2	2
OG0001458	2	2	1
OG0001460	2	2	2
OG0001462	1	2	1
OG0001463	2	2	2
OG0001464	2	2	2
OG0001465	2	2	2
OG0001466	2	2	2
OG0001467	2	2	2
OG0001469	2	2	2
OG0001472	2	2	2
OG0001473	2	2	2
OG0001474	2	2	2
OG0001484	2	2	2
OG0001485	2	2	2
OG0001486	2	2	2
OG0001489	3	2	1
OG0001490	2	2	2
OG0001492	2	2	2
OG0001493	2	2	2
OG0001494	1	2	1
OG0001496	3	2	1
OG0001497	2	2	2
OG0001498	2	2	2
OG0001499	2	2	2
OG0001500	1	3	2
OG0001501	2	2	2
OG0001502	2	2	2
OG0001503	2	2	2
OG0001504	2	2	2
OG0001506	3	1	2
OG0001507	2	2	2
OG0001510	2	2	2
OG0001511	2	2	2
OG0001513	2	2	2
OG0001515	2	2	2
OG0001516	3	1	2
OG0001518	2	2	2
OG0001519	1	5	2
OG0001520	2	2	2
OG0001522	1	4	1
OG0001523	2	2	2
OG0001525	3	2	1
OG0001528	2	2	2
OG0001529	2	2	1
OG0001530	2	2	2
OG0001532	2	2	2
OG0001533	2	2	2
OG0001535	3	2	1
OG0001536	2	2	2
OG0001540	2	2	2
OG0001541	2	2	2
OG0001542	2	2	2
OG0001543	2	2	2
OG0001544	2	2	2
OG0001546	2	2	1
OG0001548	2	2	2
OG0001549	2	2	2
OG0001552	1	4	1
OG0001553	2	2	2
OG0001556	3	2	1
OG0001557	2	1	3
OG0001560	1	5	1
OG0001561	3	2	1
OG0001562	1	2	4
OG0001563	3	1	2
OG0001564	1	1	4
OG0001565	2	2	2
OG0001566	1	6	1
OG0001569	3	1	2
OG0001570	1	3	3
OG0001571	1	2	3
OG0001572	2	2	2
OG0001573	2	2	2
OG0001575	2	4	1
OG0001576	2	2	2
OG0001581	2	2	2
OG0001582	2	2	2
OG0001583	2	2	2
OG0001584	2	2	2
OG0001585	1	2	3
OG0001586	2	2	2
OG0001587	2	2	2
OG0001594	1	2	1
OG0001596	1	1	3
OG0001598	2	2	2
OG0001599	3	2	1
OG0001600	2	1	12
OG0001601	1	2	2
OG0001602	3	1	2
OG0001603	1	3	2
OG0001604	1	2	1
OG0001606	1	3	2
OG0001607	1	2	1
OG0001608	2	2	2
OG0001612	2	2	2
OG0001617	2	2	2
OG0001618	3	2	1
OG0001620	2	3	1
OG0001622	2	2	2
OG0001625	2	2	2
OG0001626	2	2	2
OG0001628	2	2	2
OG0001632	3	1	2
OG0001633	3	1	2
OG0001634	2	2	2
