"og_id"	"Acom"	"Tfas"	"Tlei"
"6"	"OG0000018"	0	95	1
"8"	"OG0000021"	0	79	2
"11"	"OG0000024"	0	64	1
"16"	"OG0000033"	0	47	1
"17"	"OG0000038"	0	45	5
"18"	"OG0000042"	0	56	4
"19"	"OG0000043"	0	39	7
"23"	"OG0000048"	0	49	2
"25"	"OG0000050"	0	41	2
"28"	"OG0000053"	0	57	2
"30"	"OG0000058"	0	30	2
"31"	"OG0000063"	1	22	12
"33"	"OG0000069"	0	32	10
"34"	"OG0000071"	0	28	2
"36"	"OG0000077"	0	26	4
"37"	"OG0000079"	0	23	3
"38"	"OG0000080"	5	18	13
"41"	"OG0000084"	0	33	1
"42"	"OG0000085"	0	43	2
"43"	"OG0000086"	0	32	5
"46"	"OG0000091"	16	10	6
"48"	"OG0000094"	2	30	2
"49"	"OG0000095"	1	21	10
"51"	"OG0000101"	16	6	5
"52"	"OG0000102"	3	15	4
"53"	"OG0000105"	5	8	5
"55"	"OG0000107"	11	7	6
"56"	"OG0000110"	3	14	9
"57"	"OG0000113"	0	20	5
"58"	"OG0000116"	1	18	10
"59"	"OG0000118"	2	16	3
"60"	"OG0000119"	0	23	4
"66"	"OG0000131"	0	13	11
"69"	"OG0000138"	1	15	3
"71"	"OG0000141"	0	24	2
"75"	"OG0000146"	13	4	1
"77"	"OG0000149"	0	9	8
"81"	"OG0000153"	1	17	1
"82"	"OG0000154"	2	17	4
"88"	"OG0000166"	5	7	4
"89"	"OG0000167"	0	20	1
"90"	"OG0000168"	0	11	8
"93"	"OG0000179"	2	8	2
"95"	"OG0000182"	0	19	1
"105"	"OG0000195"	1	8	6
"107"	"OG0000199"	0	12	3
"108"	"OG0000200"	0	11	7
"109"	"OG0000204"	0	10	1
"114"	"OG0000211"	6	6	5
"115"	"OG0000212"	2	8	5
"118"	"OG0000216"	2	16	6
"120"	"OG0000219"	0	23	1
"121"	"OG0000220"	0	11	5
"123"	"OG0000223"	0	16	2
"124"	"OG0000224"	0	10	6
"126"	"OG0000228"	1	11	2
"127"	"OG0000230"	2	8	2
"132"	"OG0000235"	1	11	8
"133"	"OG0000237"	0	17	3
"135"	"OG0000240"	0	12	2
"139"	"OG0000247"	8	4	3
"141"	"OG0000249"	2	6	3
"142"	"OG0000250"	11	3	2
"146"	"OG0000256"	1	12	3
"147"	"OG0000258"	1	10	7
"148"	"OG0000260"	0	9	3
"151"	"OG0000263"	6	10	2
"152"	"OG0000264"	3	12	2
"154"	"OG0000266"	7	4	2
"155"	"OG0000267"	6	5	4
"159"	"OG0000273"	0	11	2
"161"	"OG0000275"	0	13	1
"162"	"OG0000276"	0	17	6
"163"	"OG0000280"	0	13	1
"170"	"OG0000290"	6	5	3
"173"	"OG0000295"	6	3	2
"175"	"OG0000298"	3	10	2
"176"	"OG0000299"	1	8	4
"177"	"OG0000300"	4	6	2
"178"	"OG0000301"	6	5	1
"179"	"OG0000302"	0	7	4
"182"	"OG0000306"	0	12	1
"188"	"OG0000313"	6	4	3
"189"	"OG0000314"	1	7	4
"190"	"OG0000315"	10	2	1
"191"	"OG0000316"	5	4	2
"193"	"OG0000318"	6	3	2
"196"	"OG0000321"	8	3	2
"200"	"OG0000325"	6	3	2
"202"	"OG0000327"	2	6	5
"205"	"OG0000332"	1	5	3
"209"	"OG0000340"	3	7	3
"210"	"OG0000342"	1	7	1
"212"	"OG0000345"	0	9	4
"213"	"OG0000346"	0	11	1
"214"	"OG0000347"	0	6	5
"216"	"OG0000349"	0	12	1
"225"	"OG0000358"	5	3	1
"228"	"OG0000362"	7	3	2
"230"	"OG0000364"	1	4	1
"233"	"OG0000367"	8	2	1
"238"	"OG0000380"	3	8	2
"243"	"OG0000385"	1	6	4
"244"	"OG0000386"	0	7	1
"246"	"OG0000388"	0	10	1
"250"	"OG0000392"	0	11	1
"251"	"OG0000393"	0	16	1
"254"	"OG0000397"	0	7	3
"255"	"OG0000398"	0	4	3
"266"	"OG0000409"	1	8	1
"267"	"OG0000411"	6	4	1
"270"	"OG0000416"	5	11	3
"271"	"OG0000417"	1	6	2
"272"	"OG0000418"	6	3	2
"274"	"OG0000420"	4	4	3
"275"	"OG0000421"	6	3	1
"276"	"OG0000423"	1	3	2
"277"	"OG0000424"	8	2	1
"279"	"OG0000426"	3	4	2
"289"	"OG0000449"	6	2	1
"291"	"OG0000452"	2	3	2
"296"	"OG0000457"	3	4	2
"297"	"OG0000458"	3	4	1
"301"	"OG0000463"	0	14	1
"302"	"OG0000466"	0	8	3
"303"	"OG0000467"	0	7	1
