og_id	Acom	Tfas	Tlei
OG0000015	0	2	62
OG0000051	0	35	56
OG0000082	0	11	13
OG0000136	1	3	21
OG0000148	1	12	18
OG0000165	8	6	7
OG0000180	2	3	18
OG0000185	0	1	12
OG0000193	4	6	7
OG0000194	13	1	4
OG0000210	6	3	4
OG0000214	13	2	3
OG0000217	2	4	9
OG0000221	0	6	11
OG0000233	4	5	8
OG0000234	1	5	10
OG0000272	1	4	7
OG0000282	0	4	7
OG0000283	0	1	11
OG0000287	7	2	3
OG0000288	2	1	13
OG0000303	0	3	8
OG0000304	0	4	11
OG0000307	0	1	6
OG0000308	0	1	15
OG0000311	2	5	8
OG0000312	6	1	2
OG0000319	4	1	5
OG0000320	4	4	5
OG0000323	6	2	4
OG0000338	1	1	10
OG0000344	0	7	8
OG0000348	0	5	9
OG0000355	7	1	4
OG0000356	9	1	2
OG0000363	4	2	4
OG0000368	9	1	2
OG0000382	1	1	4
OG0000389	0	1	12
OG0000394	0	1	8
OG0000399	0	1	9
OG0000428	1	3	7
OG0000433	1	3	6
OG0000435	5	2	3
OG0000453	1	4	6
OG0000471	0	4	9
OG0000473	0	1	7
OG0000487	4	1	2
OG0000490	3	1	6
OG0000495	3	3	5
OG0000499	4	2	3
OG0000502	1	3	4
OG0000507	7	1	2
OG0000513	2	1	4
OG0000518	7	1	2
OG0000521	4	1	4
OG0000538	1	5	6
OG0000563	0	3	7
OG0000566	0	1	7
OG0000584	1	3	4
OG0000606	1	2	3
OG0000611	2	1	5
OG0000621	2	2	4
OG0000622	1	1	6
OG0000636	5	1	3
OG0000641	2	2	5
OG0000642	4	1	3
OG0000650	1	2	5
OG0000651	2	3	4
OG0000655	3	1	4
OG0000661	2	4	5
OG0000664	1	3	7
OG0000671	0	4	5
OG0000672	0	1	11
OG0000673	0	1	6
OG0000674	0	4	6
OG0000680	0	2	3
OG0000684	0	1	6
OG0000686	0	1	3
OG0000688	0	2	4
OG0000706	2	2	3
OG0000707	3	1	3
OG0000711	5	1	2
OG0000717	1	2	4
OG0000719	3	2	3
OG0000721	3	1	4
OG0000725	2	2	4
OG0000730	4	2	3
OG0000737	1	1	2
OG0000740	1	2	3
OG0000743	3	2	3
OG0000747	3	1	3
OG0000751	3	2	3
OG0000754	1	2	4
OG0000776	3	2	3
OG0000783	4	1	2
OG0000786	1	1	6
OG0000813	1	2	5
OG0000814	1	3	5
OG0000817	1	3	4
OG0000821	3	1	4
OG0000823	1	2	3
OG0000825	1	2	3
OG0000839	1	1	6
OG0000845	2	1	2
OG0000849	2	1	5
OG0000851	1	2	3
OG0000859	0	1	8
OG0000864	0	1	4
OG0000865	0	2	3
OG0000869	0	1	5
OG0000871	0	7	11
OG0000875	0	1	8
OG0000883	0	1	6
OG0000884	0	1	7
OG0000886	0	3	4
OG0000887	0	1	5
OG0000889	0	1	6
OG0000890	0	5	7
OG0000891	0	1	7
OG0000893	0	1	7
OG0000908	3	1	6
OG0000909	4	1	2
OG0000914	3	1	2
OG0000915	2	2	5
OG0000920	3	1	3
OG0000926	3	1	2
OG0000927	3	1	3
OG0000935	3	1	2
OG0000945	4	1	2
OG0000950	4	1	2
OG0000961	4	1	2
OG0000963	4	1	2
OG0000965	3	1	2
OG0000975	2	2	3
OG0000985	3	1	2
OG0000991	2	1	2
OG0000999	1	2	10
OG0001006	3	1	3
OG0001009	4	1	2
OG0001014	2	2	3
OG0001017	1	4	6
OG0001019	2	1	2
OG0001029	3	1	2
OG0001031	1	2	3
OG0001042	4	1	2
OG0001045	2	2	3
OG0001051	4	1	2
OG0001052	2	3	8
OG0001055	2	1	2
OG0001056	2	2	3
OG0001059	2	1	2
OG0001068	3	1	2
OG0001075	3	1	2
OG0001078	1	2	3
OG0001088	2	2	3
OG0001098	3	1	2
OG0001102	4	1	3
OG0001103	1	2	6
OG0001105	3	1	2
OG0001112	2	2	3
OG0001121	2	2	3
OG0001125	1	2	3
OG0001127	1	1	5
OG0001139	2	2	3
OG0001142	3	1	2
OG0001157	1	1	6
OG0001168	0	2	4
OG0001170	0	2	5
OG0001172	0	2	3
OG0001187	0	2	3
OG0001188	0	3	4
OG0001192	0	3	4
OG0001196	0	1	4
OG0001202	0	1	5
OG0001210	0	1	4
OG0001211	0	1	4
OG0001212	0	1	4
OG0001214	0	2	8
OG0001217	0	1	7
OG0001242	3	1	2
OG0001248	1	1	2
OG0001269	1	1	3
OG0001287	1	1	6
OG0001290	1	1	5
OG0001302	3	1	2
OG0001310	3	1	2
OG0001316	3	1	2
OG0001341	1	1	5
OG0001353	1	1	4
OG0001356	3	1	2
OG0001359	3	1	2
OG0001407	1	2	3
OG0001442	1	1	4
OG0001506	3	1	2
OG0001516	3	1	2
OG0001557	2	1	3
OG0001562	1	2	4
OG0001563	3	1	2
OG0001564	1	1	4
OG0001569	3	1	2
OG0001571	1	2	3
OG0001585	1	2	3
OG0001596	1	1	3
OG0001600	2	1	12
OG0001602	3	1	2
OG0001632	3	1	2
OG0001633	3	1	2
OG0001641	1	1	2
OG0001661	3	1	2
OG0001666	1	2	3
OG0001688	1	1	3
OG0001701	1	2	3
OG0001705	1	2	3
OG0001712	1	1	5
OG0001726	2	1	2
OG0001728	1	1	4
OG0001734	3	1	2
OG0001737	1	1	2
OG0001750	1	1	2
OG0001756	1	1	3
OG0001760	1	2	3
OG0001768	1	1	2
OG0001769	1	2	3
OG0001770	1	1	4
OG0001773	1	1	2
OG0001778	0	2	3
OG0001780	0	3	4
OG0001785	0	1	3
OG0001791	0	1	3
OG0001798	0	1	2
OG0001800	0	2	4
OG0001807	0	1	3
OG0001809	0	3	4
OG0001811	0	1	4
OG0001814	0	1	4
OG0001817	0	1	5
OG0001821	0	1	3
OG0001822	0	1	4
OG0001823	0	2	5
OG0001824	0	2	4
OG0001825	0	1	6
OG0001826	0	1	2
OG0001827	0	1	5
OG0001830	0	1	7
OG0001874	1	1	3
OG0001878	1	1	2
OG0001888	2	1	2
OG0001893	2	1	2
OG0001899	1	1	2
OG0001902	1	2	3
OG0001920	1	1	2
OG0001933	2	1	2
OG0001958	1	1	2
OG0001963	2	1	2
OG0001977	1	1	3
OG0001995	1	1	2
OG0001998	2	1	2
OG0002001	2	1	2
OG0002007	2	1	5
OG0002010	2	1	2
OG0002021	2	1	2
OG0002022	2	1	2
OG0002034	1	1	5
OG0002040	1	1	2
OG0002046	1	1	2
OG0002057	2	1	2
OG0002074	2	1	2
OG0002081	2	1	2
OG0002082	2	1	2
OG0002084	2	1	2
OG0002088	2	1	2
OG0002097	2	1	2
OG0002101	2	1	2
OG0002114	1	1	3
OG0002117	1	1	3
OG0002118	2	1	2
OG0002127	1	1	3
OG0002143	2	1	2
OG0002148	1	1	2
OG0002169	2	1	2
OG0002170	1	1	2
OG0002191	2	1	2
OG0002204	2	1	2
OG0002211	1	1	3
OG0002251	1	1	3
OG0002259	2	1	2
OG0002273	1	1	15
OG0002282	1	1	3
OG0002283	1	1	3
OG0002313	2	1	2
OG0002314	1	1	2
OG0002316	1	1	3
OG0002318	2	1	2
OG0002324	2	1	2
OG0002341	2	1	2
OG0002343	1	1	2
OG0002366	1	1	3
OG0002370	1	1	2
OG0002374	2	1	2
OG0002387	2	1	2
OG0002406	2	1	2
OG0002412	1	1	3
OG0002421	2	1	2
OG0002424	1	1	3
OG0002438	1	1	2
OG0002442	2	1	2
OG0002459	2	1	2
OG0002462	2	1	2
OG0002478	1	1	2
