Category	ID	Term	adj_pval_tfas	adj_pval_tlei	Genes
MF	GO:0004497	monooxygenase activity	0.03834	NA	Tfasc_v1.00779-RA, Tfasc_v1.00839-RA, Tfasc_v1.00840-RA, Tfasc_v1.06756-RA, Tfasc_v1.07354-RA, Tfasc_v1.07798-RA, Tfasc_v1.12645-RA, Tfasc_v1.13776-RA, Tfasc_v1.14246-RA, Tfasc_v1.16132-RA, Tfasc_v1.17157-RA, Tfasc_v1.17172-RA, Tfasc_v1.18352-RA, Tfasc_v1.19411-RA, Tfasc_v1.20759-RA, Tfasc_v1.21335-RA, Tfasc_v1.21912-RA, Tfasc_v1.27051-RA, Tfasc_v1.28072-RA
CC	GO:0005783	endoplasmic reticulum	NA	0.0076	Tlei_v1.00158-RA, Tlei_v1.03587-RA, Tlei_v1.03821-RA, Tlei_v1.05417-RA, Tlei_v1.06549-RA, Tlei_v1.06826-RA, Tlei_v1.07012-RA, Tlei_v1.07217-RA, Tlei_v1.07670-RA, Tlei_v1.10260-RA, Tlei_v1.10770-RA, Tlei_v1.11436-RA, Tlei_v1.12379-RA, Tlei_v1.12864-RA, Tlei_v1.13443-RA, Tlei_v1.14186-RA, Tlei_v1.14619-RA, Tlei_v1.15740-RA, Tlei_v1.17075-RA, Tlei_v1.18075-RA, Tlei_v1.20461-RA, Tlei_v1.20937-RA, Tlei_v1.21895-RA, Tlei_v1.22109-RA, Tlei_v1.22768-RA, Tlei_v1.26183-RA, Tlei_v1.26196-RA, Tlei_v1.26309-RA, Tlei_v1.26414-RA, Tlei_v1.28908-RA, Tlei_v1.29197-RA, Tlei_v1.30665-RA, Tlei_v1.31428-RA
MF	GO:0000248	C-5 sterol desaturase activity	0.03399	0.0344	Tfasc_v1.16794-RA, Tlei_v1.07670-RA
MF	GO:0005052	peroxisome matrix targeting signal-1 binding	0.03399	0.0344	Tfasc_v1.06380-RA, Tlei_v1.01663-RA
MF	GO:0052924	all-trans-nonaprenyl-diphosphate synthase (geranylgeranyl-diphosphate specific) activity	0.03399	NA	Tfasc_v1.26913-RA
BP	GO:0042254	ribosome biogenesis	0.01811	NA	Tfasc_v1.03365-RA, Tfasc_v1.05279-RA, Tfasc_v1.07109-RA, Tfasc_v1.07889-RA, Tfasc_v1.08551-RA, Tfasc_v1.09454-RA, Tfasc_v1.10560-RA, Tfasc_v1.11669-RA, Tfasc_v1.11802-RA, Tfasc_v1.11809-RA, Tfasc_v1.13080-RA, Tfasc_v1.17835-RA, Tfasc_v1.17836-RA, Tfasc_v1.18502-RA, Tfasc_v1.21514-RA, Tfasc_v1.23043-RA, Tfasc_v1.26452-RA, Tfasc_v1.27134-RA, Tfasc_v1.27483-RA, Tfasc_v1.28063-RA, Tfasc_v1.29359-RA, Tfasc_v1.29834-RA, Tfasc_v1.29840-RA, Tfasc_v1.30512-RA
CC	GO:0034045	phagophore assembly site membrane	0.03093	NA	Tfasc_v1.26429-RA, Tfasc_v1.27782-RA
BP	GO:0016598	protein arginylation	0.03623	NA	Tfasc_v1.12130-RA
CC	GO:0031262	Ndc80 complex	0.00729	0.0042	Tfasc_v1.00079-RA, Tfasc_v1.05612-RA, Tlei_v1.01035-RA, Tlei_v1.03600-RA
CC	GO:0019867	outer membrane	NA	0.0379	Tlei_v1.10972-RA, Tlei_v1.22233-RA, Tlei_v1.31622-RA
MF	GO:0004795	threonine synthase activity	0.03399	0.0344	Tfasc_v1.24783-RA, Tlei_v1.26112-RA
BP	GO:0046739	transport of virus in multicellular host	NA	0.0386	Tlei_v1.26541-RA
BP	GO:0009751	response to salicylic acid	0.01541	NA	Tfasc_v1.00158-RA, Tfasc_v1.01496-RA, Tfasc_v1.09668-RA, Tfasc_v1.19063-RA, Tfasc_v1.21339-RA
BP	GO:0006982	response to lipid hydroperoxide	0.03623	NA	Tfasc_v1.14287-RA
MF	GO:0033201	alpha-1,4-glucan synthase activity	0.03399	0.0344	Tfasc_v1.16595-RA, Tlei_v1.07162-RA
BP	GO:0000160	phosphorelay signal transduction system	0.03899	0.0203	Tfasc_v1.11684-RA, Tfasc_v1.11797-RA, Tfasc_v1.13157-RA, Tfasc_v1.21208-RA, Tfasc_v1.22830-RA, Tfasc_v1.27664-RA, Tfasc_v1.27916-RA, Tlei_v1.02870-RA, Tlei_v1.10984-RA, Tlei_v1.11436-RA, Tlei_v1.17530-RA, Tlei_v1.19474-RA, Tlei_v1.26632-RA, Tlei_v1.29955-RA
MF	GO:0004651	polynucleotide 5'-phosphatase activity	NA	0.0344	Tlei_v1.05537-RA
MF	GO:0015120	phosphoglycerate transmembrane transporter activity	0.00338	0.0068	Tfasc_v1.02314-RA, Tfasc_v1.26941-RA, Tlei_v1.26913-RA, Tlei_v1.28581-RA
MF	GO:0004563	beta-N-acetylhexosaminidase activity	0.01077	NA	Tfasc_v1.00141-RA, Tfasc_v1.17218-RA
MF	GO:0046873	metal ion transmembrane transporter activity	0.03368	NA	Tfasc_v1.04652-RA, Tfasc_v1.06758-RA, Tfasc_v1.09033-RA, Tfasc_v1.09195-RA, Tfasc_v1.09969-RA, Tfasc_v1.09970-RB, Tfasc_v1.11703-RA, Tfasc_v1.12282-RA, Tfasc_v1.12764-RA, Tfasc_v1.25092-RA, Tfasc_v1.25483-RA, Tfasc_v1.27284-RA
BP	GO:0070537	histone H2A K63-linked deubiquitination	NA	0.0386	Tlei_v1.23912-RB
BP	GO:1902074	response to salt	0.01783	0.0201	Tfasc_v1.00158-RA, Tfasc_v1.21339-RA, Tlei_v1.03534-RA, Tlei_v1.17388-RA
MF	GO:0102148	N-acetyl-beta-D-galactosaminidase activity	0.00661	NA	Tfasc_v1.00141-RA, Tfasc_v1.17218-RA
MF	GO:0000254	C-4 methylsterol oxidase activity	NA	0.0363	Tlei_v1.00158-RA, Tlei_v1.14619-RA
MF	GO:0004222	metalloendopeptidase activity	NA	0.0419	Tlei_v1.00868-RA, Tlei_v1.01104-RA, Tlei_v1.11887-RA, Tlei_v1.16555-RA, Tlei_v1.20983-RA, Tlei_v1.31408-RA
MF	GO:0051117	ATPase binding	0.00593	0.0384	Tfasc_v1.03307-RA, Tfasc_v1.11802-RA, Tfasc_v1.11809-RA, Tfasc_v1.17141-RA, Tlei_v1.03708-RA, Tlei_v1.27965-RA, Tlei_v1.29105-RA
BP	GO:0048578	positive regulation of long-day photoperiodism, flowering	NA	0.0201	Tlei_v1.21413-RA, Tlei_v1.24417-RA
MF	GO:0016166	phytoene dehydrogenase activity	NA	0.0344	Tlei_v1.05465-RA
BP	GO:0042128	nitrate assimilation	0.01783	NA	Tfasc_v1.08596-RA, Tfasc_v1.08668-RA
MF	GO:0046961	proton-transporting ATPase activity, rotational mechanism	4.7e-08	1.6e-09	Tfasc_v1.01733-RA, Tfasc_v1.03307-RA, Tfasc_v1.09378-RA, Tfasc_v1.14165-RA, Tfasc_v1.16080-RA, Tfasc_v1.17712-RA, Tfasc_v1.19742-RA, Tfasc_v1.24696-RA, Tfasc_v1.25154-RA, Tlei_v1.03708-RA, Tlei_v1.04787-RA, Tlei_v1.06629-RA, Tlei_v1.08884-RA, Tlei_v1.16099-RA, Tlei_v1.17232-RA, Tlei_v1.24006-RA, Tlei_v1.27461-RA, Tlei_v1.30675-RA, Tlei_v1.31471-RA
CC	GO:0005952	cAMP-dependent protein kinase complex	NA	0.0379	Tlei_v1.30699-RA
