Scaffold	total_length	total_exonic_length	proportion_exonic	repetitive_content	repetitive_bases	ratio	ratio2
1	Tlei_chr1	60417217	785108	1.3	0.8053	48653984.8501	0.0161365611145494	61.9710725786771
2	Tlei_chr2	57132681	858429	1.5	0.7824	44700609.6144	0.0192039662860317	52.0725763160378
3	Tlei_chr3	55693152	635809	1.14	0.8164	45467889.2928	0.0139836928850067	71.5118680182256
4	Tlei_chr4	55355978	608177	1.1	0.8325	46083851.685	0.0131971824785201	75.7737495581056
5	Tlei_chr5	54835787	589165	1.07	0.8316	45601440.4692	0.0129198769586661	77.4001179112812
6	Tlei_chr6	52333425	666120	1.27	0.7946	41584139.505	0.0160186072846333	62.4273997252747
7	Tlei_chr7	52290719	501122	0.96	0.8439	44128137.7641	0.0113560649823678	88.058671868527
8	Tlei_chr8	51368336	682196	1.33	0.779	40015933.744	0.0170481089948898	58.6575320640989
9	Tlei_chr9	50270259	732365	1.46	0.8022	40326801.7698	0.0181607508619356	55.0638025708492
10	Tlei_chr10	48367378	761158	1.57	0.7862	38026432.5836	0.0200165502858207	49.9586584961335
11	Tlei_chr11	45933410	486867	1.06	0.8432	38731051.312	0.0125704566105892	79.551605083113
12	Tlei_chr12	43354870	546030	1.26	0.8019	34766270.253	0.0157057399607852	63.6709892368551
13	Tlei_chr13	39222561	561693	1.43	0.8009	31413349.1049	0.0178807104624315	55.9261894039983
14	Tlei_chr14	38474115	888384	2.31	0.6568	25269798.732	0.0351559586770673	28.4446801518262
15	Tlei_chr15	34590513	695550	2.01	0.7178	24829070.2314	0.0280135338745136	35.6970314591331
16	Tlei_chr16	30260857	490118	1.62	0.7471	22607886.2647	0.0216790722609602	46.1274351578599
17	Tlei_chr17	28860503	688715	2.39	0.662	19105652.986	0.0360477080005937	27.7410147680826
18	Tlei_chr18	26162001	439930	1.68	0.7438	19459296.3438	0.0226077033941758	44.2327105307663
19	Tlei_chr19	20449340	596141	2.92	0.5669	11592730.846	0.0514236902347901	19.4462901327035
20	Tlei_chr20	18294627	606384	3.31	0.5497	10056556.4619	0.0602973793561773	16.5844686896422
21	Tlei_chr21	11471721	383571	3.34	0.5142	5898758.9382	0.0650257120215606	15.378532105399
22	Tlei_chr22	10199391	436574	4.28	0.4256	4340860.8096	0.100573139556675	9.94301266131286
23	Tlei_chr23	9804442	488772	4.99	0.3431	3363904.0502	0.145299031335611	6.88235833926657
24	Tlei_chr24	8346026	313122	3.75	0.4401	3673086.0426	0.0852476626924743	11.730526895587
25	Tlei_chr25	1986623	25637	1.29	0.8174	1623865.6402	0.0157876362214564	63.3407044584
26	Tlei_chr26	991997	17300	1.74	0.6785	673069.9645	0.0257031228734914	38.9057782947977
