Category	ID	Term	adj_pval	Orthogroups	Genes
BP	GO:0009958	positive gravitropism	2e-04	OG0000782, OG0015047	Tfasc_v1.11037, Tfasc_v1.17961
BP	GO:0010027	thylakoid membrane organization	0.00054	OG0017230, OG0005848, OG0013730	Tfasc_v1.00170, Tfasc_v1.14149, Tfasc_v1.18494
BP	GO:1900111	positive regulation of histone H3-K9 dimethylation	0.00458	OG0013487	Tfasc_v1.11646
BP	GO:0044794	positive regulation by host of viral process	0.00458	OG0004303	Tfasc_v1.00244
BP	GO:0045056	transcytosis	0.00458	OG0010000	Tfasc_v1.26612
BP	GO:0042371	vitamin K biosynthetic process	0.00458	OG0016807	Tfasc_v1.20276
BP	GO:0006103	2-oxoglutarate metabolic process	0.00458	OG0010183	Tfasc_v1.17586
BP	GO:0032194	ubiquinone biosynthetic process via 3,4-dihydroxy-5-polyprenylbenzoate	0.00458	OG0016807	Tfasc_v1.20276
BP	GO:1903343	positive regulation of meiotic DNA double-strand break formation	0.00458	OG0013487	Tfasc_v1.11646
BP	GO:0033354	chlorophyll cycle	0.00458	OG0012010	Tfasc_v1.21623
BP	GO:0006522	alanine metabolic process	0.00458	OG0010183	Tfasc_v1.17586
BP	GO:0019477	L-lysine catabolic process	0.00458	OG0015195	Tfasc_v1.08278
BP	GO:0061866	negative regulation of histone H3-S10 phosphorylation	0.00458	OG0013487	Tfasc_v1.11646
BP	GO:0080167	response to karrikin	0.00534	OG0015195, OG0005052	Tfasc_v1.08278, Tfasc_v1.25836
BP	GO:0009772	photosynthetic electron transport in photosystem II	0.00914	OG0016807	Tfasc_v1.20276
BP	GO:0006949	syncytium formation	0.00914	OG0005052	Tfasc_v1.25836
BP	GO:2000616	negative regulation of histone H3-K9 acetylation	0.00914	OG0013487	Tfasc_v1.11646
BP	GO:0002939	tRNA N1-guanine methylation	0.00914	OG0013554	Tfasc_v1.06100
BP	GO:0035987	endodermal cell differentiation	0.00914	OG0012490	Tfasc_v1.04985
BP	GO:0045597	positive regulation of cell differentiation	0.00914	OG0012490	Tfasc_v1.04985
BP	GO:0006531	aspartate metabolic process	0.00914	OG0010183	Tfasc_v1.17586
BP	GO:0008285	negative regulation of cell population proliferation	0.01368	OG0012490	Tfasc_v1.04985
BP	GO:2000067	regulation of root morphogenesis	0.01368	OG0012490	Tfasc_v1.04985
BP	GO:0000447	endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	0.01368	OG0001461	Tfasc_v1.15677
BP	GO:0051555	flavonol biosynthetic process	0.01368	OG0000484	Tfasc_v1.14214
BP	GO:0048211	Golgi vesicle docking	0.01368	OG0010000	Tfasc_v1.26612
BP	GO:0006436	tryptophanyl-tRNA aminoacylation	0.01368	OG0008824	Tfasc_v1.24106
BP	GO:0010253	UDP-rhamnose biosynthetic process	0.0182	OG0000484	Tfasc_v1.14214
BP	GO:0000055	ribosomal large subunit export from nucleus	0.0227	OG0001461	Tfasc_v1.15677
BP	GO:0009058	biosynthetic process	0.02431	OG0011702, OG0005401, OG0012490, OG0017488, OG0010782, OG0004067, OG0000484, OG0010183, OG0001005, OG0013730, OG0016807, OG0008824, OG0006711, OG0005029, OG0010274	Tfasc_v1.00356, Tfasc_v1.02815, Tfasc_v1.04985, Tfasc_v1.06121, Tfasc_v1.11905, Tfasc_v1.12078, Tfasc_v1.14214, Tfasc_v1.17586, Tfasc_v1.18249, Tfasc_v1.18494, Tfasc_v1.20276, Tfasc_v1.24106, Tfasc_v1.28014, Tfasc_v1.28224, Tfasc_v1.28933
BP	GO:0015979	photosynthesis	0.0258	OG0011628, OG0005430, OG0003201, OG0016807	Tfasc_v1.00140, Tfasc_v1.00900, Tfasc_v1.08676, Tfasc_v1.20276
BP	GO:0032456	endocytic recycling	0.02718	OG0012350	Tfasc_v1.06746
BP	GO:0033169	histone H3-K9 demethylation	0.02718	OG0013487	Tfasc_v1.11646
BP	GO:0010236	plastoquinone biosynthetic process	0.02718	OG0016807	Tfasc_v1.20276
BP	GO:0007143	female meiotic nuclear division	0.03164	OG0013487	Tfasc_v1.11646
BP	GO:0016024	CDP-diacylglycerol biosynthetic process	0.03164	OG0005029	Tfasc_v1.28224
BP	GO:0009645	response to low light intensity stimulus	0.03608	OG0003201	Tfasc_v1.08676
BP	GO:0019632	shikimate metabolic process	0.03608	OG0013730	Tfasc_v1.18494
BP	GO:0007155	cell adhesion	0.03608	OG0001146	Tfasc_v1.12615
BP	GO:0046294	formaldehyde catabolic process	0.04049	OG0013374	Tfasc_v1.02565
BP	GO:0042372	phylloquinone biosynthetic process	0.04049	OG0016807	Tfasc_v1.20276
BP	GO:0046512	sphingosine biosynthetic process	0.04049	OG0017488	Tfasc_v1.06121
BP	GO:0055046	microgametogenesis	0.04049	OG0013487	Tfasc_v1.11646
BP	GO:0008360	regulation of cell shape	0.04489	OG0000782	Tfasc_v1.11037
BP	GO:0048280	vesicle fusion with Golgi apparatus	0.04927	OG0010000	Tfasc_v1.26612
MF	GO:0004069	L-aspartate:2-oxoglutarate aminotransferase activity	0.00026	OG0010183, OG0001005	Tfasc_v1.17586, Tfasc_v1.18249
MF	GO:0035197	siRNA binding	0.00355	OG0013487	Tfasc_v1.11646
MF	GO:0047130	saccharopine dehydrogenase (NADP+, L-lysine-forming) activity	0.00355	OG0015195	Tfasc_v1.08278
MF	GO:0019003	GDP binding	0.00355	OG0000782	Tfasc_v1.11037
MF	GO:0090415	7-hydroxymethyl chlorophyll a reductase activity	0.00355	OG0012010	Tfasc_v1.21623
