Category	ID	Term	adj_pval	Orthogroups	Genes
BP	GO:0007231	osmosensory signaling pathway	1e-26	OG0000288, OG0000283	Tfasc_v1.06052-RA, Tfasc_v1.17844-RA, Tlei_v1.01438-RA, Tlei_v1.02623-RA, Tlei_v1.02849-RA, Tlei_v1.04029-RA, Tlei_v1.05983-RA, Tlei_v1.06473-RA, Tlei_v1.07195-RA, Tlei_v1.12538-RA, Tlei_v1.13514-RA, Tlei_v1.15064-RA, Tlei_v1.15181-RA, Tlei_v1.18560-RA
BP	GO:0010086	embryonic root morphogenesis	2.6e-26	OG0000288, OG0000283	Tfasc_v1.06052-RA, Tfasc_v1.17844-RA, Tlei_v1.01438-RA, Tlei_v1.02623-RA, Tlei_v1.02849-RA, Tlei_v1.04029-RA, Tlei_v1.05983-RA, Tlei_v1.06473-RA, Tlei_v1.07195-RA, Tlei_v1.12538-RA, Tlei_v1.13514-RA, Tlei_v1.15064-RA, Tlei_v1.15181-RA, Tlei_v1.18560-RA
BP	GO:0071329	cellular response to sucrose stimulus	1.5e-21	OG0000288, OG0000283	Tfasc_v1.06052-RA, Tfasc_v1.17844-RA, Tlei_v1.01438-RA, Tlei_v1.02623-RA, Tlei_v1.02849-RA, Tlei_v1.04029-RA, Tlei_v1.05983-RA, Tlei_v1.06473-RA, Tlei_v1.07195-RA, Tlei_v1.12538-RA, Tlei_v1.13514-RA, Tlei_v1.15064-RA, Tlei_v1.15181-RA, Tlei_v1.18560-RA
BP	GO:0008272	sulfate transport	2.3e-21	OG0000288, OG0000283	Tfasc_v1.06052-RA, Tfasc_v1.17844-RA, Tlei_v1.01438-RA, Tlei_v1.02623-RA, Tlei_v1.02849-RA, Tlei_v1.04029-RA, Tlei_v1.05983-RA, Tlei_v1.06473-RA, Tlei_v1.07195-RA, Tlei_v1.12538-RA, Tlei_v1.13514-RA, Tlei_v1.15064-RA, Tlei_v1.15181-RA, Tlei_v1.18560-RA
BP	GO:0033500	carbohydrate homeostasis	4.8e-21	OG0000288, OG0000283	Tfasc_v1.06052-RA, Tfasc_v1.17844-RA, Tlei_v1.01438-RA, Tlei_v1.02623-RA, Tlei_v1.02849-RA, Tlei_v1.04029-RA, Tlei_v1.05983-RA, Tlei_v1.06473-RA, Tlei_v1.07195-RA, Tlei_v1.12538-RA, Tlei_v1.13514-RA, Tlei_v1.15064-RA, Tlei_v1.15181-RA, Tlei_v1.18560-RA
BP	GO:0009736	cytokinin-activated signaling pathway	4.8e-21	OG0000288, OG0000283	Tfasc_v1.06052-RA, Tfasc_v1.17844-RA, Tlei_v1.01438-RA, Tlei_v1.02623-RA, Tlei_v1.02849-RA, Tlei_v1.04029-RA, Tlei_v1.05983-RA, Tlei_v1.06473-RA, Tlei_v1.07195-RA, Tlei_v1.12538-RA, Tlei_v1.13514-RA, Tlei_v1.15064-RA, Tlei_v1.15181-RA, Tlei_v1.18560-RA
BP	GO:0018106	peptidyl-histidine phosphorylation	6.8e-21	OG0000288, OG0000283	Tfasc_v1.06052-RA, Tfasc_v1.17844-RA, Tlei_v1.01438-RA, Tlei_v1.02623-RA, Tlei_v1.02849-RA, Tlei_v1.04029-RA, Tlei_v1.05983-RA, Tlei_v1.06473-RA, Tlei_v1.07195-RA, Tlei_v1.12538-RA, Tlei_v1.13514-RA, Tlei_v1.15064-RA, Tlei_v1.15181-RA, Tlei_v1.18560-RA
BP	GO:0042742	defense response to bacterium	8.6e-20	OG0000288, OG0000839, OG0000283	Tfasc_v1.06052-RA, Tfasc_v1.11335-RA, Tfasc_v1.17844-RA, Tlei_v1.01438-RA, Tlei_v1.02623-RA, Tlei_v1.02849-RA, Tlei_v1.04029-RA, Tlei_v1.05983-RA, Tlei_v1.06473-RA, Tlei_v1.07195-RA, Tlei_v1.11427-RA, Tlei_v1.12304-RA, Tlei_v1.12308-RA, Tlei_v1.12312-RA, Tlei_v1.12314-RA, Tlei_v1.12336-RA, Tlei_v1.12538-RA, Tlei_v1.13514-RA, Tlei_v1.15064-RA, Tlei_v1.15181-RA, Tlei_v1.18560-RA
BP	GO:0016036	cellular response to phosphate starvation	3.9e-18	OG0000288, OG0000283	Tfasc_v1.06052-RA, Tfasc_v1.17844-RA, Tlei_v1.01438-RA, Tlei_v1.02623-RA, Tlei_v1.02849-RA, Tlei_v1.04029-RA, Tlei_v1.05983-RA, Tlei_v1.06473-RA, Tlei_v1.07195-RA, Tlei_v1.12538-RA, Tlei_v1.13514-RA, Tlei_v1.15064-RA, Tlei_v1.15181-RA, Tlei_v1.18560-RA
BP	GO:0010029	regulation of seed germination	4.9e-18	OG0000288, OG0000283	Tfasc_v1.06052-RA, Tfasc_v1.17844-RA, Tlei_v1.01438-RA, Tlei_v1.02623-RA, Tlei_v1.02849-RA, Tlei_v1.04029-RA, Tlei_v1.05983-RA, Tlei_v1.06473-RA, Tlei_v1.07195-RA, Tlei_v1.12538-RA, Tlei_v1.13514-RA, Tlei_v1.15064-RA, Tlei_v1.15181-RA, Tlei_v1.18560-RA
BP	GO:0048509	regulation of meristem development	1.4e-17	OG0000288, OG0000283	Tfasc_v1.06052-RA, Tfasc_v1.17844-RA, Tlei_v1.01438-RA, Tlei_v1.02623-RA, Tlei_v1.02849-RA, Tlei_v1.04029-RA, Tlei_v1.05983-RA, Tlei_v1.06473-RA, Tlei_v1.07195-RA, Tlei_v1.12538-RA, Tlei_v1.13514-RA, Tlei_v1.15064-RA, Tlei_v1.15181-RA, Tlei_v1.18560-RA
BP	GO:0051639	actin filament network formation	7.8e-15	OG0000490	Tfasc_v1.25765-RA, Tlei_v1.01677-RA, Tlei_v1.01771-RA, Tlei_v1.11005-RA, Tlei_v1.11011-RA, Tlei_v1.16991-RA, Tlei_v1.31863-RA
BP	GO:0048831	regulation of shoot system development	1.3e-14	OG0000288, OG0000283	Tfasc_v1.06052-RA, Tfasc_v1.17844-RA, Tlei_v1.01438-RA, Tlei_v1.02623-RA, Tlei_v1.02849-RA, Tlei_v1.04029-RA, Tlei_v1.05983-RA, Tlei_v1.06473-RA, Tlei_v1.07195-RA, Tlei_v1.12538-RA, Tlei_v1.13514-RA, Tlei_v1.15064-RA, Tlei_v1.15181-RA, Tlei_v1.18560-RA
BP	GO:0000160	phosphorelay signal transduction system	4e-13	OG0000288, OG0000283	Tfasc_v1.06052-RA, Tfasc_v1.17844-RA, Tlei_v1.01438-RA, Tlei_v1.02623-RA, Tlei_v1.02849-RA, Tlei_v1.04029-RA, Tlei_v1.05983-RA, Tlei_v1.06473-RA, Tlei_v1.07195-RA, Tlei_v1.12538-RA, Tlei_v1.13514-RA, Tlei_v1.15064-RA, Tlei_v1.15181-RA, Tlei_v1.18560-RA
BP	GO:0009116	nucleoside metabolic process	5.2e-12	OG0000288	Tfasc_v1.06052-RA, Tlei_v1.01438-RA, Tlei_v1.02623-RA, Tlei_v1.02849-RA, Tlei_v1.04029-RA, Tlei_v1.06473-RA, Tlei_v1.07195-RA, Tlei_v1.12538-RA, Tlei_v1.13514-RA, Tlei_v1.15064-RA, Tlei_v1.15181-RA, Tlei_v1.18560-RA
BP	GO:0009414	response to water deprivation	1.4e-11	OG0000288, OG0000283	Tfasc_v1.06052-RA, Tfasc_v1.17844-RA, Tlei_v1.01438-RA, Tlei_v1.02623-RA, Tlei_v1.02849-RA, Tlei_v1.04029-RA, Tlei_v1.05983-RA, Tlei_v1.06473-RA, Tlei_v1.07195-RA, Tlei_v1.12538-RA, Tlei_v1.13514-RA, Tlei_v1.15064-RA, Tlei_v1.15181-RA, Tlei_v1.18560-RA
BP	GO:0010930	negative regulation of auxin mediated signaling pathway	6.4e-11	OG0001157	Tfasc_v1.29490-RA, Tlei_v1.04865-RA, Tlei_v1.12782-RA, Tlei_v1.12783-RA, Tlei_v1.21916-RA, Tlei_v1.31322-RA
BP	GO:0051017	actin filament bundle assembly	9.6e-11	OG0000490	Tfasc_v1.25765-RA, Tlei_v1.01677-RA, Tlei_v1.01771-RA, Tlei_v1.11005-RA, Tlei_v1.11011-RA, Tlei_v1.16991-RA, Tlei_v1.31863-RA
BP	GO:0010229	inflorescence development	1.2e-10	OG0000875	Tfasc_v1.00696-RA, Tlei_v1.03033-RA, Tlei_v1.03070-RB, Tlei_v1.03078-RA, Tlei_v1.03083-RB, Tlei_v1.11488-RB, Tlei_v1.16233-RA, Tlei_v1.18544-RA
BP	GO:0010364	regulation of ethylene biosynthetic process	1.7e-09	OG0000884	Tlei_v1.11557-RA, Tlei_v1.11558-RA, Tlei_v1.14993-RA, Tlei_v1.17676-RA, Tlei_v1.24900-RA
BP	GO:1900055	regulation of leaf senescence	1.3e-08	OG0000884	Tlei_v1.11557-RA, Tlei_v1.11558-RA, Tlei_v1.14993-RA, Tlei_v1.17676-RA, Tlei_v1.24900-RA
BP	GO:0006606	protein import into nucleus	3.3e-08	OG0000884, OG0001157	Tfasc_v1.01761-RB, Tfasc_v1.29490-RA, Tlei_v1.04865-RA, Tlei_v1.12782-RA, Tlei_v1.12783-RA, Tlei_v1.21916-RA, Tlei_v1.23283-RA, Tlei_v1.31322-RA
BP	GO:0042274	ribosomal small subunit biogenesis	5.3e-08	OG0000622	Tfasc_v1.30216-RA, Tfasc_v1.30223-RA, Tlei_v1.17970-RA, Tlei_v1.17971-RA, Tlei_v1.17980-RA, Tlei_v1.17982-RA, Tlei_v1.20709-RA, Tlei_v1.23539-RA
BP	GO:0006470	protein dephosphorylation	6.1e-08	OG0000288, OG0000283	Tfasc_v1.06052-RA, Tfasc_v1.17844-RA, Tlei_v1.01438-RA, Tlei_v1.02623-RA, Tlei_v1.02849-RA, Tlei_v1.04029-RA, Tlei_v1.05983-RA, Tlei_v1.06473-RA, Tlei_v1.07195-RA, Tlei_v1.12538-RA, Tlei_v1.13514-RA, Tlei_v1.15064-RA, Tlei_v1.15181-RA, Tlei_v1.18560-RA
BP	GO:0006390	mitochondrial transcription	8e-08	OG0002841	Tfasc_v1.30632-RA, Tlei_v1.03665-RA, Tlei_v1.06047-RA, Tlei_v1.31332-RA
BP	GO:0002229	defense response to oomycetes	1e-07	OG0000839	Tfasc_v1.11335-RA, Tlei_v1.11427-RA, Tlei_v1.12304-RA, Tlei_v1.12308-RA, Tlei_v1.12312-RA, Tlei_v1.12314-RA, Tlei_v1.12336-RA
BP	GO:0007019	microtubule depolymerization	1.4e-07	OG0002570	Tfasc_v1.06134-RA, Tlei_v1.01772-RA, Tlei_v1.03674-RA, Tlei_v1.09575-RA
BP	GO:0051013	microtubule severing	2e-06	OG0002570	Tfasc_v1.06134-RA, Tlei_v1.01772-RA, Tlei_v1.03674-RA, Tlei_v1.09575-RA
BP	GO:0006425	glutaminyl-tRNA aminoacylation	4e-06	OG0002273	Tfasc_v1.21875-RA, Tlei_v1.20422-RA, Tlei_v1.31599-RA
BP	GO:0071277	cellular response to calcium ion	1.1e-05	OG0004906	Tfasc_v1.18504-RA, Tlei_v1.15898-RA, Tlei_v1.15907-RA
BP	GO:0006405	RNA export from nucleus	1.9e-05	OG0001157	Tfasc_v1.29490-RA, Tlei_v1.04865-RA, Tlei_v1.12782-RA, Tlei_v1.12783-RA, Tlei_v1.21916-RA, Tlei_v1.31322-RA
BP	GO:0061615	glycolytic process through fructose-6-phosphate	2.1e-05	OG0000908	Tfasc_v1.14229-RA, Tlei_v1.06792-RA, Tlei_v1.21522-RA, Tlei_v1.30622-RA
