"chrom" "V2" "V3" "V4"
"1" "Scaffold_2199" "1" "1e+06" "44.982"
"2" "Scaffold_2199" "1000001" "2e+06" "43.9644"
"3" "Scaffold_2199" "2000001" "3e+06" "39.8849"
"4" "Scaffold_2199" "3000001" "4e+06" "27.2543"
"5" "Scaffold_2199" "4000001" "5e+06" "23.7794"
"6" "Scaffold_2199" "5000001" "6e+06" "23.093"
"7" "Scaffold_2199" "6000001" "7e+06" "14.3758"
"8" "Scaffold_2199" "7000001" "8e+06" "17.9037"
"9" "Scaffold_2199" "8000001" "9e+06" "5.9526"
"10" "Scaffold_2199" "9000001" "1e+07" "3.9596"
"11" "Scaffold_2199" "10000001" "1.1e+07" "1.513"
"12" "Scaffold_2199" "11000001" "1.2e+07" "4.0941"
"13" "Scaffold_2199" "12000001" "1.3e+07" "4.2483"
"14" "Scaffold_2199" "13000001" "1.4e+07" "5.4238"
"15" "Scaffold_2199" "14000001" "1.5e+07" "6.0033"
"16" "Scaffold_2199" "15000001" "1.6e+07" "10.6624"
"17" "Scaffold_2199" "16000001" "1.7e+07" "2.2712"
"18" "Scaffold_2199" "17000001" "1.8e+07" "2.869"
"19" "Scaffold_2199" "18000001" "1.9e+07" "4.7415"
"20" "Scaffold_2199" "19000001" "2e+07" "10.0544"
"21" "Scaffold_2199" "20000001" "2.1e+07" "13.7111"
"22" "Scaffold_2199" "21000001" "2.2e+07" "8.7875"
"23" "Scaffold_2199" "22000001" "2.3e+07" "3.452"
"24" "Scaffold_2199" "23000001" "2.4e+07" "3.3681"
"25" "Scaffold_2199" "24000001" "2.5e+07" "8.6831"
"26" "Scaffold_2199" "25000001" "2.6e+07" "17.2648"
"27" "Scaffold_2199" "26000001" "2.7e+07" "6.4809"
"28" "Scaffold_2199" "27000001" "2.8e+07" "23.3531"
"29" "Scaffold_2199" "28000001" "2.9e+07" "45.1172"
"30" "Scaffold_2199" "29000001" "3e+07" "45.6342"
"31" "Scaffold_2199" "30000001" "3.1e+07" "44.4119"
"32" "Scaffold_2199" "31000001" "3.2e+07" "46.2584"
"33" "Scaffold_2199" "32000001" "3.3e+07" "4.6737"
"34" "Scaffold_658" "1" "1e+06" "28.5931"
"35" "Scaffold_658" "1000001" "2e+06" "33.4311"
"36" "Scaffold_658" "2000001" "3e+06" "34.5689"
"37" "Scaffold_658" "3000001" "4e+06" "40.0022"
"38" "Scaffold_658" "4000001" "5e+06" "39.6186"
"39" "Scaffold_658" "5000001" "6e+06" "45.1875"
"40" "Scaffold_658" "6000001" "7e+06" "31.0522"
"41" "Scaffold_658" "7000001" "8e+06" "15.876"
"42" "Scaffold_658" "8000001" "9e+06" "19.5477"
"43" "Scaffold_658" "9000001" "1e+07" "14.0115"
"44" "Scaffold_658" "10000001" "1.1e+07" "9.445"
"45" "Scaffold_658" "11000001" "1.2e+07" "10.7335"
"46" "Scaffold_658" "12000001" "1.3e+07" "10.1052"
"47" "Scaffold_658" "13000001" "1.4e+07" "6.8996"
"48" "Scaffold_658" "14000001" "1.5e+07" "16.1187"
"49" "Scaffold_658" "15000001" "1.6e+07" "3.0998"
"50" "Scaffold_658" "16000001" "1.7e+07" "0"
"51" "Scaffold_658" "17000001" "1.8e+07" "3.3354"
"52" "Scaffold_658" "18000001" "1.9e+07" "6.0019"
"53" "Scaffold_658" "19000001" "2e+07" "9.2894"
"54" "Scaffold_658" "20000001" "2.1e+07" "4.3211"
"55" "Scaffold_658" "21000001" "2.2e+07" "2.8217"
"56" "Scaffold_658" "22000001" "2.3e+07" "7.9108"
"57" "Scaffold_658" "23000001" "2.4e+07" "7.0274"
"58" "Scaffold_658" "24000001" "2.5e+07" "4.2014"
"59" "Scaffold_658" "25000001" "2.6e+07" "7.8405"
