Category	ID	Term	adj_pval	Orthogroups	Genes
BP	GO:0050790	regulation of catalytic activity	0.00025	OG0010754, OG0002725, OG0014539, OG0014883, OG0014744, OG0007331, OG0002434, OG0010100, OG0006747, OG0010599, OG0009358	Tfasc_v1.00192, Tfasc_v1.13456, Tfasc_v1.13460, Tfasc_v1.17882, Tfasc_v1.17914, Tfasc_v1.22659, Tfasc_v1.24560, Tfasc_v1.26813, Tfasc_v1.27941, Tfasc_v1.28526, Tfasc_v1.30034
BP	GO:0006433	prolyl-tRNA aminoacylation	9e-04	OG0000876, OG0010615	Tfasc_v1.12705, Tfasc_v1.28622
BP	GO:0009090	homoserine biosynthetic process	0.00178	OG0014045, OG0012418	Tfasc_v1.17322, Tfasc_v1.21902
BP	GO:0032508	DNA duplex unwinding	0.00207	OG0015279, OG0016876, OG0010439, OG0008382, OG0019267	Tfasc_v1.00086, Tfasc_v1.04480, Tfasc_v1.07685, Tfasc_v1.09387, Tfasc_v1.11299
BP	GO:0033962	P-body assembly	0.00435	OG0005531, OG0010768	Tfasc_v1.07756, Tfasc_v1.11923
BP	GO:0006511	ubiquitin-dependent protein catabolic process	0.00466	OG0013271, OG0015394, OG0001167, OG0007131, OG0003718, OG0004347, OG0014925, OG0017186, OG0000491, OG0010064, OG0010100, OG0010114, OG0010599	Tfasc_v1.02079, Tfasc_v1.02243, Tfasc_v1.03425, Tfasc_v1.08876, Tfasc_v1.11458, Tfasc_v1.12440, Tfasc_v1.12444, Tfasc_v1.14553, Tfasc_v1.18227, Tfasc_v1.23072, Tfasc_v1.26743, Tfasc_v1.26813, Tfasc_v1.26831, Tfasc_v1.28526
BP	GO:0030150	protein import into mitochondrial matrix	0.00481	OG0010754, OG0009899, OG0014539	Tfasc_v1.00192, Tfasc_v1.03424, Tfasc_v1.13460
BP	GO:0006412	translation	0.00666	OG0002379, OG0000609, OG0001510, OG0001575, OG0010782, OG0010768, OG0000876, OG0005971, OG0005308, OG0003378, OG0011576, OG0011470, OG0002434, OG0009486, OG0003877, OG0010615, OG0009204	Tfasc_v1.00151, Tfasc_v1.04667, Tfasc_v1.10890, Tfasc_v1.10960, Tfasc_v1.11905, Tfasc_v1.11923, Tfasc_v1.12705, Tfasc_v1.14355, Tfasc_v1.19787, Tfasc_v1.20411, Tfasc_v1.22944, Tfasc_v1.23144, Tfasc_v1.24560, Tfasc_v1.25264, Tfasc_v1.26695, Tfasc_v1.28622, Tfasc_v1.29428
BP	GO:0018279	protein N-linked glycosylation via asparagine	0.00793	OG0002630, OG0017653	Tfasc_v1.01753, Tfasc_v1.01755
BP	GO:0005987	sucrose catabolic process	0.01008	OG0010002, OG0009287	Tfasc_v1.26606, Tfasc_v1.29929
BP	GO:0051252	regulation of RNA metabolic process	0.01018	OG0011613, OG0006410, OG0018927, OG0010768, OG0000602, OG0011810, OG0001080, OG0013093, OG0005956, OG0009058, OG0012037, OG0004405, OG0007397, OG0007301, OG0009486, OG0015335, OG0017048, OG0010124, OG0010274, OG0018311, OG0001360	Tfasc_v1.00117, Tfasc_v1.05618, Tfasc_v1.08043, Tfasc_v1.11923, Tfasc_v1.12099, Tfasc_v1.12490, Tfasc_v1.12500, Tfasc_v1.13042, Tfasc_v1.14330, Tfasc_v1.16561, Tfasc_v1.21584, Tfasc_v1.21622, Tfasc_v1.22547, Tfasc_v1.22715, Tfasc_v1.25264, Tfasc_v1.25689, Tfasc_v1.26857, Tfasc_v1.26859, Tfasc_v1.28933, Tfasc_v1.29340, Tfasc_v1.30172
BP	GO:0009088	threonine biosynthetic process	0.01246	OG0014045, OG0012418	Tfasc_v1.17322, Tfasc_v1.21902
BP	GO:0009263	deoxyribonucleotide biosynthetic process	0.01506	OG0001681	Tfasc_v1.30635, Tfasc_v1.30639
BP	GO:0002758	innate immune response-activating signal transduction	0.01506	OG0016587, OG0012902	Tfasc_v1.14076, Tfasc_v1.18458
BP	GO:0033314	mitotic DNA replication checkpoint signaling	0.01506	OG0004792, OG0014891	Tfasc_v1.02550, Tfasc_v1.19832
BP	GO:0000278	mitotic cell cycle	0.01626	OG0004792, OG0001167, OG0013174, OG0010439, OG0013663, OG0000213, OG0014891	Tfasc_v1.02550, Tfasc_v1.03425, Tfasc_v1.05563, Tfasc_v1.07685, Tfasc_v1.07995, Tfasc_v1.08865, Tfasc_v1.11971, Tfasc_v1.19832
BP	GO:0051457	maintenance of protein location in nucleus	0.01746	OG0011810	Tfasc_v1.12490
BP	GO:0009270	response to humidity	0.01746	OG0013783	Tfasc_v1.01719
BP	GO:0019500	cyanide catabolic process	0.01746	OG0001508	Tfasc_v1.02941
BP	GO:0006742	NADP catabolic process	0.01746	OG0005934	Tfasc_v1.14274
BP	GO:0019677	NAD catabolic process	0.01746	OG0005934	Tfasc_v1.14274
BP	GO:1902979	mitotic DNA replication termination	0.01746	OG0013663	Tfasc_v1.07995
BP	GO:0071171	site-specific DNA replication termination at RTS1 barrier	0.01746	OG0013663	Tfasc_v1.07995
BP	GO:0071266	'de novo' L-methionine biosynthetic process	0.01746	OG0004742	Tfasc_v1.17930
BP	GO:0010269	response to selenium ion	0.01746	OG0011802	Tfasc_v1.12454
BP	GO:1990264	peptidyl-tyrosine dephosphorylation involved in inactivation of protein kinase activity	0.01746	OG0007331	Tfasc_v1.22659
BP	GO:0019343	cysteine biosynthetic process via cystathionine	0.01746	OG0004742	Tfasc_v1.17930
BP	GO:0090063	positive regulation of microtubule nucleation	0.01746	OG0013174	Tfasc_v1.05563
BP	GO:0070588	calcium ion transmembrane transport	0.02113	OG0018047, OG0008973, OG0013024	Tfasc_v1.09970, Tfasc_v1.16329, Tfasc_v1.23652
BP	GO:0043248	proteasome assembly	0.02407	OG0015394, OG0017186	Tfasc_v1.02243, Tfasc_v1.18227
BP	GO:0006873	cellular ion homeostasis	0.03413	OG0011610, OG0013783, OG0000193, OG0008973, OG0013024, OG0009421	Tfasc_v1.00096, Tfasc_v1.01719, Tfasc_v1.04839, Tfasc_v1.16329, Tfasc_v1.23652, Tfasc_v1.30233
BP	GO:0006534	cysteine metabolic process	0.03437	OG0001508, OG0011802, OG0004742	Tfasc_v1.02941, Tfasc_v1.12454, Tfasc_v1.17930
BP	GO:0006955	immune response	0.03459	OG0001508, OG0016587, OG0012902, OG0012955, OG0009393	Tfasc_v1.02941, Tfasc_v1.14076, Tfasc_v1.18458, Tfasc_v1.19307, Tfasc_v1.30144
BP	GO:0018283	iron incorporation into metallo-sulfur cluster	0.03463	OG0011802	Tfasc_v1.12454
BP	GO:0042351	'de novo' GDP-L-fucose biosynthetic process	0.03463	OG0011254	Tfasc_v1.20857
BP	GO:0090610	bundle sheath cell fate specification	0.03463	OG0011810	Tfasc_v1.12490
BP	GO:0019478	D-amino acid catabolic process	0.03463	OG0015458	Tfasc_v1.26043
BP	GO:0015742	alpha-ketoglutarate transport	0.03463	OG0015237	Tfasc_v1.19779
