Category	ID	Term	adj_pval	Orthogroups	Genes
BP	GO:0016540	protein autoprocessing	0.00046	OG0005386	Tfasc_v1.05294, Tfasc_v1.05298
BP	GO:0009423	chorismate biosynthetic process	0.00115	OG0012246, OG0000719	Tfasc_v1.21265, Tfasc_v1.23078
BP	GO:0006890	retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum	0.0057	OG0004441, OG0010119, OG0001885	Tfasc_v1.15893, Tfasc_v1.26845, Tfasc_v1.27720
BP	GO:0009073	aromatic amino acid family biosynthetic process	0.00834	OG0007849, OG0012246, OG0000719	Tfasc_v1.20454, Tfasc_v1.21265, Tfasc_v1.23078
BP	GO:0015783	GDP-fucose transmembrane transport	0.01769	OG0004385	Tfasc_v1.23193
BP	GO:0009972	cytidine deamination	0.01769	OG0018010	Tfasc_v1.09348
BP	GO:0010124	phenylacetate catabolic process	0.01769	OG0019112	Tfasc_v1.07512
BP	GO:0031468	nuclear membrane reassembly	0.01769	OG0003223	Tfasc_v1.08939
BP	GO:0048759	xylem vessel member cell differentiation	0.02642	OG0007440	Tfasc_v1.22437
BP	GO:0015713	phosphoglycerate transmembrane transport	0.02642	OG0010980	Tfasc_v1.10834
BP	GO:0019516	lactate oxidation	0.02642	OG0000610	Tfasc_v1.13211
BP	GO:0045048	protein insertion into ER membrane	0.02642	OG0015779	Tfasc_v1.26354
BP	GO:0000301	retrograde transport, vesicle recycling within Golgi	0.02642	OG0008828	Tfasc_v1.24112
BP	GO:0097052	L-kynurenine metabolic process	0.02642	OG0014514	Tfasc_v1.12896
BP	GO:0032447	protein urmylation	0.02642	OG0013784	Tfasc_v1.01709
BP	GO:0007030	Golgi organization	0.03264	OG0003223, OG0008828	Tfasc_v1.08939, Tfasc_v1.24112
BP	GO:0035436	triose phosphate transmembrane transport	0.03508	OG0010980	Tfasc_v1.10834
BP	GO:0050992	dimethylallyl diphosphate biosynthetic process	0.03508	OG0011160	Tfasc_v1.19390
BP	GO:0106035	protein maturation by [4Fe-4S] cluster transfer	0.03508	OG0015401	Tfasc_v1.02236
BP	GO:0070933	histone H4 deacetylation	0.04365	OG0015068	Tfasc_v1.22834
BP	GO:0002143	tRNA wobble position uridine thiolation	0.04365	OG0013784	Tfasc_v1.01709
BP	GO:0048205	COPI coating of Golgi vesicle	0.04365	OG0001143	Tfasc_v1.06549
MF	GO:0008798	beta-aspartyl-peptidase activity	2e-04	OG0005386	Tfasc_v1.05294, Tfasc_v1.05298
MF	GO:0004067	asparaginase activity	2e-04	OG0005386	Tfasc_v1.05294, Tfasc_v1.05298
MF	GO:0010333	terpene synthase activity	0.0013	OG0016099, OG0000803, OG0000311	Tfasc_v1.03807, Tfasc_v1.03810, Tfasc_v1.14019
MF	GO:0051087	chaperone binding	0.0038	OG0010652, OG0015727, OG0014383	Tfasc_v1.21082, Tfasc_v1.26911, Tfasc_v1.28125
MF	GO:0005544	calcium-dependent phospholipid binding	0.0042	OG0006566, OG0006560	Tfasc_v1.01378, Tfasc_v1.01379
MF	GO:0097163	sulfur carrier activity	0.0083	OG0013784	Tfasc_v1.01709
MF	GO:0033984	indole-3-glycerol-phosphate lyase activity	0.0083	OG0007849	Tfasc_v1.20454
MF	GO:0008837	diaminopimelate epimerase activity	0.0083	OG0005968	Tfasc_v1.14351
MF	GO:0051213	dioxygenase activity	0.0155	OG0000584, OG0012309, OG0010460, OG0001263, OG0000806, OG0006784	Tfasc_v1.05787, Tfasc_v1.06689, Tfasc_v1.07659, Tfasc_v1.14367, Tfasc_v1.23382, Tfasc_v1.27880
MF	GO:0046872	metal ion binding	0.0155	OG0003122, OG0006566, OG0006560, OG0013767, OG0004794, OG0016099, OG0000803, OG0004547, OG0001143, OG0012309, OG0016357, OG0010460, OG0018010, OG0019261, OG0015130, OG0000311, OG0001263, OG0011160, OG0016339, OG0001650, OG0012246, OG0015068, OG0000806, OG0008905, OG0009625, OG0009984, OG0006784, OG0002149, OG0015651	Tfasc_v1.00024, Tfasc_v1.01378, Tfasc_v1.01379, Tfasc_v1.01743, Tfasc_v1.03737, Tfasc_v1.03807, Tfasc_v1.03810, Tfasc_v1.04866, Tfasc_v1.06549, Tfasc_v1.06689, Tfasc_v1.06911, Tfasc_v1.07659, Tfasc_v1.09348, Tfasc_v1.11173, Tfasc_v1.13400, Tfasc_v1.14019, Tfasc_v1.14367, Tfasc_v1.19390, Tfasc_v1.20166, Tfasc_v1.20733, Tfasc_v1.21265, Tfasc_v1.22834, Tfasc_v1.23382, Tfasc_v1.24264, Tfasc_v1.24948, Tfasc_v1.26587, Tfasc_v1.27880, Tfasc_v1.29352, Tfasc_v1.30420
MF	GO:0015288	porin activity	0.0165	OG0005717	Tfasc_v1.13827
MF	GO:0047918	GDP-mannose 3,5-epimerase activity	0.0165	OG0001251	Tfasc_v1.20458
MF	GO:0004126	cytidine deaminase activity	0.0165	OG0018010	Tfasc_v1.09348
MF	GO:0003856	3-dehydroquinate synthase activity	0.0165	OG0012246	Tfasc_v1.21265
MF	GO:0047172	shikimate O-hydroxycinnamoyltransferase activity	0.0165	OG0009934	Tfasc_v1.07983
MF	GO:0005457	GDP-fucose transmembrane transporter activity	0.0165	OG0004385	Tfasc_v1.23193
MF	GO:0003849	3-deoxy-7-phosphoheptulonate synthase activity	0.0165	OG0000719	Tfasc_v1.23078
MF	GO:0016702	oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen	0.0238	OG0000584, OG0000806	Tfasc_v1.05787, Tfasc_v1.23382
