chrom	start_window	end_window	perc_te
Scaffold_2199	1	100000	24.413999999999998
Scaffold_2199	100001	200000	18.363
Scaffold_2199	200001	300000	15.751000000000001
Scaffold_2199	300001	400000	18.243000000000002
Scaffold_2199	400001	500000	23.149
Scaffold_2199	500001	600000	18.770999999999997
Scaffold_2199	600001	700000	16.822
Scaffold_2199	700001	800000	13.343
Scaffold_2199	800001	900000	27.776
Scaffold_2199	900001	1000000	8.667
Scaffold_2199	1000001	1100000	17.633
Scaffold_2199	1100001	1200000	23.36
Scaffold_2199	1200001	1300000	25.722
Scaffold_2199	1300001	1400000	27.433999999999997
Scaffold_2199	1400001	1500000	42.93
Scaffold_2199	1500001	1600000	18.541
Scaffold_2199	1600001	1700000	32.637
Scaffold_2199	1700001	1800000	39.67
Scaffold_2199	1800001	1900000	19.817
Scaffold_2199	1900001	2000000	28.111000000000004
Scaffold_2199	2000001	2100000	27.511999999999997
Scaffold_2199	2100001	2200000	42.099
Scaffold_2199	2200001	2300000	22.472
Scaffold_2199	2300001	2400000	21.601
Scaffold_2199	2400001	2500000	26.224999999999998
Scaffold_2199	2500001	2600000	48.236000000000004
Scaffold_2199	2600001	2700000	35.254999999999995
Scaffold_2199	2700001	2800000	26.852999999999998
Scaffold_2199	2800001	2900000	42.141
Scaffold_2199	2900001	3000000	17.591
Scaffold_2199	3000001	3100000	22.052
Scaffold_2199	3100001	3200000	48.747
Scaffold_2199	3200001	3300000	32.193
Scaffold_2199	3300001	3400000	75.598
Scaffold_2199	3400001	3500000	57.147999999999996
Scaffold_2199	3500001	3600000	29.799999999999997
Scaffold_2199	3600001	3700000	36.309999999999995
Scaffold_2199	3700001	3800000	29.792
Scaffold_2199	3800001	3900000	39.431
Scaffold_2199	3900001	4000000	20.419
Scaffold_2199	4000001	4100000	35.324
Scaffold_2199	4100001	4200000	44.68
Scaffold_2199	4200001	4300000	41.287
Scaffold_2199	4300001	4400000	42.552
Scaffold_2199	4400001	4500000	48.289
Scaffold_2199	4500001	4600000	45.036
Scaffold_2199	4600001	4700000	44.806000000000004
Scaffold_2199	4700001	4800000	53.419000000000004
Scaffold_2199	4800001	4900000	45.664
Scaffold_2199	4900001	5000000	63.05500000000001
Scaffold_2199	5000001	5100000	77.118
Scaffold_2199	5100001	5200000	30.36
Scaffold_2199	5200001	5300000	29.110999999999997
Scaffold_2199	5300001	5400000	56.299
Scaffold_2199	5400001	5500000	43.238
Scaffold_2199	5500001	5600000	27.514
Scaffold_2199	5600001	5700000	56.535999999999994
Scaffold_2199	5700001	5800000	55.916
Scaffold_2199	5800001	5900000	46.873
Scaffold_2199	5900001	6000000	41.991
Scaffold_2199	6000001	6100000	61.306000000000004
Scaffold_2199	6100001	6200000	55.599
Scaffold_2199	6200001	6300000	80.023
Scaffold_2199	6300001	6400000	71.761
Scaffold_2199	6400001	6500000	62.529
Scaffold_2199	6500001	6600000	46.298
Scaffold_2199	6600001	6700000	51.233
