"chrom" "V2" "V3" "percentage_genic"
"1" "Scaffold_2199" "1" "1e+06" "33.2885"
"2" "Scaffold_2199" "1000001" "2e+06" "31.229"
"3" "Scaffold_2199" "2000001" "3e+06" "30.937"
"4" "Scaffold_2199" "3000001" "4e+06" "20.1461"
"5" "Scaffold_2199" "4000001" "5e+06" "0.7987"
"6" "Scaffold_2199" "5000001" "6e+06" "10.0219"
"7" "Scaffold_2199" "6000001" "7e+06" "0.3772"
"8" "Scaffold_2199" "7000001" "8e+06" "6.0245"
"9" "Scaffold_2199" "8000001" "9e+06" "3.0819"
"10" "Scaffold_2199" "9000001" "1e+07" "2.3876"
"11" "Scaffold_2199" "10000001" "1.1e+07" "0.578"
"12" "Scaffold_2199" "11000001" "1.2e+07" "3.5507"
"13" "Scaffold_2199" "12000001" "1.3e+07" "2.4195"
"14" "Scaffold_2199" "13000001" "1.4e+07" "3.6474"
"15" "Scaffold_2199" "14000001" "1.5e+07" "3.4191"
"16" "Scaffold_2199" "15000001" "1.6e+07" "9.0979"
"17" "Scaffold_2199" "16000001" "1.7e+07" "2.0897"
"18" "Scaffold_2199" "17000001" "1.8e+07" "0.0473"
"19" "Scaffold_2199" "18000001" "1.9e+07" "2.6995"
"20" "Scaffold_2199" "19000001" "2e+07" "5.1797"
"21" "Scaffold_2199" "20000001" "2.1e+07" "3.5363"
"22" "Scaffold_2199" "21000001" "2.2e+07" "1.1335"
"23" "Scaffold_2199" "22000001" "2.3e+07" "2.0772"
"24" "Scaffold_2199" "23000001" "2.4e+07" "0.416"
"25" "Scaffold_2199" "24000001" "2.5e+07" "5.8836"
"26" "Scaffold_2199" "25000001" "2.6e+07" "5.6133"
"27" "Scaffold_2199" "26000001" "2.7e+07" "4.5929"
"28" "Scaffold_2199" "27000001" "2.8e+07" "15.6172"
"29" "Scaffold_2199" "28000001" "2.9e+07" "29.0369"
"30" "Scaffold_2199" "29000001" "3e+07" "35.7624"
"31" "Scaffold_2199" "30000001" "3.1e+07" "32.6671"
"32" "Scaffold_2199" "31000001" "3.2e+07" "34.1827"
"33" "Scaffold_2199" "32000001" "3.3e+07" "3.4797"
"34" "Scaffold_658" "1" "1e+06" "20.6873"
"35" "Scaffold_658" "1000001" "2e+06" "28.3074"
"36" "Scaffold_658" "2000001" "3e+06" "29.0101"
"37" "Scaffold_658" "3000001" "4e+06" "34.5344"
"38" "Scaffold_658" "4000001" "5e+06" "21.5904"
"39" "Scaffold_658" "5000001" "6e+06" "30.0103"
"40" "Scaffold_658" "6000001" "7e+06" "26.7241"
"41" "Scaffold_658" "7000001" "8e+06" "5.775"
"42" "Scaffold_658" "8000001" "9e+06" "7.1161"
"43" "Scaffold_658" "9000001" "1e+07" "7.1396"
"44" "Scaffold_658" "10000001" "1.1e+07" "4.2171"
"45" "Scaffold_658" "11000001" "1.2e+07" "3.414"
"46" "Scaffold_658" "12000001" "1.3e+07" "6.2037"
"47" "Scaffold_658" "13000001" "1.4e+07" "0.6144"
"48" "Scaffold_658" "14000001" "1.5e+07" "9.638"
"49" "Scaffold_658" "15000001" "1.6e+07" "2.2309"
"50" "Scaffold_658" "16000001" "1.7e+07" "0"
