"chrom" "V2" "V3" "percentage_masked"
"1" "Scaffold_2199" "1" "1e+06" "1.9932"
"2" "Scaffold_2199" "1000001" "2e+06" "3.1874"
"3" "Scaffold_2199" "2000001" "3e+06" "3.0659"
"4" "Scaffold_2199" "3000001" "4e+06" "1.1785"
"5" "Scaffold_2199" "4000001" "5e+06" "9.0408"
"6" "Scaffold_2199" "5000001" "6e+06" "7.1068"
"7" "Scaffold_2199" "6000001" "7e+06" "7.7914"
"8" "Scaffold_2199" "7000001" "8e+06" "8.9635"
"9" "Scaffold_2199" "8000001" "9e+06" "9.2389"
"10" "Scaffold_2199" "9000001" "1e+07" "8.7809"
"11" "Scaffold_2199" "10000001" "1.1e+07" "22.8006"
"12" "Scaffold_2199" "11000001" "1.2e+07" "15.1241"
"13" "Scaffold_2199" "12000001" "1.3e+07" "16.0787"
"14" "Scaffold_2199" "13000001" "1.4e+07" "12.9599"
"15" "Scaffold_2199" "14000001" "1.5e+07" "17.2972"
"16" "Scaffold_2199" "15000001" "1.6e+07" "15.2904"
"17" "Scaffold_2199" "16000001" "1.7e+07" "6.0844"
"18" "Scaffold_2199" "17000001" "1.8e+07" "11.4476"
"19" "Scaffold_2199" "18000001" "1.9e+07" "17.4439"
"20" "Scaffold_2199" "19000001" "2e+07" "13.0444"
"21" "Scaffold_2199" "20000001" "2.1e+07" "12.5525"
"22" "Scaffold_2199" "21000001" "2.2e+07" "13.8403"
"23" "Scaffold_2199" "22000001" "2.3e+07" "14.6714"
"24" "Scaffold_2199" "23000001" "2.4e+07" "19.4382"
"25" "Scaffold_2199" "24000001" "2.5e+07" "17.8771"
"26" "Scaffold_2199" "25000001" "2.6e+07" "11.5126"
"27" "Scaffold_2199" "26000001" "2.7e+07" "12.0566"
"28" "Scaffold_2199" "27000001" "2.8e+07" "5.2312"
"29" "Scaffold_2199" "28000001" "2.9e+07" "4.0231"
"30" "Scaffold_2199" "29000001" "3e+07" "3.749"
"31" "Scaffold_2199" "30000001" "3.1e+07" "2.8379"
"32" "Scaffold_2199" "31000001" "3.2e+07" "3.9191"
"33" "Scaffold_2199" "32000001" "3.3e+07" "4.1972"
"34" "Scaffold_658" "1" "1e+06" "2.3574"
"35" "Scaffold_658" "1000001" "2e+06" "6.266"
"36" "Scaffold_658" "2000001" "3e+06" "6.8966"
"37" "Scaffold_658" "3000001" "4e+06" "4.5597"
"38" "Scaffold_658" "4000001" "5e+06" "3.3233"
"39" "Scaffold_658" "5000001" "6e+06" "3.0759"
"40" "Scaffold_658" "6000001" "7e+06" "8.2737"
"41" "Scaffold_658" "7000001" "8e+06" "7.5694"
"42" "Scaffold_658" "8000001" "9e+06" "3.5243"
"43" "Scaffold_658" "9000001" "1e+07" "10.5893"
"44" "Scaffold_658" "10000001" "1.1e+07" "7.981"
"45" "Scaffold_658" "11000001" "1.2e+07" "13.6289"
"46" "Scaffold_658" "12000001" "1.3e+07" "14.5896"
"47" "Scaffold_658" "13000001" "1.4e+07" "11.3697"
"48" "Scaffold_658" "14000001" "1.5e+07" "5.9258"
"49" "Scaffold_658" "15000001" "1.6e+07" "14.3899"
"50" "Scaffold_658" "16000001" "1.7e+07" "15.763"
"51" "Scaffold_658" "17000001" "1.8e+07" "6.1431"
"52" "Scaffold_658" "18000001" "1.9e+07" "12.3408"
"53" "Scaffold_658" "19000001" "2e+07" "2.7815"
"54" "Scaffold_658" "20000001" "2.1e+07" "14.4678"
"55" "Scaffold_658" "21000001" "2.2e+07" "17.7658"
"56" "Scaffold_658" "22000001" "2.3e+07" "12.9761"
"57" "Scaffold_658" "23000001" "2.4e+07" "15.1158"
"58" "Scaffold_658" "24000001" "2.5e+07" "10.2022"
"59" "Scaffold_658" "25000001" "2.6e+07" "17.555"
"60" "Scaffold_658" "26000001" "2.7e+07" "1.8864"
"61" "Scaffold_658" "27000001" "2.8e+07" "7.664"
"62" "Scaffold_658" "28000001" "2.9e+07" "2.9214"
"63" "Scaffold_658" "29000001" "3e+07" "2.8033"
"64" "Scaffold_658" "30000001" "3.1e+07" "1.8738"
"65" "Scaffold_658" "31000001" "3.2e+07" "3.6024"
"66" "Scaffold_2318" "1" "1e+06" "4.7124"
"67" "Scaffold_2318" "1000001" "2e+06" "1.7286"
"68" "Scaffold_2318" "2000001" "3e+06" "6.3447"
"69" "Scaffold_2318" "3000001" "4e+06" "2.3625"
"70" "Scaffold_2318" "4000001" "5e+06" "10.983"
"71" "Scaffold_2318" "5000001" "6e+06" "12.91"
"72" "Scaffold_2318" "6000001" "7e+06" "15.7987"
"73" "Scaffold_2318" "7000001" "8e+06" "11.8484"
"74" "Scaffold_2318" "8000001" "9e+06" "11.6528"
"75" "Scaffold_2318" "9000001" "1e+07" "18.718"
"76" "Scaffold_2318" "10000001" "1.1e+07" "11.374"
"77" "Scaffold_2318" "11000001" "1.2e+07" "14.6942"
"78" "Scaffold_2318" "12000001" "1.3e+07" "15.9515"
"79" "Scaffold_2318" "13000001" "1.4e+07" "14.1907"
"80" "Scaffold_2318" "14000001" "1.5e+07" "16.1257"
"81" "Scaffold_2318" "15000001" "1.6e+07" "15.171"
"82" "Scaffold_2318" "16000001" "1.7e+07" "12.7687"
"83" "Scaffold_2318" "17000001" "1.8e+07" "12.5817"
"84" "Scaffold_2318" "18000001" "1.9e+07" "27.7713"
"85" "Scaffold_2318" "19000001" "2e+07" "14.4893"
"86" "Scaffold_2318" "20000001" "2.1e+07" "15.594"
"87" "Scaffold_2318" "21000001" "2.2e+07" "11.6978"
"88" "Scaffold_2318" "22000001" "2.3e+07" "13.9634"
"89" "Scaffold_2318" "23000001" "2.4e+07" "6.701"
"90" "Scaffold_2318" "24000001" "2.5e+07" "7.3164"
"91" "Scaffold_2318" "25000001" "2.6e+07" "11.7897"
"92" "Scaffold_2318" "26000001" "2.7e+07" "4.0489"
"93" "Scaffold_2318" "27000001" "2.8e+07" "8.1717"
"94" "Scaffold_2318" "28000001" "2.9e+07" "5.5545"
"95" "Scaffold_2318" "29000001" "3e+07" "0.4274"
"96" "Scaffold_2318" "30000001" "3.1e+07" "7.2203"
"97" "Scaffold_2318" "31000001" "3.2e+07" "0.073"
"98" "Scaffold_2041" "1" "1e+06" "1.2076"
"99" "Scaffold_2041" "1000001" "2e+06" "5.057"
"100" "Scaffold_2041" "2000001" "3e+06" "7.123"
"101" "Scaffold_2041" "3000001" "4e+06" "6.7663"
"102" "Scaffold_2041" "4000001" "5e+06" "15.2708"
"103" "Scaffold_2041" "5000001" "6e+06" "9.6573"
"104" "Scaffold_2041" "6000001" "7e+06" "12.592"
"105" "Scaffold_2041" "7000001" "8e+06" "13.882"
