chrom	start_window	end_window	perc_te
Tfas_chr1	1	1000000	18.529899999999998
Tfas_chr1	1000001	2000000	27.585500000000003
Tfas_chr1	2000001	3000000	30.9985
Tfas_chr1	3000001	4000000	39.149
Tfas_chr1	4000001	5000000	46.4112
Tfas_chr1	5000001	6000000	46.495599999999996
Tfas_chr1	6000001	7000000	55.8613
Tfas_chr1	7000001	8000000	52.7379
Tfas_chr1	8000001	9000000	70.70769999999999
Tfas_chr1	9000001	10000000	78.6326
Tfas_chr1	10000001	11000000	81.8444
Tfas_chr1	11000001	12000000	77.77539999999999
Tfas_chr1	12000001	13000000	77.6312
Tfas_chr1	13000001	14000000	80.5159
Tfas_chr1	14000001	15000000	81.6636
Tfas_chr1	15000001	16000000	82.7097
Tfas_chr1	16000001	17000000	83.3948
Tfas_chr1	17000001	18000000	75.1031
Tfas_chr1	18000001	19000000	80.1146
Tfas_chr1	19000001	20000000	78.4941
Tfas_chr1	20000001	21000000	76.2398
Tfas_chr1	21000001	22000000	76.90350000000001
Tfas_chr1	22000001	23000000	78.27300000000001
Tfas_chr1	23000001	24000000	82.0803
Tfas_chr1	24000001	25000000	76.1764
Tfas_chr1	25000001	26000000	58.41
Tfas_chr1	26000001	27000000	70.5505
Tfas_chr1	27000001	28000000	50.8319
Tfas_chr1	28000001	29000000	30.959799999999998
Tfas_chr1	29000001	30000000	27.7042
Tfas_chr1	30000001	31000000	23.0777
Tfas_chr1	31000001	32000000	17.7136
Tfas_chr1	32000001	33000000	5.9421
Tfas_chr2	1	1000000	30.639899999999997
Tfas_chr2	1000001	2000000	32.7574
Tfas_chr2	2000001	3000000	36.3453
Tfas_chr2	3000001	4000000	28.521400000000003
Tfas_chr2	4000001	5000000	25.6689
Tfas_chr2	5000001	6000000	30.833700000000004
Tfas_chr2	6000001	7000000	40.6312
Tfas_chr2	7000001	8000000	56.6476
Tfas_chr2	8000001	9000000	54.900999999999996
Tfas_chr2	9000001	10000000	64.6871
Tfas_chr2	10000001	11000000	67.6594
Tfas_chr2	11000001	12000000	69.1233
Tfas_chr2	12000001	13000000	75.0326
Tfas_chr2	13000001	14000000	75.8379
Tfas_chr2	14000001	15000000	71.1981
Tfas_chr2	15000001	16000000	78.44839999999999
Tfas_chr2	16000001	17000000	85.1705
Tfas_chr2	17000001	18000000	82.049
Tfas_chr2	18000001	19000000	76.57690000000001
Tfas_chr2	19000001	20000000	75.8998
Tfas_chr2	20000001	21000000	80.5498
Tfas_chr2	21000001	22000000	78.94539999999999
Tfas_chr2	22000001	23000000	74.6675
Tfas_chr2	23000001	24000000	71.6098
Tfas_chr2	24000001	25000000	69.04299999999999
Tfas_chr2	25000001	26000000	73.9387
Tfas_chr2	26000001	27000000	60.565000000000005
Tfas_chr2	27000001	28000000	63.369200000000006
Tfas_chr2	28000001	29000000	43.7648
Tfas_chr2	29000001	30000000	44.1246
Tfas_chr2	30000001	31000000	44.258900000000004
Tfas_chr2	31000001	32000000	17.96
Tfas_chr3	1	1000000	39.7464
Tfas_chr3	1000001	2000000	25.136599999999998
Tfas_chr3	2000001	3000000	42.8024
Tfas_chr3	3000001	4000000	57.189
Tfas_chr3	4000001	5000000	67.3183
Tfas_chr3	5000001	6000000	69.9067
Tfas_chr3	6000001	7000000	74.9604
Tfas_chr3	7000001	8000000	79.2357
Tfas_chr3	8000001	9000000	76.5107
Tfas_chr3	9000001	10000000	81.4631
Tfas_chr3	10000001	11000000	75.7338
Tfas_chr3	11000001	12000000	75.8802
Tfas_chr3	12000001	13000000	87.4494
Tfas_chr3	13000001	14000000	82.9224
Tfas_chr3	14000001	15000000	81.55630000000001
Tfas_chr3	15000001	16000000	77.5147
Tfas_chr3	16000001	17000000	80.53479999999999
Tfas_chr3	17000001	18000000	86.41839999999999
Tfas_chr3	18000001	19000000	84.4184
Tfas_chr3	19000001	20000000	79.849
Tfas_chr3	20000001	21000000	78.8379
Tfas_chr3	21000001	22000000	73.2378
Tfas_chr3	22000001	23000000	68.01169999999999
Tfas_chr3	23000001	24000000	61.356100000000005
