Gene_id	orthogroup	CDS_length	exon_count	startcodon	stopcodon	expressed_Tfas	expressed_Tlei	diff_largest_exon_count	diff_longest_CDS
Tfasc_v1.03784-RA	OG0000302	567	2	True	True	False	False	2	0.7078651685393258
Tfasc_v1.06848-RA	OG0000302	801	2	True	True	False	True	2	1.0
Tfasc_v1.25708-RA	OG0000302	801	2	True	True	False	False	2	1.0
Tfasc_v1.29552-RA	OG0000302	594	4	True	True	False	True	0	0.7415730337078652
Tfasc_v1.30140-RA	OG0000302	654	2	True	True	False	False	2	0.8164794007490637
Tfasc_v1.02729-RA	OG0000302	474	1	True	True	True	False	3	0.5917602996254682
Tfasc_v1.19847-RA	OG0000302	459	1	True	True	False	True	3	0.5730337078651685
Tfasc_v1.04332-RA	OG0000302	546	3	True	True	True	True	1	0.6816479400749064
Tfasc_v1.24927-RA	OG0000302	432	1	False	True	False	False	3	0.5393258426966292
Tfasc_v1.14765-RA	OG0000302	618	2	True	True	True	True	2	0.7715355805243446
Tlei_v1.07811-RA	OG0000302	1200	3	True	False	True	True	0	1.0
Tlei_v1.09228-RA	OG0000302	585	1	True	True	True	True	2	0.4875
Tlei_v1.20156-RA	OG0000302	744	2	True	True	True	True	1	0.62
Tlei_v1.24169-RA	OG0000302	1032	2	True	False	True	True	1	0.86
Tlei_v1.28031-RA	OG0017485	339	1	False	True	False	True	0.0	1.0
Tfasc_v1.06968-RA	OG0019085	198	1	True	True	True	True	0	1.0
Tlei_v1.00303-RA	OG0019085	378	5	True	True	True	True	0	1.0
Tfasc_v1.06580-RA	OG0005004	522	6	True	True	True	True	0	1.0
Tlei_v1.14457-RA	OG0005004	522	6	True	True	True	True	0	1.0
Tfasc_v1.28119-RA	OG0014387	747	3	True	True	True	True	0	1.0
Tlei_v1.29484-RA	OG0014387	753	3	True	False	True	True	0	1.0
Tfasc_v1.21492-RA	OG0012079	1101	6	True	True	True	True	0	1.0
Tlei_v1.17239-RA	OG0012079	1143	6	True	True	True	True	0	1.0
Tfasc_v1.21483-RA	OG0012078	2394	3	False	True	True	True	0	1.0
Tlei_v1.17247-RA	OG0012078	2307	3	True	True	True	True	0	1.0
Tfasc_v1.24991-RA	OG0009609	3270	12	True	True	True	True	0	1.0
Tlei_v1.28688-RA	OG0009609	2898	12	True	True	True	True	0	1.0
Tfasc_v1.21524-RA	OG0012071	1995	13	True	True	True	True	0	1.0
Tlei_v1.17220-RA	OG0012071	1995	13	True	True	True	True	0	1.0
Tfasc_v1.21511-RA	OG0012070	3225	12	True	True	True	True	0	1.0
Tlei_v1.17231-RA	OG0012070	3348	12	True	True	True	True	0	1.0
Tfasc_v1.21520-RA	OG0012073	1305	12	True	True	True	True	0	1.0
Tfasc_v1.21512-RA	OG0012072	1278	1	True	True	True	True	0	1.0
Tlei_v1.17230-RA	OG0012072	1263	1	True	False	True	True	0	1.0
Tfasc_v1.21484-RA	OG0012075	801	9	True	True	True	True	0	1.0
Tlei_v1.17246-RA	OG0012075	807	11	True	True	True	True	0	1.0
Tfasc_v1.21513-RA	OG0012074	201	1	True	True	True	True	0	1.0
