"chrom" "start_window" "end_window" "gene_counts"
"1" "Tfas_chr1" "1" "1e+06" "122"
"2" "Tfas_chr1" "1000001" "2e+06" "96"
"3" "Tfas_chr1" "2000001" "3e+06" "98"
"4" "Tfas_chr1" "3000001" "4e+06" "52"
"5" "Tfas_chr1" "4000001" "5e+06" "74"
"6" "Tfas_chr1" "5000001" "6e+06" "59"
"7" "Tfas_chr1" "6000001" "7e+06" "29"
"8" "Tfas_chr1" "7000001" "8e+06" "39"
"9" "Tfas_chr1" "8000001" "9e+06" "9"
"10" "Tfas_chr1" "9000001" "1e+07" "14"
"11" "Tfas_chr1" "10000001" "1.1e+07" "6"
"12" "Tfas_chr1" "11000001" "1.2e+07" "8"
"13" "Tfas_chr1" "12000001" "1.3e+07" "10"
"14" "Tfas_chr1" "13000001" "1.4e+07" "8"
"15" "Tfas_chr1" "14000001" "1.5e+07" "8"
"16" "Tfas_chr1" "15000001" "1.6e+07" "6"
"17" "Tfas_chr1" "16000001" "1.7e+07" "6"
"18" "Tfas_chr1" "17000001" "1.8e+07" "9"
"19" "Tfas_chr1" "18000001" "1.9e+07" "9"
"20" "Tfas_chr1" "19000001" "2e+07" "14"
"21" "Tfas_chr1" "20000001" "2.1e+07" "15"
"22" "Tfas_chr1" "21000001" "2.2e+07" "12"
"23" "Tfas_chr1" "22000001" "2.3e+07" "10"
"24" "Tfas_chr1" "23000001" "2.4e+07" "10"
"25" "Tfas_chr1" "24000001" "2.5e+07" "12"
"26" "Tfas_chr1" "25000001" "2.6e+07" "31"
"27" "Tfas_chr1" "26000001" "2.7e+07" "17"
"28" "Tfas_chr1" "27000001" "2.8e+07" "46"
"29" "Tfas_chr1" "28000001" "2.9e+07" "73"
"30" "Tfas_chr1" "29000001" "3e+07" "114"
"31" "Tfas_chr1" "30000001" "3.1e+07" "118"
"32" "Tfas_chr1" "31000001" "3.2e+07" "122"
"33" "Tfas_chr1" "32000001" "3.3e+07" "14"
"34" "Tfas_chr2" "1" "1e+06" "75"
"35" "Tfas_chr2" "1000001" "2e+06" "78"
"36" "Tfas_chr2" "2000001" "3e+06" "84"
"37" "Tfas_chr2" "3000001" "4e+06" "91"
"38" "Tfas_chr2" "4000001" "5e+06" "107"
"39" "Tfas_chr2" "5000001" "6e+06" "106"
"40" "Tfas_chr2" "6000001" "7e+06" "68"
"41" "Tfas_chr2" "7000001" "8e+06" "47"
"42" "Tfas_chr2" "8000001" "9e+06" "48"
"43" "Tfas_chr2" "9000001" "1e+07" "25"
"44" "Tfas_chr2" "10000001" "1.1e+07" "22"
"45" "Tfas_chr2" "11000001" "1.2e+07" "22"
"46" "Tfas_chr2" "12000001" "1.3e+07" "14"
"47" "Tfas_chr2" "13000001" "1.4e+07" "20"
"48" "Tfas_chr2" "14000001" "1.5e+07" "15"
"49" "Tfas_chr2" "15000001" "1.6e+07" "8"
"50" "Tfas_chr2" "16000001" "1.7e+07" "0"
"51" "Tfas_chr2" "17000001" "1.8e+07" "8"
"52" "Tfas_chr2" "18000001" "1.9e+07" "9"
"53" "Tfas_chr2" "19000001" "2e+07" "9"
"54" "Tfas_chr2" "20000001" "2.1e+07" "9"
"55" "Tfas_chr2" "21000001" "2.2e+07" "10"
"56" "Tfas_chr2" "22000001" "2.3e+07" "10"
"57" "Tfas_chr2" "23000001" "2.4e+07" "9"
"58" "Tfas_chr2" "24000001" "2.5e+07" "16"
"59" "Tfas_chr2" "25000001" "2.6e+07" "16"
"60" "Tfas_chr2" "26000001" "2.7e+07" "18"
"61" "Tfas_chr2" "27000001" "2.8e+07" "31"
"62" "Tfas_chr2" "28000001" "2.9e+07" "57"
"63" "Tfas_chr2" "29000001" "3e+07" "66"
"64" "Tfas_chr2" "30000001" "3.1e+07" "71"
"65" "Tfas_chr2" "31000001" "3.2e+07" "71"
"66" "Tfas_chr3" "1" "1e+06" "79"
"67" "Tfas_chr3" "1000001" "2e+06" "109"
"68" "Tfas_chr3" "2000001" "3e+06" "107"
"69" "Tfas_chr3" "3000001" "4e+06" "36"
"70" "Tfas_chr3" "4000001" "5e+06" "30"
"71" "Tfas_chr3" "5000001" "6e+06" "23"
"72" "Tfas_chr3" "6000001" "7e+06" "8"
"73" "Tfas_chr3" "7000001" "8e+06" "14"
"74" "Tfas_chr3" "8000001" "9e+06" "19"
"75" "Tfas_chr3" "9000001" "1e+07" "7"
"76" "Tfas_chr3" "10000001" "1.1e+07" "8"
"77" "Tfas_chr3" "11000001" "1.2e+07" "11"
"78" "Tfas_chr3" "12000001" "1.3e+07" "4"
"79" "Tfas_chr3" "13000001" "1.4e+07" "2"
"80" "Tfas_chr3" "14000001" "1.5e+07" "8"
"81" "Tfas_chr3" "15000001" "1.6e+07" "8"
"82" "Tfas_chr3" "16000001" "1.7e+07" "6"
"83" "Tfas_chr3" "17000001" "1.8e+07" "3"
"84" "Tfas_chr3" "18000001" "1.9e+07" "3"
"85" "Tfas_chr3" "19000001" "2e+07" "7"
"86" "Tfas_chr3" "20000001" "2.1e+07" "6"
"87" "Tfas_chr3" "21000001" "2.2e+07" "15"
"88" "Tfas_chr3" "22000001" "2.3e+07" "18"
"89" "Tfas_chr3" "23000001" "2.4e+07" "16"
"90" "Tfas_chr3" "24000001" "2.5e+07" "21"
"91" "Tfas_chr3" "25000001" "2.6e+07" "36"
"92" "Tfas_chr3" "26000001" "2.7e+07" "87"
