Category	ID	Term	adj_pval	Orthogroups	Genes
BP	GO:1902600	proton transmembrane transport	1e-07	OG0011610, OG0013670, OG0004832, OG0004636, OG0004150, OG0000539, OG0013985, OG0000601, OG0004020, OG0016073, OG0002708, OG0015039, OG0014852, OG0008394, OG0017530, OG0019211, OG0009535	Tlei_v1.03587-RA, Tlei_v1.03708-RA, Tlei_v1.04787-RA, Tlei_v1.05119-RA, Tlei_v1.06629-RA, Tlei_v1.08884-RA, Tlei_v1.09881-RA, Tlei_v1.16099-RA, Tlei_v1.17232-RA, Tlei_v1.17869-RA, Tlei_v1.21415-RA, Tlei_v1.21475-RA, Tlei_v1.22486-RA, Tlei_v1.24006-RA, Tlei_v1.27461-RA, Tlei_v1.30675-RA, Tlei_v1.31471-RA
BP	GO:0016126	sterol biosynthetic process	0.001	OG0012482, OG0011170, OG0012416, OG0002442, OG0012804	Tlei_v1.00158-RA, Tlei_v1.06549-RA, Tlei_v1.07670-RA, Tlei_v1.14619-RA, Tlei_v1.20461-RA
BP	GO:0045053	protein retention in Golgi apparatus	0.0016	OG0001851, OG0002805, OG0001842	Tlei_v1.00868-RA, Tlei_v1.08954-RA, Tlei_v1.11703-RA, Tlei_v1.11705-RA, Tlei_v1.16555-RA
BP	GO:0010167	response to nitrate	0.004	OG0006621, OG0003196, OG0010159	Tlei_v1.01960-RA, Tlei_v1.13347-RA, Tlei_v1.26443-RA
BP	GO:0009584	detection of visible light	0.0043	OG0013035, OG0006908	Tlei_v1.10984-RA, Tlei_v1.29955-RA
BP	GO:0042542	response to hydrogen peroxide	0.0065	OG0014820, OG0000628, OG0014957, OG0001060	Tlei_v1.03647-RA, Tlei_v1.17388-RA, Tlei_v1.21413-RA, Tlei_v1.22507-RA
BP	GO:0046034	ATP metabolic process	0.0083	OG0007811, OG0003520, OG0001814, OG0010362, OG0001553, OG0002708, OG0015039, OG0008818, OG0000766, OG0013294, OG0010628, OG0009535	Tlei_v1.05310-RA, Tlei_v1.08351-RA, Tlei_v1.13809-RA, Tlei_v1.15852-RA, Tlei_v1.17263-RA, Tlei_v1.21415-RA, Tlei_v1.21475-RA, Tlei_v1.25443-RA, Tlei_v1.26369-RA, Tlei_v1.27046-RA, Tlei_v1.29228-RA, Tlei_v1.31471-RA
BP	GO:0015713	phosphoglycerate transmembrane transport	0.0085	OG0015371, OG0015738	Tlei_v1.26913-RA, Tlei_v1.28581-RA
BP	GO:0035436	triose phosphate transmembrane transport	0.0085	OG0015371, OG0015738	Tlei_v1.26913-RA, Tlei_v1.28581-RA
BP	GO:0071586	CAAX-box protein processing	0.0097	OG0001851, OG0015932	Tlei_v1.00868-RA, Tlei_v1.11887-RA, Tlei_v1.16555-RA
BP	GO:0018230	peptidyl-L-cysteine S-palmitoylation	0.0108	OG0013839, OG0016086, OG0003911, OG0017105	Tlei_v1.12379-RA, Tlei_v1.22109-RA, Tlei_v1.26414-RA, Tlei_v1.28908-RA
BP	GO:0017006	protein-tetrapyrrole linkage	0.0137	OG0013035, OG0006908	Tlei_v1.10984-RA, Tlei_v1.29955-RA
BP	GO:0006624	vacuolar protein processing	0.0137	OG0001645	Tlei_v1.29197-RA, Tlei_v1.29211-RA
BP	GO:0042276	error-prone translesion synthesis	0.0137	OG0010936, OG0014896	Tlei_v1.12620-RA, Tlei_v1.20665-RA
BP	GO:0009809	lignin biosynthetic process	0.0151	OG0004893, OG0002295, OG0001542	Tlei_v1.03688-RA, Tlei_v1.12479-RA, Tlei_v1.15794-RA
BP	GO:0009585	red, far-red light phototransduction	0.0201	OG0013035, OG0006908	Tlei_v1.10984-RA, Tlei_v1.29955-RA
BP	GO:0046373	L-arabinose metabolic process	0.0201	OG0016497	Tlei_v1.00409-RA, Tlei_v1.04272-RA
BP	GO:0010189	vitamin E biosynthetic process	0.0201	OG0009045, OG0009511	Tlei_v1.07069-RA, Tlei_v1.31504-RA
BP	GO:0007035	vacuolar acidification	0.0201	OG0013670, OG0008394	Tlei_v1.03708-RA, Tlei_v1.24006-RA
BP	GO:1902074	response to salt	0.0201	OG0003543, OG0000628	Tlei_v1.03534-RA, Tlei_v1.17388-RA
BP	GO:0001682	tRNA 5'-leader removal	0.0201	OG0001664	Tlei_v1.10917-RA, Tlei_v1.15908-RA
BP	GO:0048578	positive regulation of long-day photoperiodism, flowering	0.0201	OG0014957, OG0008173	Tlei_v1.21413-RA, Tlei_v1.24417-RA
BP	GO:0000160	phosphorelay signal transduction system	0.0203	OG0004871, OG0013035, OG0013479, OG0012273, OG0003182, OG0006908	Tlei_v1.02870-RA, Tlei_v1.10984-RA, Tlei_v1.11436-RA, Tlei_v1.17530-RA, Tlei_v1.19474-RA, Tlei_v1.26632-RA, Tlei_v1.29955-RA
BP	GO:0061615	glycolytic process through fructose-6-phosphate	0.0219	OG0007811, OG0001814, OG0008818	Tlei_v1.05310-RA, Tlei_v1.13809-RA, Tlei_v1.25443-RA
BP	GO:0071421	manganese ion transmembrane transport	0.0219	OG0013985, OG0012011, OG0017402	Tlei_v1.09881-RA, Tlei_v1.17120-RA, Tlei_v1.22973-RA
BP	GO:0006623	protein targeting to vacuole	0.022	OG0001851, OG0011610, OG0002805, OG0001842	Tlei_v1.00868-RA, Tlei_v1.03587-RA, Tlei_v1.08954-RA, Tlei_v1.11703-RA, Tlei_v1.11705-RA, Tlei_v1.16555-RA
BP	GO:0006538	glutamate catabolic process	0.0274	OG0000595	Tlei_v1.13491-RA, Tlei_v1.23012-RA
BP	GO:0033683	nucleotide-excision repair, DNA incision	0.0356	OG0016482, OG0005503	Tlei_v1.25989-RA, Tlei_v1.30878-RA
BP	GO:0032970	regulation of actin filament-based process	0.0386	OG0003064, OG0004734	Tlei_v1.02306-RA, Tlei_v1.15508-RA
BP	GO:0046739	transport of virus in multicellular host	0.0386	OG0010311	Tlei_v1.26541-RA
BP	GO:0031535	plus-end directed microtubule sliding	0.0386	OG0011987	Tlei_v1.17077-RA
BP	GO:1903335	regulation of vacuolar transport	0.0386	OG0007267	Tlei_v1.12884-RA
BP	GO:0010378	temperature compensation of the circadian clock	0.0386	OG0014957	Tlei_v1.21413-RA
BP	GO:0010508	positive regulation of autophagy	0.0386	OG0006965	Tlei_v1.29835-RA
BP	GO:2001007	negative regulation of cellulose biosynthetic process	0.0386	OG0005799	Tlei_v1.19318-RA
BP	GO:0042948	salicin transport	0.0386	OG0003372	Tlei_v1.05321-RA
BP	GO:0006522	alanine metabolic process	0.0386	OG0010183	Tlei_v1.26482-RA
BP	GO:0048016	inositol phosphate-mediated signaling	0.0386	OG0010297	Tlei_v1.18318-RA
BP	GO:0070537	histone H2A K63-linked deubiquitination	0.0386	OG0003494	Tlei_v1.23912-RB
BP	GO:2000653	regulation of genetic imprinting	0.0386	OG0008608	Tlei_v1.08282-RA
BP	GO:0035998	7,8-dihydroneopterin 3'-triphosphate biosynthetic process	0.0386	OG0008051	Tlei_v1.21871-RA
BP	GO:0071932	replication fork reversal	0.0386	OG0016310	Tlei_v1.27053-RC
BP	GO:0033567	DNA replication, Okazaki fragment processing	0.0386	OG0016310	Tlei_v1.27053-RC
BP	GO:0080001	mucilage extrusion from seed coat	0.0386	OG0007267	Tlei_v1.12884-RA
BP	GO:0006103	2-oxoglutarate metabolic process	0.0386	OG0010183	Tlei_v1.26482-RA
BP	GO:0098507	polynucleotide 5' dephosphorylation	0.0386	OG0007701	Tlei_v1.05537-RA
BP	GO:0006799	polyphosphate biosynthetic process	0.0386	OG0010297	Tlei_v1.18318-RA
BP	GO:0010845	positive regulation of reciprocal meiotic recombination	0.0386	OG0008913	Tlei_v1.25610-RA
BP	GO:0019877	diaminopimelate biosynthetic process	0.0386	OG0002724	Tlei_v1.27925-RA
BP	GO:0018298	protein-chromophore linkage	0.0399	OG0013035, OG0018593, OG0006908	Tlei_v1.10984-RA, Tlei_v1.27538-RA, Tlei_v1.29955-RA
