"chrom" "start_window" "end_window" "percentage_te"
"1" "Scaffold_2199" "1" "1e+06" "1.9923"
"2" "Scaffold_2199" "1000001" "2e+06" "3.1859"
"3" "Scaffold_2199" "2000001" "3e+06" "3.0641"
"4" "Scaffold_2199" "3000001" "4e+06" "1.1776"
"5" "Scaffold_2199" "4000001" "5e+06" "9.0378"
"6" "Scaffold_2199" "5000001" "6e+06" "7.1047"
"7" "Scaffold_2199" "6000001" "7e+06" "7.789"
"8" "Scaffold_2199" "7000001" "8e+06" "8.9602"
"9" "Scaffold_2199" "8000001" "9e+06" "9.2356"
"10" "Scaffold_2199" "9000001" "1e+07" "8.7778"
"11" "Scaffold_2199" "10000001" "1.1e+07" "23.9621"
"12" "Scaffold_2199" "11000001" "1.2e+07" "15.1192"
"13" "Scaffold_2199" "12000001" "1.3e+07" "16.0741"
"14" "Scaffold_2199" "13000001" "1.4e+07" "12.9564"
"15" "Scaffold_2199" "14000001" "1.5e+07" "17.291"
"16" "Scaffold_2199" "15000001" "1.6e+07" "15.2853"
"17" "Scaffold_2199" "16000001" "1.7e+07" "6.0822"
"18" "Scaffold_2199" "17000001" "1.8e+07" "12.1268"
"19" "Scaffold_2199" "18000001" "1.9e+07" "17.4382"
"20" "Scaffold_2199" "19000001" "2e+07" "13.0406"
"21" "Scaffold_2199" "20000001" "2.1e+07" "12.5483"
"22" "Scaffold_2199" "21000001" "2.2e+07" "13.8365"
"23" "Scaffold_2199" "22000001" "2.3e+07" "14.6671"
"24" "Scaffold_2199" "23000001" "2.4e+07" "19.4317"
"25" "Scaffold_2199" "24000001" "2.5e+07" "17.8714"
"26" "Scaffold_2199" "25000001" "2.6e+07" "11.5087"
"27" "Scaffold_2199" "26000001" "2.7e+07" "13.2378"
"28" "Scaffold_2199" "27000001" "2.8e+07" "5.2624"
"29" "Scaffold_2199" "28000001" "2.9e+07" "2.8361"
"30" "Scaffold_2199" "29000001" "3e+07" "2.5628"
"31" "Scaffold_2199" "30000001" "3.1e+07" "1.6515"
"32" "Scaffold_2199" "31000001" "3.2e+07" "2.7325"
"33" "Scaffold_2199" "32000001" "3.3e+07" "3.7048"
"34" "Scaffold_658" "1" "1e+06" "2.3559"
"35" "Scaffold_658" "1000001" "2e+06" "6.2635"
"36" "Scaffold_658" "2000001" "3e+06" "6.8942"
"37" "Scaffold_658" "3000001" "4e+06" "4.5572"
"38" "Scaffold_658" "4000001" "5e+06" "3.3221"
"39" "Scaffold_658" "5000001" "6e+06" "4.4902"
"40" "Scaffold_658" "6000001" "7e+06" "8.2709"
