gene_id	median_cov	mean_cov	og_id	Acom_count	Tfas_count	Tlei_count
Tfasc_v1.03784-RA	26.0	25.392344497607656	OG0000302	0	10	4
Tfasc_v1.06848-RA	34.0	31.83648393194707	OG0000302	0	10	4
Tfasc_v1.25708-RA	24.0	23.862948960302457	OG0000302	0	10	4
Tfasc_v1.29552-RA	45.0	48.89774436090226	OG0000302	0	10	4
Tfasc_v1.30140-RA	31	32.58726673984632	OG0000302	0	10	4
Tfasc_v1.02729-RA	18	18.47568710359408	OG0000302	0	10	4
Tfasc_v1.19847-RA	35.0	36.64410480349345	OG0000302	0	10	4
Tfasc_v1.04332-RA	21.0	25.48829268292683	OG0000302	0	10	4
Tfasc_v1.24927-RA	24	20.723897911832946	OG0000302	0	10	4
Tfasc_v1.14765-RA	28	30.717714285714287	OG0000302	0	10	4
Tfasc_v1.06968-RA	16	17.538071065989847	OG0019085	0	1	1
Tfasc_v1.06580-RA	45	44.19706198495163	OG0005004	2	1	1
Tfasc_v1.28119-RA	41	37.585989271063426	OG0014387	1	1	1
Tfasc_v1.21492-RA	38.0	37.743229166666666	OG0012079	1	1	1
Tfasc_v1.21483-RA	43	41.927040954705724	OG0012078	1	1	1
Tfasc_v1.24991-RA	38.0	38.06917267421902	OG0009609	1	1	1
Tfasc_v1.21524-RA	42	41.998606965174126	OG0012071	1	1	1
Tfasc_v1.21511-RA	42	41.684796328169824	OG0012070	1	1	1
Tfasc_v1.21520-RA	45	41.13770397938735	OG0012073	2	1	0
Tfasc_v1.21512-RA	22	22.02270947533281	OG0012072	1	1	1
Tfasc_v1.21484-RA	44.0	44.12013536379018	OG0012075	1	1	1
Tfasc_v1.21513-RA	30.0	31.43	OG0012074	1	1	1
Tfasc_v1.10135-RA	31.0	45.476894502228824	OG0000303	0	4	10
Tfasc_v1.10635-RA	29.0	30.67265100671141	OG0000303	0	4	10
Tfasc_v1.10688-RA	26	27.898249631931947	OG0000303	0	4	10
Tfasc_v1.10148-RA	19	19.560861260635527	OG0000303	0	4	10
Tfasc_v1.21485-RA	39.0	38.824377828054295	OG0012076	1	1	1
Tfasc_v1.14601-RA	46	49.55079764903442	OG0014938	1	1	1
Tfasc_v1.06170-RA	39	35.143023707734166	OG0006209	1	1	1
Tfasc_v1.06176-RA	21.0	25.082474226804123	OG0006208	1	1	1
Tfasc_v1.06175-RA	30.0	30.02720207253886	OG0006207	1	1	1
Tfasc_v1.06187-RA	42.0	38.145081967213116	OG0006206	1	1	1
Tfasc_v1.06203-RA	17	18.127924262577263	OG0006205	1	1	1
Tfasc_v1.06199-RA	46	45.37308246461564	OG0006204	1	1	1
Tfasc_v1.06551-RA	23	22.804173354735152	OG0005005	2	1	1
Tfasc_v1.06200-RA	30	30.152542372881356	OG0006202	1	1	1
Tfasc_v1.06197-RA	46.0	44.98009950248756	OG0006201	1	1	1
Tfasc_v1.06202-RA	45	44.30875448771058	OG0006200	1	1	1
Tfasc_v1.24981-RA	43	42.43042789223455	OG0009606	1	1	1
Tfasc_v1.19233-RA	33.0	33.329031465093415	OG0015868	1	1	1
Tfasc_v1.11691-RA	45.0	44.74511930585683	OG0013478	1	1	1
Tfasc_v1.11684-RA	14	14.879366191018121	OG0013479	1	1	1
Tfasc_v1.11686-RA	46.0	46.55957182748992	OG0013476	1	1	1
Tfasc_v1.11687-RB	46	103.56326272526083	OG0013477	1	1	1
Tfasc_v1.11703-RA	45.0	45.13984073359073	OG0013474	1	1	1
Tfasc_v1.11693-RA	44.0	42.77276190476191	OG0013475	1	1	1
Tfasc_v1.11702-RA	40.0	39.463096960926194	OG0013472	1	1	1
Tfasc_v1.11704-RA	45	43.73041709053916	OG0013473	1	1	1
Tfasc_v1.11710-RA	40	36.78531285125515	OG0013470	1	1	1
Tfasc_v1.11709-RA	46	44.845558600677094	OG0013471	1	1	1
Tfasc_v1.10925-RA	29.0	27.504850746268655	OG0010921	1	1	1
Tfasc_v1.10930-RA	46	44.701936483346245	OG0010920	1	1	1
Tfasc_v1.10903-RA	44.0	43.29793491864831	OG0010923	1	1	1
Tfasc_v1.10926-RA	20.0	21.085483870967742	OG0010922	1	1	1
Tfasc_v1.26952-RA	40	38.76372039283651	OG0015737	1	1	1
Tfasc_v1.10902-RA	41.0	40.292307692307695	OG0010924	1	1	1
Tfasc_v1.10910-RA	50.0	47.084471766848814	OG0010927	1	1	1
Tfasc_v1.10916-RA	23.0	23.645776566757494	OG0010926	1	1	1
Tfasc_v1.10917-RA	39.0	40.34478672985782	OG0010929	1	1	1
Tfasc_v1.10915-RA	45	43.2234273318872	OG0010928	1	1	1
Tfasc_v1.06555-RA	37.0	37.75	OG0005006	2	1	1
Tfasc_v1.26941-RA	44.0	42.99340609367894	OG0015738	1	1	1
Tfasc_v1.06380-RA	39	38.59230955259976	OG0006148	1	1	1
Tfasc_v1.06378-RA	39.0	38.81349480968858	OG0006149	1	1	1
Tfasc_v1.17773-RA	41	38.652765302194275	OG0017593	1	1	0
Tfasc_v1.25987-RA	27.0	27.717032967032967	OG0015316	1	1	1
Tfasc_v1.25770-RA	42	43.23788546255506	OG0017596	1	1	0
Tfasc_v1.06383-RA	45	46.088478676002545	OG0006140	1	1	1
Tfasc_v1.06369-RA	33	32.2351577378488	OG0006141	1	1	1
Tfasc_v1.06381-RA	44	44.381164669824464	OG0006142	1	1	1
Tfasc_v1.06372-RA	39	39.47504244482173	OG0006143	1	1	1
Tfasc_v1.06382-RA	44	42.32243081091543	OG0006144	1	1	1
Tfasc_v1.06374-RA	35.0	34.44452554744525	OG0006145	1	1	1
Tfasc_v1.06379-RA	42.0	40.46484375	OG0006146	1	1	1
Tfasc_v1.06375-RA	37	36.772472659375836	OG0006147	1	1	1
Tfasc_v1.15846-RA	53.0	57.758389261744966	OG0016181	0	3	0
Tfasc_v1.15847-RA	48	49.23130528008577	OG0016181	0	3	0
Tfasc_v1.21942-RB	51.0	50.04693486590038	OG0016181	0	3	0
Tfasc_v1.21934-RA	32	30.644033949076384	OG0016180	0	2	1
Tfasc_v1.21936-RA	30	31.01697453819271	OG0016180	0	2	1
Tfasc_v1.22030-RA	48.0	53.79760225669958	OG0016183	0	3	0
Tfasc_v1.29864-RB	121.0	118.9361170592434	OG0016183	0	3	0
Tfasc_v1.26999-RA	163.0	157.4246885617214	OG0016183	0	3	0
Tfasc_v1.14824-RA	46.0	45.907082002129926	OG0016182	0	2	1
Tfasc_v1.21986-RA	43.0	38.48287671232877	OG0016182	0	2	1
Tfasc_v1.28509-RA	51.0	48.27888730385164	OG0013402	1	1	1
Tfasc_v1.22039-RA	48.0	47.63195912614517	OG0016184	0	2	1
Tfasc_v1.22043-RA	53	52.92046276211135	OG0016184	0	2	1
Tfasc_v1.17454-RA	42.0	37.01634980988593	OG0014458	1	1	1
Tfasc_v1.22161-RA	43	42.66804979253112	OG0016186	0	3	0
Tfasc_v1.00753-RA	38.0	36.949858757062145	OG0016186	0	3	0
Tfasc_v1.13574-RA	46	46.53329242098803	OG0016186	0	3	0
Tfasc_v1.05737-RA	34	34.60257835074461	OG0016189	0	3	0
Tfasc_v1.22617-RA	41	40.2493911349245	OG0016189	0	3	0
Tfasc_v1.21248-RA	43	40.74292872684117	OG0016189	0	3	0
Tfasc_v1.16552-RA	24	30.72040225506628	OG0016188	0	3	0
Tfasc_v1.22519-RA	16	17.480931352870332	OG0016188	0	3	0
Tfasc_v1.08818-RA	42.0	43.39480198019802	OG0016188	0	3	0
Tfasc_v1.24988-RA	39.0	36.97817189631651	OG0009604	1	1	1
Tfasc_v1.03788-RB	40	37.43187471211424	OG0014211	1	1	1
Tfasc_v1.28884-RA	37	41.14707177454866	OG0010239	1	1	1
Tfasc_v1.06863-RA	31	30.99383062254627	OG0019081	0	1	1
Tfasc_v1.17912-RA	46	48.092923445453636	OG0019352	0	1	1
Tfasc_v1.24851-RA	32.0	32.313265306122446	OG0005000	2	1	1
Tfasc_v1.24986-RA	40.0	39.78287512421331	OG0009605	1	1	1
Tfasc_v1.03540-RA	25.0	24.565714285714286	OG0009848	1	1	1
Tfasc_v1.19707-RA	50.0	51.27708978328173	OG0019520	0	1	1
Tfasc_v1.24218-RA	46.0	42.270573566084785	OG0008878	1	1	1
Tfasc_v1.24211-RA	31.0	30.115168539325843	OG0008879	1	1	1
Tfasc_v1.24213-RA	18	20.22629582806574	OG0008876	1	2	0
Tfasc_v1.24214-RA	13	13.461933675852405	OG0008876	1	2	0
Tfasc_v1.24220-RA	44	43.805929459873916	OG0008877	1	1	1
Tfasc_v1.24221-RA	35.0	33.22004279600571	OG0008874	1	1	1
Tfasc_v1.24212-RA	41	40.94208070271754	OG0008875	1	1	1
Tfasc_v1.24201-RA	38	37.82426778242678	OG0008872	1	1	1
Tfasc_v1.24200-RA	41.0	39.58507273877293	OG0008873	1	1	1
Tfasc_v1.24196-RA	43.0	41.339785447761194	OG0008870	1	1	1
Tfasc_v1.24199-RA	36	35.11439039283533	OG0008871	1	1	1
Tfasc_v1.02153-RA	44	43.17513482827136	OG0013298	1	1	1
