"chrom" "start_window" "end_window" "percentage_te"
"1" "Scaffold_8399" "1" "1e+06" "1.1463"
"2" "Scaffold_8399" "1000001" "2e+06" "5.0789"
"3" "Scaffold_8399" "2000001" "3e+06" "9.9719"
"4" "Scaffold_8399" "3000001" "4e+06" "6.1936"
"5" "Scaffold_8399" "4000001" "5e+06" "5.9762"
"6" "Scaffold_8399" "5000001" "6e+06" "7.2719"
"7" "Scaffold_8399" "6000001" "7e+06" "21.704"
"8" "Scaffold_8399" "7000001" "8e+06" "22.4644"
"9" "Scaffold_8399" "8000001" "9e+06" "10.6875"
"10" "Scaffold_8399" "9000001" "1e+07" "7.2612"
"11" "Scaffold_8399" "10000001" "1.1e+07" "6.3767"
"12" "Scaffold_8399" "11000001" "1.2e+07" "10.4826"
"13" "Scaffold_8399" "12000001" "1.3e+07" "10.8639"
"14" "Scaffold_8399" "13000001" "1.4e+07" "19.1244"
"15" "Scaffold_8399" "14000001" "1.5e+07" "12.9641"
"16" "Scaffold_8399" "15000001" "1.6e+07" "7.1413"
"17" "Scaffold_8399" "16000001" "1.7e+07" "18.2457"
"18" "Scaffold_8399" "17000001" "1.8e+07" "12.897"
"19" "Scaffold_8399" "18000001" "1.9e+07" "11.4078"
"20" "Scaffold_8399" "19000001" "2e+07" "14.9481"
"21" "Scaffold_8399" "20000001" "2.1e+07" "6.3924"
"22" "Scaffold_8399" "21000001" "2.2e+07" "17.2829"
"23" "Scaffold_8399" "22000001" "2.3e+07" "6.3718"
"24" "Scaffold_8399" "23000001" "2.4e+07" "10.3545"
"25" "Scaffold_8399" "24000001" "2.5e+07" "14.2793"
"26" "Scaffold_8399" "25000001" "2.6e+07" "8.008"
"27" "Scaffold_8399" "26000001" "2.7e+07" "10.6813"
"28" "Scaffold_8399" "27000001" "2.8e+07" "14.3888"
"29" "Scaffold_8399" "28000001" "2.9e+07" "10.5324"
"30" "Scaffold_8399" "29000001" "3e+07" "16.1397"
"31" "Scaffold_8399" "30000001" "3.1e+07" "14.7643"
"32" "Scaffold_8399" "31000001" "3.2e+07" "10.128"
"33" "Scaffold_8399" "32000001" "3.3e+07" "6.9955"
"34" "Scaffold_8399" "33000001" "3.4e+07" "9.8797"
"35" "Scaffold_8399" "34000001" "3.5e+07" "9.9576"
"36" "Scaffold_8399" "35000001" "3.6e+07" "12.5603"
"37" "Scaffold_8399" "36000001" "3.7e+07" "11.7873"
"38" "Scaffold_8399" "37000001" "3.8e+07" "13.9149"
"39" "Scaffold_8399" "38000001" "3.9e+07" "5.647"
"40" "Scaffold_8399" "39000001" "4e+07" "13.1391"
"41" "Scaffold_8399" "40000001" "4.1e+07" "5.9604"
"42" "Scaffold_8399" "41000001" "4.2e+07" "10.3551"
"43" "Scaffold_8399" "42000001" "4.3e+07" "10.1785"
"44" "Scaffold_8399" "43000001" "4.4e+07" "3.5071"
"45" "Scaffold_8399" "44000001" "4.5e+07" "5.5847"
"46" "Scaffold_8399" "45000001" "4.6e+07" "7.8778"
"47" "Scaffold_8399" "46000001" "4.7e+07" "8.6099"
"48" "Scaffold_8399" "47000001" "4.8e+07" "11.0409"
"49" "Scaffold_8399" "48000001" "4.9e+07" "11.5864"
"50" "Scaffold_8399" "49000001" "5e+07" "8.0188"
"51" "Scaffold_8399" "50000001" "5.1e+07" "7.6435"
"52" "Scaffold_8399" "51000001" "5.2e+07" "11.2118"
"53" "Scaffold_8399" "52000001" "5.3e+07" "4.9641"
"54" "Scaffold_8399" "53000001" "5.4e+07" "2.8707"
"55" "Scaffold_8399" "54000001" "5.5e+07" "4.6111"
"56" "Scaffold_8399" "55000001" "5.6e+07" "4.6828"
"57" "Scaffold_8399" "56000001" "5.7e+07" "4.681"
"58" "Scaffold_8399" "57000001" "5.8e+07" "0.6411"
"59" "Scaffold_8399" "58000001" "5.9e+07" "2.6092"
"60" "Scaffold_8399" "59000001" "6e+07" "2.7673"
"61" "Scaffold_8399" "60000001" "6.1e+07" "2.4436"
"62" "Scaffold_10370" "1" "1e+06" "6.1212"
"63" "Scaffold_10370" "1000001" "2e+06" "1.2088"
"64" "Scaffold_10370" "2000001" "3e+06" "2.0298"
"65" "Scaffold_10370" "3000001" "4e+06" "3.7951"
"66" "Scaffold_10370" "4000001" "5e+06" "3.6046"
"67" "Scaffold_10370" "5000001" "6e+06" "5.8886"
"68" "Scaffold_10370" "6000001" "7e+06" "5.7858"
"69" "Scaffold_10370" "7000001" "8e+06" "7.1984"
"70" "Scaffold_10370" "8000001" "9e+06" "8.5081"
"71" "Scaffold_10370" "9000001" "1e+07" "15.1391"
"72" "Scaffold_10370" "10000001" "1.1e+07" "13.4841"
"73" "Scaffold_10370" "11000001" "1.2e+07" "5.0971"
"74" "Scaffold_10370" "12000001" "1.3e+07" "10.8254"
"75" "Scaffold_10370" "13000001" "1.4e+07" "10.4455"
"76" "Scaffold_10370" "14000001" "1.5e+07" "15.6853"
"77" "Scaffold_10370" "15000001" "1.6e+07" "14.4346"
"78" "Scaffold_10370" "16000001" "1.7e+07" "5.8735"
"79" "Scaffold_10370" "17000001" "1.8e+07" "15.382"
"80" "Scaffold_10370" "18000001" "1.9e+07" "8.5546"
"81" "Scaffold_10370" "19000001" "2e+07" "7.0876"
"82" "Scaffold_10370" "20000001" "2.1e+07" "13.7599"
"83" "Scaffold_10370" "21000001" "2.2e+07" "11.9934"
"84" "Scaffold_10370" "22000001" "2.3e+07" "9.6739"
"85" "Scaffold_10370" "23000001" "2.4e+07" "3.5413"
"86" "Scaffold_10370" "24000001" "2.5e+07" "14.1998"
"87" "Scaffold_10370" "25000001" "2.6e+07" "9.321"
"88" "Scaffold_10370" "26000001" "2.7e+07" "11.8018"
"89" "Scaffold_10370" "27000001" "2.8e+07" "7.185"
"90" "Scaffold_10370" "28000001" "2.9e+07" "6.519"
"91" "Scaffold_10370" "29000001" "3e+07" "11.5042"
"92" "Scaffold_10370" "30000001" "3.1e+07" "8.7512"
"93" "Scaffold_10370" "31000001" "3.2e+07" "11.4294"
"94" "Scaffold_10370" "32000001" "3.3e+07" "6.6771"
"95" "Scaffold_10370" "33000001" "3.4e+07" "14.8151"
"96" "Scaffold_10370" "34000001" "3.5e+07" "6.3653"
"97" "Scaffold_10370" "35000001" "3.6e+07" "9.9485"
"98" "Scaffold_10370" "36000001" "3.7e+07" "14.7543"
"99" "Scaffold_10370" "37000001" "3.8e+07" "13.743"
"100" "Scaffold_10370" "38000001" "3.9e+07" "12.0423"
"101" "Scaffold_10370" "39000001" "4e+07" "20.3325"
"102" "Scaffold_10370" "40000001" "4.1e+07" "7.4181"
"103" "Scaffold_10370" "41000001" "4.2e+07" "9.5043"
"104" "Scaffold_10370" "42000001" "4.3e+07" "13.0799"
"105" "Scaffold_10370" "43000001" "4.4e+07" "13.5533"
"106" "Scaffold_10370" "44000001" "4.5e+07" "8.7975"
"107" "Scaffold_10370" "45000001" "4.6e+07" "16.5882"
"108" "Scaffold_10370" "46000001" "4.7e+07" "9.4154"
"109" "Scaffold_10370" "47000001" "4.8e+07" "6.7351"
"110" "Scaffold_10370" "48000001" "4.9e+07" "9.7862"
"111" "Scaffold_10370" "49000001" "5e+07" "13.4577"
"112" "Scaffold_10370" "50000001" "5.1e+07" "0.909"
"113" "Scaffold_10370" "51000001" "5.2e+07" "5.1206"
"114" "Scaffold_10370" "52000001" "5.3e+07" "4.583"
"115" "Scaffold_10370" "53000001" "5.4e+07" "1.0746"
"116" "Scaffold_10370" "54000001" "5.5e+07" "4.0313"
"117" "Scaffold_10370" "55000001" "5.6e+07" "1.8425"
"118" "Scaffold_10370" "56000001" "5.7e+07" "2.1965"
"119" "Scaffold_10370" "57000001" "5.8e+07" "0"
"120" "Scaffold_247" "1" "1e+06" "1.8832"
"121" "Scaffold_247" "1000001" "2e+06" "4.0332"
