og_id	Acom	Tfas	Tlei
OG0000018	0	72	1
OG0000021	0	81	2
OG0000024	0	64	1
OG0000033	0	47	1
OG0000038	0	45	5
OG0000042	0	56	4
OG0000043	0	39	7
OG0000048	0	49	2
OG0000050	0	41	2
OG0000053	0	57	2
OG0000058	0	30	2
OG0000063	1	22	12
OG0000069	0	32	10
OG0000071	0	28	2
OG0000077	0	26	4
OG0000079	0	23	3
OG0000080	5	18	13
OG0000084	0	32	1
OG0000085	0	43	2
OG0000086	0	32	5
OG0000091	16	10	6
OG0000094	2	30	2
OG0000095	1	21	10
OG0000101	16	6	5
OG0000102	3	15	4
OG0000105	5	8	5
OG0000107	11	7	6
OG0000110	3	14	9
OG0000113	0	8	5
OG0000116	1	18	10
OG0000118	2	16	3
OG0000119	0	23	4
OG0000131	0	13	11
OG0000138	1	15	3
OG0000141	0	24	2
OG0000146	13	4	1
OG0000149	0	9	8
OG0000153	1	17	1
OG0000154	2	17	4
OG0000166	5	7	4
OG0000167	0	13	1
OG0000168	0	11	8
OG0000179	2	8	2
OG0000182	0	15	1
OG0000195	1	8	6
OG0000199	0	12	3
OG0000200	0	10	7
OG0000204	0	10	1
OG0000211	6	6	5
OG0000212	2	8	5
OG0000216	2	16	6
OG0000219	0	23	1
OG0000220	0	6	5
OG0000223	0	13	2
OG0000224	0	10	6
OG0000228	1	11	2
OG0000230	2	8	2
OG0000235	1	11	8
OG0000237	0	17	3
OG0000240	0	12	2
OG0000247	8	4	3
OG0000249	2	6	3
OG0000250	11	3	2
OG0000256	1	12	3
OG0000258	1	10	7
OG0000260	0	9	3
OG0000263	6	10	2
OG0000264	3	12	2
OG0000266	7	4	2
OG0000267	6	5	4
OG0000273	0	11	2
OG0000275	0	6	1
OG0000276	0	17	6
OG0000280	0	10	1
OG0000290	6	5	3
OG0000295	6	3	2
OG0000298	3	10	2
OG0000299	1	8	4
OG0000300	4	6	2
OG0000301	6	5	1
OG0000302	0	7	4
OG0000306	0	12	1
OG0000313	6	4	3
OG0000314	1	7	4
OG0000315	10	2	1
OG0000316	5	4	2
OG0000318	6	3	2
OG0000321	8	3	2
OG0000327	2	6	5
OG0000332	1	5	3
OG0000340	3	7	3
OG0000342	1	7	1
OG0000345	0	9	4
OG0000346	0	11	1
OG0000347	0	6	5
OG0000349	0	6	1
OG0000358	5	3	1
OG0000362	7	3	2
OG0000364	1	4	1
OG0000367	8	2	1
OG0000380	3	8	2
OG0000385	1	6	4
OG0000386	0	7	1
OG0000388	0	10	1
OG0000392	0	7	1
OG0000393	0	16	1
OG0000397	0	7	3
OG0000398	0	4	3
OG0000409	1	4	1
OG0000411	6	4	1
OG0000416	5	11	3
OG0000417	1	6	2
OG0000420	4	4	3
OG0000423	1	3	2
OG0000424	8	2	1
OG0000426	3	4	2
OG0000449	6	2	1
OG0000452	2	3	2
OG0000457	3	4	2
OG0000458	3	4	1
OG0000463	0	14	1
OG0000466	0	8	3
OG0000467	0	7	1
OG0000468	0	21	1
OG0000469	0	15	1
OG0000483	4	4	2
OG0000489	3	3	2
OG0000494	4	2	1
OG0000496	2	5	1
OG0000501	7	2	1
OG0000506	5	3	2
OG0000508	2	4	3
OG0000510	3	3	2
OG0000511	5	2	1
OG0000512	6	2	1
OG0000517	1	28	1
OG0000520	3	3	2
OG0000522	3	4	3
OG0000525	1	12	1
OG0000529	1	4	2
OG0000531	2	15	2
OG0000532	2	19	6
OG0000537	3	4	3
OG0000539	2	8	3
OG0000543	1	3	2
OG0000544	6	2	1
OG0000551	0	6	1
OG0000553	0	6	3
OG0000555	0	7	1
OG0000557	0	7	2
OG0000558	0	8	2
OG0000562	0	10	4
OG0000565	0	5	1
OG0000576	1	4	3
OG0000580	4	3	2
OG0000599	4	3	2
OG0000601	3	3	2
OG0000608	4	3	2
OG0000609	5	5	2
OG0000610	2	3	2
OG0000612	5	2	1
OG0000613	4	3	1
OG0000615	4	2	1
OG0000619	4	3	2
OG0000629	4	3	2
OG0000639	2	4	2
OG0000640	6	2	1
OG0000643	2	5	2
OG0000649	1	4	1
OG0000654	3	3	2
OG0000656	1	3	2
OG0000657	1	4	1
OG0000660	1	6	3
OG0000663	3	2	1
OG0000666	3	3	2
OG0000667	5	3	2
OG0000678	0	7	5
OG0000681	0	7	1
OG0000682	0	3	2
OG0000685	0	6	1
OG0000689	0	6	2
OG0000712	3	3	2
OG0000718	3	3	2
OG0000724	3	8	3
OG0000727	3	2	1
OG0000728	3	3	2
OG0000734	1	2	1
OG0000738	2	3	2
OG0000741	3	3	2
OG0000750	3	3	1
OG0000753	3	3	2
OG0000755	3	4	2
OG0000756	1	3	2
OG0000760	3	3	2
OG0000763	1	4	3
OG0000767	1	4	1
OG0000777	3	4	2
OG0000780	3	3	1
OG0000787	4	4	1
OG0000790	2	3	2
OG0000792	5	2	1
OG0000808	2	3	2
OG0000810	1	3	2
OG0000812	1	5	3
OG0000820	3	2	1
OG0000826	4	3	1
OG0000832	1	5	2
OG0000835	1	2	1
OG0000837	3	3	2
OG0000838	1	2	1
OG0000842	1	3	1
OG0000843	1	6	1
OG0000844	2	3	2
OG0000846	1	5	4
OG0000848	1	3	1
OG0000852	1	4	1
OG0000856	0	3	1
OG0000857	0	6	1
OG0000858	0	4	2
OG0000860	0	7	2
OG0000866	0	4	1
OG0000872	0	3	2
OG0000873	0	5	1
OG0000874	0	3	2
OG0000876	0	5	1
OG0000880	0	5	4
OG0000881	0	3	1
OG0000885	0	7	2
OG0000888	0	6	4
OG0000892	0	5	1
OG0000919	2	3	2
OG0000921	3	3	2
OG0000922	2	3	2
OG0000933	2	3	2
OG0000937	4	2	1
OG0000952	2	3	2
OG0000957	2	3	1
OG0000962	1	2	1
OG0000964	4	2	1
OG0000979	2	2	1
OG0000987	2	4	1
OG0000992	2	4	1
OG0001002	2	3	2
OG0001010	2	3	2
OG0001018	1	4	2
OG0001027	2	3	2
OG0001033	2	4	2
OG0001038	2	5	1
OG0001044	1	3	2
OG0001047	3	22	1
OG0001048	3	20	17
OG0001049	1	3	1
OG0001050	1	3	2
OG0001060	2	3	2
OG0001067	1	3	2
OG0001069	4	2	1
OG0001071	4	2	1
OG0001076	2	4	1
OG0001089	3	2	1
OG0001090	2	2	1
OG0001092	3	3	1
OG0001093	4	2	1
OG0001096	1	3	2
OG0001100	1	3	1
OG0001106	2	3	2
OG0001109	1	5	1
OG0001110	2	5	1
OG0001114	3	2	1
OG0001115	1	4	3
OG0001122	2	3	2
OG0001123	3	2	1
OG0001135	3	2	1
OG0001136	2	3	2
OG0001145	2	3	1
OG0001148	1	3	2
OG0001151	2	5	1
OG0001152	1	4	1
OG0001153	1	4	1
OG0001158	1	4	1
OG0001159	1	5	1
OG0001160	4	2	1
OG0001171	0	6	1
OG0001175	0	3	2
OG0001179	0	4	2
OG0001180	0	7	3
OG0001181	0	5	1
OG0001182	0	2	1
OG0001183	0	4	1
OG0001199	0	8	1
OG0001201	0	5	1
OG0001203	0	5	1
OG0001204	0	13	1
OG0001205	0	6	2
OG0001206	0	2	1
OG0001209	0	5	2
OG0001216	0	4	3
OG0001258	3	2	1
OG0001265	1	2	1
OG0001270	2	2	1
OG0001273	3	3	1
OG0001280	3	2	1
OG0001312	1	2	1
OG0001314	2	2	1
OG0001321	1	3	2
OG0001345	1	4	1
OG0001358	1	3	1
OG0001363	1	3	2
OG0001364	2	2	1
OG0001372	2	3	1
OG0001377	2	2	1
OG0001381	1	3	1
OG0001385	2	2	1
OG0001388	3	2	1
OG0001389	2	2	1
OG0001413	1	4	1
OG0001419	1	2	1
OG0001422	3	2	1
OG0001427	2	3	1
OG0001436	2	3	1
OG0001438	1	4	1
OG0001440	2	2	1
OG0001444	3	2	1
OG0001448	1	4	2
OG0001455	3	2	1
OG0001458	2	2	1
OG0001462	1	2	1
OG0001489	3	2	1
OG0001494	1	2	1
OG0001496	3	2	1
OG0001500	1	3	2
OG0001519	1	5	2
OG0001522	1	4	1
OG0001525	3	2	1
OG0001529	2	2	1
OG0001535	3	2	1
OG0001546	2	2	1
OG0001552	1	4	1
OG0001556	3	2	1
OG0001560	1	5	1
OG0001561	3	2	1
OG0001566	1	6	1
OG0001575	2	4	1
OG0001594	1	2	1
OG0001599	3	2	1
OG0001603	1	3	2
OG0001604	1	2	1
OG0001606	1	3	2
OG0001607	1	2	1
OG0001618	3	2	1
OG0001620	2	3	1
OG0001646	2	2	1
OG0001647	1	5	1
OG0001651	2	3	1
OG0001653	3	2	1
OG0001659	1	2	1
OG0001669	3	2	1
