Category	ID	Term	adj_pval	Orthogroups	Genes
BP	GO:0010196	nonphotochemical quenching	1e-04	OG0016015, OG0008776, OG0008783	Tfasc_v1.14544, Tfasc_v1.24011, Tfasc_v1.24028
BP	GO:0015995	chlorophyll biosynthetic process	0.00017	OG0011275, OG0002936, OG0019027, OG0015976, OG0014636	Tfasc_v1.00790, Tfasc_v1.14184, Tfasc_v1.27443, Tfasc_v1.27460, Tfasc_v1.28357
BP	GO:0005980	glycogen catabolic process	0.00062	OG0001290, OG0014805	Tfasc_v1.05762, Tfasc_v1.29518
BP	GO:0070208	protein heterotrimerization	0.00062	OG0012615, OG0004140	Tfasc_v1.01903, Tfasc_v1.29215
BP	GO:0015979	photosynthesis	0.00113	OG0001269, OG0015370, OG0006324, OG0000580, OG0010360, OG0013059, OG0002936, OG0011169, OG0007895, OG0015443, OG0009367	Tfasc_v1.00232, Tfasc_v1.02310, Tfasc_v1.05868, Tfasc_v1.06440, Tfasc_v1.07864, Tfasc_v1.13116, Tfasc_v1.14184, Tfasc_v1.19395, Tfasc_v1.20522, Tfasc_v1.25888, Tfasc_v1.30088
BP	GO:0046506	sulfolipid biosynthetic process	0.00123	OG0002606, OG0009120	Tfasc_v1.12147, Tfasc_v1.29686
BP	GO:0019252	starch biosynthetic process	0.00172	OG0001290, OG0018985, OG0011563, OG0019027	Tfasc_v1.05762, Tfasc_v1.08894, Tfasc_v1.22969, Tfasc_v1.27443
BP	GO:2000033	regulation of seed dormancy process	0.00203	OG0008241, OG0005212	Tfasc_v1.09668, Tfasc_v1.23867
BP	GO:0016123	xanthophyll biosynthetic process	0.00301	OG0008770, OG0019630	Tfasc_v1.23995, Tfasc_v1.28922
BP	GO:0009938	negative regulation of gibberellic acid mediated signaling pathway	0.00417	OG0008241, OG0005212	Tfasc_v1.09668, Tfasc_v1.23867
BP	GO:0010187	negative regulation of seed germination	0.00417	OG0008241, OG0005212	Tfasc_v1.09668, Tfasc_v1.23867
BP	GO:0048564	photosystem I assembly	0.00551	OG0015370, OG0013059	Tfasc_v1.02310, Tfasc_v1.13116
BP	GO:0010239	chloroplast mRNA processing	0.00702	OG0015370, OG0006012	Tfasc_v1.02310, Tfasc_v1.14454
BP	GO:0006353	DNA-templated transcription, termination	0.00702	OG0008667, OG0010305	Tfasc_v1.04713, Tfasc_v1.28997
BP	GO:0008356	asymmetric cell division	0.00702	OG0004063, OG0014835	Tfasc_v1.12098, Tfasc_v1.29599
BP	GO:0034599	cellular response to oxidative stress	0.00973	OG0016311, OG0016372, OG0019027, OG0005381, OG0016323	Tfasc_v1.02304, Tfasc_v1.18668, Tfasc_v1.27443, Tfasc_v1.27444, Tfasc_v1.30083
BP	GO:0045088	regulation of innate immune response	0.01435	OG0006539, OG0006579, OG0014835	Tfasc_v1.01341, Tfasc_v1.01395, Tfasc_v1.29599
BP	GO:0034051	negative regulation of plant-type hypersensitive response	0.01448	OG0006539	Tfasc_v1.01341
BP	GO:0051512	positive regulation of unidimensional cell growth	0.01448	OG0006316	Tfasc_v1.05894
BP	GO:0019877	diaminopimelate biosynthetic process	0.01448	OG0002724	Tfasc_v1.26205
BP	GO:0009257	10-formyltetrahydrofolate biosynthetic process	0.01448	OG0007019	Tfasc_v1.08542
BP	GO:0009684	indoleacetic acid biosynthetic process	0.01448	OG0015144	Tfasc_v1.02866
BP	GO:0010478	chlororespiration	0.01448	OG0016015	Tfasc_v1.14544
BP	GO:1902348	cellular response to strigolactone	0.01448	OG0007621	Tfasc_v1.19880
BP	GO:0010184	cytokinin transport	0.01448	OG0012684	Tfasc_v1.20561
BP	GO:1903457	lactate catabolic process	0.01448	OG0003070	Tfasc_v1.04355
BP	GO:0042538	hyperosmotic salinity response	0.01464	OG0008241, OG0005212	Tfasc_v1.09668, Tfasc_v1.23867
BP	GO:0016117	carotenoid biosynthetic process	0.0166	OG0012351, OG0008770, OG0002429, OG0019630	Tfasc_v1.06744, Tfasc_v1.23995, Tfasc_v1.28736, Tfasc_v1.28922
BP	GO:0045036	protein targeting to chloroplast	0.01664	OG0012615, OG0011121, OG0006038, OG0005261	Tfasc_v1.01903, Tfasc_v1.07969, Tfasc_v1.14476, Tfasc_v1.22845
BP	GO:0009863	salicylic acid mediated signaling pathway	0.01692	OG0008241, OG0005212	Tfasc_v1.09668, Tfasc_v1.23867
BP	GO:2000377	regulation of reactive oxygen species metabolic process	0.01934	OG0008241, OG0005212	Tfasc_v1.09668, Tfasc_v1.23867
BP	GO:0009768	photosynthesis, light harvesting in photosystem I	0.01934	OG0006324, OG0015443	Tfasc_v1.05868, Tfasc_v1.25888
BP	GO:0045910	negative regulation of DNA recombination	0.0219	OG0012080, OG0004040	Tfasc_v1.21486, Tfasc_v1.28320
BP	GO:0000373	Group II intron splicing	0.02458	OG0015370, OG0009260	Tfasc_v1.02310, Tfasc_v1.29302
BP	GO:0046467	membrane lipid biosynthetic process	0.02864	OG0002606, OG0016372, OG0008860	Tfasc_v1.12147, Tfasc_v1.18668, Tfasc_v1.24185
BP	GO:0034402	recruitment of 3'-end processing factors to RNA polymerase II holoenzyme complex	0.02875	OG0003537	Tfasc_v1.04733
BP	GO:0006294	nucleotide-excision repair, preincision complex assembly	0.02875	OG0014332	Tfasc_v1.30361
BP	GO:0010338	leaf formation	0.02875	OG0014835	Tfasc_v1.29599
BP	GO:0090071	negative regulation of ribosome biogenesis	0.02875	OG0012894	Tfasc_v1.09249
