"chrom" "start_window" "end_window" "multicopy_gene_count"
"1" "Scaffold_8399" "1" "1e+06" "28"
"2" "Scaffold_8399" "1000001" "2e+06" "20"
"3" "Scaffold_8399" "2000001" "3e+06" "4"
"4" "Scaffold_8399" "3000001" "4e+06" "8"
"5" "Scaffold_8399" "4000001" "5e+06" "8"
"6" "Scaffold_8399" "5000001" "6e+06" "6"
"7" "Scaffold_8399" "6000001" "7e+06" "5"
"8" "Scaffold_8399" "7000001" "8e+06" "1"
"9" "Scaffold_8399" "8000001" "9e+06" "3"
"10" "Scaffold_8399" "9000001" "1e+07" "7"
"11" "Scaffold_8399" "10000001" "1.1e+07" "5"
"12" "Scaffold_8399" "11000001" "1.2e+07" "2"
"13" "Scaffold_8399" "12000001" "1.3e+07" "1"
"14" "Scaffold_8399" "13000001" "1.4e+07" "1"
"15" "Scaffold_8399" "14000001" "1.5e+07" "0"
"16" "Scaffold_8399" "15000001" "1.6e+07" "0"
"17" "Scaffold_8399" "16000001" "1.7e+07" "1"
"18" "Scaffold_8399" "17000001" "1.8e+07" "0"
"19" "Scaffold_8399" "18000001" "1.9e+07" "1"
"20" "Scaffold_8399" "19000001" "2e+07" "3"
"21" "Scaffold_8399" "20000001" "2.1e+07" "5"
"22" "Scaffold_8399" "21000001" "2.2e+07" "0"
"23" "Scaffold_8399" "22000001" "2.3e+07" "1"
"24" "Scaffold_8399" "23000001" "2.4e+07" "0"
"25" "Scaffold_8399" "24000001" "2.5e+07" "2"
"26" "Scaffold_8399" "25000001" "2.6e+07" "4"
"27" "Scaffold_8399" "26000001" "2.7e+07" "4"
"28" "Scaffold_8399" "27000001" "2.8e+07" "0"
"29" "Scaffold_8399" "28000001" "2.9e+07" "0"
"30" "Scaffold_8399" "29000001" "3e+07" "3"
"31" "Scaffold_8399" "30000001" "3.1e+07" "1"
"32" "Scaffold_8399" "31000001" "3.2e+07" "2"
"33" "Scaffold_8399" "32000001" "3.3e+07" "0"
"34" "Scaffold_8399" "33000001" "3.4e+07" "4"
"35" "Scaffold_8399" "34000001" "3.5e+07" "3"
"36" "Scaffold_8399" "35000001" "3.6e+07" "1"
"37" "Scaffold_8399" "36000001" "3.7e+07" "1"
"38" "Scaffold_8399" "37000001" "3.8e+07" "0"
"39" "Scaffold_8399" "38000001" "3.9e+07" "2"
"40" "Scaffold_8399" "39000001" "4e+07" "2"
"41" "Scaffold_8399" "40000001" "4.1e+07" "1"
"42" "Scaffold_8399" "41000001" "4.2e+07" "0"
"43" "Scaffold_8399" "42000001" "4.3e+07" "1"
"44" "Scaffold_8399" "43000001" "4.4e+07" "1"
"45" "Scaffold_8399" "44000001" "4.5e+07" "2"
"46" "Scaffold_8399" "45000001" "4.6e+07" "1"
"47" "Scaffold_8399" "46000001" "4.7e+07" "3"
"48" "Scaffold_8399" "47000001" "4.8e+07" "1"
"49" "Scaffold_8399" "48000001" "4.9e+07" "1"
"50" "Scaffold_8399" "49000001" "5e+07" "3"
"51" "Scaffold_8399" "50000001" "5.1e+07" "9"
"52" "Scaffold_8399" "51000001" "5.2e+07" "1"
"53" "Scaffold_8399" "52000001" "5.3e+07" "8"
"54" "Scaffold_8399" "53000001" "5.4e+07" "13"
"55" "Scaffold_8399" "54000001" "5.5e+07" "16"
"56" "Scaffold_8399" "55000001" "5.6e+07" "36"
"57" "Scaffold_8399" "56000001" "5.7e+07" "17"
"58" "Scaffold_8399" "57000001" "5.8e+07" "16"
"59" "Scaffold_8399" "58000001" "5.9e+07" "28"
"60" "Scaffold_8399" "59000001" "6e+07" "13"
"61" "Scaffold_8399" "60000001" "6.1e+07" "5"
"62" "Scaffold_10370" "1" "1e+06" "23"
"63" "Scaffold_10370" "1000001" "2e+06" "25"
"64" "Scaffold_10370" "2000001" "3e+06" "9"
"65" "Scaffold_10370" "3000001" "4e+06" "28"
"66" "Scaffold_10370" "4000001" "5e+06" "16"
"67" "Scaffold_10370" "5000001" "6e+06" "9"
"68" "Scaffold_10370" "6000001" "7e+06" "6"
"69" "Scaffold_10370" "7000001" "8e+06" "13"
"70" "Scaffold_10370" "8000001" "9e+06" "3"
"71" "Scaffold_10370" "9000001" "1e+07" "0"
"72" "Scaffold_10370" "10000001" "1.1e+07" "3"
"73" "Scaffold_10370" "11000001" "1.2e+07" "2"
"74" "Scaffold_10370" "12000001" "1.3e+07" "3"
"75" "Scaffold_10370" "13000001" "1.4e+07" "2"
"76" "Scaffold_10370" "14000001" "1.5e+07" "0"
"77" "Scaffold_10370" "15000001" "1.6e+07" "2"
"78" "Scaffold_10370" "16000001" "1.7e+07" "0"
"79" "Scaffold_10370" "17000001" "1.8e+07" "1"
"80" "Scaffold_10370" "18000001" "1.9e+07" "0"
"81" "Scaffold_10370" "19000001" "2e+07" "4"
"82" "Scaffold_10370" "20000001" "2.1e+07" "2"
"83" "Scaffold_10370" "21000001" "2.2e+07" "1"
"84" "Scaffold_10370" "22000001" "2.3e+07" "1"
"85" "Scaffold_10370" "23000001" "2.4e+07" "4"
"86" "Scaffold_10370" "24000001" "2.5e+07" "2"
"87" "Scaffold_10370" "25000001" "2.6e+07" "0"
"88" "Scaffold_10370" "26000001" "2.7e+07" "0"
"89" "Scaffold_10370" "27000001" "2.8e+07" "0"
"90" "Scaffold_10370" "28000001" "2.9e+07" "3"
"91" "Scaffold_10370" "29000001" "3e+07" "2"
"92" "Scaffold_10370" "30000001" "3.1e+07" "4"
"93" "Scaffold_10370" "31000001" "3.2e+07" "2"
"94" "Scaffold_10370" "32000001" "3.3e+07" "0"
"95" "Scaffold_10370" "33000001" "3.4e+07" "2"
"96" "Scaffold_10370" "34000001" "3.5e+07" "5"
"97" "Scaffold_10370" "35000001" "3.6e+07" "6"
"98" "Scaffold_10370" "36000001" "3.7e+07" "3"
"99" "Scaffold_10370" "37000001" "3.8e+07" "0"
"100" "Scaffold_10370" "38000001" "3.9e+07" "1"
"101" "Scaffold_10370" "39000001" "4e+07" "1"
"102" "Scaffold_10370" "40000001" "4.1e+07" "1"
"103" "Scaffold_10370" "41000001" "4.2e+07" "2"
"104" "Scaffold_10370" "42000001" "4.3e+07" "1"
"105" "Scaffold_10370" "43000001" "4.4e+07" "1"
"106" "Scaffold_10370" "44000001" "4.5e+07" "1"
"107" "Scaffold_10370" "45000001" "4.6e+07" "0"
"108" "Scaffold_10370" "46000001" "4.7e+07" "4"
"109" "Scaffold_10370" "47000001" "4.8e+07" "4"
"110" "Scaffold_10370" "48000001" "4.9e+07" "3"
"111" "Scaffold_10370" "49000001" "5e+07" "5"
"112" "Scaffold_10370" "50000001" "5.1e+07" "13"
"113" "Scaffold_10370" "51000001" "5.2e+07" "13"
"114" "Scaffold_10370" "52000001" "5.3e+07" "20"
"115" "Scaffold_10370" "53000001" "5.4e+07" "16"
"116" "Scaffold_10370" "54000001" "5.5e+07" "4"
"117" "Scaffold_10370" "55000001" "5.6e+07" "25"
"118" "Scaffold_10370" "56000001" "5.7e+07" "20"
"119" "Scaffold_10370" "57000001" "5.8e+07" "2"
"120" "Scaffold_247" "1" "1e+06" "17"
"121" "Scaffold_247" "1000001" "2e+06" "16"
"122" "Scaffold_247" "2000001" "3e+06" "10"
"123" "Scaffold_247" "3000001" "4e+06" "5"
"124" "Scaffold_247" "4000001" "5e+06" "9"
"125" "Scaffold_247" "5000001" "6e+06" "2"
"126" "Scaffold_247" "6000001" "7e+06" "3"
"127" "Scaffold_247" "7000001" "8e+06" "2"
"128" "Scaffold_247" "8000001" "9e+06" "2"
"129" "Scaffold_247" "9000001" "1e+07" "2"
