gene_id	median_cov	mean_cov	og_id	Acom_count	Tfas_count	Tlei_count	duplicated
724	Tfasc_v1.26318-RA	773.5	776.866666666667	OG0000444	4	2	3	multi-copy
1281	Tfasc_v1.10172-RA	6502	6244.65957446809	OG0017250	1	1	0	single-copy
1487	Tfasc_v1.13448-RA	173	173.275925925926	OG0000524	3	3	3	ancestral-multi-copy
1493	Tfasc_v1.12608-RA	104	137.927001719855	OG0000525	1	8	1	multi-copy
1704	Tfasc_v1.20546-RA	155	151.620253164557	OG0001739	2	3	1	multi-copy
1797	Tfasc_v1.13651-RA	134	141.763736263736	OG0005452	0	3	1	multi-copy
2095	Tfasc_v1.24736-RA	885	886.882483370288	OG0014263	2	1	0	single-copy
2255	Tfasc_v1.25233-RA	118	120.01045751634	OG0000091	16	9	6	multi-copy
2341	Tfasc_v1.15361-RA	160.5	170.231707317073	OG0002768	2	1	2	single-copy
2543	Tfasc_v1.26329-RA	1530	1378.06049822064	OG0004740	2	1	1	single-copy
2713	Tfasc_v1.26382-RA	151	149.053941908714	OG0000393	0	11	1	multi-copy
2909	Tfasc_v1.00856-RA	105	110.531145344943	OG0000021	0	79	2	multi-copy
3005	Tfasc_v1.24737-RA	758	757.171916010499	OG0005055	2	1	1	single-copy
3373	Tfasc_v1.17120-RA	101	105.711669283098	OG0000562	0	6	4	multi-copy
3451	Tfasc_v1.13241-RA	907	858.994134897361	OG0004285	1	1	2	single-copy
3509	Tfasc_v1.25642-RA	5720	5817.23529411765	OG0013746	1	1	1	ancestral-single-copy
3587	Tfasc_v1.05450-RA	140	127.419523099851	OG0001770	1	1	4	single-copy
3606	Tfasc_v1.19052-RA	5001	4952.87980769231	OG0000828	3	2	3	multi-copy
3607	Tfasc_v1.26193-RA	7008	6697.43964671246	OG0000828	3	2	3	multi-copy
3941	Tfasc_v1.27289-RA	656	560.009650180941	OG0017182	1	1	0	single-copy
3962	Tfasc_v1.25467-RA	941	1186.06478958523	OG0013511	1	1	1	ancestral-single-copy
4346	Tfasc_v1.23299-RA	6666	6581.93884892086	OG0001757	1	1	4	single-copy
4866	Tfasc_v1.03365-RA	131	125.568792830785	OG0004801	1	2	1	multi-copy
5021	Tfasc_v1.04851-RA	116	118.121771217712	OG0001204	0	6	1	multi-copy
5022	Tfasc_v1.20545-RA	115	118.266159695817	OG0001204	0	6	1	multi-copy
5025	Tfasc_v1.18511-RA	116	118.613272706343	OG0001204	0	6	1	multi-copy
5224	Tfasc_v1.04210-RA	7412	7124.24905660377	OG0000798	6	1	1	single-copy
5350	Tfasc_v1.13751-RA	126	133.52319109462	OG0016217	0	2	1	multi-copy
5381	Tfasc_v1.26005-RA	101	92.7699680511182	OG0015621	1	1	1	ancestral-single-copy
5421	Tfasc_v1.24740-RA	824	840.516620498615	OG0005213	1	1	2	single-copy
6047	Tfasc_v1.02358-RA	3510	3009.2754491018	OG0010252	1	2	0	multi-copy
6048	Tfasc_v1.13950-RA	294	246.37125748503	OG0010252	1	2	0	multi-copy
