chrom	start_window	end_window	DE_counts	proportion
1	Tfas_chr1	1	1e+06	3	0.0245901639344262
2	Tfas_chr1	1000001	2e+06	7	0.0729166666666667
3	Tfas_chr1	2000001	3e+06	1	0.0102040816326531
4	Tfas_chr1	3000001	4e+06	0	0
5	Tfas_chr1	4000001	5e+06	1	0.0135135135135135
6	Tfas_chr1	5000001	6e+06	2	0.0338983050847458
7	Tfas_chr1	6000001	7e+06	0	0
8	Tfas_chr1	7000001	8e+06	1	0.0256410256410256
9	Tfas_chr1	8000001	9e+06	0	0
10	Tfas_chr1	9000001	1e+07	1	0.0714285714285714
11	Tfas_chr1	10000001	1.1e+07	0	0
12	Tfas_chr1	11000001	1.2e+07	1	0.125
13	Tfas_chr1	12000001	1.3e+07	0	0
14	Tfas_chr1	13000001	1.4e+07	0	0
15	Tfas_chr1	14000001	1.5e+07	2	0.25
16	Tfas_chr1	15000001	1.6e+07	0	0
17	Tfas_chr1	16000001	1.7e+07	0	0
18	Tfas_chr1	17000001	1.8e+07	1	0.111111111111111
19	Tfas_chr1	18000001	1.9e+07	0	0
20	Tfas_chr1	19000001	2e+07	1	0.0714285714285714
21	Tfas_chr1	20000001	2.1e+07	2	0.133333333333333
22	Tfas_chr1	21000001	2.2e+07	0	0
23	Tfas_chr1	22000001	2.3e+07	0	0
24	Tfas_chr1	23000001	2.4e+07	1	0.1
25	Tfas_chr1	24000001	2.5e+07	0	0
26	Tfas_chr1	25000001	2.6e+07	1	0.032258064516129
27	Tfas_chr1	26000001	2.7e+07	2	0.117647058823529
28	Tfas_chr1	27000001	2.8e+07	3	0.0652173913043478
29	Tfas_chr1	28000001	2.9e+07	2	0.0273972602739726
30	Tfas_chr1	29000001	3e+07	1	0.0087719298245614
31	Tfas_chr1	30000001	3.1e+07	2	0.0169491525423729
32	Tfas_chr1	31000001	3.2e+07	3	0.0245901639344262
33	Tfas_chr1	32000001	3.3e+07	2	0.142857142857143
34	Tfas_chr2	1	1e+06	3	0.04
35	Tfas_chr2	1000001	2e+06	2	0.0256410256410256
36	Tfas_chr2	2000001	3e+06	4	0.0476190476190476
37	Tfas_chr2	3000001	4e+06	1	0.010989010989011
38	Tfas_chr2	4000001	5e+06	6	0.0560747663551402
39	Tfas_chr2	5000001	6e+06	5	0.0471698113207547
40	Tfas_chr2	6000001	7e+06	1	0.0147058823529412
41	Tfas_chr2	7000001	8e+06	3	0.0638297872340425
42	Tfas_chr2	8000001	9e+06	1	0.0208333333333333
43	Tfas_chr2	9000001	1e+07	1	0.04
44	Tfas_chr2	10000001	1.1e+07	0	0
45	Tfas_chr2	11000001	1.2e+07	1	0.0454545454545455
46	Tfas_chr2	12000001	1.3e+07	0	0
47	Tfas_chr2	13000001	1.4e+07	0	0
48	Tfas_chr2	14000001	1.5e+07	0	0
49	Tfas_chr2	15000001	1.6e+07	0	0
50	Tfas_chr2	16000001	1.7e+07	0	0
51	Tfas_chr2	17000001	1.8e+07	0	0
52	Tfas_chr2	18000001	1.9e+07	0	0
53	Tfas_chr2	19000001	2e+07	0	0
54	Tfas_chr2	20000001	2.1e+07	1	0.111111111111111
55	Tfas_chr2	21000001	2.2e+07	0	0
56	Tfas_chr2	22000001	2.3e+07	0	0
57	Tfas_chr2	23000001	2.4e+07	0	0
58	Tfas_chr2	24000001	2.5e+07	1	0.0625
59	Tfas_chr2	25000001	2.6e+07	0	0
60	Tfas_chr2	26000001	2.7e+07	1	0.0555555555555556
61	Tfas_chr2	27000001	2.8e+07	0	0
62	Tfas_chr2	28000001	2.9e+07	0	0
63	Tfas_chr2	29000001	3e+07	5	0.0757575757575758
64	Tfas_chr2	30000001	3.1e+07	0	0
65	Tfas_chr2	31000001	3.2e+07	4	0.0563380281690141
66	Tfas_chr3	1	1e+06	2	0.0253164556962025
67	Tfas_chr3	1000001	2e+06	3	0.0275229357798165
68	Tfas_chr3	2000001	3e+06	4	0.0373831775700935
69	Tfas_chr3	3000001	4e+06	1	0.0277777777777778
70	Tfas_chr3	4000001	5e+06	2	0.0666666666666667
71	Tfas_chr3	5000001	6e+06	0	0
72	Tfas_chr3	6000001	7e+06	0	0
73	Tfas_chr3	7000001	8e+06	1	0.0714285714285714
74	Tfas_chr3	8000001	9e+06	3	0.157894736842105
75	Tfas_chr3	9000001	1e+07	2	0.285714285714286
76	Tfas_chr3	10000001	1.1e+07	0	0
77	Tfas_chr3	11000001	1.2e+07	1	0.0909090909090909
78	Tfas_chr3	12000001	1.3e+07	1	0.25
79	Tfas_chr3	13000001	1.4e+07	0	0
80	Tfas_chr3	14000001	1.5e+07	0	0
81	Tfas_chr3	15000001	1.6e+07	1	0.125
82	Tfas_chr3	16000001	1.7e+07	0	0
83	Tfas_chr3	17000001	1.8e+07	0	0
84	Tfas_chr3	18000001	1.9e+07	0	0
85	Tfas_chr3	19000001	2e+07	0	0
86	Tfas_chr3	20000001	2.1e+07	0	0
87	Tfas_chr3	21000001	2.2e+07	0	0
88	Tfas_chr3	22000001	2.3e+07	0	0
89	Tfas_chr3	23000001	2.4e+07	0	0
90	Tfas_chr3	24000001	2.5e+07	0	0
91	Tfas_chr3	25000001	2.6e+07	0	0
92	Tfas_chr3	26000001	2.7e+07	9	0.103448275862069
93	Tfas_chr3	27000001	2.8e+07	2	0.0235294117647059
94	Tfas_chr3	28000001	2.9e+07	3	0.0258620689655172
95	Tfas_chr3	29000001	3e+07	4	0.0327868852459016
96	Tfas_chr3	30000001	3.1e+07	4	0.0555555555555556
97	Tfas_chr3	31000001	3.2e+07	0	0
98	Tfas_chr4	1	1e+06	5	0.0442477876106195
99	Tfas_chr4	1000001	2e+06	4	0.0512820512820513
100	Tfas_chr4	2000001	3e+06	2	0.0714285714285714
101	Tfas_chr4	3000001	4e+06	1	0.0434782608695652
102	Tfas_chr4	4000001	5e+06	1	0.0454545454545455
103	Tfas_chr4	5000001	6e+06	0	0
104	Tfas_chr4	6000001	7e+06	1	0.1
105	Tfas_chr4	7000001	8e+06	1	0.0714285714285714
106	Tfas_chr4	8000001	9e+06	1	0.0769230769230769
107	Tfas_chr4	9000001	1e+07	1	0.0769230769230769
108	Tfas_chr4	10000001	1.1e+07	0	0
109	Tfas_chr4	11000001	1.2e+07	0	0
110	Tfas_chr4	12000001	1.3e+07	0	0
111	Tfas_chr4	13000001	1.4e+07	0	0
112	Tfas_chr4	14000001	1.5e+07	1	0.166666666666667
113	Tfas_chr4	15000001	1.6e+07	1	0.166666666666667
114	Tfas_chr4	16000001	1.7e+07	0	0
115	Tfas_chr4	17000001	1.8e+07	0	0
116	Tfas_chr4	18000001	1.9e+07	0	0
117	Tfas_chr4	19000001	2e+07	0	0
118	Tfas_chr4	20000001	2.1e+07	2	0.0645161290322581
119	Tfas_chr4	21000001	2.2e+07	0	0
120	Tfas_chr4	22000001	2.3e+07	1	0.0196078431372549
121	Tfas_chr4	23000001	2.4e+07	6	0.0983606557377049
122	Tfas_chr4	24000001	2.5e+07	3	0.0384615384615385
123	Tfas_chr4	25000001	2.6e+07	0	0
124	Tfas_chr4	26000001	2.7e+07	3	0.0306122448979592
125	Tfas_chr4	27000001	2.8e+07	5	0.0462962962962963
126	Tfas_chr4	28000001	2.9e+07	4	0.0408163265306122
127	Tfas_chr4	29000001	3e+07	4	0.0493827160493827
128	Tfas_chr4	30000001	3.1e+07	2	0.0235294117647059
129	Tfas_chr5	1	1e+06	6	0.0566037735849057
130	Tfas_chr5	1000001	2e+06	2	0.0194174757281553
131	Tfas_chr5	2000001	3e+06	7	0.0614035087719298
132	Tfas_chr5	3000001	4e+06	2	0.0277777777777778
