"chrom" "V2" "V3" "percentage_masked"
"1" "Scaffold_8399" "1" "1e+06" 1.1472
"2" "Scaffold_8399" "1000001" "2e+06" 5.0817
"3" "Scaffold_8399" "2000001" "3e+06" 9.9758
"4" "Scaffold_8399" "3000001" "4e+06" 5.5234
"5" "Scaffold_8399" "4000001" "5e+06" 5.9784
"6" "Scaffold_8399" "5000001" "6e+06" 6.7161
"7" "Scaffold_8399" "6000001" "7e+06" 19.0024
"8" "Scaffold_8399" "7000001" "8e+06" 22.4175
"9" "Scaffold_8399" "8000001" "9e+06" 10.691
"10" "Scaffold_8399" "9000001" "1e+07" 7.2639
"11" "Scaffold_8399" "10000001" "1.1e+07" 6.3786
"12" "Scaffold_8399" "11000001" "1.2e+07" 10.486
"13" "Scaffold_8399" "12000001" "1.3e+07" 9.8885
"14" "Scaffold_8399" "13000001" "1.4e+07" 19.1299
"15" "Scaffold_8399" "14000001" "1.5e+07" 11.1348
"16" "Scaffold_8399" "15000001" "1.6e+07" 7.1431
"17" "Scaffold_8399" "16000001" "1.7e+07" 18.2508
"18" "Scaffold_8399" "17000001" "1.8e+07" 11.6698
"19" "Scaffold_8399" "18000001" "1.9e+07" 11.4116
"20" "Scaffold_8399" "19000001" "2e+07" 13.6819
"21" "Scaffold_8399" "20000001" "2.1e+07" 6.3945
"22" "Scaffold_8399" "21000001" "2.2e+07" 15.9769
"23" "Scaffold_8399" "22000001" "2.3e+07" 6.3736
"24" "Scaffold_8399" "23000001" "2.4e+07" 10.3578
"25" "Scaffold_8399" "24000001" "2.5e+07" 14.2838
"26" "Scaffold_8399" "25000001" "2.6e+07" 8.0107
"27" "Scaffold_8399" "26000001" "2.7e+07" 10.6843
"28" "Scaffold_8399" "27000001" "2.8e+07" 14.3934
"29" "Scaffold_8399" "28000001" "2.9e+07" 10.5355
"30" "Scaffold_8399" "29000001" "3e+07" 16.1442
"31" "Scaffold_8399" "30000001" "3.1e+07" 14.7689
"32" "Scaffold_8399" "31000001" "3.2e+07" 10.1314
"33" "Scaffold_8399" "32000001" "3.3e+07" 6.9976
"34" "Scaffold_8399" "33000001" "3.4e+07" 9.8831
"35" "Scaffold_8399" "34000001" "3.5e+07" 9.9609
"36" "Scaffold_8399" "35000001" "3.6e+07" 12.5642
"37" "Scaffold_8399" "36000001" "3.7e+07" 11.0171
"38" "Scaffold_8399" "37000001" "3.8e+07" 11.3294
"39" "Scaffold_8399" "38000001" "3.9e+07" 5.6486
"40" "Scaffold_8399" "39000001" "4e+07" 11.4781
"41" "Scaffold_8399" "40000001" "4.1e+07" 5.9626
"42" "Scaffold_8399" "41000001" "4.2e+07" 10.3581
"43" "Scaffold_8399" "42000001" "4.3e+07" 10.1822
"44" "Scaffold_8399" "43000001" "4.4e+07" 3.5084
"45" "Scaffold_8399" "44000001" "4.5e+07" 5.5865
"46" "Scaffold_8399" "45000001" "4.6e+07" 7.8803
"47" "Scaffold_8399" "46000001" "4.7e+07" 7.888
"48" "Scaffold_8399" "47000001" "4.8e+07" 10.2324
"49" "Scaffold_8399" "48000001" "4.9e+07" 11.5903
"50" "Scaffold_8399" "49000001" "5e+07" 8.0215
"51" "Scaffold_8399" "50000001" "5.1e+07" 7.6464
"52" "Scaffold_8399" "51000001" "5.2e+07" 11.2156
"53" "Scaffold_8399" "52000001" "5.3e+07" 4.9661
"54" "Scaffold_8399" "53000001" "5.4e+07" 2.8721
"55" "Scaffold_8399" "54000001" "5.5e+07" 4.6134
"56" "Scaffold_8399" "55000001" "5.6e+07" 4.6856
"57" "Scaffold_8399" "56000001" "5.7e+07" 4.6821
"58" "Scaffold_8399" "57000001" "5.8e+07" 0.6417
"59" "Scaffold_8399" "58000001" "5.9e+07" 2.6108
"60" "Scaffold_8399" "59000001" "6e+07" 2.7683
"61" "Scaffold_8399" "60000001" "6.1e+07" 2.4441
"62" "Scaffold_10370" "1" "1e+06" 6.1237
"63" "Scaffold_10370" "1000001" "2e+06" 1.2094
"64" "Scaffold_10370" "2000001" "3e+06" 2.0314
"65" "Scaffold_10370" "3000001" "4e+06" 3.797
"66" "Scaffold_10370" "4000001" "5e+06" 3.6058
"67" "Scaffold_10370" "5000001" "6e+06" 5.8001
"68" "Scaffold_10370" "6000001" "7e+06" 5.7881
"69" "Scaffold_10370" "7000001" "8e+06" 7.201
"70" "Scaffold_10370" "8000001" "9e+06" 8.5114
"71" "Scaffold_10370" "9000001" "1e+07" 15.144
"72" "Scaffold_10370" "10000001" "1.1e+07" 13.4881
"73" "Scaffold_10370" "11000001" "1.2e+07" 5.0989
"74" "Scaffold_10370" "12000001" "1.3e+07" 10.8286
"75" "Scaffold_10370" "13000001" "1.4e+07" 10.3198
"76" "Scaffold_10370" "14000001" "1.5e+07" 15.6359
"77" "Scaffold_10370" "15000001" "1.6e+07" 12.8984
"78" "Scaffold_10370" "16000001" "1.7e+07" 5.8757
"79" "Scaffold_10370" "17000001" "1.8e+07" 15.387
"80" "Scaffold_10370" "18000001" "1.9e+07" 8.503
"81" "Scaffold_10370" "19000001" "2e+07" 7.0898
"82" "Scaffold_10370" "20000001" "2.1e+07" 12.7542
"83" "Scaffold_10370" "21000001" "2.2e+07" 11.997
"84" "Scaffold_10370" "22000001" "2.3e+07" 8.7293
"85" "Scaffold_10370" "23000001" "2.4e+07" 3.5426
"86" "Scaffold_10370" "24000001" "2.5e+07" 14.2045
"87" "Scaffold_10370" "25000001" "2.6e+07" 8.5541
"88" "Scaffold_10370" "26000001" "2.7e+07" 10.6114
"89" "Scaffold_10370" "27000001" "2.8e+07" 7.0963
"90" "Scaffold_10370" "28000001" "2.9e+07" 6.521
"91" "Scaffold_10370" "29000001" "3e+07" 11.5076
"92" "Scaffold_10370" "30000001" "3.1e+07" 8.7547
"93" "Scaffold_10370" "31000001" "3.2e+07" 11.4328
"94" "Scaffold_10370" "32000001" "3.3e+07" 6.6797
"95" "Scaffold_10370" "33000001" "3.4e+07" 14.0462
"96" "Scaffold_10370" "34000001" "3.5e+07" 6.3674
"97" "Scaffold_10370" "35000001" "3.6e+07" 9.9519
"98" "Scaffold_10370" "36000001" "3.7e+07" 14.7585
"99" "Scaffold_10370" "37000001" "3.8e+07" 12.9727
"100" "Scaffold_10370" "38000001" "3.9e+07" 12.0463
"101" "Scaffold_10370" "39000001" "4e+07" 16.5825
"102" "Scaffold_10370" "40000001" "4.1e+07" 7.4204
"103" "Scaffold_10370" "41000001" "4.2e+07" 9.5074
"104" "Scaffold_10370" "42000001" "4.3e+07" 13.084
"105" "Scaffold_10370" "43000001" "4.4e+07" 13.0572
"106" "Scaffold_10370" "44000001" "4.5e+07" 8.8002
"107" "Scaffold_10370" "45000001" "4.6e+07" 15.9354
"108" "Scaffold_10370" "46000001" "4.7e+07" 9.4181
"109" "Scaffold_10370" "47000001" "4.8e+07" 6.7374
"110" "Scaffold_10370" "48000001" "4.9e+07" 9.0247
"111" "Scaffold_10370" "49000001" "5e+07" 13.4619
"112" "Scaffold_10370" "50000001" "5.1e+07" 0.9098
"113" "Scaffold_10370" "51000001" "5.2e+07" 5.1232
"114" "Scaffold_10370" "52000001" "5.3e+07" 4.5849
"115" "Scaffold_10370" "53000001" "5.4e+07" 1.0756
"116" "Scaffold_10370" "54000001" "5.5e+07" 4.034
"117" "Scaffold_10370" "55000001" "5.6e+07" 1.8431
"118" "Scaffold_10370" "56000001" "5.7e+07" 2.1975
"119" "Scaffold_10370" "57000001" "5.8e+07" 0
"120" "Scaffold_247" "1" "1e+06" 1.884
"121" "Scaffold_247" "1000001" "2e+06" 4.0354
"122" "Scaffold_247" "2000001" "3e+06" 5.3005
"123" "Scaffold_247" "3000001" "4e+06" 8.1396
"124" "Scaffold_247" "4000001" "5e+06" 2.5719
"125" "Scaffold_247" "5000001" "6e+06" 8.003
"126" "Scaffold_247" "6000001" "7e+06" 15.5953
"127" "Scaffold_247" "7000001" "8e+06" 12.5689
"128" "Scaffold_247" "8000001" "9e+06" 10.2114
"129" "Scaffold_247" "9000001" "1e+07" 11.4597
"130" "Scaffold_247" "10000001" "1.1e+07" 8.4678
"131" "Scaffold_247" "11000001" "1.2e+07" 10.6064
"132" "Scaffold_247" "12000001" "1.3e+07" 12.5795
"133" "Scaffold_247" "13000001" "1.4e+07" 9.4125
"134" "Scaffold_247" "14000001" "1.5e+07" 5.0108
"135" "Scaffold_247" "15000001" "1.6e+07" 9.291
"136" "Scaffold_247" "16000001" "1.7e+07" 15.4365
"137" "Scaffold_247" "17000001" "1.8e+07" 12.6787
"138" "Scaffold_247" "18000001" "1.9e+07" 8.5672
"139" "Scaffold_247" "19000001" "2e+07" 10.6911
"140" "Scaffold_247" "20000001" "2.1e+07" 12.3643
"141" "Scaffold_247" "21000001" "2.2e+07" 6.7033
"142" "Scaffold_247" "22000001" "2.3e+07" 17.5166
"143" "Scaffold_247" "23000001" "2.4e+07" 16.9291
"144" "Scaffold_247" "24000001" "2.5e+07" 3.8363
"145" "Scaffold_247" "25000001" "2.6e+07" 9.4335
"146" "Scaffold_247" "26000001" "2.7e+07" 11.1687
"147" "Scaffold_247" "27000001" "2.8e+07" 8.1494
"148" "Scaffold_247" "28000001" "2.9e+07" 6.9454
"149" "Scaffold_247" "29000001" "3e+07" 11.0961
"150" "Scaffold_247" "30000001" "3.1e+07" 9.4623
"151" "Scaffold_247" "31000001" "3.2e+07" 10.0607
"152" "Scaffold_247" "32000001" "3.3e+07" 12.8445
