gene_id	median_cov	mean_cov	og_id	Acom_count	Tfas_count	Tlei_count
Tlei_v1.07811-RA	53	52.51216494845361	OG0000302	0	10	4
Tlei_v1.09228-RA	54.0	55.75	OG0000302	0	10	4
Tlei_v1.20156-RA	53.0	52.7939393939394	OG0000302	0	10	4
Tlei_v1.24169-RA	40.0	37.88222543352601	OG0000302	0	10	4
Tlei_v1.28031-RA	79.0	77.71597633136095	OG0017485	1	0	1
Tlei_v1.00303-RA	55	55.43893928820656	OG0019085	0	1	1
Tlei_v1.14457-RA	52.0	51.579900124843945	OG0005004	2	1	1
Tlei_v1.29484-RA	50.0	45.3693661971831	OG0014387	1	1	1
Tlei_v1.17239-RA	57.0	56.115508021390376	OG0012079	1	1	1
Tlei_v1.17247-RA	49	49.00481412142284	OG0012078	1	1	1
Tlei_v1.28688-RA	48.0	47.12958963282937	OG0009609	1	1	1
Tlei_v1.17220-RA	51	49.56282671829622	OG0012071	1	1	1
Tlei_v1.17231-RA	53	50.051255989545524	OG0012070	1	1	1
Tlei_v1.17230-RA	28.0	27.666402535657685	OG0012072	1	1	1
Tlei_v1.17246-RA	53	52.22200049887753	OG0012075	1	1	1
Tlei_v1.17229-RA	59	60.30541871921182	OG0012074	1	1	1
Tlei_v1.24735-RA	51.0	50.25873998543336	OG0000303	0	4	10
Tlei_v1.24881-RA	49.0	48.72065110161131	OG0000303	0	4	10
Tlei_v1.24848-RA	52	52.062268923915155	OG0000303	0	4	10
Tlei_v1.25262-RA	51.0	52.69620689655172	OG0000303	0	4	10
Tlei_v1.25280-RA	5	11.012194067283577	OG0000303	0	4	10
Tlei_v1.25264-RA	27	28.52223966509681	OG0000303	0	4	10
Tlei_v1.24864-RA	50	50.04248662831769	OG0000303	0	4	10
Tlei_v1.07053-RA	46.0	44.407303370786515	OG0000303	0	4	10
Tlei_v1.25274-RA	55	56.495592180912226	OG0000303	0	4	10
Tlei_v1.25257-RA	27	33.753846153846155	OG0000303	0	4	10
Tlei_v1.17245-RA	43	43.70905845604641	OG0012076	1	1	1
Tlei_v1.21368-RA	49	46.709139173302994	OG0014938	1	1	1
Tlei_v1.01476-RA	47	45.142637565324314	OG0006209	1	1	1
Tlei_v1.01482-RA	36.0	34.210677382319176	OG0006208	1	1	1
Tlei_v1.01480-RA	51.0	49.37110016420361	OG0006207	1	1	1
