Scaffold_8399	chr1
Scaffold_10370	chr2
Scaffold_247	chr3
Scaffold_4655	chr4
Scaffold_10302	chr5
Scaffold_10429	chr6
Scaffold_5555	chr7
Scaffold_9938	chr8
Scaffold_4582	chr9
Scaffold_7805	chr10
Scaffold_269	chr11
Scaffold_6112	chr12
Scaffold_10423	chr13
Scaffold_7317	chr14
Scaffold_4198	chr15
Scaffold_7315	chr16
Scaffold_10425	chr17
Scaffold_10428	chr18
Scaffold_10433	chr19
Scaffold_612	chr20
Scaffold_10430	chr21
Scaffold_10431	chr22
Scaffold_10426	chr23
Scaffold_10432	chr24
Scaffold_10424	chr25
Scaffold_10427	chr26
