Category	ID	Term	adj_pval	Orthogroups	Genes
BP	GO:0009773	photosynthetic electron transport in photosystem I	1.6e-08	OG0015299, OG0007149, OG0005178, OG0007895, OG0004435, OG0009491	Tfasc_v1.00028, Tfasc_v1.08897, Tfasc_v1.11239, Tfasc_v1.11247, Tfasc_v1.20522, Tfasc_v1.24779, Tfasc_v1.25253
BP	GO:0009658	chloroplast organization	7.8e-08	OG0006447, OG0008661, OG0008634, OG0006386, OG0007052, OG0001993, OG0008279, OG0008227, OG0010969, OG0004066, OG0013697, OG0005261, OG0019234, OG0007708, OG0012265, OG0012103, OG0012805, OG0005326, OG0001980, OG0009246, OG0009296	Tfasc_v1.01129, Tfasc_v1.04337, Tfasc_v1.04400, Tfasc_v1.05663, Tfasc_v1.08667, Tfasc_v1.08677, Tfasc_v1.08688, Tfasc_v1.09606, Tfasc_v1.09690, Tfasc_v1.10837, Tfasc_v1.12076, Tfasc_v1.12978, Tfasc_v1.13320, Tfasc_v1.14533, Tfasc_v1.20138, Tfasc_v1.21233, Tfasc_v1.21445, Tfasc_v1.21911, Tfasc_v1.22845, Tfasc_v1.25675, Tfasc_v1.25677, Tfasc_v1.27387, Tfasc_v1.27391, Tfasc_v1.27483, Tfasc_v1.29308, Tfasc_v1.29947
BP	GO:1901259	chloroplast rRNA processing	1.5e-06	OG0007052, OG0010803, OG0014194, OG0007822, OG0005326	Tfasc_v1.08667, Tfasc_v1.11868, Tfasc_v1.17753, Tfasc_v1.20391, Tfasc_v1.25675, Tfasc_v1.25677
BP	GO:0009451	RNA modification	3.6e-05	OG0015276, OG0011606, OG0003062, OG0001954, OG0004087, OG0015604, OG0013660, OG0013655, OG0014320, OG0008693, OG0006326, OG0013554, OG0006139, OG0012378, OG0007158, OG0003227, OG0008408, OG0008363, OG0001419, OG0010894, OG0007927, OG0012154, OG0014005, OG0016241, OG0007584, OG0015504, OG0008790, OG0008874, OG0018114, OG0009569, OG0006900, OG0006713, OG0010528, OG0009223, OG0014841, OG0013454	Tfasc_v1.00084, Tfasc_v1.00114, Tfasc_v1.01122, Tfasc_v1.01628, Tfasc_v1.02320, Tfasc_v1.02656, Tfasc_v1.03279, Tfasc_v1.03281, Tfasc_v1.04243, Tfasc_v1.04761, Tfasc_v1.05870, Tfasc_v1.06100, Tfasc_v1.06385, Tfasc_v1.06798, Tfasc_v1.08900, Tfasc_v1.08947, Tfasc_v1.08952, Tfasc_v1.09339, Tfasc_v1.09415, Tfasc_v1.09666, Tfasc_v1.10987, Tfasc_v1.14908, Tfasc_v1.15936, Tfasc_v1.18820, Tfasc_v1.20600, Tfasc_v1.22132, Tfasc_v1.22915, Tfasc_v1.24036, Tfasc_v1.24221, Tfasc_v1.24274, Tfasc_v1.25081, Tfasc_v1.27679, Tfasc_v1.28010, Tfasc_v1.28751, Tfasc_v1.29402, Tfasc_v1.29613, Tfasc_v1.30542
BP	GO:0000413	protein peptidyl-prolyl isomerization	3.8e-05	OG0017922, OG0006273, OG0007119, OG0007270, OG0000449, OG0008136, OG0004632, OG0004769, OG0009546, OG0003732	Tfasc_v1.03356, Tfasc_v1.05981, Tfasc_v1.08840, Tfasc_v1.09146, Tfasc_v1.14600, Tfasc_v1.15296, Tfasc_v1.22004, Tfasc_v1.23524, Tfasc_v1.25122, Tfasc_v1.26702
BP	GO:0006223	uracil salvage	6.2e-05	OG0000826	Tfasc_v1.29548, Tfasc_v1.29555, Tfasc_v1.29567
BP	GO:0016311	dephosphorylation	6.8e-05	OG0015299, OG0016010, OG0006653, OG0011024, OG0018003, OG0004902, OG0007108, OG0016741, OG0010748, OG0013937, OG0015455, OG0008046, OG0004042, OG0018686, OG0010133, OG0014341, OG0008745, OG0014228, OG0010641, OG0009436	Tfasc_v1.00028, Tfasc_v1.00898, Tfasc_v1.01544, Tfasc_v1.01633, Tfasc_v1.04803, Tfasc_v1.07537, Tfasc_v1.08823, Tfasc_v1.08971, Tfasc_v1.11961, Tfasc_v1.12157, Tfasc_v1.12786, Tfasc_v1.15109, Tfasc_v1.16620, Tfasc_v1.16621, Tfasc_v1.17482, Tfasc_v1.18182, Tfasc_v1.18472, Tfasc_v1.23945, Tfasc_v1.25763, Tfasc_v1.26995, Tfasc_v1.30347
BP	GO:0015689	molybdate ion transport	7.9e-05	OG0018940, OG0018941, OG0004419	Tfasc_v1.08232, Tfasc_v1.08233, Tfasc_v1.21495, Tfasc_v1.21503
BP	GO:0015995	chlorophyll biosynthetic process	9e-05	OG0015923, OG0002936, OG0005700, OG0001600, OG0002220, OG0019024, OG0019027, OG0006847	Tfasc_v1.12851, Tfasc_v1.14184, Tfasc_v1.22094, Tfasc_v1.26178, Tfasc_v1.26827, Tfasc_v1.27397, Tfasc_v1.27401, Tfasc_v1.27443, Tfasc_v1.27780
BP	GO:0006782	protoporphyrinogen IX biosynthetic process	0.00015	OG0005751, OG0010216, OG0005700, OG0002220	Tfasc_v1.14093, Tfasc_v1.17658, Tfasc_v1.22094, Tfasc_v1.26827
BP	GO:0019464	glycine decarboxylation via glycine cleavage system	0.00024	OG0008763, OG0015726, OG0014141	Tfasc_v1.23984, Tfasc_v1.26919, Tfasc_v1.28181
BP	GO:0042372	phylloquinone biosynthetic process	0.00027	OG0006373, OG0006188, OG0010230, OG0016807	Tfasc_v1.05697, Tfasc_v1.06259, Tfasc_v1.17707, Tfasc_v1.20276
BP	GO:0015979	photosynthesis	0.00029	OG0015299, OG0016010, OG0006447, OG0003076, OG0008661, OG0008634, OG0006284, OG0004853, OG0006188, OG0000580, OG0003201, OG0007149, OG0008279, OG0010890, OG0005178, OG0010812, OG0015923, OG0013059, OG0002936, OG0009014, OG0004090, OG0015846, OG0014558, OG0016807, OG0007895, OG0015504, OG0011250, OG0004435, OG0009491, OG0015443, OG0003870, OG0009246, OG0003664, OG0009149, OG0009367	Tfasc_v1.00028, Tfasc_v1.00898, Tfasc_v1.01129, Tfasc_v1.01250, Tfasc_v1.04337, Tfasc_v1.04400, Tfasc_v1.05958, Tfasc_v1.06065, Tfasc_v1.06259, Tfasc_v1.06440, Tfasc_v1.08676, Tfasc_v1.08687, Tfasc_v1.08897, Tfasc_v1.09606, Tfasc_v1.10980, Tfasc_v1.11239, Tfasc_v1.11247, Tfasc_v1.11845, Tfasc_v1.12851, Tfasc_v1.13116, Tfasc_v1.14184, Tfasc_v1.16415, Tfasc_v1.16852, Tfasc_v1.18524, Tfasc_v1.18642, Tfasc_v1.20276, Tfasc_v1.20522, Tfasc_v1.22915, Tfasc_v1.24487, Tfasc_v1.24779, Tfasc_v1.25253, Tfasc_v1.25888, Tfasc_v1.26637, Tfasc_v1.29308, Tfasc_v1.29439, Tfasc_v1.29760, Tfasc_v1.30088
BP	GO:0010027	thylakoid membrane organization	0.00038	OG0008661, OG0006284, OG0013697, OG0001980, OG0006733	Tfasc_v1.04337, Tfasc_v1.05958, Tfasc_v1.12978, Tfasc_v1.27387, Tfasc_v1.27391, Tfasc_v1.27483, Tfasc_v1.27978
BP	GO:0006094	gluconeogenesis	0.00054	OG0015299, OG0001933, OG0013937, OG0014341, OG0012265	Tfasc_v1.00028, Tfasc_v1.01133, Tfasc_v1.12157, Tfasc_v1.18182, Tfasc_v1.21233
BP	GO:0010190	cytochrome b6f complex assembly	0.00059	OG0008537, OG0007708, OG0004631	Tfasc_v1.04589, Tfasc_v1.20138, Tfasc_v1.22003
