Gene_id	orthology	CDS_length	startcodon	stopcodon	expression	robust
Tlei_v1.00001-RA	OG0019235	273	False	one_stopcodon	1.0	ROBUST
Tlei_v1.00002-RA	OG0002784	171	False	one_stopcodon	not_expressed_0_exons	NOT_ROBUST
Tlei_v1.00002-RB	NO_ORTHOLOGY	144	True	one_stopcodon	1.0	ROBUST
Tlei_v1.00003-RA	OG0002400	4584	True	one_stopcodon	1.0	ROBUST
Tlei_v1.00004-RA	OG0012529	1323	False	one_stopcodon	1.0	ROBUST
Tlei_v1.00005-RA	OG0001523	2418	True	one_stopcodon	0.06666666666666667	ROBUST
Tlei_v1.00005-RB	NO_ORTHOLOGY	2361	True	one_stopcodon	0.06666666666666667	ROBUST
Tlei_v1.00005-RC	NO_ORTHOLOGY	2409	True	one_stopcodon	1.0	ROBUST
Tlei_v1.00006-RA	OG0012530	1149	True	no_stopcodon	1.0	ROBUST
Tlei_v1.00007-RA	OG0004548	588	True	no_stopcodon	not_expressed_0_gene	NOT_ROBUST
Tlei_v1.00008-RA	OG0012535	1272	True	no_stopcodon	1.0	ROBUST
Tlei_v1.00009-RA	OG0012532	1749	True	one_stopcodon	1.0	ROBUST
Tlei_v1.00010-RA	OG0012538	861	True	no_stopcodon	1.0	ROBUST
Tlei_v1.00011-RA	OG0015063	1416	True	one_stopcodon	1.0	ROBUST
Tlei_v1.00012-RA	OG0012537	558	True	one_stopcodon	1.0	ROBUST
Tlei_v1.00013-RA	OG0001641	1254	True	one_stopcodon	1.0	ROBUST
Tlei_v1.00014-RA	OG0002459	570	True	one_stopcodon	1.0	ROBUST
Tlei_v1.00015-RA	OG0004547	1605	True	one_stopcodon	1.0	ROBUST
Tlei_v1.00016-RA	OG0012531	3450	True	one_stopcodon	1.0	ROBUST
Tlei_v1.00017-RA	OG0001043	2811	True	one_stopcodon	1.0	ROBUST
Tlei_v1.00018-RA	OG0012534	1359	True	one_stopcodon	1.0	ROBUST
Tlei_v1.00019-RA	OG0012533	570	True	one_stopcodon	1.0	ROBUST
Tlei_v1.00020-RA	OG0000805	3609	True	one_stopcodon	0.08695652173913043	ROBUST
Tlei_v1.00020-RB	NO_ORTHOLOGY	3132	True	one_stopcodon	1.0	ROBUST
Tlei_v1.00021-RA	OG0018426	387	True	no_stopcodon	not_expressed_0_exons	NOT_ROBUST
Tlei_v1.00022-RA	OG0012536	369	True	no_stopcodon	not_expressed_0_exons	NOT_ROBUST
Tlei_v1.00023-RA	OG0018425	525	True	no_stopcodon	1.0	ROBUST
Tlei_v1.00024-RA	OG0018424	1599	True	no_stopcodon	1.0	ROBUST
Tlei_v1.00025-RA	OG0004544	7047	True	one_stopcodon	1.0	ROBUST
Tlei_v1.00026-RA	NO_ORTHOLOGY	372	True	one_stopcodon	1.0	ROBUST
Tlei_v1.00027-RA	OG0012528	4194	True	one_stopcodon	1.0	ROBUST
Tlei_v1.00028-RA	OG0012527	2538	True	one_stopcodon	1.0	ROBUST
Tlei_v1.00029-RA	OG0012524	2955	True	one_stopcodon	1.0	ROBUST
Tlei_v1.00030-RA	OG0012525	2142	True	one_stopcodon	1.0	ROBUST
Tlei_v1.00031-RA	NO_ORTHOLOGY	273	False	one_stopcodon	1.0	ROBUST
Tlei_v1.00032-RA	OG0017344	1347	True	one_stopcodon	1.0	ROBUST
Tlei_v1.00033-RA	OG0012526	3246	True	one_stopcodon	1.0	ROBUST
Tlei_v1.00034-RA	OG0012523	708	True	one_stopcodon	1.0	ROBUST
Tlei_v1.00035-RA	OG0002458	1908	True	one_stopcodon	1.0	ROBUST
Tlei_v1.00036-RA	OG0019666	621	False	one_stopcodon	1.0	ROBUST
Tlei_v1.00037-RA	NO_ORTHOLOGY	90	True	one_stopcodon	1.0	ROBUST
Tlei_v1.00038-RA	OG0012520	1086	True	no_stopcodon	1.0	ROBUST
Tlei_v1.00039-RA	OG0012515	1398	True	one_stopcodon	1.0	ROBUST
Tlei_v1.00040-RA	NO_ORTHOLOGY	105	True	one_stopcodon	not_expressed_0_exons	NOT_ROBUST
Tlei_v1.00041-RA	OG0004684	288	True	one_stopcodon	not_expressed_0_gene	ROBUST
Tlei_v1.00042-RA	OG0001809	537	True	one_stopcodon	1.0	ROBUST
Tlei_v1.00043-RA	OG0012517	258	True	one_stopcodon	1.0	ROBUST
Tlei_v1.00044-RA	OG0012518	2532	True	one_stopcodon	1.0	ROBUST
Tlei_v1.00045-RA	OG0012516	1338	True	one_stopcodon	1.0	ROBUST
Tlei_v1.00046-RA	OG0012522	774	True	one_stopcodon	1.0	ROBUST
Tlei_v1.00047-RA	OG0012514	489	True	one_stopcodon	1.0	ROBUST
Tlei_v1.00048-RA	OG0012521	2112	True	one_stopcodon	1.0	ROBUST
Tlei_v1.00049-RA	NO_ORTHOLOGY	393	True	one_stopcodon	1.0	ROBUST
Tlei_v1.00050-RA	OG0012519	7500	True	one_stopcodon	1.0	ROBUST
Tlei_v1.00051-RA	OG0012510	1215	True	one_stopcodon	1.0	ROBUST
Tlei_v1.00052-RA	OG0004541	1326	True	one_stopcodon	1.0	ROBUST
Tlei_v1.00053-RA	OG0004543	1200	True	one_stopcodon	1.0	ROBUST
Tlei_v1.00054-RA	OG0004539	792	True	one_stopcodon	1.0	ROBUST
Tlei_v1.00054-RB	NO_ORTHOLOGY	756	True	one_stopcodon	not_expressed_0_gene	ROBUST
Tlei_v1.00055-RA	OG0004540	1257	True	one_stopcodon	1.0	ROBUST
Tlei_v1.00056-RA	OG0004542	3021	True	no_stopcodon	1.0	ROBUST
Tlei_v1.00057-RA	OG0012511	2874	True	one_stopcodon	1.0	ROBUST
Tlei_v1.00058-RA	OG0012512	2244	True	one_stopcodon	1.0	ROBUST
Tlei_v1.00059-RA	OG0012513	1419	True	one_stopcodon	1.0	ROBUST
Tlei_v1.00060-RA	OG0000452	1089	True	one_stopcodon	1.0	ROBUST
Tlei_v1.00061-RA	OG0012508	3315	False	one_stopcodon	1.0	ROBUST
Tlei_v1.00062-RA	NO_ORTHOLOGY	255	True	no_stopcodon	1.0	ROBUST
Tlei_v1.00063-RA	OG0004538	1629	True	no_stopcodon	1.0	ROBUST
Tlei_v1.00063-RB	NO_ORTHOLOGY	1548	True	no_stopcodon	not_expressed_0_gene	NOT_ROBUST
Tlei_v1.00064-RA	OG0012509	1266	True	one_stopcodon	1.0	ROBUST
Tlei_v1.00065-RA	OG0002457	390	True	one_stopcodon	1.0	ROBUST
Tlei_v1.00066-RA	OG0002456	312	True	one_stopcodon	1.0	ROBUST
Tlei_v1.00067-RA	NO_ORTHOLOGY	432	True	one_stopcodon	1.0	ROBUST
Tlei_v1.00068-RA	NO_ORTHOLOGY	2286	True	no_stopcodon	1.0	ROBUST
Tlei_v1.00069-RA	NO_ORTHOLOGY	249	True	one_stopcodon	1.0	ROBUST
Tlei_v1.00069-RB	NO_ORTHOLOGY	201	True	one_stopcodon	no_features	ROBUST
Tlei_v1.00070-RA	OG0005515	648	True	one_stopcodon	1.0	ROBUST
Tlei_v1.00071-RA	OG0000452	1089	True	one_stopcodon	1.0	ROBUST
Tlei_v1.00072-RA	OG0002455	558	True	no_stopcodon	1.0	ROBUST
Tlei_v1.00073-RA	OG0018428	3954	True	no_stopcodon	1.0	ROBUST
Tlei_v1.00074-RA	OG0014970	555	True	one_stopcodon	1.0	ROBUST
Tlei_v1.00075-RA	OG0012507	396	True	one_stopcodon	1.0	ROBUST
Tlei_v1.00076-RA	NO_ORTHOLOGY	54	True	one_stopcodon	not_expressed_0_exons	NOT_ROBUST
Tlei_v1.00077-RA	OG0012503	666	True	one_stopcodon	1.0	ROBUST
Tlei_v1.00078-RA	OG0004535	1092	True	no_stopcodon	1.0	ROBUST
Tlei_v1.00079-RA	OG0004536	480	True	one_stopcodon	1.0	ROBUST
Tlei_v1.00080-RA	OG0018429	423	True	no_stopcodon	1.0	ROBUST
Tlei_v1.00081-RA	OG0012504	423	True	no_stopcodon	1.0	ROBUST
Tlei_v1.00082-RA	OG0012505	543	True	one_stopcodon	1.0	ROBUST
Tlei_v1.00083-RA	OG0012502	5352	True	one_stopcodon	1.0	ROBUST
Tlei_v1.00084-RA	OG0012501	1428	True	one_stopcodon	1.0	ROBUST
Tlei_v1.00085-RA	OG0012498	762	True	no_stopcodon	not_expressed_0_exons	NOT_ROBUST
Tlei_v1.00086-RA	OG0000651	1350	True	no_stopcodon	1.0	ROBUST
Tlei_v1.00087-RA	OG0012496	1041	True	one_stopcodon	1.0	ROBUST
Tlei_v1.00088-RA	OG0000651	1101	True	one_stopcodon	1.0	ROBUST
Tlei_v1.00089-RA	OG0000651	645	True	one_stopcodon	1.0	ROBUST
Tlei_v1.00090-RA	OG0000651	891	True	one_stopcodon	1.0	ROBUST
Tlei_v1.00091-RA	OG0004533	2397	True	no_stopcodon	1.0	ROBUST
Tlei_v1.00092-RA	OG0012497	2301	True	one_stopcodon	1.0	ROBUST
Tlei_v1.00093-RA	OG0012500	462	True	one_stopcodon	1.0	ROBUST
Tlei_v1.00094-RA	OG0004534	366	True	one_stopcodon	1.0	ROBUST
Tlei_v1.00095-RA	OG0002454	1695	True	no_stopcodon	not_expressed_0_gene	NOT_ROBUST
Tlei_v1.00096-RA	OG0012499	1206	False	one_stopcodon	not_expressed_0_exons	NOT_ROBUST
