scaffold;length;cumulative;species
1;1986273;1986273;T.leiboldiana
2;8346951;10333224;T.leiboldiana
3;9804470;20137694;T.leiboldiana
4;10199492;30337186;T.leiboldiana
5;11472226;41809412;T.leiboldiana
6;18300790;60110202;T.leiboldiana
7;20448846;80559048;T.leiboldiana
8;26167113;106726161;T.leiboldiana
9;28870734;135596895;T.leiboldiana
10;30271830;165868725;T.leiboldiana
11;34587938;200456663;T.leiboldiana
12;38479203;238935866;T.leiboldiana
13;39232242;278168108;T.leiboldiana
14;43365026;321533134;T.leiboldiana
15;45941590;367474724;T.leiboldiana
16;48380896;415855620;T.leiboldiana
17;50283280;466138900;T.leiboldiana
18;51382631;517521531;T.leiboldiana
19;52302456;569823987;T.leiboldiana
20;52351730;622175717;T.leiboldiana
21;54837260;677012977;T.leiboldiana
22;55380477;732393454;T.leiboldiana
23;55702739;788096193;T.leiboldiana
24;57144292;845240485;T.leiboldiana
25;60429571;905670056;T.leiboldiana
1;12332728;12332728;T.fasciculata
2;13520883;25853611;T.fasciculata
3;16741216;42594827;T.fasciculata
4;17107477;59702304;T.fasciculata
5;18018563;77720867;T.fasciculata
6;19367790;97088657;T.fasciculata
7;19440187;116528844;T.fasciculata
8;21234157;137763001;T.fasciculata
9;21704838;159467839;T.fasciculata
10;23642332;183110171;T.fasciculata
11;23784123;206894294;T.fasciculata
12;24649150;231543444;T.fasciculata
13;24881768;256425212;T.fasciculata
14;25341332;281766544;T.fasciculata
15;25842354;307608898;T.fasciculata
16;26021936;333630834;T.fasciculata
17;26509606;360140440;T.fasciculata
18;27210704;387351144;T.fasciculata
19;27230796;414581940;T.fasciculata
20;29567185;444149125;T.fasciculata
21;30145683;474294808;T.fasciculata
22;30972320;505267128;T.fasciculata
23;31153634;536420762;T.fasciculata
24;31698969;568119731;T.fasciculata
25;32162447;600282178;T.fasciculata
