Gene_id orthogroup
Tfasc_v1.24927-RA OG0000302
Tfasc_v1.10135-RA OG0000303
Tfasc_v1.22039-RA OG0016184
Tfasc_v1.22043-RA OG0016184
Tfasc_v1.22161-RA OG0016186
Tfasc_v1.00753-RA OG0016186
Tfasc_v1.13574-RA OG0016186
Tfasc_v1.25171-RA OG0001493
Tfasc_v1.05015-RA OG0001492
Tfasc_v1.07383-RA OG0005163
Tfasc_v1.02528-RA OG0004788
Tfasc_v1.17692-RA OG0016414
Tfasc_v1.11658-RA OG0016409
Tfasc_v1.11661-RA OG0016409
Tfasc_v1.02514-RA OG0016187
Tfasc_v1.22415-RA OG0016187
Tfasc_v1.03011-RA OG0016187
Tfasc_v1.25119-RA OG0004975
Tfasc_v1.24276-RA OG0002122
Tfasc_v1.11173-RA OG0019261
Tfasc_v1.11490-RA OG0019277
Tfasc_v1.15105-RA OG0003413
Tfasc_v1.13566-RA OG0004192
Tfasc_v1.09816-RA OG0000506
Tfasc_v1.10624-RA OG0001117
Tfasc_v1.07572-RA OG0001115
Tfasc_v1.08030-RA OG0000442
Tfasc_v1.13395-RA OG0000448
Tfasc_v1.04582-RA OG0000995
Tfasc_v1.09385-RA OG0000994
Tfasc_v1.09465-RA OG0000993
Tfasc_v1.08261-RA OG0005106
Tfasc_v1.09961-RA OG0005101
Tfasc_v1.25909-RA OG0018594
Tfasc_v1.25911-RA OG0018594
Tfasc_v1.16579-RA OG0003621
Tfasc_v1.15273-RA OG0004301
Tfasc_v1.18149-RA OG0019363
Tfasc_v1.18151-RA OG0019363
Tfasc_v1.03275-RA OG0002579
Tfasc_v1.23844-RA OG0018119
Tfasc_v1.24410-RA OG0018119
Tfasc_v1.03167-RA OG0002107
Tfasc_v1.07454-RA OG0002818
Tfasc_v1.19503-RA OG0002818
Tfasc_v1.01041-RA OG0002818
Tfasc_v1.15348-RA OG0003434
Tfasc_v1.07186-RA OG0002813
Tfasc_v1.29071-RA OG0002813
Tfasc_v1.29129-RA OG0002813
Tfasc_v1.12727-RA OG0002813
Tfasc_v1.16819-RA OG0002813
Tfasc_v1.25602-RA OG0002811
Tfasc_v1.23901-RA OG0002816
Tfasc_v1.00868-RA OG0002814
Tfasc_v1.17742-RA OG0002814
Tfasc_v1.03620-RA OG0016093
Tfasc_v1.03618-RA OG0016093
Tfasc_v1.19544-RA OG0005590
Tfasc_v1.05874-RA OG0001287
Tfasc_v1.05882-RA OG0001287
Tfasc_v1.10994-RA OG0002742
Tfasc_v1.13448-RA OG0000524
Tfasc_v1.16730-RA OG0000525
Tfasc_v1.12063-RA OG0000529
Tfasc_v1.12058-RA OG0000529
Tfasc_v1.25793-RA OG0001134
Tfasc_v1.10247-RA OG0001136
Tfasc_v1.03552-RA OG0000428
Tfasc_v1.09571-RA OG0000423
Tfasc_v1.09574-RA OG0000423
Tfasc_v1.09577-RA OG0000423
Tfasc_v1.15746-RA OG0016234
Tfasc_v1.08580-RA OG0003194
Tfasc_v1.27022-RA OG0001739
Tfasc_v1.20546-RA OG0001739
Tfasc_v1.02691-RA OG0005293
Tfasc_v1.08375-RA OG0005299
Tfasc_v1.08376-RA OG0005299
Tfasc_v1.30438-RA OG0005298
Tfasc_v1.04055-RA OG0005452
Tfasc_v1.04072-RA OG0005452
Tfasc_v1.13651-RA OG0005452
Tfasc_v1.16422-RA OG0005122
Tfasc_v1.18705-RA OG0005126
Tfasc_v1.07133-RA OG0018956
Tfasc_v1.08484-RA OG0018956
Tfasc_v1.16383-RA OG0003608
Tfasc_v1.16387-RA OG0003608
Tfasc_v1.02915-RA OG0005454
Tfasc_v1.11491-RA OG0016401
Tfasc_v1.28512-RA OG0016401
Tfasc_v1.08551-RA OG0002559
Tfasc_v1.30641-RA OG0002554
Tfasc_v1.19839-RA OG0002554
Tfasc_v1.30426-RA OG0002551
Tfasc_v1.25310-RA OG0001921
Tfasc_v1.27173-RA OG0001928
Tfasc_v1.15818-RA OG0001928
Tfasc_v1.18203-RA OG0001928
Tfasc_v1.03602-RA OG0004860
Tfasc_v1.20867-RA OG0005355
Tfasc_v1.19685-RA OG0002837
Tfasc_v1.19356-RA OG0002837
Tfasc_v1.02574-RA OG0002837
Tfasc_v1.19689-RA OG0002837
Tfasc_v1.27442-RA OG0002837
Tfasc_v1.03118-RA OG0002838
Tfasc_v1.11544-RA OG0016228
Tfasc_v1.00861-RA OG0016228
Tfasc_v1.07180-RA OG0004973
Tfasc_v1.07181-RA OG0004973
Tfasc_v1.17790-RA OG0019344
Tfasc_v1.15684-RA OG0000092
Tfasc_v1.21830-RA OG0000092
Tfasc_v1.11520-RA OG0000092
Tfasc_v1.11521-RA OG0000092
Tfasc_v1.00846-RA OG0000092
Tfasc_v1.08220-RA OG0000092
Tfasc_v1.05452-RA OG0000092
Tfasc_v1.03971-RA OG0000092
Tfasc_v1.20923-RA OG0000092
Tfasc_v1.23843-RA OG0000092
Tfasc_v1.17335-RA OG0000092
Tfasc_v1.25485-RA OG0000092
Tfasc_v1.10020-RA OG0000092
Tfasc_v1.07185-RA OG0000092
Tfasc_v1.24798-RA OG0000092
Tfasc_v1.07288-RA OG0000092
Tfasc_v1.03965-RA OG0000092
Tfasc_v1.13680-RA OG0000092
Tfasc_v1.21728-RA OG0000092
Tfasc_v1.28346-RA OG0000095
Tfasc_v1.27368-RA OG0000095
Tfasc_v1.28597-RA OG0000095
Tfasc_v1.02772-RA OG0000095
Tfasc_v1.08163-RA OG0000095
Tfasc_v1.02931-RA OG0000095
Tfasc_v1.25143-RA OG0000095
Tfasc_v1.12117-RA OG0002763
Tfasc_v1.05192-RA OG0000545
Tfasc_v1.19932-RA OG0000542
Tfasc_v1.21871-RA OG0000540
Tfasc_v1.07560-RA OG0000541
Tfasc_v1.19020-RA OG0001155
Tfasc_v1.24804-RB OG0001152
Tfasc_v1.19168-RA OG0001152
Tfasc_v1.02589-RA OG0001152
Tfasc_v1.07262-RA OG0001153
Tfasc_v1.11310-RA OG0001153
Tfasc_v1.11311-RA OG0001153
Tfasc_v1.17396-RA OG0001150
Tfasc_v1.13888-RA OG0000409
Tfasc_v1.12484-RA OG0004357
Tfasc_v1.05799-RA OG0016255
Tfasc_v1.05770-RA OG0016253
Tfasc_v1.02421-RA OG0001710
Tfasc_v1.18034-RA OG0001715
Tfasc_v1.16825-RA OG0001716
Tfasc_v1.26434-RA OG0001717
Tfasc_v1.07618-RA OG0000392
Tfasc_v1.10379-RA OG0000391
Tfasc_v1.26183-RA OG0000390
Tfasc_v1.29865-RA OG0000395
Tfasc_v1.29869-RA OG0000395
Tfasc_v1.29868-RA OG0000395
Tfasc_v1.29867-RA OG0000395
Tfasc_v1.29866-RA OG0000395
Tfasc_v1.29873-RA OG0000395
Tfasc_v1.29872-RA OG0000395
Tfasc_v1.29871-RA OG0000395
Tfasc_v1.29870-RA OG0000395
Tfasc_v1.29878-RA OG0000395
Tfasc_v1.29875-RA OG0000395
Tfasc_v1.29877-RA OG0000395
Tfasc_v1.20039-RA OG0001381
Tfasc_v1.20530-RA OG0001388
Tfasc_v1.16852-RA OG0004090
Tfasc_v1.13458-RA OG0000021
Tfasc_v1.03853-RA OG0000021
Tfasc_v1.25581-RA OG0000021
Tfasc_v1.08468-RA OG0000021
Tfasc_v1.08469-RA OG0000021
Tfasc_v1.16771-RA OG0000021
Tfasc_v1.14020-RA OG0005500
Tfasc_v1.19309-RA OG0004676
Tfasc_v1.19300-RA OG0004679
Tfasc_v1.02157-RA OG0002537
Tfasc_v1.01289-RA OG0001944
Tfasc_v1.01288-RA OG0001943
Tfasc_v1.12685-RA OG0016169
Tfasc_v1.24661-RA OG0016169
Tfasc_v1.24660-RA OG0016169
Tfasc_v1.27332-RA OG0019022
Tfasc_v1.19612-RA OG0002853
Tfasc_v1.11653-RA OG0002851
Tfasc_v1.23717-RA OG0016302
Tfasc_v1.11157-RA OG0016302
Tfasc_v1.21313-RA OG0004465
Tfasc_v1.21311-RA OG0004465
Tfasc_v1.21306-RA OG0004467
Tfasc_v1.21300-RA OG0004467
Tfasc_v1.21303-RA OG0004467
Tfasc_v1.15541-RA OG0000565
Tfasc_v1.17802-RA OG0000565
Tfasc_v1.27069-RA OG0000565
Tfasc_v1.12691-RA OG0000565
Tfasc_v1.16597-RA OG0000561
Tfasc_v1.14174-RA OG0000561
Tfasc_v1.00892-RA OG0000561
Tfasc_v1.28946-RA OG0001179
Tfasc_v1.10128-RA OG0001174
Tfasc_v1.10502-RA OG0001176
Tfasc_v1.10407-RA OG0001176
Tfasc_v1.10536-RA OG0001176
Tfasc_v1.05125-RA OG0001177
Tfasc_v1.10569-RA OG0001177
Tfasc_v1.10571-RA OG0001177
Tfasc_v1.03013-RA OG0001177
Tfasc_v1.28954-RA OG0001177
Tfasc_v1.21905-RA OG0001170
Tfasc_v1.26273-RA OG0004897
