Category	ID	Term	adj_pval	Orthogroups	Genes
BP	GO:0006414	translational elongation	6.3e-05	OG0007200, OG0000290, OG0011470, OG0001426, OG0008960, OG0002111, OG0017034, OG0016087	Tfasc_v1.08985, Tfasc_v1.18676, Tfasc_v1.23144, Tfasc_v1.24100, Tfasc_v1.24364, Tfasc_v1.24578, Tfasc_v1.24579, Tfasc_v1.26550, Tfasc_v1.27463
BP	GO:0001732	formation of cytoplasmic translation initiation complex	0.00021	OG0009037, OG0003364, OG0009204, OG0014799	Tfasc_v1.16483, Tfasc_v1.20298, Tfasc_v1.29428, Tfasc_v1.29501
BP	GO:0042776	mitochondrial ATP synthesis coupled proton transport	0.00031	OG0016998, OG0001398, OG0000418	Tfasc_v1.16059, Tfasc_v1.21650, Tfasc_v1.24637
BP	GO:0016132	brassinosteroid biosynthetic process	0.00041	OG0004958, OG0002562, OG0004703	Tfasc_v1.12129, Tfasc_v1.23675, Tfasc_v1.23676, Tfasc_v1.23678
BP	GO:0009846	pollen germination	0.00041	OG0004459, OG0011325, OG0014799	Tfasc_v1.14387, Tfasc_v1.18248, Tfasc_v1.21366, Tfasc_v1.29501
BP	GO:0010268	brassinosteroid homeostasis	6e-04	OG0004958, OG0002562, OG0004703	Tfasc_v1.12129, Tfasc_v1.23675, Tfasc_v1.23676, Tfasc_v1.23678
BP	GO:0001934	positive regulation of protein phosphorylation	0.00097	OG0002111, OG0003694	Tfasc_v1.24578, Tfasc_v1.24579, Tfasc_v1.29989
BP	GO:0034757	negative regulation of iron ion transport	0.00193	OG0008088, OG0007594	Tfasc_v1.15183, Tfasc_v1.19952
BP	GO:0050482	arachidonic acid secretion	0.00193	OG0004459	Tfasc_v1.14387, Tfasc_v1.21366
BP	GO:0072344	rescue of stalled ribosome	0.00193	OG0002111	Tfasc_v1.24578, Tfasc_v1.24579
BP	GO:0080117	secondary growth	0.00193	OG0008088, OG0007594	Tfasc_v1.15183, Tfasc_v1.19952
BP	GO:0010271	regulation of chlorophyll catabolic process	0.00193	OG0008088, OG0007594	Tfasc_v1.15183, Tfasc_v1.19952
BP	GO:0016042	lipid catabolic process	0.00258	OG0011661, OG0012660, OG0004459, OG0001792	Tfasc_v1.00245, Tfasc_v1.01974, Tfasc_v1.14387, Tfasc_v1.21366, Tfasc_v1.24858
BP	GO:0016125	sterol metabolic process	0.00292	OG0004958, OG0002562, OG0004703, OG0014399	Tfasc_v1.12129, Tfasc_v1.23675, Tfasc_v1.23676, Tfasc_v1.23678, Tfasc_v1.28072
BP	GO:0006228	UTP biosynthetic process	0.00317	OG0012291, OG0015202	Tfasc_v1.06645, Tfasc_v1.10022
BP	GO:0006370	7-methylguanosine mRNA capping	0.0047	OG0004363, OG0006967	Tfasc_v1.08251, Tfasc_v1.27498
BP	GO:0006183	GTP biosynthetic process	0.0047	OG0012291, OG0015202	Tfasc_v1.06645, Tfasc_v1.10022
BP	GO:0070525	tRNA threonylcarbamoyladenosine metabolic process	0.0047	OG0008095, OG0007876	Tfasc_v1.15193, Tfasc_v1.20498
BP	GO:0009585	red, far-red light phototransduction	0.00651	OG0009006, OG0006908	Tfasc_v1.16394, Tfasc_v1.27664
BP	GO:0006621	protein retention in ER lumen	0.00857	OG0004223, OG0012902	Tfasc_v1.18252, Tfasc_v1.18458
BP	GO:0009056	catabolic process	0.00933	OG0002379, OG0011661, OG0014720, OG0012660, OG0017549, OG0000491, OG0001287, OG0012285, OG0005347, OG0007092, OG0007109, OG0003718, OG0010335, OG0005798, OG0004459, OG0008088, OG0002423, OG0012126, OG0011229, OG0007594, OG0007888, OG0000239, OG0002661, OG0000320, OG0003276, OG0008954, OG0001792, OG0006998, OG0006967, OG0001104, OG0004809, OG0016033	Tfasc_v1.00151, Tfasc_v1.00245, Tfasc_v1.01669, Tfasc_v1.01974, Tfasc_v1.05224, Tfasc_v1.05825, Tfasc_v1.05874, Tfasc_v1.06629, Tfasc_v1.07876, Tfasc_v1.08780, Tfasc_v1.08830, Tfasc_v1.11458, Tfasc_v1.13253, Tfasc_v1.13985, Tfasc_v1.14387, Tfasc_v1.15183, Tfasc_v1.15977, Tfasc_v1.16006, Tfasc_v1.16885, Tfasc_v1.19550, Tfasc_v1.19952, Tfasc_v1.20517, Tfasc_v1.20909, Tfasc_v1.20946, Tfasc_v1.21366, Tfasc_v1.22374, Tfasc_v1.22555, Tfasc_v1.24346, Tfasc_v1.24858, Tfasc_v1.27226, Tfasc_v1.27498, Tfasc_v1.29202, Tfasc_v1.30653, Tfasc_v1.30694
BP	GO:0006412	translation	0.00963	OG0002379, OG0011702, OG0000553, OG0007200, OG0010971, OG0010929, OG0009037, OG0014190, OG0000290, OG0019527, OG0003364, OG0003378, OG0007888, OG0012033, OG0003276, OG0011470, OG0001426, OG0008960, OG0002111, OG0009465, OG0017034, OG0003877, OG0016087, OG0003671, OG0009204, OG0014799, OG0009451	Tfasc_v1.00151, Tfasc_v1.00356, Tfasc_v1.04893, Tfasc_v1.08985, Tfasc_v1.10835, Tfasc_v1.10917, Tfasc_v1.16483, Tfasc_v1.17733, Tfasc_v1.18676, Tfasc_v1.19788, Tfasc_v1.20298, Tfasc_v1.20411, Tfasc_v1.20517, Tfasc_v1.21596, Tfasc_v1.22555, Tfasc_v1.23144, Tfasc_v1.24100, Tfasc_v1.24364, Tfasc_v1.24578, Tfasc_v1.24579, Tfasc_v1.25375, Tfasc_v1.26550, Tfasc_v1.26695, Tfasc_v1.27463, Tfasc_v1.29373, Tfasc_v1.29428, Tfasc_v1.29501, Tfasc_v1.30322
BP	GO:0006099	tricarboxylic acid cycle	0.0103	OG0019487, OG0008991, OG0014560, OG0004703	Tfasc_v1.15856, Tfasc_v1.16365, Tfasc_v1.18649, Tfasc_v1.23676
BP	GO:0006241	CTP biosynthetic process	0.01089	OG0012291, OG0015202	Tfasc_v1.06645, Tfasc_v1.10022
BP	GO:0009860	pollen tube growth	0.01133	OG0004459, OG0011325	Tfasc_v1.14387, Tfasc_v1.18248, Tfasc_v1.21366
BP	GO:0006165	nucleoside diphosphate phosphorylation	0.01332	OG0012291, OG0015202, OG0002423, OG0000239, OG0000320	Tfasc_v1.06645, Tfasc_v1.10022, Tfasc_v1.15977, Tfasc_v1.20909, Tfasc_v1.22374
BP	GO:0018026	peptidyl-lysine monomethylation	0.01624	OG0013508, OG0015411	Tfasc_v1.24566, Tfasc_v1.28471
BP	GO:0030050	vesicle transport along actin filament	0.01624	OG0015891, OG0011022	Tfasc_v1.05505, Tfasc_v1.10774
BP	GO:0002938	tRNA guanine ribose methylation	0.01818	OG0004381	Tfasc_v1.23221
BP	GO:0019303	D-ribose catabolic process	0.01818	OG0008954	Tfasc_v1.24346
BP	GO:0097275	cellular ammonium homeostasis	0.01818	OG0010691	Tfasc_v1.12071
BP	GO:0000495	box H/ACA snoRNA 3'-end processing	0.01818	OG0014446	Tfasc_v1.27058
BP	GO:0090677	reversible differentiation	0.01818	OG0013483	Tfasc_v1.11676
BP	GO:1901962	S-adenosyl-L-methionine transmembrane transport	0.01818	OG0011750	Tfasc_v1.12320
BP	GO:0034553	mitochondrial respiratory chain complex II assembly	0.01818	OG0008991	Tfasc_v1.16365
BP	GO:0010446	response to alkaline pH	0.01818	OG0012285	Tfasc_v1.06629
BP	GO:0045903	positive regulation of translational fidelity	0.01818	OG0016087	Tfasc_v1.27463
BP	GO:0019240	citrulline biosynthetic process	0.01818	OG0012180	Tfasc_v1.15891
BP	GO:0008618	7-methylguanosine metabolic process	0.01818	OG0011592	Tfasc_v1.22900
BP	GO:0070301	cellular response to hydrogen peroxide	0.01818	OG0012291	Tfasc_v1.06645
BP	GO:0030521	androgen receptor signaling pathway	0.01818	OG0007186	Tfasc_v1.08967
BP	GO:0006671	phytosphingosine metabolic process	0.01818	OG0013844	Tfasc_v1.11120
BP	GO:0089722	phosphoenolpyruvate transmembrane transport	0.01818	OG0010152	Tfasc_v1.17534
BP	GO:0051924	regulation of calcium ion transport	0.01818	OG0010691	Tfasc_v1.12071
BP	GO:0009617	response to bacterium	0.01899	OG0012357, OG0012120, OG0010335, OG0008088, OG0009006, OG0018623	Tfasc_v1.06760, Tfasc_v1.08320, Tfasc_v1.13253, Tfasc_v1.15183, Tfasc_v1.16394, Tfasc_v1.26530
BP	GO:0070417	cellular response to cold	0.01926	OG0008088, OG0007594	Tfasc_v1.15183, Tfasc_v1.19952
BP	GO:0009911	positive regulation of flower development	0.02249	OG0004824, OG0004958	Tfasc_v1.11696, Tfasc_v1.12129
BP	GO:0046686	response to cadmium ion	0.03349	OG0012285, OG0011735, OG0014190, OG0012739	Tfasc_v1.06629, Tfasc_v1.16928, Tfasc_v1.17733, Tfasc_v1.20768
BP	GO:0015031	protein transport	0.03424	OG0007200, OG0002068, OG0018063, OG0010971, OG0013968, OG0005742, OG0001261, OG0003406, OG0008096, OG0014917, OG0012902, OG0008858, OG0010119	Tfasc_v1.08985, Tfasc_v1.09312, Tfasc_v1.10184, Tfasc_v1.10835, Tfasc_v1.12245, Tfasc_v1.14106, Tfasc_v1.14346, Tfasc_v1.15056, Tfasc_v1.15199, Tfasc_v1.15655, Tfasc_v1.18458, Tfasc_v1.24171, Tfasc_v1.26845
BP	GO:0009651	response to salt stress	0.03561	OG0009917, OG0012285, OG0010335, OG0008088, OG0007594, OG0000792	Tfasc_v1.03396, Tfasc_v1.06629, Tfasc_v1.13253, Tfasc_v1.15183, Tfasc_v1.19952, Tfasc_v1.23624
BP	GO:0000394	RNA splicing, via endonucleolytic cleavage and ligation	0.0359	OG0005095, OG0006967	Tfasc_v1.20899, Tfasc_v1.27498
BP	GO:0009648	photoperiodism	0.03597	OG0004964, OG0006967	Tfasc_v1.12202, Tfasc_v1.27498
BP	GO:0070537	histone H2A K63-linked deubiquitination	0.03602	OG0003494	Tfasc_v1.09286
BP	GO:0019919	peptidyl-arginine methylation, to asymmetrical-dimethyl arginine	0.03602	OG0005936	Tfasc_v1.14270
BP	GO:0015742	alpha-ketoglutarate transport	0.03602	OG0015237	Tfasc_v1.19779
BP	GO:0051290	protein heterotetramerization	0.03602	OG0000526	Tfasc_v1.01960
BP	GO:1902356	oxaloacetate(2-) transmembrane transport	0.03602	OG0015237	Tfasc_v1.19779
BP	GO:0031120	snRNA pseudouridine synthesis	0.03602	OG0014446	Tfasc_v1.27058
BP	GO:0045900	negative regulation of translational elongation	0.03602	OG0007200	Tfasc_v1.08985
BP	GO:0006949	syncytium formation	0.03602	OG0005052	Tfasc_v1.25836
BP	GO:0006808	regulation of nitrogen utilization	0.03602	OG0006694	Tfasc_v1.01627
BP	GO:0009854	oxidative photosynthetic carbon pathway	0.03602	OG0001460	Tfasc_v1.12870
BP	GO:0006434	seryl-tRNA aminoacylation	0.03602	OG0014190	Tfasc_v1.17733
BP	GO:0006435	threonyl-tRNA aminoacylation	0.03602	OG0003877	Tfasc_v1.26695
BP	GO:0050687	negative regulation of defense response to virus	0.03602	OG0010929	Tfasc_v1.10917
BP	GO:0010273	detoxification of copper ion	0.03602	OG0012331	Tfasc_v1.06722
BP	GO:0048657	anther wall tapetum cell differentiation	0.03602	OG0004958	Tfasc_v1.12129
BP	GO:0000184	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay	0.0374	OG0003276, OG0006967	Tfasc_v1.22555, Tfasc_v1.27498
BP	GO:0006833	water transport	0.0374	OG0000526, OG0012310	Tfasc_v1.01960, Tfasc_v1.06684
