"chrom"	"V2"	"V3"	"counts"
"1"	"Tlei_chr1"	"1"	"1e+06"	"119"
"2"	"Tlei_chr1"	"1000001"	"2e+06"	"66"
"3"	"Tlei_chr1"	"2000001"	"3e+06"	"28"
"4"	"Tlei_chr1"	"3000001"	"4e+06"	"32"
"5"	"Tlei_chr1"	"4000001"	"5e+06"	"42"
"6"	"Tlei_chr1"	"5000001"	"6e+06"	"11"
"7"	"Tlei_chr1"	"6000001"	"7e+06"	"16"
"8"	"Tlei_chr1"	"7000001"	"8e+06"	"3"
"9"	"Tlei_chr1"	"8000001"	"9e+06"	"20"
"10"	"Tlei_chr1"	"9000001"	"1e+07"	"15"
"11"	"Tlei_chr1"	"10000001"	"1.1e+07"	"12"
"12"	"Tlei_chr1"	"11000001"	"1.2e+07"	"12"
"13"	"Tlei_chr1"	"12000001"	"1.3e+07"	"12"
"14"	"Tlei_chr1"	"13000001"	"1.4e+07"	"8"
"15"	"Tlei_chr1"	"14000001"	"1.5e+07"	"4"
"16"	"Tlei_chr1"	"15000001"	"1.6e+07"	"3"
"17"	"Tlei_chr1"	"16000001"	"1.7e+07"	"4"
"18"	"Tlei_chr1"	"17000001"	"1.8e+07"	"4"
"19"	"Tlei_chr1"	"18000001"	"1.9e+07"	"8"
"20"	"Tlei_chr1"	"19000001"	"2e+07"	"12"
"21"	"Tlei_chr1"	"20000001"	"2.1e+07"	"8"
"22"	"Tlei_chr1"	"21000001"	"2.2e+07"	"3"
"23"	"Tlei_chr1"	"22000001"	"2.3e+07"	"2"
"24"	"Tlei_chr1"	"23000001"	"2.4e+07"	"0"
"25"	"Tlei_chr1"	"24000001"	"2.5e+07"	"6"
"26"	"Tlei_chr1"	"25000001"	"2.6e+07"	"9"
"27"	"Tlei_chr1"	"26000001"	"2.7e+07"	"8"
"28"	"Tlei_chr1"	"27000001"	"2.8e+07"	"11"
"29"	"Tlei_chr1"	"28000001"	"2.9e+07"	"2"
"30"	"Tlei_chr1"	"29000001"	"3e+07"	"7"
"31"	"Tlei_chr1"	"30000001"	"3.1e+07"	"7"
"32"	"Tlei_chr1"	"31000001"	"3.2e+07"	"5"
"33"	"Tlei_chr1"	"32000001"	"3.3e+07"	"2"
"34"	"Tlei_chr1"	"33000001"	"3.4e+07"	"9"
"35"	"Tlei_chr1"	"34000001"	"3.5e+07"	"8"
"36"	"Tlei_chr1"	"35000001"	"3.6e+07"	"2"
"37"	"Tlei_chr1"	"36000001"	"3.7e+07"	"7"
"38"	"Tlei_chr1"	"37000001"	"3.8e+07"	"1"
"39"	"Tlei_chr1"	"38000001"	"3.9e+07"	"1"
"40"	"Tlei_chr1"	"39000001"	"4e+07"	"7"
"41"	"Tlei_chr1"	"40000001"	"4.1e+07"	"10"
"42"	"Tlei_chr1"	"41000001"	"4.2e+07"	"2"
"43"	"Tlei_chr1"	"42000001"	"4.3e+07"	"6"
"44"	"Tlei_chr1"	"43000001"	"4.4e+07"	"8"
"45"	"Tlei_chr1"	"44000001"	"4.5e+07"	"7"
"46"	"Tlei_chr1"	"45000001"	"4.6e+07"	"3"
"47"	"Tlei_chr1"	"46000001"	"4.7e+07"	"8"
"48"	"Tlei_chr1"	"47000001"	"4.8e+07"	"9"
"49"	"Tlei_chr1"	"48000001"	"4.9e+07"	"21"
"50"	"Tlei_chr1"	"49000001"	"5e+07"	"12"
"51"	"Tlei_chr1"	"50000001"	"5.1e+07"	"31"
"52"	"Tlei_chr1"	"51000001"	"5.2e+07"	"8"
"53"	"Tlei_chr1"	"52000001"	"5.3e+07"	"39"
"54"	"Tlei_chr1"	"53000001"	"5.4e+07"	"54"
"55"	"Tlei_chr1"	"54000001"	"5.5e+07"	"89"
"56"	"Tlei_chr1"	"55000001"	"5.6e+07"	"89"
"57"	"Tlei_chr1"	"56000001"	"5.7e+07"	"102"
"58"	"Tlei_chr1"	"57000001"	"5.8e+07"	"104"
"59"	"Tlei_chr1"	"58000001"	"5.9e+07"	"97"
"60"	"Tlei_chr1"	"59000001"	"6e+07"	"114"
"61"	"Tlei_chr1"	"60000001"	"6.1e+07"	"29"
"62"	"Tlei_chr2"	"1"	"1e+06"	"115"
"63"	"Tlei_chr2"	"1000001"	"2e+06"	"123"
"64"	"Tlei_chr2"	"2000001"	"3e+06"	"105"
"65"	"Tlei_chr2"	"3000001"	"4e+06"	"91"
"66"	"Tlei_chr2"	"4000001"	"5e+06"	"48"
"67"	"Tlei_chr2"	"5000001"	"6e+06"	"42"
"68"	"Tlei_chr2"	"6000001"	"7e+06"	"27"
"69"	"Tlei_chr2"	"7000001"	"8e+06"	"29"
"70"	"Tlei_chr2"	"8000001"	"9e+06"	"13"
"71"	"Tlei_chr2"	"9000001"	"1e+07"	"8"
"72"	"Tlei_chr2"	"10000001"	"1.1e+07"	"7"
"73"	"Tlei_chr2"	"11000001"	"1.2e+07"	"10"
"74"	"Tlei_chr2"	"12000001"	"1.3e+07"	"16"
"75"	"Tlei_chr2"	"13000001"	"1.4e+07"	"13"
"76"	"Tlei_chr2"	"14000001"	"1.5e+07"	"4"
"77"	"Tlei_chr2"	"15000001"	"1.6e+07"	"10"
"78"	"Tlei_chr2"	"16000001"	"1.7e+07"	"9"
"79"	"Tlei_chr2"	"17000001"	"1.8e+07"	"8"
"80"	"Tlei_chr2"	"18000001"	"1.9e+07"	"5"
"81"	"Tlei_chr2"	"19000001"	"2e+07"	"9"
"82"	"Tlei_chr2"	"20000001"	"2.1e+07"	"7"
"83"	"Tlei_chr2"	"21000001"	"2.2e+07"	"6"
"84"	"Tlei_chr2"	"22000001"	"2.3e+07"	"10"
"85"	"Tlei_chr2"	"23000001"	"2.4e+07"	"8"
"86"	"Tlei_chr2"	"24000001"	"2.5e+07"	"16"
"87"	"Tlei_chr2"	"25000001"	"2.6e+07"	"2"
"88"	"Tlei_chr2"	"26000001"	"2.7e+07"	"3"
"89"	"Tlei_chr2"	"27000001"	"2.8e+07"	"2"
"90"	"Tlei_chr2"	"28000001"	"2.9e+07"	"11"
"91"	"Tlei_chr2"	"29000001"	"3e+07"	"6"
"92"	"Tlei_chr2"	"30000001"	"3.1e+07"	"5"
"93"	"Tlei_chr2"	"31000001"	"3.2e+07"	"9"
"94"	"Tlei_chr2"	"32000001"	"3.3e+07"	"8"
"95"	"Tlei_chr2"	"33000001"	"3.4e+07"	"11"
"96"	"Tlei_chr2"	"34000001"	"3.5e+07"	"5"
"97"	"Tlei_chr2"	"35000001"	"3.6e+07"	"16"
"98"	"Tlei_chr2"	"36000001"	"3.7e+07"	"13"
"99"	"Tlei_chr2"	"37000001"	"3.8e+07"	"0"
"100"	"Tlei_chr2"	"38000001"	"3.9e+07"	"5"
"101"	"Tlei_chr2"	"39000001"	"4e+07"	"3"
"102"	"Tlei_chr2"	"40000001"	"4.1e+07"	"11"
"103"	"Tlei_chr2"	"41000001"	"4.2e+07"	"13"
"104"	"Tlei_chr2"	"42000001"	"4.3e+07"	"7"
"105"	"Tlei_chr2"	"43000001"	"4.4e+07"	"2"
"106"	"Tlei_chr2"	"44000001"	"4.5e+07"	"1"
"107"	"Tlei_chr2"	"45000001"	"4.6e+07"	"2"
"108"	"Tlei_chr2"	"46000001"	"4.7e+07"	"4"
"109"	"Tlei_chr2"	"47000001"	"4.8e+07"	"10"
"110"	"Tlei_chr2"	"48000001"	"4.9e+07"	"6"
"111"	"Tlei_chr2"	"49000001"	"5e+07"	"13"
"112"	"Tlei_chr2"	"50000001"	"5.1e+07"	"63"
"113"	"Tlei_chr2"	"51000001"	"5.2e+07"	"67"
"114"	"Tlei_chr2"	"52000001"	"5.3e+07"	"62"
"115"	"Tlei_chr2"	"53000001"	"5.4e+07"	"59"
"116"	"Tlei_chr2"	"54000001"	"5.5e+07"	"62"
"117"	"Tlei_chr2"	"55000001"	"5.6e+07"	"104"
