"gene_id" "median_cov" "mean_cov" "og_id" "Acom_count" "Tfas_count" "Tlei_count" "duplicated"
"82" "Tfasc_v1.29864-RB" 121 118.936117059243 "OG0016183" 0 3 0 "unique-multi-copy"
"83" "Tfasc_v1.26999-RA" 163 157.424688561721 "OG0016183" 0 3 0 "unique-multi-copy"
"724" "Tfasc_v1.26318-RA" 773.5 776.866666666667 "OG0000444" 4 2 3 "multi-copy"
"1281" "Tfasc_v1.10172-RA" 6502 6244.65957446809 "OG0017250" 1 1 0 "single-copy"
"1487" "Tfasc_v1.13448-RA" 173 173.275925925926 "OG0000524" 3 3 3 "ancestral-multi-copy"
"1493" "Tfasc_v1.12608-RA" 104 137.927001719855 "OG0000525" 1 8 1 "multi-copy"
"1704" "Tfasc_v1.20546-RA" 155 151.620253164557 "OG0001739" 2 3 1 "multi-copy"
"1797" "Tfasc_v1.13651-RA" 134 141.763736263736 "OG0005452" 0 3 1 "multi-copy"
"2095" "Tfasc_v1.24736-RA" 885 886.882483370288 "OG0014263" 2 1 0 "single-copy"
"2255" "Tfasc_v1.25233-RA" 118 120.01045751634 "OG0000091" 16 9 6 "multi-copy"
"2287" "Tfasc_v1.13680-RA" 176.5 188.794331855605 "OG0000092" 0 32 0 "unique-multi-copy"
"2341" "Tfasc_v1.15361-RA" 160.5 170.231707317073 "OG0002768" 2 1 2 "single-copy"
"2543" "Tfasc_v1.26329-RA" 1530 1378.06049822064 "OG0004740" 2 1 1 "single-copy"
"2713" "Tfasc_v1.26382-RA" 151 149.053941908714 "OG0000393" 0 11 1 "multi-copy"
"2766" "Tfasc_v1.29865-RA" 115.5 116.258503401361 "OG0000395" 0 12 0 "unique-multi-copy"
"2767" "Tfasc_v1.29869-RA" 108 108.748299319728 "OG0000395" 0 12 0 "unique-multi-copy"
"2768" "Tfasc_v1.29868-RA" 124 124.08843537415 "OG0000395" 0 12 0 "unique-multi-copy"
"2769" "Tfasc_v1.29867-RA" 118 117.649659863946 "OG0000395" 0 12 0 "unique-multi-copy"
