chrom	start_window	end_window	gene_counts
Tfas_chr1	1	1e+06	122
Tfas_chr1	1000001	2e+06	96
Tfas_chr1	2000001	3e+06	98
Tfas_chr1	3000001	4e+06	52
Tfas_chr1	4000001	5e+06	74
Tfas_chr1	5000001	6e+06	59
Tfas_chr1	6000001	7e+06	29
Tfas_chr1	7000001	8e+06	39
Tfas_chr1	8000001	9e+06	9
Tfas_chr1	9000001	1e+07	14
Tfas_chr1	10000001	1.1e+07	6
Tfas_chr1	11000001	1.2e+07	8
Tfas_chr1	12000001	1.3e+07	10
Tfas_chr1	13000001	1.4e+07	8
Tfas_chr1	14000001	1.5e+07	8
Tfas_chr1	15000001	1.6e+07	6
Tfas_chr1	16000001	1.7e+07	6
Tfas_chr1	17000001	1.8e+07	9
Tfas_chr1	18000001	1.9e+07	9
Tfas_chr1	19000001	2e+07	14
Tfas_chr1	20000001	2.1e+07	15
Tfas_chr1	21000001	2.2e+07	12
Tfas_chr1	22000001	2.3e+07	10
Tfas_chr1	23000001	2.4e+07	10
Tfas_chr1	24000001	2.5e+07	12
Tfas_chr1	25000001	2.6e+07	31
Tfas_chr1	26000001	2.7e+07	17
Tfas_chr1	27000001	2.8e+07	46
Tfas_chr1	28000001	2.9e+07	73
Tfas_chr1	29000001	3e+07	114
Tfas_chr1	30000001	3.1e+07	118
Tfas_chr1	31000001	3.2e+07	122
Tfas_chr1	32000001	3.3e+07	14
Tfas_chr2	1	1e+06	75
Tfas_chr2	1000001	2e+06	78
Tfas_chr2	2000001	3e+06	84
Tfas_chr2	3000001	4e+06	91
Tfas_chr2	4000001	5e+06	107
Tfas_chr2	5000001	6e+06	106
Tfas_chr2	6000001	7e+06	68
Tfas_chr2	7000001	8e+06	47
Tfas_chr2	8000001	9e+06	48
Tfas_chr2	9000001	1e+07	25
Tfas_chr2	10000001	1.1e+07	22
Tfas_chr2	11000001	1.2e+07	22
Tfas_chr2	12000001	1.3e+07	14
Tfas_chr2	13000001	1.4e+07	20
Tfas_chr2	14000001	1.5e+07	15
Tfas_chr2	15000001	1.6e+07	8
Tfas_chr2	16000001	1.7e+07	0
Tfas_chr2	17000001	1.8e+07	8
Tfas_chr2	18000001	1.9e+07	9
Tfas_chr2	19000001	2e+07	9
Tfas_chr2	20000001	2.1e+07	9
Tfas_chr2	21000001	2.2e+07	10
Tfas_chr2	22000001	2.3e+07	10
Tfas_chr2	23000001	2.4e+07	9
Tfas_chr2	24000001	2.5e+07	16
Tfas_chr2	25000001	2.6e+07	16
Tfas_chr2	26000001	2.7e+07	18
Tfas_chr2	27000001	2.8e+07	31
Tfas_chr2	28000001	2.9e+07	57
Tfas_chr2	29000001	3e+07	66
Tfas_chr2	30000001	3.1e+07	71
Tfas_chr2	31000001	3.2e+07	71
Tfas_chr3	1	1e+06	79
Tfas_chr3	1000001	2e+06	109
Tfas_chr3	2000001	3e+06	107
Tfas_chr3	3000001	4e+06	36
Tfas_chr3	4000001	5e+06	30
Tfas_chr3	5000001	6e+06	23
Tfas_chr3	6000001	7e+06	8
Tfas_chr3	7000001	8e+06	14
Tfas_chr3	8000001	9e+06	19
Tfas_chr3	9000001	1e+07	7
Tfas_chr3	10000001	1.1e+07	8
Tfas_chr3	11000001	1.2e+07	11
Tfas_chr3	12000001	1.3e+07	4
Tfas_chr3	13000001	1.4e+07	2
Tfas_chr3	14000001	1.5e+07	8
Tfas_chr3	15000001	1.6e+07	8
Tfas_chr3	16000001	1.7e+07	6
Tfas_chr3	17000001	1.8e+07	3
Tfas_chr3	18000001	1.9e+07	3
Tfas_chr3	19000001	2e+07	7
Tfas_chr3	20000001	2.1e+07	6
Tfas_chr3	21000001	2.2e+07	15
Tfas_chr3	22000001	2.3e+07	18
Tfas_chr3	23000001	2.4e+07	16
Tfas_chr3	24000001	2.5e+07	21
Tfas_chr3	25000001	2.6e+07	36
Tfas_chr3	26000001	2.7e+07	87
Tfas_chr3	27000001	2.8e+07	85
Tfas_chr3	28000001	2.9e+07	116
Tfas_chr3	29000001	3e+07	122
Tfas_chr3	30000001	3.1e+07	72
Tfas_chr3	31000001	3.2e+07	10
Tfas_chr4	1	1e+06	113
Tfas_chr4	1000001	2e+06	78
Tfas_chr4	2000001	3e+06	28
Tfas_chr4	3000001	4e+06	23
Tfas_chr4	4000001	5e+06	22
Tfas_chr4	5000001	6e+06	23
Tfas_chr4	6000001	7e+06	10
Tfas_chr4	7000001	8e+06	14
Tfas_chr4	8000001	9e+06	13
Tfas_chr4	9000001	1e+07	13
Tfas_chr4	10000001	1.1e+07	8
Tfas_chr4	11000001	1.2e+07	13
Tfas_chr4	12000001	1.3e+07	10
Tfas_chr4	13000001	1.4e+07	12
Tfas_chr4	14000001	1.5e+07	6
Tfas_chr4	15000001	1.6e+07	6
Tfas_chr4	16000001	1.7e+07	9
Tfas_chr4	17000001	1.8e+07	9
Tfas_chr4	18000001	1.9e+07	8
Tfas_chr4	19000001	2e+07	17
Tfas_chr4	20000001	2.1e+07	31
Tfas_chr4	21000001	2.2e+07	21
Tfas_chr4	22000001	2.3e+07	51
Tfas_chr4	23000001	2.4e+07	61
Tfas_chr4	24000001	2.5e+07	78
Tfas_chr4	25000001	2.6e+07	79
Tfas_chr4	26000001	2.7e+07	98
Tfas_chr4	27000001	2.8e+07	108
Tfas_chr4	28000001	2.9e+07	98
Tfas_chr4	29000001	3e+07	81
Tfas_chr4	30000001	3.1e+07	85
Tfas_chr5	1	1e+06	106
Tfas_chr5	1000001	2e+06	103
