Tfasc_v1.31994-RA	Scaffold_2305	267462	111692	121190	OG0000000	1	2100
Tfasc_v1.00544-RA	Scaffold_2199	32162447	5062198	5062911	OG0000001	772	0
Tfasc_v1.00608-RA	Scaffold_2199	32162447	5896752	5897183	OG0000001	772	0
Tfasc_v1.00719-RA	Scaffold_2199	32162447	8048152	8048865	OG0000001	772	0
Tfasc_v1.00725-RA	Scaffold_2199	32162447	8470243	8470716	OG0000001	772	0
Tfasc_v1.00774-RA	Scaffold_2199	32162447	11014898	11015611	OG0000001	772	0
Tfasc_v1.00785-RA	Scaffold_2199	32162447	11528240	11528908	OG0000001	772	0
Tfasc_v1.00787-RA	Scaffold_2199	32162447	11620232	11620744	OG0000001	772	0
Tfasc_v1.00788-RA	Scaffold_2199	32162447	11755131	11755835	OG0000001	772	0
Tfasc_v1.00789-RA	Scaffold_2199	32162447	11785556	11786269	OG0000001	772	0
Tfasc_v1.00814-RA	Scaffold_2199	32162447	13419205	13419918	OG0000001	772	0
Tfasc_v1.00819-RA	Scaffold_2199	32162447	14080706	14081419	OG0000001	772	0
Tfasc_v1.00848-RA	Scaffold_2199	32162447	15506227	15506940	OG0000001	772	0
Tfasc_v1.00853-RA	Scaffold_2199	32162447	15637731	15638444	OG0000001	772	0
Tfasc_v1.00871-RA	Scaffold_2199	32162447	17206978	17207691	OG0000001	772	0
Tfasc_v1.00878-RA	Scaffold_2199	32162447	17550450	17551163	OG0000001	772	0
Tfasc_v1.00887-RA	Scaffold_2199	32162447	17913636	17914349	OG0000001	772	0
Tfasc_v1.00906-RA	Scaffold_2199	32162447	18721412	18722023	OG0000001	772	0
Tfasc_v1.00914-RA	Scaffold_2199	32162447	19135324	19136037	OG0000001	772	0
Tfasc_v1.00921-RA	Scaffold_2199	32162447	19558798	19559511	OG0000001	772	0
Tfasc_v1.00923-RA	Scaffold_2199	32162447	19598576	19599289	OG0000001	772	0
Tfasc_v1.00977-RA	Scaffold_2199	32162447	21817329	21817709	OG0000001	772	0
Tfasc_v1.00996-RA	Scaffold_2199	32162447	22574195	22574908	OG0000001	772	0
Tfasc_v1.01000-RA	Scaffold_2199	32162447	23014827	23015540	OG0000001	772	0
Tfasc_v1.01010-RA	Scaffold_2199	32162447	23553261	23553974	OG0000001	772	0
Tfasc_v1.01029-RA	Scaffold_2199	32162447	24394113	24394826	OG0000001	772	0
Tfasc_v1.02624-RA	Scaffold_658	31698969	11406302	11407015	OG0000001	772	0
Tfasc_v1.02642-RA	Scaffold_658	31698969	12053951	12054664	OG0000001	772	0
Tfasc_v1.02643-RA	Scaffold_658	31698969	12096134	12096613	OG0000001	772	0
Tfasc_v1.02668-RA	Scaffold_658	31698969	13100934	13101647	OG0000001	772	0
Tfasc_v1.02689-RA	Scaffold_658	31698969	13580330	13581043	OG0000001	772	0
Tfasc_v1.02732-RA	Scaffold_658	31698969	15948684	15949397	OG0000001	772	0
Tfasc_v1.02734-RA	Scaffold_658	31698969	15969312	15969926	OG0000001	772	0
Tfasc_v1.02737-RA	Scaffold_658	31698969	16008404	16009117	OG0000001	772	0
Tfasc_v1.02740-RA	Scaffold_658	31698969	16348160	16348864	OG0000001	772	0
Tfasc_v1.02749-RA	Scaffold_658	31698969	16896433	16897146	OG0000001	772	0
Tfasc_v1.02766-RA	Scaffold_658	31698969	18163932	18164645	OG0000001	772	0
Tfasc_v1.02785-RA	Scaffold_658	31698969	18910502	18911215	OG0000001	772	0
Tfasc_v1.02803-RA	Scaffold_658	31698969	19853398	19854111	OG0000001	772	0
Tfasc_v1.02886-RA	Scaffold_658	31698969	23812301	23813014	OG0000001	772	0
Tfasc_v1.02901-RA	Scaffold_658	31698969	24545865	24546578	OG0000001	772	0
Tfasc_v1.02929-RA	Scaffold_658	31698969	25424987	25425700	OG0000001	772	0
Tfasc_v1.02930-RA	Scaffold_658	31698969	25450586	25451299	OG0000001	772	0
Tfasc_v1.02942-RA	Scaffold_658	31698969	25781356	25781739	OG0000001	772	0
Tfasc_v1.03814-RA	Scaffold_2318	31153634	5386564	5387277	OG0000001	772	0
Tfasc_v1.03836-RA	Scaffold_2318	31153634	6175166	6175879	OG0000001	772	0
Tfasc_v1.03848-RA	Scaffold_2318	31153634	6779430	6779972	OG0000001	772	0
Tfasc_v1.03854-RA	Scaffold_2318	31153634	7109392	7110105	OG0000001	772	0
Tfasc_v1.03875-RA	Scaffold_2318	31153634	7951878	7952591	OG0000001	772	0
Tfasc_v1.03906-RA	Scaffold_2318	31153634	8900892	8901605	OG0000001	772	0
Tfasc_v1.03923-RA	Scaffold_2318	31153634	9954175	9954564	OG0000001	772	0
Tfasc_v1.03924-RA	Scaffold_2318	31153634	10230064	10230777	OG0000001	772	0
Tfasc_v1.03929-RA	Scaffold_2318	31153634	10336871	10337233	OG0000001	772	0
Tfasc_v1.03930-RA	Scaffold_2318	31153634	10371493	10372206	OG0000001	772	0
Tfasc_v1.03936-RA	Scaffold_2318	31153634	10745795	10746508	OG0000001	772	0
Tfasc_v1.03959-RA	Scaffold_2318	31153634	11697717	11698391	OG0000001	772	0
Tfasc_v1.03962-RA	Scaffold_2318	31153634	11739238	11739951	OG0000001	772	0
Tfasc_v1.03981-RA	Scaffold_2318	31153634	13257682	13258116	OG0000001	772	0
Tfasc_v1.03995-RA	Scaffold_2318	31153634	14387762	14388412	OG0000001	772	0
