Scaffold_1;HRSCAF=1 53962
Scaffold_2;HRSCAF=2 23305
Scaffold_3;HRSCAF=3 26897
Scaffold_4;HRSCAF=6 60995
Scaffold_5;HRSCAF=7 20814
Scaffold_6;HRSCAF=8 11700
Scaffold_7;HRSCAF=9 54858
Scaffold_8;HRSCAF=10 23282
Scaffold_9;HRSCAF=11 37629
Scaffold_10;HRSCAF=12 25380
Scaffold_11;HRSCAF=13 13933
Scaffold_12;HRSCAF=14 27409
Scaffold_13;HRSCAF=15 49083
Scaffold_14;HRSCAF=16 83029
Scaffold_15;HRSCAF=17 25374
Scaffold_16;HRSCAF=19 27488
Scaffold_17;HRSCAF=21 23709
Scaffold_18;HRSCAF=22 139595
Scaffold_19;HRSCAF=23 53143
Scaffold_20;HRSCAF=24 24290
Scaffold_21;HRSCAF=29 16865
Scaffold_22;HRSCAF=30 65266
Scaffold_23;HRSCAF=31 56026
Scaffold_24;HRSCAF=33 55055
Scaffold_25;HRSCAF=34 19501
Scaffold_26;HRSCAF=35 16634
Scaffold_27;HRSCAF=36 66371
Scaffold_28;HRSCAF=37 28700
Scaffold_29;HRSCAF=38 41175
Scaffold_30;HRSCAF=40 15008
Scaffold_31;HRSCAF=41 70554
Scaffold_32;HRSCAF=43 19833
Scaffold_33;HRSCAF=46 67658
Scaffold_34;HRSCAF=48 22401
Scaffold_35;HRSCAF=50 37605
Scaffold_36;HRSCAF=52 25419
Scaffold_37;HRSCAF=54 18165
Scaffold_38;HRSCAF=55 34924
Scaffold_39;HRSCAF=57 57382
Scaffold_40;HRSCAF=59 12614
Scaffold_41;HRSCAF=60 34259
Scaffold_42;HRSCAF=65 30380
Scaffold_43;HRSCAF=67 37848
Scaffold_44;HRSCAF=69 55163
Scaffold_45;HRSCAF=72 29185
Scaffold_46;HRSCAF=73 217191
Scaffold_47;HRSCAF=74 16376
Scaffold_48;HRSCAF=75 87226
Scaffold_49;HRSCAF=76 53841
Scaffold_50;HRSCAF=77 26844
Scaffold_51;HRSCAF=79 18518
Scaffold_52;HRSCAF=80 20164
Scaffold_53;HRSCAF=81 117555
Scaffold_54;HRSCAF=83 34280
Scaffold_55;HRSCAF=85 50388
Scaffold_56;HRSCAF=86 23765
Scaffold_57;HRSCAF=87 82185
Scaffold_58;HRSCAF=92 31734
Scaffold_59;HRSCAF=93 62791
Scaffold_60;HRSCAF=94 25349
Scaffold_61;HRSCAF=95 29398
Scaffold_62;HRSCAF=99 26650
Scaffold_63;HRSCAF=105 26091
Scaffold_64;HRSCAF=108 15407
Scaffold_65;HRSCAF=109 32741
Scaffold_66;HRSCAF=110 23192
Scaffold_67;HRSCAF=116 83995
Scaffold_68;HRSCAF=117 17579
Scaffold_69;HRSCAF=119 33274
Scaffold_70;HRSCAF=120 33774
Scaffold_71;HRSCAF=122 46193
Scaffold_72;HRSCAF=123 35573
Scaffold_73;HRSCAF=126 20797
Scaffold_74;HRSCAF=128 22895
Scaffold_75;HRSCAF=131 22413
Scaffold_76;HRSCAF=132 50058
Scaffold_77;HRSCAF=134 21396
Scaffold_78;HRSCAF=136 27442
Scaffold_79;HRSCAF=138 90571
Scaffold_80;HRSCAF=139 44709
Scaffold_81;HRSCAF=140 30696
Scaffold_82;HRSCAF=141 37061
Scaffold_83;HRSCAF=142 25384
Scaffold_84;HRSCAF=144 52744
Scaffold_85;HRSCAF=145 25169
Scaffold_86;HRSCAF=148 38796
Scaffold_87;HRSCAF=149 26959
Scaffold_88;HRSCAF=151 14300
Scaffold_89;HRSCAF=155 35171
Scaffold_90;HRSCAF=156 33112
Scaffold_91;HRSCAF=159 19729
Scaffold_92;HRSCAF=161 29482
Scaffold_93;HRSCAF=162 19076
Scaffold_94;HRSCAF=166 19232
Scaffold_95;HRSCAF=167 7588
Scaffold_96;HRSCAF=168 53018
Scaffold_97;HRSCAF=170 25079
Scaffold_98;HRSCAF=171 18121
Scaffold_99;HRSCAF=173 34737
Scaffold_100;HRSCAF=176 54884
Scaffold_101;HRSCAF=179 17564
Scaffold_102;HRSCAF=180 21231
Scaffold_103;HRSCAF=181 37248
Scaffold_104;HRSCAF=182 67546
Scaffold_105;HRSCAF=185 58651
Scaffold_106;HRSCAF=186 47065
Scaffold_107;HRSCAF=187 20717
Scaffold_108;HRSCAF=189 31266
Scaffold_109;HRSCAF=190 73220
Scaffold_110;HRSCAF=191 19090
Scaffold_111;HRSCAF=192 34761
Scaffold_112;HRSCAF=193 20898
Scaffold_113;HRSCAF=194 35295
Scaffold_114;HRSCAF=195 67888
Scaffold_115;HRSCAF=197 25264
Scaffold_116;HRSCAF=198 27076
Scaffold_117;HRSCAF=200 38132
Scaffold_118;HRSCAF=201 39577
Scaffold_119;HRSCAF=202 66106
Scaffold_120;HRSCAF=204 94696
Scaffold_121;HRSCAF=205 43569
Scaffold_122;HRSCAF=206 125941
Scaffold_123;HRSCAF=207 25220
Scaffold_124;HRSCAF=208 47119
Scaffold_125;HRSCAF=211 20367
Scaffold_126;HRSCAF=212 55925
Scaffold_127;HRSCAF=213 23742
Scaffold_128;HRSCAF=214 57807
Scaffold_129;HRSCAF=216 71710
Scaffold_130;HRSCAF=221 23379
Scaffold_131;HRSCAF=223 12382
Scaffold_132;HRSCAF=226 32617
Scaffold_133;HRSCAF=227 19181
Scaffold_134;HRSCAF=228 31786
Scaffold_135;HRSCAF=231 151412
Scaffold_136;HRSCAF=232 24597
Scaffold_137;HRSCAF=234 20428
Scaffold_138;HRSCAF=236 23112
Scaffold_139;HRSCAF=237 24361
Scaffold_140;HRSCAF=238 38685
Scaffold_141;HRSCAF=239 39468
Scaffold_142;HRSCAF=240 36964
Scaffold_143;HRSCAF=241 84905
Scaffold_144;HRSCAF=242 34562
Scaffold_145;HRSCAF=244 24553
Scaffold_146;HRSCAF=245 22690
