Orthogroup	Acomosus	T.fasciculata	T.leiboldiana
OG0019918	Aco000032.1		
OG0019919	Aco000035.1		
OG0019920	Aco000034.1		
OG0019921	Aco000043.1		
OG0019922	Aco000048.1		
OG0019923	Aco000078.1		
OG0019924	Aco000076.1		
OG0019925	Aco000149.1		
OG0019926	Aco000202.1		
OG0019927	Aco000216.1		
OG0019928	Aco000223.1		
OG0019929	Aco000224.1		
OG0019930	Aco000241.1		
OG0019931	Aco000264.1		
OG0019932	Aco000257.1		
OG0019933	Aco000278.1		
OG0019934	Aco000345.1		
OG0019935	Aco000362.1		
OG0019936	Aco000372.1		
OG0019937	Aco000406.1		
OG0019938	Aco000412.1		
OG0019939	Aco000408.1		
OG0019940	Aco000400.1		
OG0019941	Aco000428.1		
OG0019942	Aco000435.1		
OG0019943	Aco000425.1		
OG0019944	Aco000451.1		
OG0019945	Aco000448.1		
OG0019946	Aco000471.1		
OG0019947	Aco000450.1		
OG0019948	Aco000501.1		
OG0019949	Aco000515.1		
OG0019950	Aco000499.1		
OG0019951	Aco000521.1		
OG0019952	Aco000545.1		
OG0019953	Aco000535.1		
OG0019954	Aco000554.1		
OG0019955	Aco000564.1		
OG0019956	Aco000569.1		
OG0019957	Aco000573.1		
OG0019958	Aco000589.1		
OG0019959	Aco000601.1		
OG0019960	Aco000604.1		
OG0019961	Aco000627.1		
OG0019962	Aco000639.1		
OG0019963	Aco000673.1		
OG0019964	Aco000684.1		
OG0019965	Aco000712.1		
OG0019966	Aco000714.1		
OG0019967	Aco000715.1		
OG0019968	Aco000725.1		
OG0019969	Aco000745.1		
OG0019970	Aco000763.1		
OG0019971	Aco000768.1		
OG0019972	Aco000779.1		
OG0019973	Aco000800.1		
OG0019974	Aco000803.1		
OG0019975	Aco000804.1		
OG0019976	Aco000820.1		
OG0019977	Aco000845.1		
OG0019978	Aco000864.1		
OG0019979	Aco000868.1		
OG0019980	Aco000872.1		
OG0019981	Aco000895.1		
OG0019982	Aco000898.1		
OG0019983	Aco000901.1		
OG0019984	Aco000958.1		
OG0019985	Aco000953.1		
OG0019986	Aco000947.1		
OG0019987	Aco001007.1		
OG0019988	Aco001070.1		
OG0019989	Aco001067.1		
OG0019990	Aco001082.1		
OG0019991	Aco001087.1		
OG0019992	Aco001104.1		
OG0019993	Aco001115.1		
OG0019994	Aco001148.1		
OG0019995	Aco001147.1		
OG0019996	Aco001145.1		
OG0019997	Aco001137.1		
OG0019998	Aco001156.1		
OG0019999	Aco001164.1		
OG0020000	Aco001172.1		
OG0020001	Aco001184.1		
OG0020002	Aco001182.1		
OG0020003	Aco001180.1		
OG0020004	Aco001193.1		
OG0020005	Aco001213.1		
OG0020006	Aco001221.1		
OG0020007	Aco001228.1		
OG0020008	Aco001244.1		
OG0020009	Aco001247.1		
OG0020010	Aco001258.1		
OG0020011	Aco001275.1		
OG0020012	Aco001271.1		
OG0020013	Aco001310.1		
OG0020014	Aco001312.1		
OG0020015	Aco001324.1		
OG0020016	Aco001365.1		
OG0020017	Aco002008.1		
OG0020018	Aco002009.1		
OG0020019	Aco002013.1		
OG0020020	Aco002035.1		
OG0020021	Aco002039.1		
OG0020022	Aco002088.1		
OG0020023	Aco002119.1		
OG0020024	Aco002150.1		
OG0020025	Aco002176.1		
OG0020026	Aco002218.1		
OG0020027	Aco002217.1		
OG0020028	Aco002232.1		
OG0020029	Aco002242.1		
OG0020030	Aco002260.1		
OG0020031	Aco002264.1		
OG0020032	Aco002249.1		
OG0020033	Aco002273.1		
OG0020034	Aco002265.1		
OG0020035	Aco002302.1		
OG0020036	Aco002299.1		
OG0020037	Aco002306.1		
OG0020038	Aco002338.1		
OG0020039	Aco002371.1		
OG0020040	Aco002373.1		
OG0020041	Aco002393.1		
OG0020042	Aco002409.1		
OG0020043	Aco002417.1		
OG0020044	Aco002437.1		
OG0020045	Aco002465.1		
OG0020046	Aco002456.1		
OG0020047	Aco002478.1		
OG0020048	Aco002472.1		
OG0020049	Aco002480.1		
OG0020050	Aco002497.1		
OG0020051	Aco002503.1		
OG0020052	Aco002535.1		
OG0020053	Aco002539.1		
OG0020054	Aco002545.1		
OG0020055	Aco002549.1		
OG0020056	Aco002563.1		
OG0020057	Aco002587.1		
OG0020058	Aco002581.1		
OG0020059	Aco001386.1		
OG0020060	Aco001410.1		
OG0020061	Aco001396.1		
OG0020062	Aco001404.1		
OG0020063	Aco001440.1		
OG0020064	Aco001476.1		
OG0020065	Aco001483.1		
OG0020066	Aco001490.1		
OG0020067	Aco001540.1		
OG0020068	Aco001559.1		
OG0020069	Aco001577.1		
OG0020070	Aco001571.1		
OG0020071	Aco001596.1		
OG0020072	Aco001598.1		
OG0020073	Aco001609.1		
OG0020074	Aco001614.1		
OG0020075	Aco001654.1		
OG0020076	Aco001687.1		
OG0020077	Aco001726.1		
OG0020078	Aco001751.1		
OG0020079	Aco001807.1		
OG0020080	Aco001819.1		
OG0020081	Aco001829.1		
OG0020082	Aco001833.1		
OG0020083	Aco001834.1		
OG0020084	Aco001864.1		
OG0020085	Aco001873.1		
OG0020086	Aco001872.1		
OG0020087	Aco001880.1		
OG0020088	Aco001885.1		
OG0020089	Aco001901.1		
OG0020090	Aco001922.1		
OG0020091	Aco001927.1		
OG0020092	Aco001923.1		
OG0020093	Aco001925.1		
OG0020094	Aco001946.1		
OG0020095	Aco001949.1		
OG0020096	Aco001956.1		
OG0020097	Aco001981.1		
OG0020098	Aco001984.1		
OG0020099	Aco001993.1		
OG0020100	Aco002612.1		
OG0020101	Aco002641.1		
OG0020102	Aco002640.1		
OG0020103	Aco002642.1		
OG0020104	Aco002653.1		
OG0020105	Aco002680.1		
OG0020106	Aco002693.1		
OG0020107	Aco002715.1		
OG0020108	Aco002725.1		
OG0020109	Aco002730.1		
OG0020110	Aco002734.1		
OG0020111	Aco002746.1		
OG0020112	Aco002771.1		
OG0020113	Aco002776.1		
OG0020114	Aco002811.1		
OG0020115	Aco002860.1		
OG0020116	Aco002865.1		
OG0020117	Aco002870.1		
OG0020118	Aco002866.1		
OG0020119	Aco002888.1		
OG0020120	Aco002885.1		
OG0020121	Aco002913.1		
OG0020122	Aco002921.1		
OG0020123	Aco002919.1		
OG0020124	Aco002948.1		
OG0020125	Aco002962.1		
OG0020126	Aco002985.1		
OG0020127	Aco002993.1		
OG0020128	Aco003073.1		
OG0020129	Aco003068.1		
OG0020130	Aco003081.1		
OG0020131	Aco003086.1		
OG0020132	Aco003115.1		
OG0020133	Aco003163.1		
OG0020134	Aco003171.1		
OG0020135	Aco003173.1		
OG0020136	Aco003201.1		
OG0020137	Aco003199.1		
OG0020138	Aco003191.1		
OG0020139	Aco003190.1		
OG0020140	Aco003208.1		
OG0020141	Aco003230.1		
OG0020142	Aco003221.1		
OG0020143	Aco003227.1		
OG0020144	Aco003256.1		
OG0020145	Aco003298.1		
OG0020146	Aco003315.1		
OG0020147	Aco003314.1		
OG0020148	Aco003332.1		
OG0020149	Aco003335.1		
OG0020150	Aco003354.1		
OG0020151	Aco003353.1		
OG0020152	Aco003400.1		
OG0020153	Aco003468.1		
OG0020154	Aco003527.1		
OG0020155	Aco003531.1		
OG0020156	Aco003534.1		
OG0020157	Aco003546.1		
OG0020158	Aco003575.1		
OG0020159	Aco003586.1		
OG0020160	Aco003603.1		
OG0020161	Aco003636.1		
OG0020162	Aco003631.1		
OG0020163	Aco003664.1		
OG0020164	Aco003660.1		
OG0020165	Aco003666.1		
OG0020166	Aco003659.1		
OG0020167	Aco003707.1		
OG0020168	Aco003703.1		
OG0020169	Aco003715.1		
OG0020170	Aco003725.1		
OG0020171	Aco003710.1		
OG0020172	Aco003749.1		
OG0020173	Aco003744.1		
OG0020174	Aco003745.1		
OG0020175	Aco003763.1		
OG0020176	Aco003760.1		
OG0020177	Aco003782.1		
OG0020178	Aco003791.1		
OG0020179	Aco003810.1		
OG0020180	Aco003866.1		
OG0020181	Aco003887.1		
OG0020182	Aco003914.1		
OG0020183	Aco003920.1		
OG0020184	Aco003932.1		
OG0020185	Aco003939.1		
OG0020186	Aco003951.1		
OG0020187	Aco003957.1		
OG0020188	Aco003979.1		
OG0020189	Aco003986.1		
OG0020190	Aco004018.1		
OG0020191	Aco004041.1		
OG0020192	Aco004030.1		
OG0020193	Aco004046.1		
OG0020194	Aco004053.1		
OG0020195	Aco004055.1		
OG0020196	Aco004044.1		
OG0020197	Aco004085.1		
OG0020198	Aco004100.1		
OG0020199	Aco004167.1		
OG0020200	Aco004184.1		
OG0020201	Aco004176.1		
