"chrom" "V2" "V3" "percentage_genic"
"1" "Scaffold_8399" "1" "1e+06" "35.7364"
"2" "Scaffold_8399" "1000001" "2e+06" "17.4886"
"3" "Scaffold_8399" "2000001" "3e+06" "12.2419"
"4" "Scaffold_8399" "3000001" "4e+06" "9.6485"
"5" "Scaffold_8399" "4000001" "5e+06" "1.8931"
"6" "Scaffold_8399" "5000001" "6e+06" "0.8016"
"7" "Scaffold_8399" "6000001" "7e+06" "0.1594"
"8" "Scaffold_8399" "7000001" "8e+06" "0.5136"
"9" "Scaffold_8399" "8000001" "9e+06" "4.9841"
"10" "Scaffold_8399" "9000001" "1e+07" "0.4057"
"11" "Scaffold_8399" "10000001" "1.1e+07" "0.4295"
"12" "Scaffold_8399" "11000001" "1.2e+07" "2.1858"
"13" "Scaffold_8399" "12000001" "1.3e+07" "6.4686"
"14" "Scaffold_8399" "13000001" "1.4e+07" "0.982"
"15" "Scaffold_8399" "14000001" "1.5e+07" "0.2453"
"16" "Scaffold_8399" "15000001" "1.6e+07" "0"
"17" "Scaffold_8399" "16000001" "1.7e+07" "0.0161"
"18" "Scaffold_8399" "17000001" "1.8e+07" "0"
"19" "Scaffold_8399" "18000001" "1.9e+07" "1.7317"
"20" "Scaffold_8399" "19000001" "2e+07" "2.4377"
"21" "Scaffold_8399" "20000001" "2.1e+07" "0"
"22" "Scaffold_8399" "21000001" "2.2e+07" "0"
"23" "Scaffold_8399" "22000001" "2.3e+07" "0.0326"
"24" "Scaffold_8399" "23000001" "2.4e+07" "0"
"25" "Scaffold_8399" "24000001" "2.5e+07" "0"
"26" "Scaffold_8399" "25000001" "2.6e+07" "0.8084"
"27" "Scaffold_8399" "26000001" "2.7e+07" "0"
"28" "Scaffold_8399" "27000001" "2.8e+07" "2.8043"
"29" "Scaffold_8399" "28000001" "2.9e+07" "0"
"30" "Scaffold_8399" "29000001" "3e+07" "0"
"31" "Scaffold_8399" "30000001" "3.1e+07" "0"
"32" "Scaffold_8399" "31000001" "3.2e+07" "0"
