gene_ID1	OG_id1	chr	start	end	length1	str	description1	eAED1	QI1	gene_ID2	OG_id2	start	end	length2	str	description2	eAED2	QI2	overlap
Tfasc_v1.03441-RA	OG0009896	chr3	971834	973117	1283	+	Hydroxyethylthiazole kinase	0.12	0|0.5|0.33|1|0|0.33|3|34|235	Tfasc_v1.03440-RA	OG0017924	971722	972204	482	-	Hydroxyethylthiazole kinase	0.66	0|0|0|0.66|1|0.66|3|0|106	371
Tfasc_v1.03452-RA	OG0017925	chr3	1031691	1033387	1696	+	Poly [ADP-ribose] polymerase 1	0.13	0|1|0.5|1|0|0|2|331|76	Tfasc_v1.03451-RA	OG0001035	1031283	1035494	4211	-	60S ribosomal protein L37-3-like	0.32	0|0|0|0.5|1|1|4|0|102	1697
Tfasc_v1.03460-RA	OG0009890	chr3	1110088	1118317	8229	+	putative lysine-specific demethylase JMJ16	0.07	0|0.54|0.33|1|0.90|0.83|12|976|1152	Tfasc_v1.03461-RA	OG0009886	1117096	1122597	5501	-	protein tas	0.35	0|1|0.87|1|1|1|8|276|419	1222
Tfasc_v1.03465-RA	OG0009883	chr3	1136398	1151145	14747	+	Rhomboid-like protein 19	0.09	0|0.66|0.5|0.8|0.77|0.6|10|909|197	Tfasc_v1.03464-RB	OG0009877	1130030	1136501	6471	-	serine/threonine-protein kinase GRIK2-like	0.24	163|0.91|0.92|1|1|1|13|135|448	104
Tfasc_v1.03485-RA	OG0009871	chr3	1253899	1257086	3187	+	multiple organellar RNA editing factor 2, chloroplastic-like	0.31	0|1|0.75|1|1|1|4|778|245	Tfasc_v1.03486-RA	OG0009867	1256833	1261504	4671	-	protein LOW PSII ACCUMULATION 3, chloroplastic	0.15	133|1|1|1|0.88|0.8|10|192|330	254
Tfasc_v1.03487-RA	OG0017928	chr3	1261785	1264021	2236	+	protein C2-DOMAIN ABA-RELATED 4-like	0.35	499|1|1|1|1|1|3|184|164	Tfasc_v1.03488-RA	OG0001510	1263178	1266896	3718	-	elongation factor 1-gamma	0.15	0|0.83|0.71|1|1|1|7|1107|426	844
Tfasc_v1.03498-RA	OG0003841	chr3	1349394	1352305	2911	+	arginine/serine-rich coiled-coil protein 2-like	0.07	166|0.66|0.42|1|0.83|0.71|7|704|498	Tfasc_v1.03499-RA	OG0009863	1352128	1357564	5436	-	Protein TPX2	0.12	0|0.38|0.22|1|1|1|22|0|791	178
Tfasc_v1.03508-RA	OG0009866	chr3	1409671	1414396	4725	+	pentatricopeptide repeat-containing protein At5g66520-like	0.13	0|0|0|0.5|1|1|4|0|741	Tfasc_v1.03509-RA	OG0009862	1414150	1417326	3176	-	5'-adenylylsulfate reductase 3, chloroplastic-like	0.42	276|1|1|1|1|1|6|430|447	247
Tfasc_v1.03513-RA	OG0003837	chr3	1437968	1444579	6611	+	rab3 GTPase-activating protein catalytic subunit	0.14	146|0.75|0.61|1|1|1|13|143|662	Tfasc_v1.03514-RA	OG0009856	1444566	1445926	1360	-	uncharacterized protein LOC109713103	0.15	171|1|1|1|1|1|2|564|110	14
Tfasc_v1.03546-RA	OG0017933	chr3	1784514	1784732	218	+	disease resistance protein RGA2-like	0.37	0|-1|0|1|-1|0|1|0|72	Tfasc_v1.03545-RA	OG0000428	1782083	1792065	9982	-	disease resistance protein RGA2-like	0.34	0|0|0|1|1|1|5|0|1119	219
