Gene_id	orthogroup
Tfasc_v1.06380-RA	OG0006148
Tfasc_v1.13574-RA	OG0016186
Tfasc_v1.16730-RA	OG0000525
Tfasc_v1.08551-RA	OG0002559
Tfasc_v1.03602-RA	OG0004860
Tfasc_v1.12680-RA	OG0002495
Tfasc_v1.09969-RA	OG0018046
Tfasc_v1.03916-RA	OG0013883
Tfasc_v1.17498-RA	OG0003812
Tfasc_v1.24387-RA	OG0004619
Tfasc_v1.18209-RA	OG0004636
Tfasc_v1.27782-RA	OG0006845
Tfasc_v1.20788-RA	OG0000867
Tfasc_v1.29221-RA	OG0017377
Tfasc_v1.17398-RA	OG0014493
Tfasc_v1.08550-RA	OG0009463
Tfasc_v1.20789-RA	OG0001790
Tfasc_v1.17792-RA	OG0000841
Tfasc_v1.22245-RA	OG0007535
Tfasc_v1.08074-RA	OG0015663
Tfasc_v1.24776-RA	OG0001089
Tfasc_v1.25496-RA	OG0002362
Tfasc_v1.05045-RA	OG0002446
Tfasc_v1.00839-RA	OG0011264
Tfasc_v1.27769-RA	OG0000361
Tfasc_v1.14461-RA	OG0006033
Tfasc_v1.04996-RA	OG0016237
Tfasc_v1.24843-RA	OG0005479
Tfasc_v1.23485-RA	OG0005479
Tfasc_v1.26429-RA	OG0015768
Tfasc_v1.27206-RA	OG0001986
Tfasc_v1.07255-RA	OG0019095
Tfasc_v1.27779-RA	OG0006843
Tfasc_v1.25607-RA	OG0018270
Tfasc_v1.06505-RA	OG0015566
Tfasc_v1.00866-RA	OG0002752
Tfasc_v1.10560-RA	OG0000538
Tfasc_v1.24783-RA	OG0014612
Tfasc_v1.13578-RA	OG0015948
Tfasc_v1.15438-RA	OG0005345
Tfasc_v1.08115-RA	OG0000553
Tfasc_v1.12400-RA	OG0004342
Tfasc_v1.27432-RA	OG0003164
Tfasc_v1.01114-RA	OG0001931
Tfasc_v1.20599-RA	OG0012702
Tfasc_v1.07245-RA	OG0012543
Tfasc_v1.25405-RA	OG0014750
Tfasc_v1.23348-RA	OG0011871
Tfasc_v1.30609-RA	OG0001216
Tfasc_v1.14129-RA	OG0005855
Tfasc_v1.06816-RA	OG0012384
Tfasc_v1.14724-RA	OG0015039
Tfasc_v1.17836-RA	OG0000666
Tfasc_v1.23715-RA	OG0000223
Tfasc_v1.21180-RA	OG0000216
Tfasc_v1.11573-RA	OG0001661
Tfasc_v1.16014-RA	OG0000043
Tfasc_v1.23043-RA	OG0011529
Tfasc_v1.20784-RA	OG0000239
Tfasc_v1.12414-RA	OG0011781
Tfasc_v1.19804-RA	OG0006650
Tfasc_v1.29377-RA	OG0000316
Tfasc_v1.30147-RA	OG0003709
Tfasc_v1.01152-RA	OG0002622
Tfasc_v1.15747-RA	OG0019482
Tfasc_v1.04654-RA	OG0008493
Tfasc_v1.12980-RA	OG0019417
Tfasc_v1.21967-RA	OG0012779
Tfasc_v1.02452-RA	OG0000299
Tfasc_v1.06259-RA	OG0006188
Tfasc_v1.24976-RA	OG0009621
Tfasc_v1.24609-RA	OG0015662
Tfasc_v1.19397-RA	OG0004173
