gene_id	median_cov	mean_cov	og_id	Acom_count	Tfas_count	Tlei_count
Tlei_v1.07811-RA	53.0	52.51320132013201	OG0000302	0	10	4
Tlei_v1.09228-RA	54	55.72898799313894	OG0000302	0	10	4
Tlei_v1.20156-RA	53	52.80182002022244	OG0000302	0	10	4
Tlei_v1.24169-RA	40	37.893709327548805	OG0000302	0	10	4
Tlei_v1.28031-RA	79	77.63501483679525	OG0017485	1	0	1
Tlei_v1.00303-RA	55.0	55.46508379888268	OG0019085	0	1	1
Tlei_v1.14457-RA	52	51.58632532001249	OG0005004	2	1	1
Tlei_v1.29484-RA	50	45.36562169778091	OG0014387	1	1	1
Tlei_v1.17239-RA	57	56.1278758694489	OG0012079	1	1	1
Tlei_v1.17247-RA	49.0	49.01123595505618	OG0012078	1	1	1
Tlei_v1.28688-RA	48	47.147064104866224	OG0009609	1	1	1
Tlei_v1.17220-RA	51.0	49.56622773044152	OG0012071	1	1	1
Tlei_v1.17231-RA	53.0	50.049375544583214	OG0012070	1	1	1
Tlei_v1.17230-RA	28	27.674068199841397	OG0012072	1	1	1
Tlei_v1.17246-RA	56.0	54.35679059180577	OG0012075	1	1	1
Tlei_v1.17229-RA	59.0	60.2970297029703	OG0012074	1	1	1
Tlei_v1.24735-RA	51	50.254598433800766	OG0000303	0	4	10
Tlei_v1.24881-RA	49	48.71928959052787	OG0000303	0	4	10
Tlei_v1.24848-RA	52.0	52.061891786687426	OG0000303	0	4	10
Tlei_v1.25262-RA	51	52.69615450939817	OG0000303	0	4	10
Tlei_v1.25280-RA	5.0	11.011070749005363	OG0000303	0	4	10
Tlei_v1.25264-RA	27.0	28.524249825540824	OG0000303	0	4	10
Tlei_v1.24864-RA	50.0	50.042995559144124	OG0000303	0	4	10
Tlei_v1.07053-RA	46	44.388732394366194	OG0000303	0	4	10
Tlei_v1.25274-RA	55.0	56.50958588957055	OG0000303	0	4	10
Tlei_v1.25257-RA	27.0	33.75398506860371	OG0000303	0	4	10
Tlei_v1.17245-RA	43.0	43.70892857142857	OG0012076	1	1	1
Tlei_v1.21368-RA	49.0	46.70884955752212	OG0014938	1	1	1
Tlei_v1.01476-RA	47.0	45.140221402214024	OG0006209	1	1	1
Tlei_v1.01482-RA	36	34.21769098219414	OG0006208	1	1	1
