chrom	start_window	end_window	DE_counts	proportion
1	Tlei_chr1	1	1e+06	7	0.0588235294117647
2	Tlei_chr1	1000001	2e+06	4	0.0606060606060606
3	Tlei_chr1	2000001	3e+06	0	0
4	Tlei_chr1	3000001	4e+06	1	0.03125
5	Tlei_chr1	4000001	5e+06	0	0
6	Tlei_chr1	5000001	6e+06	0	0
7	Tlei_chr1	6000001	7e+06	1	0.0625
8	Tlei_chr1	7000001	8e+06	0	0
9	Tlei_chr1	8000001	9e+06	0	0
10	Tlei_chr1	9000001	1e+07	1	0.0666666666666667
11	Tlei_chr1	10000001	1.1e+07	0	0
12	Tlei_chr1	11000001	1.2e+07	0	0
13	Tlei_chr1	12000001	1.3e+07	0	0
14	Tlei_chr1	13000001	1.4e+07	0	0
15	Tlei_chr1	14000001	1.5e+07	0	0
16	Tlei_chr1	15000001	1.6e+07	0	0
17	Tlei_chr1	16000001	1.7e+07	0	0
18	Tlei_chr1	17000001	1.8e+07	0	0
19	Tlei_chr1	18000001	1.9e+07	1	0.125
20	Tlei_chr1	19000001	2e+07	0	0
21	Tlei_chr1	20000001	2.1e+07	0	0
22	Tlei_chr1	21000001	2.2e+07	0	0
23	Tlei_chr1	22000001	2.3e+07	0	0
24	Tlei_chr1	23000001	2.4e+07	0	0
25	Tlei_chr1	24000001	2.5e+07	0	0
26	Tlei_chr1	25000001	2.6e+07	0	0
27	Tlei_chr1	26000001	2.7e+07	0	0
28	Tlei_chr1	27000001	2.8e+07	0	0
29	Tlei_chr1	28000001	2.9e+07	0	0
30	Tlei_chr1	29000001	3e+07	0	0
31	Tlei_chr1	30000001	3.1e+07	0	0
32	Tlei_chr1	31000001	3.2e+07	0	0
33	Tlei_chr1	32000001	3.3e+07	0	0
34	Tlei_chr1	33000001	3.4e+07	0	0
35	Tlei_chr1	34000001	3.5e+07	0	0
36	Tlei_chr1	35000001	3.6e+07	0	0
37	Tlei_chr1	36000001	3.7e+07	0	0
38	Tlei_chr1	37000001	3.8e+07	0	0
39	Tlei_chr1	38000001	3.9e+07	0	0
40	Tlei_chr1	39000001	4e+07	1	0.142857142857143
41	Tlei_chr1	40000001	4.1e+07	3	0.3
42	Tlei_chr1	41000001	4.2e+07	0	0
43	Tlei_chr1	42000001	4.3e+07	1	0.166666666666667
44	Tlei_chr1	43000001	4.4e+07	0	0
45	Tlei_chr1	44000001	4.5e+07	0	0
46	Tlei_chr1	45000001	4.6e+07	0	0
47	Tlei_chr1	46000001	4.7e+07	0	0
48	Tlei_chr1	47000001	4.8e+07	0	0
49	Tlei_chr1	48000001	4.9e+07	1	0.0476190476190476
50	Tlei_chr1	49000001	5e+07	0	0
51	Tlei_chr1	50000001	5.1e+07	1	0.032258064516129
52	Tlei_chr1	51000001	5.2e+07	0	0
53	Tlei_chr1	52000001	5.3e+07	0	0
54	Tlei_chr1	53000001	5.4e+07	1	0.0185185185185185
55	Tlei_chr1	54000001	5.5e+07	3	0.0337078651685393
56	Tlei_chr1	55000001	5.6e+07	0	0
57	Tlei_chr1	56000001	5.7e+07	1	0.00980392156862745
58	Tlei_chr1	57000001	5.8e+07	7	0.0673076923076923
59	Tlei_chr1	58000001	5.9e+07	2	0.0206185567010309
